Tympanuchus_cupido	Syrmaticus_mikado	Phasianus_colchicus	Penelope_pileata	Pavo_cristatus	Oxyura_jamaicensis	Odontophorus_gujanensis	Numida_meleagris	Meleagris_gallopavo	Lyrurus_tetrix	Lagopus_muta	Gallus_gallus	Cygnus_atratus	Coturnix_japonica	Colinus_virginianus	Chrysolophus_pictus	Centrocercus_minimus	Callipepla_squamata	Aythya_fuligula	Anser_cygnoides	Anseranas_semipalmata	Anas_platyrhynchos	Alectura_lathami	
5.0328e-05	0.00019064	0.00016743	0.00023896	0.00017876	0.0012004	0.00011588	5.2536e-05	5.1955e-06	1.4621e-05	0.045265	1.465e-05	0.025455	2.3455e-07	9.9608e-05	0.00030468	4.4248e-05	0.00017244	0.0028874	0.0012794	7.767e-06	4.187e-05	0.087565	
4.9667e-05	0.00018484	0.00016692	0.00022991	0.0001744	0.0011988	0.00011324	5.216e-05	4.8134e-06	1.4481e-05	0.045289	1.4033e-05	0.025462	2.1835e-07	9.7537e-05	0.0003	4.3449e-05	0.00016994	0.0028844	0.0012755	7.3343e-06	4.0103e-05	0.085284	
4.9021e-05	0.00017926	0.00016646	0.00022134	0.00017032	0.0011974	0.00011072	5.1839e-05	4.4774e-06	1.4353e-05	0.045314	1.3444e-05	0.025469	2.0452e-07	9.5504e-05	0.0002955	4.2667e-05	0.00016748	0.0028815	0.0012715	6.9177e-06	3.8356e-05	0.083145	
4.837e-05	0.00017362	0.00016599	0.00021263	0.00016616	0.001196	0.00010818	5.1504e-05	4.1293e-06	1.4215e-05	0.045339	1.2847e-05	0.025476	1.8941e-07	9.3458e-05	0.00029095	4.1879e-05	0.000165	0.0028786	0.0012676	6.4964e-06	3.6601e-05	0.080957	
4.7734e-05	0.0001682	0.00016556	0.00020439	0.00016226	0.0011946	0.00010575	5.1222e-05	3.8234e-06	1.4087e-05	0.045364	1.2276e-05	0.025483	1.7647e-07	9.1449e-05	0.00028657	4.1108e-05	0.00016257	0.0028758	0.0012637	6.0908e-06	3.4867e-05	0.078906	
4.7113e-05	0.00016301	0.00016518	0.00019663	0.00015864	0.0011813	0.00010345	5.0996e-05	3.5584e-06	1.3972e-05	0.045391	1.1734e-05	0.02549	1.6581e-07	8.948e-05	0.00028237	4.0356e-05	0.00016016	0.002873	0.0012598	5.7019e-06	3.3155e-05	0.077	
4.6508e-05	0.00015805	0.00016485	0.00018934	0.00015529	0.0011684	0.00010127	5.082e-05	3.3293e-06	1.387e-05	0.045418	1.1218e-05	0.025498	1.5711e-07	8.755e-05	0.00027835	3.9622e-05	0.0001578	0.0028703	0.001256	5.329e-06	3.1465e-05	0.075231	
4.5899e-05	0.00015302	0.0001645	0.00018192	0.00015186	0.0011554	9.9068e-05	5.0637e-05	3.0906e-06	1.3757e-05	0.045444	1.0695e-05	0.025505	1.4722e-07	8.5607e-05	0.00027428	3.8882e-05	0.00015543	0.0028675	0.0012522	4.9514e-06	2.9767e-05	0.073415	
4.5304e-05	0.00014821	0.0001642	0.00017494	0.00014868	0.0011428	9.6976e-05	5.0503e-05	2.8842e-06	1.3657e-05	0.045472	1.0198e-05	0.025513	1.3913e-07	8.3703e-05	0.00027038	3.816e-05	0.00015309	0.0028649	0.0012485	4.5894e-06	2.8092e-05	0.07173	
4.4705e-05	0.00014333	0.00016388	0.00016838	0.00014574	0.0011307	9.4995e-05	5.0417e-05	2.7094e-06	1.3545e-05	0.0455	9.7255e-06	0.025521	1.3268e-07	8.1837e-05	0.00026642	3.7432e-05	0.0001508	0.0028623	0.0012447	4.2422e-06	2.6437e-05	0.070168	
4.4121e-05	0.00013867	0.00016361	0.00016221	0.00014301	0.001119	9.3119e-05	5.0378e-05	2.5591e-06	1.3446e-05	0.045528	9.2767e-06	0.025529	1.2769e-07	8.0008e-05	0.00026264	3.6721e-05	0.00014854	0.0028597	0.0012411	3.9093e-06	2.4804e-05	0.068721	
4.3551e-05	0.00013421	0.00016339	0.00015642	0.0001405	0.0011077	9.1341e-05	5.0384e-05	2.43e-06	1.336e-05	0.045557	8.8501e-06	0.025537	1.2407e-07	7.8216e-05	0.00025902	3.6028e-05	0.00014631	0.0028572	0.0012375	3.59e-06	2.3192e-05	0.067382	
4.2978e-05	0.0001297	0.00016315	0.00015052	0.00013793	0.0010963	8.9542e-05	5.0382e-05	2.295e-06	1.3262e-05	0.045586	8.4172e-06	0.025545	1.1943e-07	7.6412e-05	0.00025535	3.5329e-05	0.00014408	0.0028547	0.0012338	3.2668e-06	2.1572e-05	0.066008	
4.2417e-05	0.00012536	0.00016295	0.00014494	0.00013553	0.0010853	8.7829e-05	5.0422e-05	2.1774e-06	1.3175e-05	0.045616	8.0037e-06	0.025554	1.1591e-07	7.4641e-05	0.00025182	3.4645e-05	0.00014187	0.0028523	0.0012303	2.9553e-06	1.9971e-05	0.064726	
4.1851e-05	0.00012096	0.00016274	0.00013925	0.00013308	0.0010742	8.6093e-05	5.0449e-05	2.0539e-06	1.3078e-05	0.045645	7.5835e-06	0.025562	1.1135e-07	7.2856e-05	0.00024824	3.3956e-05	0.00013966	0.0028498	0.0012267	2.6398e-06	1.8362e-05	0.063408	
4.1281e-05	0.0001165	0.00016252	0.00013346	0.00013057	0.001063	8.4335e-05	5.0469e-05	1.9246e-06	1.2969e-05	0.045674	7.1568e-06	0.02557	1.0577e-07	7.106e-05	0.00024462	3.3262e-05	0.00013743	0.0028473	0.001223	2.3202e-06	1.837e-05	0.062052	
4.0725e-05	0.00011223	0.00016234	0.00012802	0.00012826	0.0010517	8.2671e-05	5.0536e-05	1.8137e-06	1.2873e-05	0.045705	6.7514e-06	0.025579	1.0145e-07	6.93e-05	0.00024116	3.2584e-05	0.00013524	0.0028447	0.0012194	1.9854e-06	1.8372e-05	0.060805	
4.0165e-05	0.00010791	0.00016215	0.00012247	0.00012588	0.0010403	8.0984e-05	5.0591e-05	1.6971e-06	1.2766e-05	0.045735	6.3394e-06	0.025587	9.6102e-08	6.7528e-05	0.00023765	3.19e-05	0.00013303	0.0028421	0.0012157	1.9686e-06	1.837e-05	0.059521	
3.96e-05	0.00010353	0.00016195	0.00011683	0.00012345	0.0010288	7.9277e-05	5.0634e-05	1.5752e-06	1.2649e-05	0.045764	5.9214e-06	0.025595	8.9765e-08	6.5744e-05	0.00023409	3.1211e-05	0.00013081	0.0028395	0.0012121	1.9501e-06	1.8364e-05	0.058202	
3.9049e-05	9.9338e-05	0.00016179	0.00011151	0.00012121	0.0010177	7.7659e-05	5.0723e-05	1.4701e-06	1.2543e-05	0.045795	5.5235e-06	0.025603	8.4596e-08	6.3995e-05	0.00023068	3.0539e-05	0.00012863	0.0028369	0.0012084	1.9335e-06	1.8359e-05	0.056982	
3.8512e-05	9.5323e-05	0.00016167	0.00010651	0.00011914	0.001007	7.6126e-05	5.0858e-05	1.3798e-06	1.2449e-05	0.045826	5.1448e-06	0.025612	8.0478e-08	6.2279e-05	0.00022742	2.9882e-05	0.00012648	0.0028344	0.0012049	1.9186e-06	1.8355e-05	0.055853	
3.797e-05	9.148e-05	0.00016159	0.0001018	0.00011724	0.00099664	7.4674e-05	5.1043e-05	1.3039e-06	1.2344e-05	0.045858	4.7842e-06	0.025621	7.732e-08	6.0597e-05	0.0002243	2.922e-05	0.00012437	0.002832	0.0012013	1.9054e-06	1.8354e-05	0.054812	
3.7442e-05	8.7784e-05	0.00016155	9.7345e-05	0.00011548	0.00098663	7.3291e-05	5.1275e-05	1.2382e-06	1.2249e-05	0.04589	4.4392e-06	0.02563	7.4914e-08	5.8944e-05	0.00022131	2.5712e-05	0.00012229	0.0028296	0.0011979	1.8938e-06	1.8353e-05	0.053844	
3.6903e-05	8.4035e-05	0.0001615	9.2799e-05	0.00011367	0.00097653	7.189e-05	5.1492e-05	1.1685e-06	1.2144e-05	0.045922	4.0886e-06	0.025639	7.1572e-08	5.728e-05	0.00021827	2.5389e-05	0.00012019	0.0028272	0.0011944	1.8804e-06	1.8348e-05	0.052845	
3.636e-05	8.0235e-05	0.00016144	8.8163e-05	0.00011181	0.00096635	7.0471e-05	5.1696e-05	1.0947e-06	1.2027e-05	0.045953	3.7324e-06	0.025648	6.7292e-08	5.5604e-05	0.00021518	2.5063e-05	0.00011808	0.0028248	0.0011908	1.8655e-06	1.8338e-05	0.051815	
3.5812e-05	7.6385e-05	0.00016137	8.3442e-05	0.0001099	0.0009561	6.9034e-05	5.1886e-05	1.0169e-06	1.1901e-05	0.045985	3.3708e-06	0.025656	6.2093e-08	5.3917e-05	0.00021206	2.4732e-05	0.00011596	0.0028223	0.0011873	1.8491e-06	1.8324e-05	0.050756	
3.5276e-05	7.268e-05	0.00016133	7.8967e-05	0.00010813	0.00094617	6.7666e-05	5.1384e-05	9.4905e-07	1.1784e-05	0.046017	3.0246e-06	0.025665	5.7627e-08	5.2259e-05	0.00020906	2.4409e-05	0.00011387	0.00282	0.0011838	1.8341e-06	1.8311e-05	0.049769	
3.4754e-05	6.9129e-05	0.00015947	7.4752e-05	0.00010636	0.00093658	6.6369e-05	5.0955e-05	8.9101e-07	1.1679e-05	0.04605	2.6772e-06	0.025675	5.3939e-08	5.0632e-05	0.00020619	2.4094e-05	0.00011182	0.0028177	0.0011804	1.8207e-06	1.8299e-05	0.04886	
3.4243e-05	6.5712e-05	0.00015771	7.0756e-05	0.00010471	0.00092729	6.5135e-05	5.0585e-05	8.4074e-07	1.1582e-05	0.046084	2.3443e-06	0.025684	5.0826e-08	4.9033e-05	0.00020343	2.3787e-05	0.00010979	0.0028154	0.001177	1.8087e-06	1.8288e-05	0.048017	
3.3743e-05	6.2423e-05	0.00015605	6.6968e-05	0.00010319	0.00091829	6.396e-05	5.0271e-05	7.9746e-07	1.1495e-05	0.046118	2.0253e-06	0.025694	4.8233e-08	4.7462e-05	0.00020078	2.3488e-05	0.00010779	0.0028132	0.0011736	1.7982e-06	1.8279e-05	0.047236	
3.3255e-05	5.9257e-05	0.00015447	6.3377e-05	0.00010179	0.00090958	6.2841e-05	5.0008e-05	7.6047e-07	1.1416e-05	0.046154	1.7195e-06	0.025704	4.6112e-08	4.5916e-05	0.00019824	2.3195e-05	0.00010582	0.0028111	0.0011703	1.7889e-06	1.8271e-05	0.046515	
3.2777e-05	5.6209e-05	0.00015298	5.9973e-05	0.0001005	0.00090114	6.1777e-05	4.9793e-05	7.2917e-07	1.1347e-05	0.04619	1.4263e-06	0.025714	4.4426e-08	4.4397e-05	0.0001958	2.2909e-05	0.00010387	0.002809	0.001167	1.781e-06	1.8264e-05	0.045851	
3.231e-05	5.3274e-05	0.00015157	5.6746e-05	9.9326e-05	0.00089297	6.0764e-05	4.9624e-05	7.0307e-07	1.1286e-05	0.046227	1.1449e-06	0.025724	4.3143e-08	4.2904e-05	0.00019346	2.263e-05	0.00010196	0.002807	0.0011638	1.7745e-06	1.8258e-05	0.045241	
3.1855e-05	5.0461e-05	0.00015025	5.3705e-05	9.8265e-05	0.00088509	5.9805e-05	4.9502e-05	6.8236e-07	1.1235e-05	0.046264	8.7628e-07	0.025734	4.2343e-08	4.1438e-05	0.00019123	2.2359e-05	0.00010007	0.002805	0.0011606	1.7695e-06	1.8253e-05	0.04469	
3.141e-05	4.7751e-05	0.00014901	5.0823e-05	9.7305e-05	0.00087746	5.8893e-05	4.9422e-05	6.6607e-07	1.1193e-05	0.046303	6.1839e-07	0.025745	2.2833e-08	3.9997e-05	0.0001891	2.2094e-05	9.8209e-05	0.0028031	0.0011574	1.7658e-06	1.825e-05	0.044189	
3.0961e-05	4.5e-05	0.00014774	4.7874e-05	9.6306e-05	0.00086977	5.7969e-05	4.933e-05	6.4715e-07	1.114e-05	0.046341	3.5603e-07	0.025755	2.3703e-08	3.8545e-05	0.00018693	2.1826e-05	9.6336e-05	0.0028012	0.0011543	1.7606e-06	1.8242e-05	0.043664	
3.0507e-05	4.2206e-05	0.00014645	4.4856e-05	9.5243e-05	0.000862	5.7031e-05	4.9224e-05	6.2559e-07	1.1077e-05	0.046379	3.3564e-07	0.025766	2.3795e-08	3.7083e-05	0.00018472	2.1554e-05	9.4452e-05	0.0027992	0.0011511	1.7538e-06	1.823e-05	0.043115	
3.007e-05	3.937e-05	0.00014514	4.177e-05	9.414e-05	0.00085417	5.608e-05	4.9107e-05	6.0135e-07	1.1004e-05	0.046417	3.1333e-07	0.025776	2.3108e-08	3.561e-05	0.00018247	2.1292e-05	9.2556e-05	0.0027972	0.0011479	1.7454e-06	1.8213e-05	0.042542	
2.9644e-05	3.6649e-05	0.00014392	3.8859e-05	9.315e-05	0.00084662	5.5181e-05	4.7917e-05	5.8205e-07	1.0941e-05	0.046456	2.9143e-07	0.025787	2.2617e-08	3.4165e-05	0.00018033	2.1038e-05	9.0689e-05	0.0027953	0.0011447	1.7385e-06	1.8197e-05	0.042024	
2.9214e-05	3.3888e-05	0.00014267	3.5884e-05	9.2122e-05	0.000839	5.4269e-05	4.6693e-05	5.6025e-07	1.0868e-05	0.046494	2.6765e-07	0.025797	2.1363e-08	3.2709e-05	0.00017816	2.0781e-05	8.8811e-05	0.0027934	0.0011415	1.7301e-06	1.8177e-05	0.041485	
2.8793e-05	3.1227e-05	0.00014149	3.3058e-05	9.1191e-05	0.00083163	5.3403e-05	4.5602e-05	5.4252e-07	1.0803e-05	0.046534	2.4406e-07	0.025808	2.0216e-08	3.1277e-05	0.00017608	2.0529e-05	8.6959e-05	0.0027915	0.0011384	1.723e-06	1.8158e-05	0.040993	
2.8369e-05	2.8525e-05	0.0001403	3.0168e-05	9.0222e-05	0.00082419	5.2523e-05	4.4477e-05	5.2228e-07	1.0729e-05	0.046573	2.1857e-07	0.025819	1.8299e-08	2.9835e-05	0.00017396	2.0274e-05	8.5095e-05	0.0027897	0.0011353	1.7144e-06	1.8134e-05	0.040479	
2.7954e-05	2.5919e-05	0.00013917	2.7419e-05	8.9347e-05	0.000817	5.1687e-05	4.3476e-05	5.0587e-07	1.0662e-05	0.046613	1.9323e-07	0.02583	1.6467e-08	2.8416e-05	0.00017193	2.0025e-05	8.3257e-05	0.0027878	0.0011322	1.707e-06	1.8111e-05	0.040011	
2.7548e-05	2.3406e-05	0.00013811	2.4806e-05	8.8563e-05	0.00081003	5.0893e-05	4.2586e-05	4.9305e-07	1.0604e-05	0.046654	1.68e-07	0.025841	1.469e-08	2.7021e-05	0.00016999	1.9783e-05	8.1444e-05	0.002786	0.0011291	1.701e-06	1.809e-05	0.039589	
2.7142e-05	2.0855e-05	0.00013704	2.2133e-05	8.7744e-05	0.00080301	5.0087e-05	4.1669e-05	4.7789e-07	1.0536e-05	0.046694	1.4091e-07	0.025852	1.2165e-08	2.5615e-05	0.00016802	1.9538e-05	7.962e-05	0.0027843	0.001126	1.6933e-06	1.8063e-05	0.039145	
2.6746e-05	1.8406e-05	0.00013603	1.9608e-05	8.7027e-05	0.00079624	4.9327e-05	4.0867e-05	4.6674e-07	1.0478e-05	0.046736	1.1408e-07	0.025863	9.7436e-09	2.4236e-05	0.00016614	1.9301e-05	7.7825e-05	0.0027825	0.001123	1.6873e-06	1.8039e-05	0.038752	
2.6345e-05	1.5914e-05	0.000135	1.7014e-05	8.6267e-05	0.00078941	4.8553e-05	4.0033e-05	4.5298e-07	1.0408e-05	0.046777	8.5296e-08	0.025874	6.5416e-09	2.2845e-05	0.00016423	1.906e-05	7.6016e-05	0.0027808	0.0011199	1.6796e-06	1.801e-05	0.038334	
2.5939e-05	1.5951e-05	0.00013395	1.434e-05	8.5435e-05	0.00078247	4.7761e-05	3.9156e-05	4.3621e-07	1.0327e-05	0.046818	9.6666e-08	0.025885	2.502e-09	2.1412e-05	0.00016226	1.8814e-05	7.6632e-05	0.002779	0.0011168	1.67e-06	1.7975e-05	0.037887	
2.5546e-05	1.5964e-05	0.00013286	1.4457e-05	8.4547e-05	0.00077544	4.695e-05	3.8229e-05	4.2694e-07	1.0259e-05	0.04686	1.0613e-07	0.025897	2.7405e-09	2.1486e-05	0.00016025	1.8576e-05	7.7221e-05	0.0027772	0.0011137	1.6584e-06	1.7935e-05	0.037406	
2.5147e-05	1.5952e-05	0.00013175	1.4534e-05	8.3609e-05	0.00076832	4.6122e-05	3.7257e-05	4.1494e-07	1.0179e-05	0.046902	1.1378e-07	0.025908	2.2974e-09	2.1553e-05	0.00015818	1.8334e-05	7.7798e-05	0.0027753	0.0011106	1.645e-06	1.789e-05	0.036897	
2.476e-05	1.5957e-05	0.00013071	1.4639e-05	8.2774e-05	0.00076145	4.5339e-05	3.6406e-05	4.0637e-07	1.0109e-05	0.046944	1.2095e-07	0.025919	1.5298e-09	2.1624e-05	0.00015622	1.81e-05	7.8389e-05	0.0027735	0.0011075	1.6331e-06	1.7846e-05	0.036439	
2.4369e-05	1.594e-05	0.00012965	1.4707e-05	8.1896e-05	0.00075452	4.4542e-05	3.5521e-05	3.9535e-07	1.0028e-05	0.046987	1.2635e-07	0.02593	4.0994e-09	2.1689e-05	0.00015421	1.7862e-05	7.8969e-05	0.0027717	0.0011044	1.6196e-06	1.7798e-05	0.035955	
2.3973e-05	1.5902e-05	0.00012857	1.4741e-05	8.0979e-05	0.00074751	4.3733e-05	3.4604e-05	3.82e-07	9.9369e-06	0.047029	1.3001e-07	0.025941	5.9619e-09	2.1748e-05	0.00015217	1.762e-05	7.9541e-05	0.0027699	0.0011013	1.6044e-06	1.7744e-05	0.035448	
2.3574e-05	1.5843e-05	0.00012747	1.474e-05	8.0025e-05	0.00074045	4.2913e-05	3.3656e-05	3.6633e-07	9.8352e-06	0.047071	1.3195e-07	0.025952	7.1253e-09	2.1799e-05	0.00015009	1.7375e-05	8.0104e-05	0.0027681	0.0010981	1.5877e-06	1.7686e-05	0.034918	
2.3171e-05	1.5765e-05	0.00012636	1.4706e-05	7.9033e-05	0.00073332	4.2081e-05	3.2678e-05	3.4837e-07	9.7234e-06	0.047113	1.3218e-07	0.025963	7.5928e-09	2.1845e-05	0.00014798	1.7126e-05	8.0658e-05	0.0027662	0.001095	1.5694e-06	1.7624e-05	0.034365	
2.2764e-05	1.5666e-05	0.00012522	1.4638e-05	7.8004e-05	0.00072613	4.1237e-05	3.1668e-05	3.2809e-07	9.6014e-06	0.047155	1.3069e-07	0.025974	7.3655e-09	2.1884e-05	0.00014584	1.6873e-05	8.1203e-05	0.0027643	0.0010918	1.5495e-06	1.7557e-05	0.03379	
2.2367e-05	1.5583e-05	0.00012416	1.4596e-05	7.7076e-05	0.0007192	4.0438e-05	3.078e-05	3.113e-07	9.489e-06	0.047197	1.287e-07	0.025985	6.9889e-09	2.1928e-05	0.00014379	1.6627e-05	8.1761e-05	0.0027625	0.0010886	1.5311e-06	1.7491e-05	0.033265	
2.1978e-05	1.5511e-05	0.00012316	1.4576e-05	7.6235e-05	0.00071248	3.9678e-05	2.9989e-05	2.9727e-07	9.3844e-06	0.047241	1.2612e-07	0.025997	6.414e-09	2.1975e-05	0.00014182	1.6387e-05	8.233e-05	0.0027608	0.0010856	1.514e-06	1.7426e-05	0.032785	
2.1586e-05	1.542e-05	0.00012214	1.4522e-05	7.5358e-05	0.00070571	3.8907e-05	2.9173e-05	2.8106e-07	9.2697e-06	0.047284	1.2183e-07	0.026008	1.5713e-08	2.2017e-05	0.00013982	1.6143e-05	8.2889e-05	0.002759	0.0010824	1.4954e-06	1.7357e-05	0.032283	
2.1202e-05	1.534e-05	0.00012118	1.4488e-05	7.4566e-05	0.00069916	3.8174e-05	2.8447e-05	2.6743e-07	9.1627e-06	0.047328	1.1693e-07	0.02602	2.585e-08	2.2061e-05	0.00013791	1.5905e-05	8.346e-05	0.0027572	0.0010794	1.4779e-06	1.7289e-05	0.031824	
2.0815e-05	1.524e-05	0.0001202	1.4422e-05	7.3739e-05	0.00069255	3.743e-05	2.7697e-05	2.5166e-07	9.0457e-06	0.047372	1.1033e-07	0.026031	3.5008e-08	2.21e-05	0.00013595	1.5663e-05	8.4022e-05	0.0027555	0.0010763	1.459e-06	1.7216e-05	0.031343	
2.0436e-05	1.5152e-05	0.00011929	1.4376e-05	7.2994e-05	0.00068615	3.6722e-05	2.7031e-05	2.3831e-07	8.9362e-06	0.047416	1.0312e-07	0.026043	4.5132e-08	2.2142e-05	0.00013408	1.5427e-05	8.4595e-05	0.0027538	0.0010732	1.4412e-06	1.7144e-05	0.030904	
2.0053e-05	1.5045e-05	0.00011835	1.4296e-05	7.2195e-05	0.00067969	3.6004e-05	2.6342e-05	2.2286e-07	8.8168e-06	0.047461	1.5279e-07	0.026055	5.4243e-08	2.2178e-05	0.00013218	1.5187e-05	8.516e-05	0.0027521	0.0010702	1.4219e-06	1.7068e-05	0.03235	
1.9666e-05	1.4917e-05	0.0001174	1.4183e-05	7.1361e-05	0.00067318	3.5276e-05	2.563e-05	2.053e-07	8.6873e-06	0.047505	2.0039e-07	0.026066	6.2351e-08	2.2208e-05	0.00013024	1.4944e-05	8.5715e-05	0.0027503	0.0010671	1.401e-06	1.6987e-05	0.03376	
1.9288e-05	1.4801e-05	0.0001165	1.4091e-05	7.0609e-05	0.00066687	3.4583e-05	2.4997e-05	1.9003e-07	8.5653e-06	0.04755	2.4894e-07	0.026078	7.1506e-08	2.2241e-05	0.00012838	1.4706e-05	8.6282e-05	0.0027487	0.001064	1.3814e-06	1.6907e-05	0.035262	
1.8918e-05	1.4697e-05	0.00011566	1.402e-05	6.9936e-05	0.00066051	3.3924e-05	2.4437e-05	1.7681e-07	8.4506e-06	0.047596	2.9857e-07	0.02609	8.1875e-08	2.2278e-05	0.0001266	1.4474e-05	8.686e-05	0.002747	0.001061	1.3631e-06	1.6823e-05	0.035223	
1.8556e-05	1.4606e-05	0.00011488	1.3973e-05	6.9347e-05	0.00065438	3.33e-05	2.3947e-05	1.6574e-07	8.3445e-06	0.047643	3.4966e-07	0.026102	9.3863e-08	2.232e-05	0.0001249	1.4247e-05	8.7451e-05	0.0027453	0.001058	1.3462e-06	1.6739e-05	0.035224	
1.8202e-05	1.4527e-05	0.00011415	1.3947e-05	6.8832e-05	0.00064845	3.2708e-05	2.3515e-05	1.563e-07	8.2453e-06	0.047691	4.0203e-07	0.026114	1.0749e-07	2.2365e-05	0.00012328	1.4025e-05	8.8053e-05	0.0027438	0.001055	1.3303e-06	1.6657e-05	0.03526	
1.7845e-05	1.4429e-05	0.0001134	1.3887e-05	6.8285e-05	0.00064246	3.2106e-05	2.3067e-05	1.4496e-07	8.1363e-06	0.047738	4.5222e-07	0.026126	1.1992e-07	2.2404e-05	0.00012162	1.38e-05	8.8647e-05	0.0027421	0.001052	1.313e-06	1.6571e-05	0.035277	
1.7495e-05	1.4341e-05	0.0001127	1.3848e-05	6.7809e-05	0.00063666	3.1534e-05	2.2673e-05	1.3514e-07	8.0341e-06	0.047786	5.0377e-07	0.026138	1.3416e-07	2.2447e-05	0.00012003	1.358e-05	8.9252e-05	0.0027406	0.001049	1.2968e-06	1.6485e-05	0.035328	
1.7153e-05	1.4267e-05	0.00010866	1.3833e-05	6.7412e-05	0.00063108	3.0994e-05	2.2332e-05	1.2694e-07	7.9399e-06	0.047836	5.5712e-07	0.026151	1.5077e-07	2.2495e-05	0.00011852	1.3366e-05	8.987e-05	0.0027391	0.0010461	1.2818e-06	1.6401e-05	0.035419	
1.6819e-05	1.4204e-05	0.00010482	1.3838e-05	6.7084e-05	0.00062568	3.0481e-05	2.2035e-05	1.1994e-07	7.8523e-06	0.047886	6.1207e-07	0.026163	1.6978e-07	2.2546e-05	0.00011707	1.3156e-05	9.0501e-05	0.0027377	0.0010432	1.2679e-06	1.6318e-05	0.035545	
1.6493e-05	1.4155e-05	0.0001012	1.3868e-05	6.6832e-05	0.00062047	2.9997e-05	2.0391e-05	1.1428e-07	7.7724e-06	0.047937	6.6907e-07	0.026176	1.919e-07	2.2602e-05	0.0001157	1.2951e-05	9.1145e-05	0.0027363	0.0010404	1.2552e-06	1.6236e-05	0.035712	
1.6163e-05	1.4119e-05	9.7787e-05	1.3922e-05	6.6653e-05	0.00061545	2.9539e-05	1.8939e-05	1.101e-07	7.6827e-06	0.047988	7.2828e-07	0.026189	2.1763e-07	2.2663e-05	0.0001144	1.2744e-05	9.1803e-05	0.002735	0.0010376	1.2437e-06	1.6156e-05	0.03592	
