Sciurus_vulgaris	Octodon_degus	Ochotona_princeps	Fukomys_damarensis	Chinchilla_lanigera	Cavia_porcellus	Cavia_aperea	
8.5342e-08	1.0772e-06	2.6989e-05	1.1373e-07	2.8676e-05	0.01	0.032239	
6.1043e-08	1.0165e-06	2.6943e-05	1.1731e-07	2.9038e-05	0.01	0.032255	
4.4621e-08	9.7581e-07	2.6617e-05	1.2429e-07	2.9493e-05	0.01	0.032271	
3.3128e-08	9.532e-07	2.6483e-05	1.3533e-07	2.9348e-05	0.01	0.032288	
3.5074e-08	9.2383e-07	2.6238e-05	1.441e-07	2.9177e-05	0.01	0.032305	
3.9309e-08	9.0986e-07	2.6169e-05	1.5748e-07	2.908e-05	0.01	0.032322	
4.082e-08	8.8915e-07	2.6049e-05	1.6838e-07	2.8956e-05	0.01	0.032339	
3.8852e-08	8.6188e-07	2.6238e-05	1.7702e-07	2.8806e-05	0.01	0.032356	
4.0788e-08	8.4938e-07	2.6196e-05	1.6928e-07	2.8729e-05	0.01	0.032373	
4.0276e-08	8.3042e-07	2.6108e-05	1.593e-07	2.8627e-05	0.01	0.032391	
4.2244e-08	8.2529e-07	2.5726e-05	1.5361e-07	2.8596e-05	0.01	0.032408	
4.1745e-08	8.1387e-07	2.528e-05	1.4581e-07	2.8539e-05	0.01	0.032426	
4.4068e-08	7.2141e-07	2.4338e-05	1.4192e-07	2.8555e-05	0.01	0.032444	
4.3898e-08	6.2276e-07	2.3275e-05	1.3603e-07	2.8545e-05	0.01	0.032462	
5.1297e-08	5.1366e-07	2.2713e-05	1.2777e-07	2.851e-05	0.01	0.03248	
6.2438e-08	4.3134e-07	2.2341e-05	1.232e-07	2.8546e-05	0.01	0.032498	
7.0545e-08	3.3969e-07	2.1907e-05	1.1661e-07	2.8553e-05	0.01	0.032516	
8.3631e-08	2.7015e-07	2.164e-05	1.1341e-07	2.8632e-05	0.01	0.032534	
1.0414e-07	1.9248e-07	2.1511e-05	1.0812e-07	2.8685e-05	0.01	0.032553	
1.1199e-07	1.0426e-07	2.1604e-05	9.9915e-08	2.8698e-05	0.01	0.032571	
1.1657e-07	9.725e-08	2.1656e-05	8.9675e-08	2.8679e-05	0.01	0.03259	
1.1804e-07	8.6783e-08	2.1668e-05	7.7424e-08	2.8634e-05	0.01	0.032609	
1.247e-07	7.9922e-08	2.1833e-05	6.879e-08	2.866e-05	0.01	0.032628	
1.2806e-07	6.9666e-08	2.1954e-05	5.8268e-08	2.8661e-05	0.01	0.032647	
1.2815e-07	5.595e-08	2.2033e-05	4.5783e-08	2.8635e-05	0.01	0.032665	
1.1387e-07	4.5516e-08	2.1961e-05	3.6622e-08	2.8681e-05	0.01	0.032685	
1.0636e-07	3.7652e-08	2.1625e-05	2.9899e-08	2.8087e-05	0.01	0.032704	
7.3992e-08	3.1721e-08	2.1461e-05	2.5115e-08	2.7602e-05	0.01	0.032724	
3.5187e-08	4.2852e-08	2.1247e-05	2.8976e-08	2.6936e-05	0.01	0.032743	
2.9418e-08	5.0851e-08	2.095e-05	3.1481e-08	2.6229e-05	0.01	0.032762	
2.1123e-08	5.5769e-08	2.06e-05	3.2666e-08	2.5481e-05	0.01	0.032782	
1.8752e-08	5.7636e-08	1.9974e-05	3.2459e-08	2.469e-05	0.01	0.032801	
1.4243e-08	5.6518e-08	1.9269e-05	3.0968e-08	2.3856e-05	0.01	0.03282	
7.554e-09	5.241e-08	1.8476e-05	2.8184e-08	2.2979e-05	0.01	0.032839	
7.2379e-09	4.5289e-08	1.7438e-05	2.4021e-08	2.2056e-05	0.01	0.032857	
5.1011e-09	3.5118e-08	1.6278e-05	1.8519e-08	2.1087e-05	0.01	0.032876	
3.0426e-09	2.7055e-08	1.5453e-05	1.4348e-08	2.0262e-05	0.01	0.032895	
1.9743e-09	3.523e-08	1.4077e-05	1.4686e-08	1.9225e-05	0.01	0.032914	
2.5249e-09	4.0701e-08	1.2195e-05	1.3578e-08	1.8121e-05	0.01	0.032933	
2.5308e-09	4.7729e-08	1.0808e-05	1.2961e-08	1.7165e-05	0.01	0.032952	
7.4662e-09	5.1962e-08	9.1745e-06	1.1293e-08	1.6168e-05	0.01	0.032971	
1.284e-08	5.7589e-08	7.9362e-06	9.9512e-09	1.5295e-05	0.01	0.032991	
1.895e-08	6.476e-08	6.9881e-06	8.8238e-09	1.4527e-05	0.01	0.033011	
2.6162e-08	7.3752e-08	6.2572e-06	7.835e-09	1.3853e-05	0.01	0.033031	
3.4944e-08	8.4976e-08	5.6921e-06	6.9302e-09	1.326e-05	0.01	0.033052	
4.592e-08	9.901e-08	5.2557e-06	6.0698e-09	1.2742e-05	0.01	0.033073	
5.334e-08	1.0998e-07	5.0768e-06	4.2852e-09	1.2202e-05	0.01	0.033093	
5.7681e-08	1.1788e-07	4.8498e-06	6.8945e-09	1.1637e-05	0.01	0.033114	
6.4423e-08	1.2896e-07	4.261e-06	9.7717e-09	1.1144e-05	0.01	0.033135	
7.4795e-08	1.3695e-07	3.8143e-06	1.1521e-08	1.063e-05	0.01	0.033157	
6.5366e-08	1.4828e-07	3.48e-06	1.3593e-08	1.018e-05	0.01	0.033178	
5.8365e-08	1.6328e-07	3.216e-06	1.6045e-08	9.7863e-06	0.01	0.0332	
5.3355e-08	1.8254e-07	3.0083e-06	1.8988e-08	9.4418e-06	0.01	0.033222	
4.6266e-08	1.9852e-07	2.7856e-06	2.0919e-08	9.0817e-06	0.01	0.033244	
4.0912e-08	2.1936e-07	2.6113e-06	2.3434e-08	8.7676e-06	0.01	0.033266	
3.7361e-08	2.4617e-07	2.1252e-06	2.6705e-08	8.4964e-06	0.01	0.033289	
3.5045e-08	2.8021e-07	1.7339e-06	3.0888e-08	8.2638e-06	0.01	0.033311	
3.3882e-08	3.2324e-07	1.4193e-06	3.6235e-08	8.0667e-06	0.01	0.033334	
3.3913e-08	3.7775e-07	1.168e-06	4.3109e-08	7.9033e-06	0.01	0.033358	
3.1854e-08	4.2654e-07	8.9617e-07	4.8605e-08	7.7259e-06	0.01	0.033381	
2.7081e-08	4.6923e-07	7.8171e-07	5.2641e-08	7.532e-06	0.01	0.033404	
2.4425e-08	5.0288e-07	7.0356e-07	6.8884e-08	7.3007e-06	0.01	0.033427	
2.3273e-08	4.8615e-07	6.5144e-07	7.0778e-08	7.1272e-06	0.01	0.033451	
2.3411e-08	4.7941e-07	6.1947e-07	7.4983e-08	6.9926e-06	0.01	0.033475	
2.5673e-08	4.6744e-07	6.0712e-07	7.7063e-08	6.8407e-06	0.01	0.033499	
2.9563e-08	4.6498e-07	6.1016e-07	8.1771e-08	6.7255e-06	0.01	0.033523	
3.1211e-08	4.5765e-07	6.0498e-07	8.4859e-08	6.5953e-06	0.01	0.033547	
3.0649e-08	4.4548e-07	5.9167e-07	8.6365e-08	6.4502e-06	0.01	0.033571	
3.1705e-08	4.4228e-07	5.9297e-07	9.0379e-08	6.3394e-06	0.01	0.033596	
3.0514e-08	4.3425e-07	5.8608e-07	9.2735e-08	6.2138e-06	0.01	0.03362	
2.6087e-08	4.2133e-07	6.2284e-07	9.341e-08	6.0733e-06	0.01	0.033644	
2.3289e-08	3.3906e-07	6.7956e-07	9.6689e-08	5.9672e-06	0.01	0.033669	
1.8321e-08	2.4866e-07	7.2622e-07	9.833e-08	5.847e-06	0.01	0.033694	
1.538e-08	2.5236e-07	8.005e-07	9.7835e-08	5.71e-06	0.01	0.033718	
1.3617e-08	2.5193e-07	9.0884e-07	9.5481e-08	5.558e-06	0.01	0.033743	
9.2282e-09	2.5765e-07	9.978e-07	9.5773e-08	5.4386e-06	0.01	0.033767	
8.2005e-09	2.5929e-07	1.0355e-06	9.419e-08	5.3052e-06	0.01	0.033792	
7.1932e-09	2.6644e-07	1.0944e-06	9.4816e-08	5.1992e-06	0.01	0.033817	
6.2733e-09	2.7921e-07	1.1792e-06	9.7591e-08	5.118e-06	0.01	0.033843	
5.3545e-09	2.8843e-07	1.2973e-06	9.8602e-08	5.0264e-06	0.01	0.033868	
4.0067e-09	3.0253e-07	1.4484e-06	1.0139e-07	4.9544e-06	0.01	0.033894	
2.1278e-09	3.2175e-07	1.6389e-06	1.0597e-07	4.9003e-06	0.01	0.03392	
3.6188e-09	3.3772e-07	1.7911e-06	1.0928e-07	4.8379e-06	0.01	0.033946	
3.5943e-09	3.5058e-07	1.9333e-06	1.1143e-07	4.7675e-06	0.01	0.033972	
2.8838e-09	3.6842e-07	2.1112e-06	1.1527e-07	4.7131e-06	0.01	0.033998	
6.9523e-09	3.8309e-07	2.2526e-06	1.1789e-07	4.6509e-06	0.01	0.034024	
1.095e-08	4.0302e-07	2.2566e-06	1.2226e-07	4.6039e-06	0.01	0.034051	
1.4985e-08	4.2865e-07	2.2797e-06	1.2847e-07	4.5714e-06	0.01	0.034078	
1.7378e-08	4.5105e-07	2.2959e-06	1.335e-07	4.5315e-06	0.01	0.034105	
1.8137e-08	4.7024e-07	2.3051e-06	1.3735e-07	4.4842e-06	0.01	0.034131	
1.7275e-08	4.8631e-07	2.3076e-06	1.4004e-07	4.4297e-06	0.01	0.034158	
1.4729e-08	4.992e-07	2.2943e-06	1.4156e-07	4.3677e-06	0.01	0.034185	
1.5809e-08	5.0897e-07	2.1917e-06	1.417e-07	4.2983e-06	0.01	0.034211	
1.6871e-08	5.2434e-07	2.1136e-06	1.4363e-07	4.243e-06	0.01	0.034238	
1.6319e-08	5.3656e-07	2.0279e-06	1.4441e-07	4.1805e-06	0.01	0.034265	
1.4154e-08	5.4565e-07	1.9346e-06	1.4404e-07	4.1107e-06	0.01	0.034292	
1.1949e-08	5.6051e-07	1.8637e-06	1.4547e-07	4.0545e-06	0.01	0.034319	
2.146e-08	5.7218e-07	1.768e-06	1.457e-07	3.9911e-06	0.01	0.034346	
2.9213e-08	5.8071e-07	1.6647e-06	1.4479e-07	3.9206e-06	0.01	0.034373	
3.8071e-08	5.953e-07	1.5842e-06	1.457e-07	3.8634e-06	0.01	0.034401	
4.5086e-08	6.066e-07	1.4963e-06	1.4544e-07	3.799e-06	0.01	0.034428	
5.026e-08	6.1461e-07	1.4006e-06	1.44e-07	3.7273e-06	0.01	0.034455	
5.6944e-08	6.2951e-07	1.3276e-06	1.4457e-07	3.67e-06	0.01	0.034483	
6.034e-08	6.4039e-07	1.3241e-06	1.4373e-07	3.6039e-06	0.01	0.034511	
6.1598e-08	6.4713e-07	1.3127e-06	1.4145e-07	3.5287e-06	0.01	0.034538	
6.5775e-08	6.6367e-07	1.2186e-06	1.42e-07	3.4732e-06	0.01	0.034566	
7.4583e-08	7.0271e-07	1.167e-06	1.2495e-07	3.1433e-06	0.01	0.034594	
8.7631e-08	6.8253e-07	1.139e-06	1.1293e-07	2.9055e-06	0.01	0.034623	
9.7661e-08	6.5465e-07	1.1006e-06	9.8873e-08	3.0225e-06	0.01	0.034651	
1.1446e-07	6.2137e-07	1.0863e-06	8.2163e-08	3.1281e-06	0.01	0.034679	
1.2811e-07	5.8272e-07	1.0629e-06	6.3446e-08	3.2229e-06	0.01	0.034707	
1.4775e-07	5.5559e-07	1.0586e-06	4.8754e-08	3.3398e-06	0.01	0.034735	
1.6399e-07	5.2349e-07	1.0455e-06	3.2275e-08	3.4455e-06	0.01	0.034763	
1.7687e-07	4.8626e-07	1.0234e-06	3.4396e-08	3.5403e-06	0.01	0.034792	
1.8655e-07	4.4535e-07	9.9229e-07	3.53e-08	3.6239e-06	0.01	0.03482	
1.8118e-07	3.9913e-07	1.0047e-06	3.49e-08	3.6968e-06	0.01	0.034848	
1.7251e-07	3.4743e-07	1.0082e-06	5.4179e-08	3.7589e-06	0.01	0.034876	
1.6849e-07	3.0644e-07	1.0281e-06	7.8242e-08	3.8403e-06	0.01	0.034904	
1.6173e-07	2.609e-07	1.0402e-06	1.0016e-07	3.9118e-06	0.01	0.034932	
1.5223e-07	2.1077e-07	1.0447e-06	1.2004e-07	3.9736e-06	0.01	0.034961	
1.4001e-07	1.5602e-07	1.0418e-06	1.3802e-07	4.026e-06	0.01	0.034989	
1.4252e-07	1.6657e-07	9.8735e-07	1.5301e-07	4.0598e-06	0.01	0.035017	
1.4264e-07	1.7411e-07	9.2508e-07	1.6635e-07	4.0849e-06	0.01	0.035045	
1.4607e-07	1.8505e-07	8.7996e-07	1.8344e-07	4.1262e-06	0.01	0.035073	
1.4714e-07	1.9296e-07	8.2774e-07	1.9882e-07	4.1589e-06	0.01	0.035101	
1.4584e-07	1.9788e-07	7.6827e-07	2.1251e-07	4.183e-06	0.01	0.03513	
1.4784e-07	2.0631e-07	7.2441e-07	2.3028e-07	4.2235e-06	0.01	0.035158	
1.533e-07	2.1866e-07	6.9414e-07	2.5305e-07	4.2813e-06	0.01	0.035187	
1.5631e-07	2.2782e-07	6.5736e-07	2.7374e-07	4.33e-06	0.01	0.035215	
1.5688e-07	2.3382e-07	6.1398e-07	2.9243e-07	4.3696e-06	0.01	0.035244	
1.625e-07	2.2912e-07	5.8591e-07	3.0363e-07	4.9147e-06	0.01	0.035272	
1.6556e-07	2.2119e-07	5.514e-07	3.1298e-07	5.4421e-06	0.01	0.035301	
1.7278e-07	2.1742e-07	5.2885e-07	3.2694e-07	6.0318e-06	0.01	0.035329	
1.7728e-07	2.1039e-07	4.999e-07	3.3888e-07	6.6016e-06	0.01	0.035358	
1.7904e-07	2.0004e-07	4.643e-07	3.488e-07	7.1516e-06	0.01	0.035386	
1.7798e-07	1.8624e-07	4.2152e-07	3.5664e-07	7.6811e-06	0.01	0.035415	
1.7396e-07	1.6883e-07	3.7089e-07	3.6233e-07	8.1894e-06	0.01	0.035443	
1.5052e-07	1.5728e-07	3.5193e-07	3.7442e-07	8.2494e-06	0.01	0.035472	
1.2224e-07	1.4191e-07	3.2077e-07	3.8385e-07	8.2949e-06	0.01	0.035501	
1.294e-07	1.2255e-07	2.7702e-07	3.9053e-07	8.3253e-06	0.01	0.03553	
1.334e-07	9.9192e-08	2.2449e-07	3.9465e-07	8.3412e-06	0.01	0.035558	
1.3428e-07	7.1698e-08	1.6263e-07	3.9621e-07	8.3425e-06	0.01	0.035587	
1.3007e-07	8.2013e-08	1.3868e-07	3.9513e-07	8.3278e-06	0.01	0.035615	
1.2266e-07	8.9045e-08	1.0813e-07	3.9147e-07	8.2983e-06	0.01	0.035643	
1.202e-07	9.9606e-08	8.6277e-08	3.9391e-07	8.3037e-06	0.01	0.035672	
1.1463e-07	1.0674e-07	5.8342e-08	3.9375e-07	8.2941e-06	0.01	0.0357	
1.0025e-07	1.1042e-07	4.685e-08	4.3585e-07	8.269e-06	0.01	0.035729	
7.5843e-08	1.0631e-07	4.5453e-08	4.6608e-07	8.7164e-06	0.01	0.035757	
6.6514e-08	9.8571e-08	5.0579e-08	4.9081e-07	9.1345e-06	0.01	0.035786	
5.2159e-08	8.726e-08	6.9335e-08	5.1175e-07	9.527e-06	0.01	0.035815	
4.2212e-08	7.9664e-08	9.5064e-08	5.4298e-07	9.9927e-06	0.01	0.035844	
4.0546e-08	6.8414e-08	1.047e-07	5.6877e-07	1.0424e-05	0.01	0.035874	
3.6454e-08	5.374e-08	1.0899e-07	5.9084e-07	1.083e-05	0.01	0.035903	
3.4551e-08	4.2436e-08	1.1898e-07	6.2392e-07	1.1313e-05	0.01	0.035933	
3.029e-08	2.7898e-08	1.2346e-07	6.5282e-07	1.1769e-05	0.01	0.035963	
3.771e-08	3.4325e-08	1.1847e-07	6.7662e-07	1.2179e-05	0.01	0.035993	
4.8559e-08	2.6715e-08	1.1937e-07	6.668e-07	1.27e-05	0.01	0.036023	
6.6034e-08	1.6199e-08	1.2743e-07	6.5228e-07	1.3192e-05	0.01	0.036054	
8.014e-08	2.1792e-08	1.2993e-07	6.3423e-07	1.3654e-05	0.01	0.036084	
1.0058e-07	2.8489e-08	1.3871e-07	6.252e-07	1.4202e-05	0.01	0.036114	
1.0926e-07	3.2385e-08	1.6694e-07	6.1246e-07	1.4719e-05	0.01	0.036145	
1.1476e-07	3.3544e-08	1.8835e-07	5.9634e-07	1.5206e-05	0.01	0.036175	
1.2673e-07	3.1972e-08	2.2217e-07	5.7616e-07	1.5665e-05	0.01	0.036205	
1.3517e-07	2.8057e-08	2.482e-07	5.5219e-07	1.6094e-05	0.01	0.036235	
1.3105e-07	2.5763e-08	2.5556e-07	5.3899e-07	1.6062e-05	0.01	0.036266	
1.3207e-07	2.4331e-08	2.7323e-07	5.3372e-07	1.6082e-05	0.01	0.036297	
1.293e-07	4.7163e-08	2.8302e-07	5.2487e-07	1.6072e-05	0.01	0.036328	
1.2235e-07	6.6256e-08	3.3093e-07	5.1289e-07	1.6042e-05	0.01	0.036359	
1.0773e-07	9.0802e-08	3.6403e-07	5.0895e-07	1.6064e-05	0.01	0.03639	
8.9441e-08	1.1129e-07	3.8885e-07	5.0206e-07	1.6067e-05	0.01	0.036421	
7.8164e-08	1.3847e-07	3.8019e-07	5.0246e-07	1.6122e-05	0.01	0.036453	
6.1402e-08	1.6113e-07	4.0675e-07	4.9978e-07	1.6156e-05	0.01	0.036484	
4.1099e-08	1.7952e-07	4.2514e-07	4.9419e-07	1.617e-05	0.01	0.036516	
2.6375e-08	2.0535e-07	4.5894e-07	4.5019e-07	1.6237e-05	0.01	0.036548	
1.8756e-08	2.7746e-07	4.6126e-07	4.2977e-07	1.6052e-05	0.01	0.036579	
2.0626e-08	3.4186e-07	4.4778e-07	4.0551e-07	1.5845e-05	0.01	0.036611	
2.0185e-08	3.9899e-07	4.2515e-07	3.774e-07	1.5616e-05	0.01	0.036643	
2.0841e-08	4.7461e-07	4.1604e-07	3.5802e-07	1.5444e-05	0.01	0.036675	
1.9433e-08	5.4248e-07	3.9938e-07	3.3558e-07	1.5251e-05	0.01	0.036707	
1.9435e-08	6.0297e-07	3.963e-07	3.0941e-07	1.5038e-05	0.01	0.036738	
2.045e-08	6.8392e-07	4.0504e-07	2.9112e-07	1.488e-05	0.01	0.036771	
1.942e-08	7.5657e-07	4.0656e-07	2.6998e-07	1.4702e-05	0.01	0.036803	
1.9689e-08	8.0303e-07	4.2116e-07	2.6482e-07	1.4391e-05	0.01	0.036836	
2.0979e-08	8.681e-07	4.4921e-07	2.2752e-07	1.4141e-05	0.01	0.036869	
2.4737e-08	9.0123e-07	4.4161e-07	2.0398e-07	1.369e-05	0.01	0.036902	
2.6439e-08	9.2848e-07	4.2712e-07	1.7784e-07	1.3215e-05	0.01	0.036936	
2.9231e-08	9.6925e-07	4.2296e-07	1.5756e-07	1.2805e-05	0.01	0.03697	
3.0011e-08	1.0043e-06	4.1251e-07	1.3511e-07	1.2375e-05	0.01	0.037004	
2.8791e-08	1.0337e-06	3.9577e-07	1.1043e-07	1.1924e-05	0.01	0.037037	
2.8627e-08	1.0772e-06	3.8872e-07	9.0841e-08	1.1533e-05	0.01	0.037072	
2.6501e-08	1.1149e-06	3.7568e-07	6.9288e-08	1.1124e-05	0.01	0.037106	
2.5406e-08	1.1685e-06	3.7207e-07	5.2083e-08	1.0771e-05	0.01	0.03714	
2.5338e-08	1.2418e-06	3.781e-07	3.8416e-08	1.0472e-05	0.01	0.037175	
2.7313e-08	1.3066e-06	3.9788e-07	2.2234e-08	1.0152e-05	0.01	0.03721	
3.2843e-08	1.3362e-06	3.8686e-07	1.1986e-08	9.6267e-06	0.01	0.037245	
3.59e-08	1.3516e-06	3.6789e-07	1.1991e-08	9.7136e-06	0.01	0.03728	
3.6611e-08	1.3595e-06	3.4098e-07	1.0914e-08	9.7826e-06	0.01	0.037316	
3.4797e-08	1.3598e-06	3.0517e-07	1.7813e-08	9.834e-06	0.01	0.037352	
3.6082e-08	1.378e-06	2.8512e-07	1.7878e-08	9.9265e-06	0.01	0.037388	
3.9647e-08	1.37e-06	2.7644e-07	1.9631e-08	1.0629e-05	0.01	0.037424	
4.0835e-08	1.3549e-06	2.6089e-07	2.0222e-08	1.1297e-05	0.01	0.03746	
3.9727e-08	1.3328e-06	2.3862e-07	1.9687e-08	1.1934e-05	0.01	0.037496	
3.6327e-08	1.3038e-06	2.0948e-07	1.8025e-08	1.2541e-05	0.01	0.037531	
3.9136e-08	1.2676e-06	1.9927e-07	1.5105e-08	1.3119e-05	0.01	0.037567	
3.5776e-08	1.2239e-06	2.0911e-07	1.7962e-08	1.3665e-05	0.01	0.037602	
3.0307e-08	1.1737e-06	2.137e-07	1.9774e-08	1.4188e-05	0.01	0.037638	
2.6174e-08	1.1169e-06	2.2422e-07	2.2885e-08	1.4685e-05	0.01	0.037673	
2.2729e-08	1.0732e-06	2.3996e-07	2.655e-08	1.5242e-05	0.01	0.037709	
1.7556e-08	1.0252e-06	2.5137e-07	2.9255e-08	1.5783e-05	0.01	0.037745	
1.2764e-08	9.8791e-07	2.6779e-07	3.2502e-08	1.6382e-05	0.01	0.037781	
8.1317e-09	9.6015e-07	2.8975e-07	3.6379e-08	1.7044e-05	0.01	0.037817	
1.2029e-08	9.2865e-07	3.0165e-07	3.9267e-08	1.769e-05	0.01	0.037853	
1.5947e-08	9.0588e-07	3.1906e-07	4.2852e-08	1.8403e-05	0.01	0.03789	
2.0036e-08	8.9118e-07	3.4257e-07	4.7238e-08	1.9186e-05	0.01	0.037927	
2.4462e-08	8.8416e-07	3.7304e-07	5.2557e-08	2.0048e-05	0.01	0.037964	
2.7221e-08	8.7377e-07	3.9898e-07	5.687e-08	2.0892e-05	0.01	0.038001	
2.8311e-08	8.5995e-07	4.2041e-07	6.0177e-08	2.1719e-05	0.01	0.038038	
2.9851e-08	8.5388e-07	4.4959e-07	6.4743e-08	2.2631e-05	0.01	0.038075	
2.969e-08	8.4425e-07	4.7396e-07	6.8249e-08	2.3522e-05	0.01	0.038113	
2.9996e-08	8.4214e-07	5.0686e-07	7.2935e-08	2.4504e-05	0.01	0.038151	
3.6416e-08	8.366e-07	4.9955e-07	7.6385e-08	2.5466e-05	0.01	0.038188	
4.3927e-08	8.3845e-07	4.9958e-07	8.11e-08	2.6524e-05	0.01	0.038226	
4.9638e-08	8.3693e-07	4.9508e-07	8.4752e-08	2.7561e-05	0.01	0.038265	
5.6664e-08	8.4304e-07	4.9785e-07	8.9779e-08	2.7525e-05	0.01	0.038303	
6.1834e-08	8.4569e-07	4.9599e-07	9.3707e-08	2.7478e-05	0.01	0.038341	
6.5154e-08	8.4488e-07	4.895e-07	9.6537e-08	2.7419e-05	0.01	0.03838	
7.0542e-08	8.4057e-07	4.9137e-07	9.7905e-08	2.7348e-05	0.01	0.038418	
7.8282e-08	8.3284e-07	5.016e-07	9.7831e-08	2.7265e-05	0.01	0.038456	
8.4102e-08	8.2167e-07	5.0724e-07	9.6674e-08	2.7171e-05	0.01	0.038494	
8.8005e-08	8.0704e-07	5.0826e-07	9.4431e-08	2.7066e-05	0.01	0.038533	
9.3888e-08	8e-07	5.1692e-07	9.3589e-08	2.7002e-05	0.01	0.038571	
1.0208e-07	8.0049e-07	5.3376e-07	9.4163e-08	2.6979e-05	0.01	0.03861	
1.0811e-07	7.972e-07	5.4534e-07	9.3564e-08	2.6943e-05	0.01	0.038649	
1.1774e-07	7.8968e-07	5.6791e-07	9.1543e-08	2.6891e-05	0.01	0.038688	
1.2489e-07	7.7777e-07	5.8425e-07	8.8201e-08	2.6823e-05	0.01	0.038726	
1.3661e-07	7.7636e-07	6.1879e-07	8.698e-08	2.6812e-05	0.01	0.038766	
1.3322e-07	6.8895e-07	6.2244e-07	8.816e-08	2.6868e-05	0.01	0.038805	
1.3499e-07	6.212e-07	5.7425e-07	9.165e-08	2.6985e-05	0.01	0.038845	
1.3381e-07	5.4651e-07	5.1704e-07	9.3584e-08	2.708e-05	0.01	0.038885	
1.2968e-07	4.645e-07	4.5028e-07	9.3971e-08	2.7154e-05	0.01	0.038925	
1.2253e-07	3.747e-07	3.7322e-07	9.2797e-08	2.7206e-05	0.01	0.038965	
1.1027e-07	2.7665e-07	3.467e-07	9.0032e-08	2.7236e-05	0.01	0.039005	
9.4724e-08	2.8005e-07	3.1265e-07	8.5656e-08	2.7236e-05	0.01	0.039045	
8.4401e-08	2.3774e-07	2.9107e-07	8.3764e-08	2.7304e-05	0.01	0.039085	
7.8244e-08	2.0563e-07	2.7998e-07	8.4214e-08	2.7439e-05	0.01	0.039125	
6.9188e-08	1.686e-07	2.6108e-07	8.3086e-08	2.7549e-05	0.01	0.039166	
6.3873e-08	1.4047e-07	2.5223e-07	8.4356e-08	2.773e-05	0.01	0.039207	
5.5404e-08	1.0765e-07	2.3318e-07	8.4139e-08	2.7886e-05	0.01	0.039248	
5.0632e-08	6.9265e-08	2.2443e-07	8.8949e-08	2.8007e-05	0.01	0.039289	
4.871e-08	3.9261e-08	2.2469e-07	9.7083e-08	2.8202e-05	0.01	0.03933	
