Tyto_alba_alba	Tauraco_erythrolophus	Picoides_pubescens	Nestor_notabilis	Merops_nubicus	Melopsittacus_undulatus	Leptosomus_discolor	Cuculus_canorus	Corythaeola_cristata	Colius_striatus	Chaetura_pelagica	Calypte_anna	Buceros_rhinoceros	Athene_cunicularia	Apaloderma_vittatum	Antrostomus_carolinensis	
0.004803	8.0629e-05	0.00023002	5.3196e-05	0.001171	3.4784e-05	5.7007e-05	1.6386e-07	8.5067e-05	2.2718e-06	1.8478e-05	2.4577e-05	0.0001945	2.8085e-05	1.8332e-05	5.7246e-06	
0.0047969	7.8543e-05	0.00022804	5.2932e-05	0.0011552	3.3158e-05	5.4588e-05	1.2096e-07	8.2698e-05	2.2573e-06	1.7877e-05	2.4068e-05	0.00019307	2.7372e-05	1.6942e-05	5.4626e-06	
0.0047903	7.6411e-05	0.00022592	5.2656e-05	0.0011389	3.152e-05	5.2098e-05	7.5409e-08	8.0299e-05	2.2356e-06	1.7244e-05	2.3546e-05	0.00019151	2.6641e-05	1.5519e-05	5.1931e-06	
0.0047833	7.4237e-05	0.00022368	5.2371e-05	0.0011223	2.9871e-05	4.9544e-05	7.6596e-08	7.7875e-05	2.2074e-06	1.6583e-05	2.3012e-05	0.00018984	2.5895e-05	1.4065e-05	4.9168e-06	
0.0047781	7.2266e-05	0.00022199	5.2127e-05	0.0011075	2.8262e-05	4.7229e-05	7.9051e-08	7.5551e-05	2.2007e-06	1.6025e-05	2.2523e-05	0.00018861	2.5208e-05	1.2755e-05	4.6659e-06	
0.0047725	7.025e-05	0.00022018	5.1872e-05	0.0010922	2.664e-05	4.4846e-05	8.0273e-08	7.3198e-05	2.1869e-06	1.5436e-05	2.2022e-05	0.00018725	2.4504e-05	1.1413e-05	4.4078e-06	
0.0047664	6.8195e-05	0.00021825	5.1607e-05	0.0010766	2.5007e-05	4.2402e-05	8.0327e-08	7.0819e-05	2.1667e-06	1.482e-05	2.1509e-05	0.00018578	2.3785e-05	1.0043e-05	4.1431e-06	
0.0047621	6.6332e-05	0.00021683	5.1382e-05	0.0010628	2.3413e-05	4.0184e-05	8.1673e-08	6.8538e-05	2.1676e-06	1.43e-05	2.1041e-05	0.00018474	2.3123e-05	8.8071e-06	3.9025e-06	
0.0047597	6.4643e-05	0.00021585	5.1196e-05	0.0010504	2.1857e-05	3.8173e-05	8.4357e-08	6.6351e-05	2.1896e-06	1.3866e-05	2.0613e-05	0.00018409	2.2514e-05	7.6928e-06	3.6838e-06	
0.004759	6.3113e-05	0.00021529	5.1049e-05	0.0010395	2.0338e-05	3.6351e-05	8.8471e-08	6.4254e-05	2.234e-06	1.351e-05	2.0225e-05	0.00018383	2.1954e-05	6.6879e-06	3.4853e-06	
0.0047601	6.1726e-05	0.0002151	5.0937e-05	0.0010299	1.8854e-05	3.47e-05	9.4103e-08	6.2241e-05	2.3029e-06	1.3222e-05	1.9871e-05	0.00018395	2.144e-05	5.7795e-06	3.3048e-06	
0.0047607	6.0305e-05	0.00021481	5.0815e-05	0.0010199	1.7358e-05	3.2994e-05	9.8428e-08	6.0203e-05	2.3636e-06	1.2911e-05	1.9507e-05	0.00018395	2.0912e-05	4.8485e-06	3.1185e-06	
0.0047609	5.8852e-05	0.00021444	5.0683e-05	0.0010096	1.585e-05	3.1232e-05	1.0145e-07	5.8138e-05	2.4162e-06	1.2576e-05	1.9132e-05	0.00018384	2.0369e-05	3.8944e-06	2.9263e-06	
0.0047606	5.7369e-05	0.00021397	5.0541e-05	0.00099913	1.4332e-05	2.942e-05	1.0325e-07	5.605e-05	2.4617e-06	1.2218e-05	1.8747e-05	0.00018363	1.9814e-05	2.9198e-06	2.7287e-06	
0.0047621	5.6023e-05	0.00021388	5.0436e-05	0.00098983	1.2849e-05	2.7773e-05	1.0662e-07	5.4045e-05	2.5329e-06	1.1927e-05	1.8396e-05	0.0001838	1.9303e-05	2.0382e-06	2.5486e-06	
0.0047631	5.4646e-05	0.00021362	5.0276e-05	0.00098024	1.2801e-05	2.6072e-05	1.0867e-07	5.2014e-05	2.5957e-06	1.1613e-05	1.8035e-05	0.00018385	1.8778e-05	1.9549e-06	2.3628e-06	
0.0047659	5.3397e-05	0.00021372	5.0152e-05	0.00097179	1.2757e-05	2.4525e-05	1.1235e-07	5.0064e-05	2.6871e-06	1.1361e-05	1.7707e-05	0.00018427	1.8295e-05	1.8814e-06	2.1932e-06	
0.0047705	5.2266e-05	0.00020958	5.0063e-05	0.00096439	1.2718e-05	2.3118e-05	1.1778e-07	4.8191e-05	2.8127e-06	1.1166e-05	1.741e-05	0.00018508	1.7852e-05	1.8171e-06	2.0386e-06	
0.0047768	5.1242e-05	0.00020625	5.001e-05	0.00095796	1.2682e-05	2.1841e-05	1.2515e-07	4.6393e-05	2.7533e-06	1.1025e-05	1.7142e-05	0.00018629	1.7446e-05	1.7612e-06	1.8976e-06	
0.0047849	5.0318e-05	0.0002036	4.999e-05	0.00095242	1.2651e-05	2.0683e-05	1.3468e-07	4.4666e-05	2.7195e-06	1.0934e-05	1.6903e-05	0.00018792	1.7075e-05	1.7132e-06	1.7691e-06	
0.0047926	4.9372e-05	0.00020081	4.9962e-05	0.00094668	1.2614e-05	1.9484e-05	1.4285e-07	4.2917e-05	2.6785e-06	1.0825e-05	1.6655e-05	0.00018944	1.6693e-05	1.6616e-06	1.6364e-06	
0.0048022	4.8521e-05	0.00019863	4.9968e-05	0.00094182	1.2581e-05	1.8399e-05	1.5348e-07	4.124e-05	2.662e-06	1.0766e-05	1.6434e-05	0.00019141	1.6346e-05	1.6177e-06	1.5155e-06	
0.0048137	4.7754e-05	0.00019696	5.0009e-05	0.00093774	1.2553e-05	1.7415e-05	1.6688e-07	3.9628e-05	2.6684e-06	1.0755e-05	1.6239e-05	0.00019386	1.6029e-05	1.5807e-06	1.4052e-06	
0.0048247	4.6967e-05	0.00019518	5.004e-05	0.00093347	1.2518e-05	1.6391e-05	1.7867e-07	3.7995e-05	2.6672e-06	1.0724e-05	1.6034e-05	0.00019617	1.5702e-05	1.54e-06	1.2907e-06	
0.0048352	4.6158e-05	0.00019326	5.0061e-05	0.00092899	1.2477e-05	1.5325e-05	1.8886e-07	3.6338e-05	2.6583e-06	1.0673e-05	1.5821e-05	0.00019834	1.5363e-05	1.4955e-06	1.1718e-06	
0.0048451	4.5327e-05	0.00019121	5.0071e-05	0.0009243	1.243e-05	1.4216e-05	1.9743e-07	3.4657e-05	2.6414e-06	1.0602e-05	1.5598e-05	0.00020036	1.5013e-05	1.4471e-06	1.0484e-06	
0.0048572	4.4587e-05	0.00018778	5.012e-05	0.00089571	1.2388e-05	1.3222e-05	1.7512e-07	3.305e-05	2.6504e-06	9.557e-06	1.5406e-05	0.00019713	1.4697e-05	1.3545e-06	9.366e-07	
0.0048688	4.3827e-05	0.00018415	5.0159e-05	0.00086644	1.234e-05	1.2189e-05	1.5091e-07	3.142e-05	2.6517e-06	8.4703e-06	1.5204e-05	0.00019374	1.4369e-05	1.2574e-06	8.206e-07	
0.0048824	4.3147e-05	0.00018127	5.0234e-05	0.00084022	1.2296e-05	1.1251e-05	1.3096e-07	2.9857e-05	2.6773e-06	7.5304e-06	1.5028e-05	0.00019093	1.4073e-05	1.1707e-06	7.1463e-07	
0.0048955	4.2446e-05	0.00017822	5.0298e-05	0.00081328	1.2246e-05	1.0272e-05	1.0909e-07	2.827e-05	2.6945e-06	6.5483e-06	1.4842e-05	0.00018796	1.3765e-05	1.0793e-06	6.0569e-07	
0.0049107	4.182e-05	0.00017582	5.0398e-05	0.00078915	1.22e-05	9.3821e-06	9.0917e-08	2.6747e-05	2.737e-06	5.6977e-06	1.4681e-05	0.00018553	1.3487e-05	9.9759e-07	5.0589e-07	
0.0049281	4.1264e-05	0.00017398	5.0537e-05	0.00076757	1.2159e-05	8.5735e-06	7.581e-08	2.5285e-05	2.808e-06	4.9613e-06	1.4543e-05	0.00018359	1.3237e-05	9.2461e-07	4.1436e-07	
0.0049449	4.069e-05	0.00017201	5.0664e-05	0.00074543	1.2111e-05	7.729e-06	5.9133e-08	2.3802e-05	2.8697e-06	4.1918e-06	1.4397e-05	0.00018152	1.2976e-05	8.4756e-07	4.3442e-07	
0.0049641	4.0186e-05	0.00017056	5.0833e-05	0.00072576	1.2069e-05	6.9648e-06	4.5269e-08	2.2383e-05	2.9659e-06	3.5304e-06	1.4275e-05	0.00017994	1.2745e-05	7.7913e-07	4.5728e-07	
0.0049826	3.9659e-05	0.00016896	5.0987e-05	0.0007054	1.2019e-05	6.1589e-06	2.9671e-08	2.0937e-05	3.0487e-06	2.8308e-06	1.4142e-05	0.00017819	1.25e-05	7.0598e-07	4.7718e-07	
0.005	3.9106e-05	0.00016705	5.1125e-05	0.00068416	1.1963e-05	5.3047e-06	1.2058e-08	1.946e-05	3.1164e-06	2.031e-06	1.4704e-05	0.00017624	1.2241e-05	7.4712e-07	4.9377e-07	
0.0050163	3.8404e-05	0.00016487	5.1241e-05	0.00066179	1.1898e-05	4.3927e-06	1.0841e-08	1.9427e-05	3.1673e-06	1.9838e-06	1.5222e-05	0.00017403	1.1963e-05	7.8321e-07	5.0647e-07	
0.0050314	3.7664e-05	0.00016241	5.1338e-05	0.00063822	1.1824e-05	3.4208e-06	8.6755e-09	1.9376e-05	3.2021e-06	1.9168e-06	1.5716e-05	0.00017156	1.1668e-05	8.1436e-07	5.1568e-07	
0.0052056	3.6887e-05	0.00015968	5.1417e-05	0.00061341	1.1744e-05	3.4787e-06	1.5295e-08	1.9307e-05	3.2232e-06	1.8917e-06	1.6325e-05	0.00016885	1.1354e-05	8.4107e-07	5.1876e-07	
0.0053762	3.6082e-05	0.00015675	5.1483e-05	0.00058776	1.1656e-05	3.512e-06	2.0711e-08	1.9225e-05	3.2338e-06	1.8522e-06	1.6916e-05	0.00016595	1.1026e-05	8.641e-07	5.1907e-07	
0.005544	3.5256e-05	0.00015363	5.1538e-05	0.00056141	1.1562e-05	3.5224e-06	2.5013e-08	1.913e-05	3.2356e-06	1.7994e-06	1.7492e-05	0.00016289	1.0688e-05	8.8384e-07	5.1682e-07	
0.0057092	3.4407e-05	0.00015034	5.1583e-05	0.0005344	1.1462e-05	3.5105e-06	2.8233e-08	1.9023e-05	3.229e-06	1.7337e-06	1.8054e-05	0.00015967	1.0338e-05	9.0038e-07	5.1208e-07	
0.0058718	3.3536e-05	0.00014688	5.1617e-05	0.00050671	1.1356e-05	3.4766e-06	3.0381e-08	1.8904e-05	3.2142e-06	1.6553e-06	1.8602e-05	0.0001563	9.9768e-06	9.1379e-07	5.0486e-07	
0.0060319	3.2644e-05	0.00014323	5.1641e-05	0.00047834	1.1244e-05	3.4205e-06	3.1465e-08	1.8772e-05	3.1912e-06	1.564e-06	1.9137e-05	0.00015278	9.605e-06	9.2407e-07	4.9517e-07	
0.0062037	3.1838e-05	0.00014031	5.1701e-05	0.00045287	1.1136e-05	3.3797e-06	3.309e-08	1.8656e-05	2.8792e-06	1.4899e-06	1.972e-05	0.00014981	9.2628e-06	9.3868e-07	4.8766e-07	
0.0063876	3.1109e-05	0.00013796	5.1797e-05	0.00042994	1.1032e-05	3.3531e-06	3.528e-08	1.8554e-05	2.6366e-06	1.4308e-06	2.0353e-05	0.00014732	8.9476e-06	9.5765e-07	4.8216e-07	
0.0065688	3.0362e-05	0.00013549	5.1882e-05	0.00040644	1.0922e-05	3.3046e-06	3.6386e-08	1.844e-05	2.3773e-06	1.3596e-06	2.0972e-05	0.00014471	8.6222e-06	9.7344e-07	4.7423e-07	
0.0067475	2.9597e-05	0.00013289	5.1958e-05	0.00038245	1.0806e-05	3.235e-06	3.6449e-08	1.8314e-05	2.1028e-06	1.2768e-06	2.1577e-05	0.00014197	8.2875e-06	9.8624e-07	4.6396e-07	
0.0069393	2.8908e-05	0.00013084	5.2071e-05	0.0003609	1.0694e-05	3.1801e-06	3.7131e-08	1.8203e-05	1.8902e-06	1.2087e-06	2.2237e-05	0.00013974	7.9794e-06	1.0036e-06	4.5576e-07	
0.0071446	2.8286e-05	0.00012924	5.222e-05	0.00034151	1.0587e-05	3.1388e-06	3.8424e-08	1.8107e-05	1.7257e-06	1.1537e-06	2.2952e-05	0.00013792	7.6956e-06	1.0257e-06	4.4949e-07	
0.0073472	2.7649e-05	0.00012755	5.2359e-05	0.00032169	1.0473e-05	3.0765e-06	3.8664e-08	1.7999e-05	1.5502e-06	1.0875e-06	2.3654e-05	0.000136	7.403e-06	1.0447e-06	4.4118e-07	
0.0075467	2.6995e-05	0.00012574	5.2489e-05	0.00030138	1.0353e-05	2.9923e-06	3.7971e-08	1.7879e-05	1.3618e-06	1.1614e-06	2.3899e-05	0.00013396	7.1005e-06	1.0604e-06	4.3029e-07	
0.0077603	2.6404e-05	0.00012435	5.2655e-05	0.00028309	1.0237e-05	2.9213e-06	3.7894e-08	1.7773e-05	1.2154e-06	1.2492e-06	2.4177e-05	0.00013231	6.8214e-06	1.0809e-06	4.2129e-07	
0.0079707	2.5798e-05	0.00012286	5.281e-05	0.00026435	1.0115e-05	2.8287e-06	3.6728e-08	1.7654e-05	1.0579e-06	1.3248e-06	2.4444e-05	0.00013055	6.5328e-06	1.0981e-06	4.0987e-07	
0.0081964	2.5253e-05	0.00012176	5.3004e-05	0.00024752	9.9971e-06	2.7493e-06	3.619e-08	1.7551e-05	9.3634e-07	1.416e-06	2.4744e-05	0.00012917	6.267e-06	1.1203e-06	4.0034e-07	
0.0084379	2.4762e-05	0.00012098	5.3237e-05	0.00023236	9.8826e-06	2.6819e-06	3.6232e-08	1.746e-05	8.4252e-07	1.5242e-06	2.508e-05	0.00012813	6.0219e-06	1.1477e-06	3.9254e-07	
0.0086759	2.4258e-05	0.00012012	5.3459e-05	0.00021683	9.7622e-06	2.5932e-06	3.5192e-08	1.7358e-05	7.4057e-07	1.6195e-06	2.5404e-05	0.00012699	5.7679e-06	1.1717e-06	3.8236e-07	
0.0089306	2.3805e-05	0.00011957	5.3721e-05	0.00020284	9.6454e-06	2.5158e-06	3.472e-08	1.727e-05	6.6196e-07	1.7332e-06	2.5764e-05	0.00012618	5.5336e-06	1.2011e-06	3.7385e-07	
0.0092037	2.3401e-05	0.00011931	5.4026e-05	0.00019028	9.5322e-06	2.4499e-06	3.4828e-08	1.7195e-05	6.0253e-07	1.8682e-06	2.6164e-05	0.0001257	5.3182e-06	1.2362e-06	3.6701e-07	
0.009496	2.3042e-05	0.00011534	5.4375e-05	0.00017898	9.4225e-06	2.3943e-06	3.5493e-08	1.7134e-05	5.5829e-07	2.0265e-06	2.6604e-05	0.00012552	5.12e-06	1.2776e-06	3.6172e-07	
0.0098095	2.2724e-05	0.00011214	5.477e-05	0.00016884	9.3163e-06	2.349e-06	3.6766e-08	1.7086e-05	5.2696e-07	1.8792e-06	2.709e-05	0.00012566	4.9385e-06	1.3256e-06	3.58e-07	
0.010145	2.2446e-05	0.00010956	5.4322e-05	0.00015974	9.2143e-06	2.3137e-06	3.8692e-08	1.7051e-05	5.0662e-07	1.7549e-06	2.7622e-05	0.00012611	4.7726e-06	1.3808e-06	3.5583e-07	
0.010505	2.2203e-05	0.00010752	5.3922e-05	0.00015157	9.1155e-06	2.2875e-06	4.1302e-08	1.703e-05	4.9577e-07	1.6506e-06	2.8204e-05	0.00012688	4.6209e-06	1.3107e-06	3.551e-07	
0.01086	2.1951e-05	0.00010538	5.3511e-05	0.0001432	9.011e-06	2.2413e-06	4.2845e-08	1.6998e-05	4.8077e-07	1.5338e-06	2.8773e-05	0.00012756	4.4623e-06	1.2369e-06	3.5215e-07	
0.01124	2.1733e-05	0.00010368	5.3146e-05	0.00013567	8.9097e-06	2.2039e-06	4.5127e-08	1.6978e-05	4.7464e-07	1.4353e-06	2.9395e-05	0.00012857	4.3173e-06	1.1712e-06	3.5064e-07	
0.011647	2.1547e-05	0.00010237	5.2826e-05	0.00012891	8.8115e-06	2.1751e-06	4.8221e-08	1.6972e-05	4.7703e-07	1.3531e-06	3.0072e-05	0.00012992	4.1851e-06	1.1127e-06	3.5055e-07	
0.012083	2.1393e-05	0.0001014	5.2548e-05	0.00012286	8.7165e-06	2.1551e-06	5.2267e-08	1.6979e-05	4.8832e-07	1.2861e-06	3.081e-05	0.00013165	4.0654e-06	1.0611e-06	3.5196e-07	
0.01255	2.1267e-05	0.00010073	5.2311e-05	0.00011743	8.6245e-06	2.1432e-06	5.7362e-08	1.6998e-05	5.0893e-07	1.2326e-06	3.1612e-05	0.00013377	3.9572e-06	1.0157e-06	3.548e-07	
0.013009	2.1133e-05	9.998e-05	5.2063e-05	0.00011184	8.5266e-06	2.1107e-06	6.1257e-08	1.7006e-05	5.2493e-07	1.1672e-06	3.2396e-05	0.00013578	3.842e-06	9.6684e-07	3.5532e-07	
0.013463	2.099e-05	9.9165e-05	5.1805e-05	0.00010611	8.4231e-06	2.0584e-06	6.4012e-08	1.7003e-05	5.3671e-07	1.0905e-06	3.3165e-05	0.00013768	3.7202e-06	9.1462e-07	3.5361e-07	
0.01395	2.0877e-05	9.8638e-05	5.1588e-05	0.00010098	8.3226e-06	2.0146e-06	6.7941e-08	1.7014e-05	5.5868e-07	1.0271e-06	3.4003e-05	0.00014001	3.6099e-06	8.6848e-07	3.5343e-07	
0.014472	2.0792e-05	9.8379e-05	5.141e-05	9.6403e-05	8.2254e-06	1.9793e-06	7.3199e-08	1.7038e-05	5.923e-07	9.7576e-07	3.4915e-05	0.00014282	3.5107e-06	8.28e-07	3.548e-07	
0.015033	2.0736e-05	9.8387e-05	5.1272e-05	9.234e-05	8.1314e-06	1.953e-06	8.004e-08	1.7076e-05	6.4012e-07	9.3615e-07	3.591e-05	0.00014619	3.4225e-06	7.9296e-07	3.5785e-07	
0.015642	2.0711e-05	9.869e-05	5.1176e-05	8.8787e-05	8.0416e-06	1.938e-06	8.8982e-08	1.7132e-05	7.0726e-07	9.0926e-07	3.7006e-05	0.00015023	3.3461e-06	7.6364e-07	3.6298e-07	
0.016316	2.0728e-05	9.9404e-05	5.1136e-05	8.5827e-05	7.9582e-06	1.9422e-06	8.2672e-08	1.7214e-05	8.0774e-07	8.637e-07	3.8031e-05	0.0001553	3.2856e-06	7.4174e-07	3.6055e-07	
0.016556	2.0789e-05	0.00010063	5.1049e-05	8.3425e-05	7.851e-06	1.9687e-06	7.9249e-08	1.7323e-05	8.1902e-07	8.4281e-07	3.8212e-05	0.00015587	3.2733e-06	7.2737e-07	3.6174e-07	
0.016786	2.0831e-05	0.00010165	5.0936e-05	8.08e-05	7.735e-06	1.966e-06	7.3763e-08	1.7412e-05	8.2047e-07	8.0478e-07	3.8367e-05	0.00015619	3.2502e-06	7.078e-07	3.5935e-07	
0.017043	2.0458e-05	0.00010105	5.0035e-05	7.8661e-05	7.6277e-06	1.984e-06	7.0817e-08	1.7532e-05	7.4177e-07	7.8462e-07	3.8581e-05	0.00015269	3.2418e-06	6.9548e-07	3.6035e-07	
0.017322	2.0133e-05	0.00010077	4.9222e-05	7.6835e-05	7.5243e-06	2.0136e-06	6.9379e-08	1.7669e-05	6.8522e-07	7.7495e-07	3.884e-05	0.00014981	3.2432e-06	6.8753e-07	3.634e-07	
0.017622	1.9848e-05	0.00010075	4.8483e-05	7.5263e-05	7.4239e-06	2.0521e-06	6.915e-08	1.7822e-05	6.4464e-07	7.7358e-07	3.9139e-05	0.00014744	3.2529e-06	6.8316e-07	3.6815e-07	
0.017944	1.9598e-05	0.00010098	4.7809e-05	7.3915e-05	7.3262e-06	2.0989e-06	7.0054e-08	1.799e-05	6.1699e-07	7.7993e-07	3.9481e-05	0.00014551	3.2705e-06	6.8214e-07	3.745e-07	
0.018261	1.9338e-05	0.00010115	4.7119e-05	7.2493e-05	7.2226e-06	2.125e-06	6.975e-08	1.8146e-05	5.8418e-07	7.7559e-07	3.9809e-05	0.00014345	3.2819e-06	6.7819e-07	3.7849e-07	
0.018574	1.9069e-05	0.00010126	4.6414e-05	7.1003e-05	7.1135e-06	2.1312e-06	6.83e-08	1.829e-05	5.4657e-07	7.6105e-07	4.0127e-05	0.00014128	3.2874e-06	6.7145e-07	3.8022e-07	
0.018882	1.8791e-05	0.00010131	4.5695e-05	6.9446e-05	6.9987e-06	2.1175e-06	6.5703e-08	1.8422e-05	5.0409e-07	7.3632e-07	4.0434e-05	0.000139	3.287e-06	6.6194e-07	3.7971e-07	
0.019214	1.8547e-05	9.841e-05	4.504e-05	6.8108e-05	6.8867e-06	2.1123e-06	6.4237e-08	1.857e-05	4.7386e-07	7.1929e-07	4.0783e-05	0.00013715	3.2946e-06	6.5581e-07	3.8082e-07	
0.01954	1.8294e-05	9.5364e-05	4.437e-05	6.6698e-05	6.7688e-06	2.0866e-06	6.158e-08	1.8706e-05	4.387e-07	6.9169e-07	4.1119e-05	0.00014329	3.296e-06	6.4677e-07	3.7959e-07	
0.019861	1.803e-05	9.2161e-05	4.3683e-05	6.5215e-05	6.6452e-06	2.0402e-06	5.7727e-08	1.8829e-05	3.9851e-07	6.535e-07	4.1443e-05	0.00014921	3.2912e-06	6.3481e-07	3.7601e-07	
0.020206	1.78e-05	8.9576e-05	4.3058e-05	6.3942e-05	6.5241e-06	2.0022e-06	5.4952e-08	1.8968e-05	3.6934e-07	6.2267e-07	4.1811e-05	0.00015605	3.2943e-06	6.2613e-07	3.7404e-07	
0.020546	1.7562e-05	8.6871e-05	4.2419e-05	6.2605e-05	6.3975e-06	1.9444e-06	5.1055e-08	1.9095e-05	3.3587e-07	5.818e-07	4.2167e-05	0.00016268	3.2916e-06	6.147e-07	3.6984e-07	
0.020882	1.7314e-05	8.4044e-05	4.1767e-05	6.1205e-05	6.2653e-06	1.8667e-06	4.6033e-08	1.921e-05	2.9803e-07	5.3087e-07	4.2512e-05	0.0001691	3.2831e-06	6.0053e-07	3.6338e-07	
0.021213	1.7059e-05	8.1089e-05	4.1102e-05	5.974e-05	6.1275e-06	1.7693e-06	3.9879e-08	1.9315e-05	2.5574e-07	4.6984e-07	4.2845e-05	0.00017532	3.2686e-06	5.8361e-07	3.5468e-07	
0.021569	1.6835e-05	7.8705e-05	4.0496e-05	5.8478e-05	5.9923e-06	1.6798e-06	3.4736e-08	1.9434e-05	2.2353e-07	4.1577e-07	4.3223e-05	0.00018252	3.2622e-06	5.6991e-07	3.4758e-07	
