Rhinolophus_ferrumequinum	Pteropus_vampyrus	Pteropus_alecto	Pipistrellus_kuhlii	Phyllostomus_discolor	Myotis_myotis	Myotis_lucifugus	Myotis_brandtii	Miniopterus_natalensis	Hipposideros_armiger	Eptesicus_fuscus	Desmodus_rotundus	Artibeus_jamaicensis	
5.0737e-05	0.075687	0.0046497	5.1123e-06	2.7109e-06	0.0039766	0.01	0.00098289	3.5389e-05	1.1402e-05	0.0001867	4.0199e-06	3.7001e-05	
4.9968e-05	0.075668	0.0046494	5.1133e-06	2.5706e-06	0.0039823	0.01	0.00097985	3.5678e-05	1.1374e-05	0.00018392	3.8701e-06	3.6509e-05	
4.9175e-05	0.075649	0.0046491	5.1093e-06	2.4238e-06	0.0039878	0.01	0.0009768	3.594e-05	1.1337e-05	0.0001811	3.7087e-06	3.6005e-05	
4.8357e-05	0.075629	0.0046487	5.0041e-06	2.2705e-06	0.0039933	0.01	0.00097373	3.6175e-05	1.129e-05	0.00017926	3.5354e-06	3.549e-05	
4.7512e-05	0.075609	0.0046482	4.8915e-06	2.1104e-06	0.0039986	0.01	0.00097065	3.6382e-05	1.1234e-05	0.00017738	3.3499e-06	3.4961e-05	
4.6723e-05	0.07559	0.0046479	4.7938e-06	1.9553e-06	0.0040042	0.01	0.00096759	3.6643e-05	1.1192e-05	0.00017557	3.1748e-06	3.4458e-05	
4.5908e-05	0.075572	0.0046477	4.6893e-06	1.7936e-06	0.0040097	0.01	0.00096452	3.6875e-05	1.114e-05	0.00017374	3.4087e-06	3.3942e-05	
4.5148e-05	0.075556	0.0046477	4.5988e-06	1.6366e-06	0.0040155	0.01	0.00096147	3.7162e-05	1.1103e-05	0.00017198	3.376e-06	3.3451e-05	
4.4362e-05	0.075539	0.0046476	4.5019e-06	1.4732e-06	0.0040212	0.01	0.0009584	3.7421e-05	1.1056e-05	0.00017018	3.333e-06	3.2948e-05	
4.3551e-05	0.075524	0.0046477	4.398e-06	1.3032e-06	0.0040267	0.01	0.00095532	3.7652e-05	1.1e-05	0.00016836	3.2794e-06	3.2433e-05	
4.2713e-05	0.075508	0.0046477	4.287e-06	1.3523e-06	0.0040321	0.01	0.00095223	3.7855e-05	1.0934e-05	0.00016649	3.215e-06	3.1902e-05	
4.1849e-05	0.075492	0.0046477	4.1688e-06	1.3961e-06	0.0040374	0.01	0.00094911	3.8031e-05	1.0859e-05	0.00016459	3.14e-06	3.1358e-05	
4.104e-05	0.075476	0.0046478	4.0651e-06	1.4411e-06	0.004043	0.01	0.00094603	3.8258e-05	1.0797e-05	0.00016277	3.0713e-06	3.084e-05	
4.0283e-05	0.075463	0.004648	3.693e-06	1.4871e-06	0.0040489	0.01	0.00094297	3.8539e-05	1.075e-05	0.00016103	3.0088e-06	3.0345e-05	
3.9503e-05	0.075449	0.0046482	3.3043e-06	1.528e-06	0.0040547	0.01	0.00093989	3.8794e-05	1.0693e-05	0.00015926	2.936e-06	2.9839e-05	
3.8773e-05	0.075436	0.0046485	2.0426e-06	1.5701e-06	0.0040607	0.01	0.00093684	3.9102e-05	1.0649e-05	0.00015757	2.8692e-06	2.9357e-05	
3.802e-05	0.075422	0.0046487	1.8624e-06	1.6069e-06	0.0040667	0.01	0.00093377	3.9384e-05	1.0597e-05	0.00015583	2.7923e-06	2.8863e-05	
3.7315e-05	0.07541	0.0046491	1.7002e-06	1.6449e-06	0.0040729	0.01	0.00093073	3.9718e-05	1.0558e-05	0.00015416	2.7208e-06	2.8391e-05	
3.6653e-05	0.075399	0.0046496	1.554e-06	1.6839e-06	0.0040795	0.01	0.00092771	4.0108e-05	1.0531e-05	0.00015256	2.6543e-06	2.7941e-05	
3.6034e-05	0.075389	0.0046503	1.4221e-06	1.724e-06	0.0040863	0.01	0.00092471	4.0553e-05	1.0516e-05	0.00015102	2.5926e-06	2.751e-05	
3.5455e-05	0.075381	0.0046511	1.303e-06	1.7653e-06	0.0040935	0.01	0.00092174	4.1058e-05	1.0513e-05	0.00014954	2.5353e-06	2.7099e-05	
3.4913e-05	0.075374	0.004652	1.1955e-06	1.8077e-06	0.0041009	0.01	0.00091879	4.1624e-05	1.0522e-05	0.00014812	2.4823e-06	2.6707e-05	
3.4353e-05	0.075366	0.0046529	1.0825e-06	1.8449e-06	0.0041083	0.01	0.00091582	4.216e-05	1.0523e-05	0.00014667	2.4197e-06	2.6305e-05	
3.3774e-05	0.075358	0.0046537	9.638e-07	1.877e-06	0.0041155	0.01	0.00091284	4.2667e-05	1.0515e-05	0.00014519	2.3476e-06	2.5894e-05	
3.3233e-05	0.075351	0.0046547	8.565e-07	1.9103e-06	0.004123	0.01	0.00090989	4.3236e-05	1.052e-05	0.00014377	2.2798e-06	2.5501e-05	
3.2617e-05	0.075345	0.0046557	7.5953e-07	1.9449e-06	0.0041308	0.01	0.00090695	4.3873e-05	1.0497e-05	0.00014241	2.2161e-06	2.5126e-05	
3.2041e-05	0.07534	0.004657	6.7185e-07	1.9551e-06	0.004139	0.01	0.00090404	4.4581e-05	1.0487e-05	0.0001411	2.184e-06	2.4654e-05	
3.1502e-05	0.075337	0.0046583	6.6906e-07	1.9665e-06	0.004147	0.01	0.00090112	4.5371e-05	1.0489e-05	0.00013941	2.1552e-06	2.4203e-05	
3.0998e-05	0.075335	0.0046598	6.6891e-07	1.979e-06	0.0041553	0.01	0.00089822	4.6237e-05	1.0503e-05	0.00013779	2.1295e-06	2.3771e-05	
3.0477e-05	0.075332	0.0046612	6.6652e-07	1.9864e-06	0.0041636	0.01	0.0008953	4.707e-05	1.0509e-05	0.00013613	2.0948e-06	2.3329e-05	
2.9988e-05	0.075331	0.0046628	6.6663e-07	1.9947e-06	0.0041721	0.01	0.0008924	4.798e-05	1.0526e-05	0.00013454	2.0628e-06	2.2905e-05	
2.953e-05	0.07533	0.0046645	6.6921e-07	2.004e-06	0.0041809	0.01	0.00088953	4.7814e-05	1.0554e-05	0.000133	2.0332e-06	2.2499e-05	
2.9101e-05	0.075331	0.0046663	6.742e-07	2.0141e-06	0.00419	0.01	0.00088667	4.7694e-05	1.0593e-05	0.00013151	2.0059e-06	2.2109e-05	
2.8699e-05	0.075333	0.0046682	6.816e-07	2.0249e-06	0.0041995	0.01	0.00088384	4.7619e-05	1.0643e-05	0.00013007	1.9807e-06	2.1734e-05	
2.8322e-05	0.075336	0.0046703	6.9144e-07	2.0366e-06	0.0042092	0.01	0.00088102	4.7587e-05	1.0704e-05	0.00012869	1.9573e-06	2.1375e-05	
2.7971e-05	0.07534	0.0046724	6.992e-07	2.0489e-06	0.0042188	0.01	0.0008782	4.7603e-05	1.0775e-05	0.00012728	1.9358e-06	2.1029e-05	
2.7607e-05	0.075345	0.0046747	7.0488e-07	2.0564e-06	0.0042284	0.01	0.00087536	4.7598e-05	1.084e-05	0.00012585	1.906e-06	2.0676e-05	
2.7265e-05	0.075351	0.0046771	7.1283e-07	2.0645e-06	0.0042382	0.01	0.00087253	4.7634e-05	1.0914e-05	0.00012447	1.8777e-06	2.0337e-05	
2.6945e-05	0.075358	0.0046797	7.2303e-07	2.073e-06	0.0042483	0.01	0.00086973	4.771e-05	1.0999e-05	0.00012313	1.8505e-06	2.001e-05	
2.6646e-05	0.075366	0.0046823	7.3548e-07	2.082e-06	0.0042587	0.01	0.00086694	4.7827e-05	1.1094e-05	0.00012183	1.8243e-06	1.9694e-05	
2.6365e-05	0.075375	0.004685	7.5027e-07	2.0912e-06	0.0042694	0.01	0.00086417	4.7984e-05	1.12e-05	0.00012057	1.7991e-06	1.9391e-05	
2.6104e-05	0.075385	0.0046879	7.6747e-07	2.1009e-06	0.0042803	0.01	0.00086141	4.8182e-05	1.1316e-05	0.00011936	1.7747e-06	1.9098e-05	
2.5832e-05	0.075394	0.0046907	7.8268e-07	2.1059e-06	0.0042912	0.01	0.00085865	4.8362e-05	1.1425e-05	0.00011812	1.7425e-06	1.8799e-05	
2.5551e-05	0.075404	0.0046935	7.959e-07	2.1064e-06	0.004302	0.01	0.00085587	4.8523e-05	1.1527e-05	0.00011687	1.7025e-06	1.8494e-05	
2.5288e-05	0.075414	0.0046964	8.116e-07	2.1072e-06	0.004313	0.01	0.00085311	4.8725e-05	1.164e-05	0.00011566	1.6633e-06	1.82e-05	
2.5016e-05	0.075424	0.0046992	8.2534e-07	2.1034e-06	0.004324	0.01	0.00085034	4.891e-05	1.1746e-05	0.00011444	2.0678e-06	1.79e-05	
2.4735e-05	0.075434	0.004702	8.3715e-07	2.0952e-06	0.0043349	0.01	0.00084756	4.9076e-05	1.1845e-05	0.0001132	2.4613e-06	1.7595e-05	
2.4444e-05	0.075444	0.0047048	8.4708e-07	2.0824e-06	0.0043457	0.01	0.00084477	4.9226e-05	1.1938e-05	0.00011195	2.844e-06	1.7284e-05	
2.4144e-05	0.075453	0.0047075	8.5509e-07	2.0652e-06	0.0043565	0.01	0.00084196	4.9358e-05	1.2026e-05	0.00011068	3.2157e-06	1.6968e-05	
2.3861e-05	0.075463	0.0047104	8.6537e-07	2.0481e-06	0.0043675	0.01	0.00083918	4.9528e-05	1.2125e-05	0.00010945	3.5998e-06	1.6661e-05	
2.3596e-05	0.075475	0.0047133	8.7798e-07	2.0312e-06	0.0043788	0.01	0.0008364	4.9738e-05	1.2233e-05	0.00010825	3.9967e-06	1.6365e-05	
2.3321e-05	0.075486	0.0047163	8.887e-07	2.0098e-06	0.00439	0.01	0.00083362	4.9931e-05	1.2335e-05	0.00010704	4.3827e-06	1.6063e-05	
2.3038e-05	0.075496	0.0047191	8.9754e-07	1.984e-06	0.0044011	0.01	0.00083083	5.0107e-05	1.243e-05	0.00010581	4.758e-06	1.5756e-05	
2.2771e-05	0.075508	0.0047221	9.087e-07	1.9583e-06	0.0044125	0.01	0.00082805	5.0323e-05	1.2535e-05	0.00010462	5.1462e-06	1.5459e-05	
2.2521e-05	0.075521	0.0047252	9.2226e-07	1.9327e-06	0.0044242	0.01	0.00082529	5.0578e-05	1.2651e-05	0.00010347	5.5483e-06	1.5171e-05	
2.2286e-05	0.075534	0.0047284	9.3236e-07	1.9071e-06	0.0044362	0.01	0.00082254	5.0875e-05	1.2777e-05	0.00010224	5.9651e-06	1.4893e-05	
2.2067e-05	0.075549	0.0047317	9.449e-07	1.8817e-06	0.0044484	0.01	0.00081981	5.1215e-05	1.2915e-05	0.00010104	6.3974e-06	1.4623e-05	
2.1863e-05	0.075564	0.0047351	9.5998e-07	1.8563e-06	0.004461	0.01	0.00081709	5.1598e-05	1.3063e-05	9.9885e-05	6.8461e-06	1.4363e-05	
2.165e-05	0.075579	0.0047385	9.7307e-07	1.8264e-06	0.0044734	0.01	0.00081436	5.1963e-05	1.3205e-05	9.8711e-05	7.2827e-06	1.4097e-05	
2.1429e-05	0.075594	0.0047418	9.8416e-07	1.792e-06	0.0044858	0.01	0.00081162	5.2309e-05	1.334e-05	9.7522e-05	7.7071e-06	1.3826e-05	
2.1223e-05	0.07561	0.0047453	9.9794e-07	1.7578e-06	0.0044985	0.01	0.0008089	5.27e-05	1.3486e-05	9.6369e-05	8.149e-06	1.3564e-05	
2.1008e-05	0.075626	0.0047487	1.0096e-06	1.7191e-06	0.0045111	0.01	0.00080616	5.3072e-05	1.3626e-05	9.52e-05	8.5783e-06	1.3296e-05	
2.081e-05	0.075642	0.0047522	1.0175e-06	1.6807e-06	0.004524	0.01	0.00080344	5.3494e-05	1.3778e-05	9.3952e-05	9.027e-06	1.3038e-05	
2.0628e-05	0.07566	0.0047558	1.0282e-06	1.6427e-06	0.0045372	0.01	0.00080074	5.3969e-05	1.3944e-05	9.2743e-05	9.4966e-06	1.279e-05	
2.0437e-05	0.075677	0.0047594	1.0368e-06	1.6e-06	0.0045504	0.01	0.00079803	5.442e-05	1.4102e-05	9.1517e-05	9.9519e-06	1.2536e-05	
2.0235e-05	0.075694	0.004763	1.043e-06	1.5526e-06	0.0045634	0.01	0.0007953	5.4848e-05	1.4251e-05	9.0273e-05	1.0393e-05	1.2275e-05	
2.0023e-05	0.075711	0.0047665	1.0469e-06	1.5002e-06	0.0045763	0.01	0.00079257	5.5249e-05	1.4391e-05	8.9007e-05	1.0817e-05	1.2009e-05	
1.9829e-05	0.075729	0.0047701	1.0541e-06	1.4487e-06	0.0045896	0.01	0.00078985	5.5709e-05	1.455e-05	8.7785e-05	1.1266e-05	1.1753e-05	
1.9654e-05	0.075748	0.0047739	1.0647e-06	1.3978e-06	0.0045855	0.01	0.00078715	5.5111e-05	1.4725e-05	8.6607e-05	1.1741e-05	1.1507e-05	
1.9495e-05	0.075768	0.0047778	1.0789e-06	1.3476e-06	0.0045817	0.01	0.00078447	5.4576e-05	1.4916e-05	8.547e-05	1.2241e-05	1.1272e-05	
1.9327e-05	0.075788	0.0047816	1.0906e-06	1.2926e-06	0.0045779	0.01	0.00078177	5.4014e-05	1.5098e-05	8.4314e-05	1.2725e-05	1.103e-05	
1.9148e-05	0.075807	0.0047854	1.0999e-06	1.2328e-06	0.0045739	0.01	0.00077907	5.3425e-05	1.5271e-05	8.3138e-05	1.3193e-05	1.0782e-05	
1.8987e-05	0.075828	0.0047893	1.1126e-06	1.1735e-06	0.0045702	0.01	0.00077638	5.2899e-05	1.546e-05	8.2004e-05	1.3688e-05	1.0544e-05	
1.8853e-05	0.075848	0.0047932	1.1229e-06	1.1094e-06	0.0045664	0.01	0.00077368	5.2345e-05	1.5676e-05	8.0851e-05	1.4165e-05	1.03e-05	
1.8708e-05	0.075868	0.004797	1.1306e-06	1.0405e-06	0.0045624	0.01	0.00077096	5.1764e-05	1.5883e-05	7.9677e-05	1.4625e-05	1.0049e-05	
1.858e-05	0.075889	0.004801	1.1419e-06	9.7206e-07	0.0045588	0.01	0.00076827	5.1244e-05	1.6107e-05	7.8545e-05	1.5113e-05	9.8087e-06	
1.8441e-05	0.07591	0.0048049	1.1507e-06	8.9883e-07	0.0045551	0.01	0.00076556	5.0697e-05	1.6322e-05	7.7393e-05	1.5584e-05	9.5619e-06	
1.8293e-05	0.07593	0.0048088	1.1569e-06	1.005e-06	0.0045512	0.01	0.00076284	5.0122e-05	1.6526e-05	7.6222e-05	1.6036e-05	9.3074e-06	
1.816e-05	0.075951	0.0048128	1.1667e-06	1.1127e-06	0.0045476	0.01	0.00076014	4.9609e-05	1.6748e-05	7.5091e-05	1.6517e-05	9.0626e-06	
1.8018e-05	0.075973	0.0048167	1.174e-06	1.2152e-06	0.0045439	0.01	0.00075742	4.9069e-05	1.6961e-05	7.3941e-05	1.698e-05	8.8117e-06	
1.7865e-05	0.075993	0.0048206	1.1787e-06	1.3124e-06	0.0045402	0.01	0.00075469	4.8499e-05	1.7163e-05	7.277e-05	1.7426e-05	8.5544e-06	
1.7729e-05	0.076015	0.0048246	1.1871e-06	1.4114e-06	0.0045366	0.01	0.00075198	4.7993e-05	1.7384e-05	7.1641e-05	1.79e-05	8.307e-06	
1.761e-05	0.076038	0.0048288	1.1241e-06	1.5124e-06	0.0045334	0.01	0.00074929	4.7548e-05	1.7625e-05	7.0555e-05	1.8406e-05	8.0694e-06	
1.7507e-05	0.076062	0.0048331	1.0676e-06	1.6156e-06	0.0045304	0.01	0.00074662	4.7163e-05	1.7888e-05	6.9508e-05	1.8944e-05	7.8411e-06	
1.7393e-05	0.076086	0.0048374	1.0076e-06	1.7132e-06	0.0045273	0.01	0.00074393	4.675e-05	1.8139e-05	6.8442e-05	1.9463e-05	7.6067e-06	
1.7269e-05	0.07611	0.0048415	9.4369e-07	1.8053e-06	0.0045241	0.01	0.00074124	4.6307e-05	1.8378e-05	6.7355e-05	1.9962e-05	7.3656e-06	
1.7133e-05	0.076133	0.0048457	8.7572e-07	1.8917e-06	0.0045208	0.01	0.00073852	4.5833e-05	1.8604e-05	6.6246e-05	2.0439e-05	7.1177e-06	
1.7025e-05	0.076162	0.0048357	8.1513e-07	1.9807e-06	0.0045178	0.01	0.00073583	4.5424e-05	1.8434e-05	6.5181e-05	2.0952e-05	6.8803e-06	
1.6905e-05	0.076192	0.0048258	7.5037e-07	2.0638e-06	0.0045146	0.01	0.00073312	4.4983e-05	1.8251e-05	6.4093e-05	2.1444e-05	6.6358e-06	
1.6773e-05	0.076221	0.0048159	6.8129e-07	2.1497e-06	0.0045114	0.01	0.0007304	4.4507e-05	1.8056e-05	6.2982e-05	2.1973e-05	6.4017e-06	
1.663e-05	0.076251	0.004806	6.0946e-07	2.2298e-06	0.004508	0.01	0.00072766	4.3997e-05	1.7849e-05	6.1847e-05	2.248e-05	6.1606e-06	
1.6504e-05	0.076281	0.0047962	5.4508e-07	2.3126e-06	0.0045049	0.01	0.00072494	4.1977e-05	1.7663e-05	6.0756e-05	2.3025e-05	5.9294e-06	
1.6367e-05	0.076311	0.0047863	4.7671e-07	2.3897e-06	0.0045016	0.01	0.00072221	4.1986e-05	1.7465e-05	5.9643e-05	2.3548e-05	5.6917e-06	
1.6248e-05	0.076343	0.0047767	4.1504e-07	2.4695e-06	0.0044987	0.01	0.0007195	4.2047e-05	1.7287e-05	5.8572e-05	2.411e-05	5.4633e-06	
1.6118e-05	0.076374	0.0047669	4.252e-07	2.5436e-06	0.0044957	0.01	0.00071678	4.2083e-05	1.7099e-05	5.7465e-05	2.4649e-05	5.2288e-06	
1.5977e-05	0.076404	0.0047571	4.3329e-07	2.6123e-06	0.0044925	0.01	0.00071404	4.2094e-05	1.69e-05	5.6338e-05	2.5169e-05	4.9882e-06	
1.5826e-05	0.076434	0.0047473	4.3931e-07	2.6754e-06	0.0044893	0.01	0.00071129	4.2081e-05	1.6689e-05	5.5191e-05	2.5668e-05	4.7415e-06	
