Theropithecus_gelada	Saimiri_boliviensis	Rhinopithecus_roxellana	Rhinopithecus_bieti	Pongo_abelii	Piliocolobus_tephrosceles	Papio_anubis	Pan_troglodytes	Pan_paniscus	Mandrillus_leucophaeus	Macaca_nemestrina	Macaca_mulatta	Macaca_fascicularis	Homo_sapiens	Gorilla_gorilla	Colobus_angolensis	Chlorocebus_sabaeus	Cercocebus_atys	Cebus_imitator	Callithrix_jacchus	Aotus_nancymaae	
9.8694e-06	6.8387e-06	0.026718	2.719e-06	4.8041e-07	0.00010097	1.1513e-06	0.01	0.01	1.3199e-06	0.00045262	3.0076e-07	0.0087365	0.0068427	0.008932	0.0030152	0.0051243	0.0003486	2.8023e-05	0.00013387	2.2634e-05	
1.0068e-05	6.7324e-06	0.026752	3.5357e-06	5.2461e-07	9.9653e-05	1.1698e-06	0.01	0.01	1.3188e-06	0.00044845	3.3086e-07	0.0087357	0.0068411	0.0089225	0.0030155	0.0051226	0.00034529	2.7354e-05	0.00012444	2.2133e-05	
1.0224e-05	6.6243e-06	0.026786	4.3471e-06	5.4962e-07	9.8308e-05	1.1709e-06	0.01	0.01	1.3094e-06	0.00044427	3.4801e-07	0.008735	0.0068395	0.0089129	0.0030157	0.0051209	0.00034197	2.6682e-05	0.00011436	2.1558e-05	
1.6163e-05	4.2238e-06	0.027441	1.7698e-05	7.9809e-08	7.3663e-05	2.1315e-06	0.01	0.01	5.1061e-07	0.00036354	3.8963e-08	0.0087203	0.0068082	0.0087294	0.0030223	0.0050886	0.00027787	1.3605e-05	9.1533e-05	8.4485e-06	
1.6466e-05	4.0551e-06	0.027478	1.7797e-05	5.3857e-08	7.2319e-05	2.1666e-06	0.01	0.01	4.5846e-07	0.00035929	2.1458e-08	0.0087196	0.0068065	0.0087196	0.0030226	0.0050868	0.00027452	1.2798e-05	9.0108e-05	7.6478e-06	
1.6766e-05	3.778e-06	0.027517	1.8099e-05	4.3745e-08	7.0969e-05	2.1996e-06	0.01	0.01	4.1829e-07	0.00035507	1.3623e-08	0.0087189	0.006805	0.0087098	0.0030229	0.0050851	0.00027122	1.1552e-05	8.9257e-05	7.2037e-06	
1.8803e-05	2.3772e-06	0.027829	3.0477e-05	1.5446e-07	6.1361e-05	2.3708e-06	0.01	0.01	2.069e-07	0.00033205	1.9983e-08	0.008715	0.0067949	0.0086411	0.003025	0.005073	0.0002493	5.558e-06	8.5134e-05	5.2021e-06	
1.9084e-05	1.9698e-06	0.027875	3.2862e-05	1.0445e-07	5.9966e-05	2.3867e-06	0.01	0.01	1.7162e-07	0.00033369	1.5339e-08	0.0087145	0.0067935	0.0086312	0.0030253	0.0050713	0.00024626	5.2319e-06	8.3733e-05	4.6484e-06	
1.9362e-05	1.9341e-06	0.02792	3.4873e-05	3.2719e-08	5.8565e-05	2.4004e-06	0.01	0.01	1.2946e-07	0.00033532	5.0723e-09	0.008714	0.0067922	0.0086213	0.0030255	0.0050695	0.00024319	4.8387e-06	8.2154e-05	4.0311e-06	
1.9639e-05	1.8216e-06	0.027967	3.8072e-05	2.747e-08	5.7159e-05	2.4121e-06	0.01	0.01	1.4679e-07	0.00033692	6.3595e-09	0.0087135	0.0067908	0.0086115	0.0030258	0.0050678	0.00024009	4.0712e-06	8.1477e-05	3.7579e-06	
1.9913e-05	1.7511e-06	0.028016	4.3053e-05	2.9748e-08	5.5746e-05	2.4215e-06	0.01	0.01	1.6903e-07	0.00033855	1.0063e-08	0.008713	0.0067894	0.0086019	0.0030261	0.0050661	0.00023704	3.5315e-06	8.1048e-05	3.5848e-06	
2.0184e-05	1.7104e-06	0.028068	5.0772e-05	4.0799e-08	5.4328e-05	2.4289e-06	0.01	0.01	1.9719e-07	0.00034019	1.8519e-08	0.0087126	0.0067881	0.0085928	0.0030263	0.0050645	0.00023403	3.1515e-06	8.0844e-05	3.4851e-06	
2.0453e-05	1.6953e-06	0.028121	6.2749e-05	6.7545e-08	5.2905e-05	2.4341e-06	0.01	0.01	2.3267e-07	0.00034186	3.7294e-08	0.0087122	0.0067868	0.0085839	0.0030266	0.005063	0.00023106	2.8861e-06	8.0854e-05	3.444e-06	
2.0719e-05	1.7059e-06	0.028137	6.9139e-05	6.6154e-08	5.1475e-05	2.4372e-06	0.01	0.01	2.2251e-07	0.00034354	3.7904e-08	0.0087118	0.0067856	0.0085755	0.0030269	0.0050616	0.00022815	2.708e-06	7.9666e-05	3.4663e-06	
2.0983e-05	1.7456e-06	0.028152	7.4558e-05	5.736e-08	5.004e-05	2.4381e-06	0.01	0.01	2.0757e-07	0.00034521	3.3724e-08	0.0087114	0.0067843	0.0085668	0.0030271	0.0050601	0.00022521	2.5981e-06	7.8947e-05	3.3353e-06	
2.1245e-05	1.8973e-06	0.028166	7.9147e-05	3.8174e-08	4.86e-05	2.4369e-06	0.01	0.01	1.8664e-07	0.00034686	2.2949e-08	0.008711	0.0067831	0.0085581	0.0030274	0.0050586	0.00022224	2.3568e-06	7.744e-05	3.3758e-06	
2.1504e-05	1.9987e-06	0.02818	8.303e-05	1.0564e-08	4.7153e-05	2.4335e-06	0.01	0.01	1.608e-07	0.0003485	6.813e-09	0.0087106	0.0067818	0.0085492	0.0030276	0.0050571	0.00021926	2.3505e-06	7.5398e-05	3.811e-06	
2.1761e-05	2.0148e-06	0.028197	8.4297e-05	9.8702e-09	4.5701e-05	2.4281e-06	0.01	0.01	1.9957e-07	0.00035012	6.989e-09	0.0087102	0.0067805	0.0085401	0.0030278	0.0050555	0.00021625	2.4267e-06	7.4445e-05	3.9901e-06	
2.2015e-05	2.029e-06	0.028215	8.4317e-05	1.2453e-08	4.4244e-05	2.4204e-06	0.01	0.01	2.4794e-07	0.00035175	9.7212e-09	0.0087098	0.0067792	0.0085314	0.0030281	0.005054	0.00021328	2.5005e-06	7.2366e-05	4.5316e-06	
2.2267e-05	2.0754e-06	0.028235	8.4802e-05	2.0567e-08	4.278e-05	2.4107e-06	0.01	0.01	3.1015e-07	0.00035341	1.7355e-08	0.0087095	0.006778	0.008523	0.0030283	0.0050526	0.00021037	2.6246e-06	7.0767e-05	5.3422e-06	
2.2517e-05	2.053e-06	0.028254	8.51e-05	1.303e-08	4.1311e-05	2.3988e-06	0.01	0.01	3.1249e-07	0.00035509	1.3397e-08	0.0087091	0.0067768	0.008515	0.0030285	0.0050512	0.00020749	2.9492e-06	7.0178e-05	5.7216e-06	
2.658e-06	4.9228e-06	0.031257	6.2098e-05	1.0203e-05	4.2911e-05	2.4099e-06	0.01	0.01	9.3681e-06	0.00053224	8.0039e-06	0.0086918	0.0066193	0.0074722	0.0023158	0.0048768	0.00029614	1.41e-05	0.0001405	1.712e-05	
2.7301e-06	4.824e-06	0.031282	6.0413e-05	1.0245e-05	4.3221e-05	2.4675e-06	0.01	0.01	9.3839e-06	0.00053318	8.0268e-06	0.0086916	0.006618	0.0074635	0.0023053	0.0048753	0.00029656	1.4045e-05	0.00014077	1.7033e-05	
2.7996e-06	4.7234e-06	0.031308	5.8723e-05	1.0285e-05	4.3524e-05	2.523e-06	0.01	0.01	9.3971e-06	0.00053411	8.0475e-06	0.0086915	0.0066166	0.0074546	0.0022949	0.0048739	0.00029699	1.3987e-05	0.00014103	1.6943e-05	
2.8663e-06	4.621e-06	0.031334	5.703e-05	1.032e-05	4.3822e-05	2.5765e-06	0.01	0.01	9.4078e-06	0.00053506	8.066e-06	0.0086913	0.0066153	0.0074461	0.0022844	0.0048725	0.0002974	1.3927e-05	0.00014128	1.6851e-05	
2.9302e-06	4.5167e-06	0.031359	5.5332e-05	1.0352e-05	4.4112e-05	2.6277e-06	0.01	0.01	9.4158e-06	0.00053603	8.0822e-06	0.0086912	0.006614	0.0074379	0.002274	0.0048711	0.00029781	1.3865e-05	0.00014153	1.6756e-05	
2.9915e-06	4.4105e-06	0.031385	5.363e-05	1.0381e-05	4.4397e-05	2.6769e-06	0.01	0.01	9.4213e-06	0.00053699	8.0961e-06	0.008691	0.0066127	0.0074296	0.0022635	0.0048698	0.00029822	1.3801e-05	0.00014177	1.6659e-05	
3.05e-06	4.3026e-06	0.031411	5.1924e-05	1.0407e-05	4.4674e-05	2.7239e-06	0.01	0.01	9.4243e-06	0.00053793	8.1078e-06	0.0086908	0.0066114	0.0074211	0.0022531	0.0048684	0.00029862	1.3734e-05	0.00014202	1.6559e-05	
3.1057e-06	4.1927e-06	0.031436	5.0214e-05	1.0429e-05	4.4946e-05	2.7689e-06	0.01	0.01	9.4247e-06	0.00053885	8.1173e-06	0.0086907	0.0066101	0.0074125	0.0022426	0.0048669	0.00029902	1.3666e-05	0.00014225	1.6456e-05	
3.1588e-06	4.081e-06	0.031462	4.8499e-05	1.0448e-05	4.521e-05	2.8117e-06	0.01	0.01	9.4225e-06	0.00053975	8.1245e-06	0.0086905	0.0066087	0.0074625	0.0022322	0.0048655	0.00029941	1.3595e-05	0.00014249	1.635e-05	
3.2091e-06	3.9675e-06	0.031488	4.6781e-05	1.0463e-05	4.5469e-05	2.8523e-06	0.01	0.01	9.4177e-06	0.00054063	8.1294e-06	0.0086904	0.0066074	0.0075122	0.0022217	0.004864	0.00029979	1.3522e-05	0.00014271	1.6242e-05	
3.2567e-06	3.8521e-06	0.031514	4.5058e-05	1.0476e-05	4.572e-05	2.8909e-06	0.01	0.01	9.4104e-06	0.00054154	8.1322e-06	0.0086902	0.006606	0.0075627	0.0022112	0.0048626	0.00030017	1.3447e-05	0.00014294	1.6131e-05	
3.3016e-06	3.7349e-06	0.03154	4.3331e-05	1.0484e-05	4.5965e-05	2.9273e-06	0.01	0.01	9.4006e-06	0.00054247	8.1326e-06	0.00869	0.0066047	0.007614	0.0022008	0.0048612	0.00030055	1.337e-05	0.00014316	1.6018e-05	
3.3437e-06	3.6158e-06	0.031565	4.16e-05	1.049e-05	4.6204e-05	2.9616e-06	0.01	0.01	9.3881e-06	0.00054339	8.1308e-06	0.0086899	0.0066034	0.007665	0.0021903	0.0048598	0.00030092	1.3291e-05	0.00014337	1.5902e-05	
3.3832e-06	3.4949e-06	0.031591	3.9864e-05	1.0492e-05	4.6436e-05	2.9938e-06	0.01	0.01	9.3731e-06	0.00054432	8.1268e-06	0.0086897	0.0066022	0.0077168	0.0021799	0.0048585	0.00030128	1.3209e-05	0.00014359	1.5783e-05	
3.4199e-06	3.3722e-06	0.031617	3.8125e-05	1.049e-05	4.6662e-05	3.0238e-06	0.01	0.01	9.3555e-06	0.00054524	8.1205e-06	0.0086895	0.0066009	0.0077683	0.0021694	0.0048572	0.00030164	1.3126e-05	0.00014379	1.5661e-05	
3.4538e-06	3.2476e-06	0.031643	3.6381e-05	1.0486e-05	4.6881e-05	3.0518e-06	0.01	0.01	9.3354e-06	0.00054619	8.112e-06	0.0086894	0.0065996	0.0078207	0.002159	0.0048559	0.000302	1.304e-05	0.000144	1.5537e-05	
3.4851e-06	3.1211e-06	0.031669	3.4633e-05	1.0478e-05	4.7094e-05	3.0776e-06	0.01	0.01	9.3127e-06	0.00054715	8.1012e-06	0.0086892	0.0065984	0.0078738	0.0021485	0.0048547	0.00030235	1.2952e-05	0.00014419	1.541e-05	
3.5136e-06	2.9928e-06	0.031695	3.288e-05	1.0466e-05	4.73e-05	3.1013e-06	0.01	0.01	9.2874e-06	0.00054814	8.0882e-06	0.008689	0.0065973	0.0079278	0.0021381	0.0048536	0.00030269	1.2862e-05	0.00014439	1.5281e-05	
3.5393e-06	2.8626e-06	0.031721	3.1124e-05	1.0451e-05	4.75e-05	3.1229e-06	0.01	0.01	9.2596e-06	0.00054916	8.0729e-06	0.0086889	0.0065962	0.0079826	0.0021276	0.0048526	0.00030303	1.277e-05	0.00014458	1.5149e-05	
3.5624e-06	2.7306e-06	0.031747	2.9363e-05	1.0433e-05	4.7693e-05	3.1423e-06	0.01	0.01	9.2292e-06	0.0005502	8.0554e-06	0.0086887	0.0065951	0.0080382	0.0021171	0.0048516	0.00030337	1.2675e-05	0.00014477	1.5014e-05	
3.5827e-06	2.5968e-06	0.031773	2.7598e-05	1.0412e-05	4.788e-05	3.1596e-06	0.01	0.01	9.1962e-06	0.00055123	8.0356e-06	0.0086885	0.006594	0.0080936	0.0021067	0.0048506	0.0003037	1.2578e-05	0.00014495	1.4876e-05	
3.6003e-06	2.4611e-06	0.031799	2.5829e-05	1.0387e-05	4.806e-05	3.1748e-06	0.01	0.01	9.1607e-06	0.00055223	8.0136e-06	0.0086883	0.0065929	0.0081487	0.0020962	0.0048496	0.00030402	1.248e-05	0.00014513	1.4736e-05	
3.6152e-06	2.3235e-06	0.031825	2.4056e-05	1.0358e-05	4.8234e-05	3.1879e-06	0.01	0.01	9.1226e-06	0.00055326	7.9894e-06	0.0086882	0.0065918	0.0082034	0.0020858	0.0048486	0.00030434	1.2379e-05	0.0001453	1.4593e-05	
3.6274e-06	2.1841e-06	0.031851	2.2278e-05	1.0327e-05	4.8401e-05	3.1988e-06	0.01	0.01	9.0819e-06	0.00055427	7.9628e-06	0.008688	0.0065906	0.0082578	0.0020753	0.0048476	0.00030466	1.2276e-05	0.00014547	1.4448e-05	
3.6368e-06	2.0429e-06	0.031877	2.0497e-05	1.0292e-05	4.8562e-05	3.2077e-06	0.01	0.01	9.0387e-06	0.00055531	7.9341e-06	0.0086878	0.0065895	0.0083131	0.0020649	0.0048467	0.00030496	1.217e-05	0.00014563	1.43e-05	
3.6435e-06	1.8998e-06	0.031903	1.8711e-05	1.0253e-05	4.8716e-05	3.2144e-06	0.01	0.01	8.9929e-06	0.00055637	7.9031e-06	0.0086876	0.0065884	0.0083693	0.0020544	0.0048459	0.00030527	1.2063e-05	0.00014579	1.4149e-05	
3.6475e-06	1.7548e-06	0.031929	1.692e-05	1.0212e-05	4.8864e-05	3.219e-06	0.01	0.01	8.9446e-06	0.00055745	7.8698e-06	0.0086875	0.0065874	0.0084263	0.0020439	0.0048451	0.00030557	1.1954e-05	0.00014595	1.3995e-05	
3.6487e-06	1.608e-06	0.031955	1.5126e-05	1.0166e-05	4.9005e-05	3.2214e-06	0.01	0.01	8.8937e-06	0.00055852	7.8343e-06	0.0086873	0.0065864	0.008483	0.0020335	0.0048443	0.00030586	1.1842e-05	0.0001461	1.3839e-05	
3.6472e-06	1.4594e-06	0.031981	1.3327e-05	1.0118e-05	4.9139e-05	3.2218e-06	0.01	0.01	8.8402e-06	0.00055961	7.7966e-06	0.0086871	0.0065854	0.0085407	0.002023	0.0048435	0.00030615	1.1728e-05	0.00014625	1.368e-05	
3.643e-06	1.3089e-06	0.032007	1.1524e-05	1.0066e-05	4.9268e-05	3.22e-06	0.01	0.01	8.7841e-06	0.00056073	7.7566e-06	0.0086869	0.0065844	0.0085992	0.0020126	0.0048429	0.00030643	1.1612e-05	0.0001464	1.3519e-05	
3.6361e-06	1.1565e-06	0.032033	9.7173e-06	1.0011e-05	4.9389e-05	3.2161e-06	0.01	0.01	8.7255e-06	0.00056187	7.7143e-06	0.0086868	0.0065835	0.0086586	0.0020021	0.0048423	0.00030671	1.1494e-05	0.00014654	1.3355e-05	
3.6264e-06	9.5573e-07	0.032061	8.5729e-06	9.9523e-06	4.9505e-05	3.2101e-06	0.01	0.01	8.6643e-06	0.00056304	7.6698e-06	0.0086866	0.0065826	0.0087189	0.0019916	0.0048418	0.00030699	1.1311e-05	0.00014667	1.3188e-05	
3.614e-06	8.119e-07	0.032091	7.8574e-06	9.8904e-06	4.9613e-05	3.2019e-06	0.01	0.01	8.6006e-06	0.00056424	7.6231e-06	0.0086864	0.0065818	0.0087801	0.0019812	0.0048413	0.00030725	1.1221e-05	0.0001468	1.3018e-05	
3.5989e-06	7.7661e-07	0.03212	6.9999e-06	9.8251e-06	4.9716e-05	3.1917e-06	0.01	0.01	8.5342e-06	0.00056541	7.5741e-06	0.0086862	0.0065809	0.0088411	0.0019707	0.0048409	0.00030752	1.1408e-05	0.00014693	1.2846e-05	
3.581e-06	7.2562e-07	0.032148	5.9778e-06	9.7564e-06	4.9811e-05	3.1793e-06	0.01	0.01	8.4654e-06	0.00056657	7.5228e-06	0.008686	0.00658	0.0089017	0.0019603	0.0048403	0.00030777	1.1529e-05	0.00014705	1.2671e-05	
3.5605e-06	5.8535e-07	0.032179	5.3378e-06	9.6843e-06	4.9901e-05	3.1647e-06	0.01	0.01	8.3939e-06	0.00056775	7.4693e-06	0.0086858	0.0065792	0.0089632	0.0019498	0.0048399	0.00030803	1.1448e-05	0.00014717	1.2494e-05	
2.1598e-06	1.7975e-08	0.033034	7.5447e-08	6.789e-06	5.002e-05	2.112e-06	0.01	0.01	5.7735e-06	0.00059709	5.401e-06	0.0086809	0.0065625	0.010615	0.0016881	0.0047829	0.00031269	7.5987e-06	0.00014876	7.1876e-06	
2.0684e-06	1.1668e-08	0.033077	7.3178e-08	6.6294e-06	4.994e-05	2.0422e-06	0.01	0.01	5.6353e-06	0.00059832	5.289e-06	0.0086807	0.006562	0.010686	0.0016777	0.0047664	0.00031281	7.3679e-06	0.00014877	6.9407e-06	
1.9741e-06	1.4631e-08	0.033119	5.9842e-08	6.4664e-06	4.9854e-05	1.9704e-06	0.01	0.01	5.4945e-06	0.00059954	5.1748e-06	0.0086805	0.0065616	0.010758	0.0016672	0.0047499	0.00031293	7.0209e-06	0.00014877	6.691e-06	
1.8772e-06	1.9134e-08	0.033163	5.3447e-08	6.3001e-06	4.9761e-05	1.8964e-06	0.01	0.01	5.3512e-06	0.00060078	5.0583e-06	0.0086803	0.0065611	0.01083	0.0016567	0.0047334	0.00031304	6.81e-06	0.00014877	6.4387e-06	
1.7775e-06	2.0562e-08	0.033206	1.1157e-07	6.1304e-06	4.9662e-05	1.8204e-06	0.01	0.01	5.2053e-06	0.000602	4.9395e-06	0.0086801	0.0065607	0.010902	0.0016462	0.004717	0.00031314	6.5607e-06	0.00014877	6.1837e-06	
1.6751e-06	1.8801e-08	0.033249	1.536e-07	5.9573e-06	4.9556e-05	1.7422e-06	0.01	0.01	5.0568e-06	0.00060321	4.8185e-06	0.0086799	0.0065602	0.010974	0.0016358	0.0047005	0.00031324	6.264e-06	0.00014876	5.926e-06	
1.57e-06	1.8429e-08	0.033293	2.2072e-07	5.7808e-06	4.9444e-05	1.6618e-06	0.01	0.01	4.9058e-06	0.00060444	4.6953e-06	0.0086797	0.0065597	0.011047	0.0016253	0.0046842	0.00031334	6.0923e-06	0.00014875	5.6656e-06	
1.4622e-06	1.4077e-08	0.033337	2.6921e-07	5.601e-06	4.9326e-05	1.5794e-06	0.01	0.01	4.7522e-06	0.00060565	4.5698e-06	0.0086795	0.0065593	0.011119	0.0016148	0.0046678	0.00031343	5.8674e-06	0.00014873	5.4026e-06	
1.3516e-06	6.2493e-09	0.03338	3.0441e-07	5.4178e-06	4.92e-05	1.4948e-06	0.01	0.01	4.596e-06	0.00060684	4.4421e-06	0.0086792	0.0065588	0.011191	0.0016043	0.0046513	0.00031351	6.0088e-06	0.00014871	5.1369e-06	
1.2383e-06	5.5312e-09	0.033425	3.6869e-07	5.2313e-06	4.9069e-05	1.4081e-06	0.01	0.01	4.4372e-06	0.00060806	4.3121e-06	0.008679	0.0065584	0.011265	0.0015938	0.004635	0.00031359	6.0729e-06	0.00014868	4.8685e-06	
1.1222e-06	2.1842e-09	0.03347	4.1295e-07	5.0413e-06	4.8931e-05	1.3193e-06	0.01	0.01	4.2759e-06	0.00060926	4.1798e-06	0.0086788	0.0065579	0.011337	0.0015834	0.0046187	0.00031367	6.1116e-06	0.00014865	4.5974e-06	
1.0034e-06	1.618e-09	0.033513	4.3841e-07	4.848e-06	4.8786e-05	1.2283e-06	0.01	0.01	4.112e-06	0.00061045	4.0453e-06	0.0086786	0.0065575	0.01141	0.0015729	0.0046023	0.00031374	6.0815e-06	0.00014862	4.3237e-06	
8.8194e-07	2.9441e-09	0.033559	4.957e-07	4.6514e-06	4.8635e-05	1.1352e-06	0.01	0.01	3.9456e-06	0.00061166	3.9086e-06	0.0086784	0.006557	0.011483	0.0015624	0.004586	0.0003138	5.9812e-06	0.00014858	4.0472e-06	
5.2008e-07	5.1964e-09	0.033605	5.4701e-07	4.4513e-06	4.8522e-05	1.1123e-06	0.01	0.01	3.8234e-06	0.00061286	3.7696e-06	0.0086782	0.0065566	0.011557	0.0015521	0.0045697	0.0003139	5.6822e-06	0.00014926	3.3726e-06	
3.0871e-07	7.9407e-09	0.03365	5.9234e-07	3.8545e-06	4.8385e-05	9.9377e-07	0.01	0.01	3.3685e-06	0.00061409	3.3489e-06	0.008678	0.0065562	0.011632	0.0015418	0.0045536	0.00031402	4.8712e-06	0.00014865	3.0009e-06	
6.9049e-08	1.2171e-08	0.033696	6.317e-07	3.0602e-06	4.8224e-05	8.3093e-07	0.01	0.01	2.9113e-06	0.0006153	2.7848e-06	0.0086778	0.0065558	0.011706	0.0015313	0.0045375	0.00031413	4.4107e-06	0.00014747	2.4597e-06	
3.75e-08	4.5316e-08	0.033742	6.6509e-07	2.1156e-06	4.8038e-05	6.3439e-07	0.01	0.01	2.4254e-06	0.00061649	2.1112e-06	0.0086776	0.0065554	0.01178	0.0015208	0.0045213	0.00031423	3.8604e-06	0.00014615	1.8229e-06	
4.2699e-08	2.2568e-07	0.033788	6.925e-07	8.6958e-07	4.7829e-05	3.7218e-07	0.01	0.01	1.8937e-06	0.00061767	1.2166e-06	0.0086773	0.0065549	0.011854	0.0015101	0.004505	0.00031432	3.1615e-06	0.00014449	1.7374e-06	
2.7915e-08	4.742e-07	0.033834	7.1394e-07	3.2694e-07	4.7659e-05	2.5902e-07	0.01	0.01	1.4797e-06	0.00061887	8.3639e-07	0.0086771	0.0065545	0.011929	0.0014997	0.0044889	0.00031443	2.673e-06	0.00014329	1.4349e-06	
1.882e-08	5.5514e-07	0.033882	7.7508e-07	7.8675e-08	4.7527e-05	2.0992e-07	0.01	0.01	1.1487e-06	0.00062009	6.6946e-07	0.008677	0.0065542	0.012005	0.0014895	0.0044729	0.00031456	2.336e-06	0.00014246	1.2336e-06	
4.0599e-09	6.2365e-07	0.033929	8.1263e-07	4.9181e-08	4.7372e-05	1.4063e-07	0.01	0.01	7.8564e-07	0.0006213	4.4364e-07	0.0086768	0.0065538	0.01208	0.0014793	0.0044569	0.00031468	1.9484e-06	0.0001415	9.9586e-07	
2.9334e-09	7.2326e-07	0.033976	8.2752e-07	9.4795e-09	4.7193e-05	5.5657e-08	0.01	0.01	3.9962e-07	0.00062249	1.7242e-07	0.0086766	0.0065534	0.012155	0.0014689	0.0044408	0.00031478	1.6826e-06	0.00013801	8.4628e-07	
9.308e-09	8.6447e-07	0.034021	8.2012e-07	5.4816e-09	4.7052e-05	4.8986e-08	0.01	0.01	3.5081e-07	0.00062366	1.4232e-07	0.0086764	0.0065529	0.01223	0.0014587	0.0044247	0.00031486	1.5006e-06	0.00013543	7.5238e-07	
5.0374e-09	9.5977e-07	0.03407	6.8045e-07	3.4492e-09	4.6887e-05	1.7981e-08	0.01	0.01	1.7931e-07	0.00062486	5.03e-08	0.0086763	0.0065526	0.012306	0.0014485	0.0044087	0.00031497	1.2304e-06	0.0001351	5.951e-07	
1.2378e-09	1.1e-06	0.034121	5.9885e-07	2.2496e-09	4.6759e-05	3.9767e-09	0.01	0.01	4.4007e-08	0.00062609	1.0547e-08	0.0086761	0.0065522	0.012383	0.0014385	0.0043929	0.0003151	1.044e-06	0.00013509	4.9174e-07	
1.3751e-09	1.2385e-06	0.034171	4.9048e-07	7.8168e-09	4.667e-05	3.1332e-09	0.01	0.01	2.5491e-08	0.00062729	6.5018e-09	0.008676	0.0065519	0.01246	0.0014286	0.004377	0.00031522	8.5526e-07	0.00013536	4.2514e-07	
6.1949e-09	1.298e-06	0.03422	3.5247e-07	5.3137e-08	4.6618e-05	1.045e-08	0.01	0.01	3.216e-08	0.00062848	1.4044e-08	0.0086758	0.0065515	0.012536	0.001419	0.004361	0.00031532	7.9173e-07	0.00013692	4.1638e-07	
