Sciurus_vulgaris	Oryctolagus_cuniculus	Octodon_degus	Ochotona_princeps	Heterocephalus_glaber	Fukomys_damarensis	Chinchilla_lanigera	Cavia_porcellus	Cavia_aperea	
1.8505e-08	9.77e-07	1.3173e-07	4.9941e-05	5.6151e-07	3.0073e-06	3.6338e-05	0.01	0.032964	
1.7678e-08	9.3169e-07	1.3966e-07	4.9209e-05	5.9857e-07	2.8987e-06	3.5243e-05	0.01	0.032983	
1.5424e-08	8.7079e-07	1.4361e-07	4.8356e-05	6.3466e-07	2.7806e-06	3.4094e-05	0.01	0.033001	
1.1728e-08	7.911e-07	1.4363e-07	4.7372e-05	6.6564e-07	2.6418e-06	3.2888e-05	0.01	0.033019	
1.4661e-08	6.8375e-07	1.3971e-07	4.6155e-05	6.9171e-07	2.4819e-06	3.1625e-05	0.01	0.033037	
1.6662e-08	5.7575e-07	1.3362e-07	4.4934e-05	7.168e-07	2.3125e-06	3.0357e-05	0.01	0.033055	
1.7732e-08	4.6709e-07	1.2536e-07	4.371e-05	7.4091e-07	2.1336e-06	2.9087e-05	0.01	0.033073	
1.787e-08	3.5778e-07	1.1493e-07	4.2482e-05	7.6405e-07	1.9452e-06	2.7812e-05	0.01	0.033091	
1.7076e-08	2.4781e-07	1.0233e-07	4.125e-05	7.862e-07	1.7473e-06	2.6534e-05	0.01	0.033109	
1.535e-08	1.3719e-07	8.756e-08	4.0015e-05	8.0738e-07	1.5399e-06	2.5252e-05	0.01	0.033127	
1.2693e-08	2.592e-08	7.0623e-08	3.8775e-05	8.2759e-07	1.3231e-06	2.3967e-05	0.01	0.033145	
8.5508e-09	1.1435e-08	4.9676e-08	3.7285e-05	8.4299e-07	1.0848e-06	2.2621e-05	0.01	0.033163	
5.0969e-09	5.5367e-09	3.2655e-08	3.6322e-05	8.7178e-07	8.7691e-07	2.1463e-05	0.01	0.033182	
3.5934e-09	4.9162e-09	3.9648e-08	3.4444e-05	8.8331e-07	8.7399e-07	2.0185e-05	0.01	0.0332	
4.0176e-09	2.2109e-09	4.3494e-08	3.1591e-05	8.8972e-07	8.5436e-07	1.8836e-05	0.01	0.033218	
4.3156e-09	1.0566e-09	4.8836e-08	2.9675e-05	9.0844e-07	8.4451e-07	1.7671e-05	0.01	0.033237	
6.5276e-09	1.175e-09	5.0898e-08	2.6102e-05	9.2229e-07	8.1927e-07	1.645e-05	0.01	0.033255	
8.9968e-09	1.7342e-09	5.4547e-08	2.3667e-05	8.8437e-07	8.0508e-07	1.5393e-05	0.01	0.033274	
1.1902e-08	3.1494e-09	5.9959e-08	2.2006e-05	8.6043e-07	7.9951e-07	1.4479e-05	0.01	0.033293	
2.7551e-08	2.6068e-09	1.6042e-07	1.0559e-05	3.8118e-07	1.0259e-06	8.6911e-06	0.01	0.033499	
2.4049e-08	3.7224e-09	1.7445e-07	9.2264e-06	3.6865e-07	1.0589e-06	8.2981e-06	0.01	0.033521	
2.1668e-08	1.7359e-09	1.9427e-07	8.335e-06	3.6301e-07	1.1041e-06	7.9645e-06	0.01	0.033543	
2.0314e-08	1.0028e-09	2.2116e-07	5.8533e-06	3.6386e-07	1.1625e-06	7.6843e-06	0.01	0.033565	
1.9778e-08	6.5476e-10	2.5677e-07	4.1308e-06	3.7132e-07	1.2352e-06	7.4514e-06	0.01	0.033587	
2.0034e-08	4.3835e-10	3.0335e-07	2.9338e-06	3.4428e-07	1.3268e-06	7.2614e-06	0.01	0.03361	
2.1123e-08	2.0065e-10	3.6393e-07	2.1018e-06	3.2597e-07	1.4368e-06	7.1109e-06	0.01	0.033633	
2.0683e-08	5.2843e-10	4.1729e-07	1.1168e-06	3.0397e-07	1.5286e-06	6.9429e-06	0.01	0.033656	
1.835e-08	1.9769e-09	4.6362e-07	8.0621e-07	2.7791e-07	1.6022e-06	6.7568e-06	0.01	0.033679	
1.7237e-08	1.114e-09	5.0226e-07	6.1075e-07	2.3716e-07	2.0555e-06	6.5468e-06	0.01	0.033702	
1.6898e-08	7.9149e-10	4.8568e-07	4.8065e-07	2.1038e-07	2.1554e-06	6.3806e-06	0.01	0.033725	
1.7297e-08	7.3281e-10	4.7915e-07	3.9551e-07	1.92e-07	2.2812e-06	6.2515e-06	0.01	0.033749	
1.8756e-08	9.0229e-10	4.6698e-07	3.431e-07	1.7011e-07	2.3862e-06	6.1052e-06	0.01	0.033772	
2.1175e-08	1.4345e-09	4.6447e-07	3.1398e-07	1.5577e-07	2.525e-06	5.9943e-06	0.01	0.033796	
2.2051e-08	7.1363e-09	4.5652e-07	2.6854e-07	1.3837e-07	2.643e-06	5.8674e-06	0.01	0.03382	
2.1446e-08	1.0747e-08	4.4311e-07	2.0976e-07	1.558e-07	2.7295e-06	5.7245e-06	0.01	0.033844	
2.1811e-08	9.7702e-09	4.3911e-07	1.73e-07	1.5185e-07	2.8491e-06	5.6157e-06	0.01	0.033868	
2.0619e-08	1.9305e-08	4.2963e-07	1.2069e-07	1.4524e-07	2.9475e-06	5.491e-06	0.01	0.033892	
1.7636e-08	2.4512e-08	4.1462e-07	1.2595e-07	1.3592e-07	3.0247e-06	5.35e-06	0.01	0.033916	
1.5612e-08	2.3187e-08	3.2944e-07	1.4195e-07	1.3118e-07	3.1319e-06	5.243e-06	0.01	0.03394	
1.2126e-08	2.0292e-08	2.3514e-07	1.4791e-07	1.2394e-07	3.2181e-06	5.1209e-06	0.01	0.033965	
1.0393e-08	9.9793e-09	2.3777e-07	1.7296e-07	1.1409e-07	3.2828e-06	4.9817e-06	0.01	0.033989	
9.2004e-09	5.9484e-09	2.3581e-07	2.1412e-07	1.0154e-07	3.3262e-06	4.8265e-06	0.01	0.034013	
6.1419e-09	8.0547e-09	2.3997e-07	2.3722e-07	9.3447e-08	3.3998e-06	4.7038e-06	0.01	0.034037	
5.3823e-09	8.232e-09	2.3953e-07	2.4259e-07	8.2832e-08	3.4515e-06	4.5657e-06	0.01	0.034062	
4.6604e-09	4.0075e-09	2.4526e-07	2.639e-07	7.6018e-08	3.5343e-06	4.458e-06	0.01	0.034087	
4.0556e-09	2.5434e-09	2.5759e-07	3.0707e-07	7.2373e-08	3.6502e-06	4.3788e-06	0.01	0.034112	
3.6147e-09	2.4973e-09	2.6523e-07	3.8194e-07	6.6568e-08	3.7436e-06	4.2855e-06	0.01	0.034137	
3.0249e-09	3.5341e-09	2.7988e-07	4.9574e-07	6.3582e-08	3.8715e-06	4.2192e-06	0.01	0.034162	
2.2404e-09	6.8191e-09	3.0257e-07	6.6829e-07	6.3146e-08	4.0372e-06	4.1785e-06	0.01	0.034188	
3.2289e-09	2.8243e-08	3.2011e-07	7.8163e-07	6.0707e-08	4.1794e-06	4.1245e-06	0.01	0.034214	
3.0707e-09	4.4332e-08	3.3259e-07	8.7473e-07	5.6254e-08	4.2985e-06	4.0571e-06	0.01	0.03424	
2.6993e-09	4.8435e-08	3.5362e-07	1.0252e-06	5.4245e-08	4.4568e-06	4.0148e-06	0.01	0.034266	
5.1769e-09	4.9224e-08	3.6925e-07	1.1396e-06	5.0645e-08	4.5882e-06	3.959e-06	0.01	0.034292	
8.0604e-09	4.2836e-08	3.9429e-07	1.1516e-06	4.9265e-08	4.761e-06	3.9276e-06	0.01	0.034319	
1.1499e-08	2.2191e-08	4.303e-07	1.2057e-06	4.9949e-08	4.9787e-06	3.9197e-06	0.01	0.034346	
1.3518e-08	2.2276e-08	4.6013e-07	1.238e-06	4.8724e-08	5.1704e-06	3.8987e-06	0.01	0.034373	
1.4153e-08	2.0191e-08	4.8398e-07	1.2521e-06	4.5587e-08	5.3365e-06	3.8647e-06	0.01	0.034399	
1.3415e-08	1.6561e-08	5.021e-07	1.2474e-06	4.0549e-08	5.478e-06	3.8178e-06	0.01	0.034426	
1.1171e-08	1.0474e-08	5.1445e-07	1.2206e-06	5.5116e-08	5.5776e-06	3.7576e-06	0.01	0.034453	
1.1586e-08	1.1014e-08	5.2128e-07	1.1153e-06	6.724e-08	5.6531e-06	3.6846e-06	0.01	0.034479	
1.2308e-08	5.7005e-09	5.3707e-07	1.054e-06	8.3315e-08	5.7652e-06	3.6323e-06	0.01	0.034506	
1.18e-08	8.0536e-09	5.4816e-07	9.7538e-07	9.7174e-08	5.8572e-06	3.5695e-06	0.01	0.034533	
1.0145e-08	9.162e-09	5.5525e-07	8.8427e-07	1.0918e-07	5.932e-06	3.4977e-06	0.01	0.034559	
8.4577e-09	1.1941e-08	5.6853e-07	8.1918e-07	1.2417e-07	6.0319e-06	3.4395e-06	0.01	0.034586	
1.5729e-08	1.3365e-08	5.7807e-07	7.4055e-07	1.3736e-07	6.1156e-06	3.373e-06	0.01	0.034613	
2.1786e-08	1.3586e-08	5.8402e-07	6.5162e-07	1.4885e-07	6.1839e-06	3.2986e-06	0.01	0.03464	
2.8569e-08	1.5654e-08	5.9596e-07	5.8488e-07	1.6345e-07	6.2762e-06	3.2366e-06	0.01	0.034667	
3.4098e-08	1.6459e-08	6.0424e-07	5.0842e-07	1.7626e-07	6.3528e-06	3.1667e-06	0.01	0.034694	
3.8385e-08	1.6019e-08	6.0889e-07	4.2214e-07	1.873e-07	6.4139e-06	3.0889e-06	0.01	0.034722	
4.3575e-08	1.767e-08	6.1992e-07	3.5586e-07	2.0192e-07	6.5004e-06	3.0236e-06	0.01	0.034749	
4.7179e-08	1.7081e-08	6.2677e-07	4.1007e-07	2.144e-07	6.5691e-06	2.9494e-06	0.01	0.034776	
4.9366e-08	1.4986e-08	6.2924e-07	4.5409e-07	2.2468e-07	6.6192e-06	2.8659e-06	0.01	0.034804	
5.3352e-08	1.6375e-08	6.4141e-07	4.1194e-07	2.4067e-07	6.7081e-06	2.8007e-06	0.01	0.034831	
6.183e-08	1.3138e-08	6.8668e-07	4.1092e-07	2.5103e-07	6.7322e-06	2.5317e-06	0.01	0.03486	
7.3963e-08	1.3482e-08	6.7959e-07	4.3097e-07	2.3891e-07	6.8733e-06	2.3754e-06	0.01	0.034888	
8.3595e-08	2.9698e-08	6.6439e-07	4.3438e-07	2.2346e-07	6.9874e-06	2.5327e-06	0.01	0.034916	
1.0089e-07	3.5239e-08	6.4283e-07	4.7175e-07	2.4318e-07	6.9966e-06	2.6758e-06	0.01	0.034943	
1.1554e-07	3.8103e-08	6.1504e-07	4.9577e-07	2.5953e-07	6.9808e-06	2.8057e-06	0.01	0.034971	
1.3588e-07	4.9222e-08	5.9924e-07	5.4578e-07	2.4862e-07	7.0127e-06	2.9616e-06	0.01	0.034999	
1.5326e-07	5.7957e-08	5.7755e-07	5.804e-07	2.3463e-07	7.0199e-06	3.1039e-06	0.01	0.035027	
1.6785e-07	6.3324e-08	5.4991e-07	6.0125e-07	2.1601e-07	8.0955e-06	3.2329e-06	0.01	0.035055	
1.7978e-07	6.5626e-08	5.1806e-07	6.0868e-07	1.9409e-07	9.118e-06	3.3488e-06	0.01	0.035083	
1.8403e-07	6.2071e-08	4.8018e-07	7.3076e-07	1.6875e-07	1.0089e-05	3.4519e-06	0.01	0.035111	
1.8582e-07	5.5508e-08	4.3625e-07	8.3434e-07	1.5158e-07	1.1269e-05	3.5426e-06	0.01	0.035139	
1.9129e-07	5.5445e-08	4.0247e-07	9.8086e-07	1.391e-07	1.2601e-05	3.6535e-06	0.01	0.035167	
1.9468e-07	5.3088e-08	3.6372e-07	1.1099e-06	1.2434e-07	1.3885e-05	3.7533e-06	0.01	0.035195	
1.9604e-07	4.8379e-08	3.1993e-07	1.2226e-06	1.0726e-07	1.5121e-05	3.8424e-06	0.01	0.035223	
1.9529e-07	6.9774e-08	2.7108e-07	1.3132e-06	8.7829e-08	1.6313e-05	3.9211e-06	0.01	0.03525	
1.9998e-07	1.1735e-07	2.7688e-07	1.248e-06	8.7229e-08	1.6867e-05	3.902e-06	0.01	0.035278	
2.0296e-07	1.5907e-07	2.7928e-07	1.171e-06	8.5058e-08	1.7395e-05	3.8741e-06	0.01	0.035306	
2.0877e-07	2.3191e-07	2.8529e-07	1.12e-06	8.4465e-08	1.7993e-05	3.8597e-06	0.01	0.035334	
2.1294e-07	2.9722e-07	2.8805e-07	1.0585e-06	8.2385e-08	1.8566e-05	3.8371e-06	0.01	0.035362	
2.155e-07	3.5575e-07	2.8758e-07	9.8659e-07	7.882e-08	1.9116e-05	3.8062e-06	0.01	0.03539	
2.2093e-07	3.6153e-07	2.9066e-07	9.3898e-07	7.6742e-08	1.9736e-05	3.7884e-06	0.01	0.035418	
2.2942e-07	3.2771e-07	2.974e-07	9.127e-07	7.6079e-08	2.0435e-05	3.7837e-06	0.01	0.035446	
2.3624e-07	2.892e-07	3.0089e-07	8.7691e-07	7.3958e-08	2.1107e-05	3.7708e-06	0.01	0.035475	
2.4142e-07	2.4579e-07	3.0116e-07	8.3172e-07	7.0394e-08	2.1755e-05	3.7498e-06	0.01	0.035503	
2.5018e-07	2.2235e-07	2.9259e-07	8.0566e-07	6.5321e-08	2.2374e-05	4.3017e-06	0.01	0.035531	
2.5727e-07	1.9536e-07	2.808e-07	7.7054e-07	5.8798e-08	2.2969e-05	4.8398e-06	0.01	0.035559	
2.6775e-07	1.8182e-07	2.7262e-07	7.5254e-07	5.3617e-08	2.3642e-05	5.4271e-06	0.01	0.035587	
2.7648e-07	1.654e-07	2.6123e-07	7.2549e-07	4.7001e-08	2.4288e-05	5.9996e-06	0.01	0.035616	
2.8344e-07	1.4587e-07	2.4655e-07	6.8917e-07	3.8923e-08	2.4909e-05	6.5571e-06	0.01	0.035644	
2.8855e-07	1.2271e-07	2.2846e-07	6.4302e-07	2.9324e-08	2.5502e-05	7.0988e-06	0.01	0.035672	
2.9161e-07	9.4833e-08	2.0666e-07	5.8569e-07	1.8063e-08	2.6064e-05	7.6225e-06	0.01	0.0357	
2.7578e-07	8.5678e-08	1.9141e-07	5.6249e-07	9.1981e-09	2.6753e-05	7.6823e-06	0.01	0.035729	
2.5657e-07	7.2022e-08	1.7169e-07	5.2642e-07	1.0303e-08	2.735e-05	7.7266e-06	0.01	0.035758	
2.5813e-07	7.4893e-08	1.473e-07	4.2192e-07	9.9914e-09	2.7899e-05	7.7548e-06	0.01	0.035786	
2.57e-07	7.4609e-08	1.1822e-07	2.9875e-07	2.137e-08	2.8362e-05	7.7676e-06	0.01	0.035814	
2.5319e-07	7.1172e-08	8.4324e-08	1.5559e-07	3.0733e-08	2.8781e-05	7.765e-06	0.01	0.035843	
2.4579e-07	6.2489e-08	9.5308e-08	1.3178e-07	3.8141e-08	2.9156e-05	7.746e-06	0.01	0.035871	
2.3563e-07	4.9853e-08	1.0259e-07	9.7922e-08	4.3649e-08	2.9488e-05	7.7117e-06	0.01	0.035899	
2.309e-07	4.6565e-08	1.1342e-07	7.5087e-08	5.1575e-08	2.9935e-05	7.711e-06	0.01	0.035927	
2.2351e-07	4.0364e-08	1.2041e-07	4.2983e-08	5.747e-08	3.0337e-05	7.6947e-06	0.01	0.035956	
1.9785e-07	4.1526e-08	1.2352e-07	2.1515e-08	6.6607e-08	3.0881e-05	7.662e-06	0.01	0.035984	
1.6422e-07	3.8518e-08	1.1965e-07	2.0539e-08	7.3365e-08	3.1363e-05	8.2096e-06	0.01	0.036012	
1.5584e-07	2.9636e-08	1.1179e-07	3.243e-08	7.7889e-08	3.1795e-05	8.7259e-06	0.01	0.036041	
1.4395e-07	1.468e-08	9.9954e-08	9.2246e-08	8.023e-08	3.2177e-05	9.213e-06	0.01	0.036069	
1.3675e-07	8.7356e-09	9.1865e-08	1.7743e-07	8.5672e-08	3.2687e-05	9.7827e-06	0.01	0.036098	
1.3623e-07	7.5948e-09	7.9778e-08	2.0077e-07	8.8841e-08	3.3145e-05	1.0316e-05	0.01	0.036128	
1.3345e-07	4.7832e-09	6.3852e-08	2.1365e-07	8.9837e-08	3.3555e-05	1.0821e-05	0.01	0.036157	
1.3443e-07	4.0912e-09	5.1344e-08	2.414e-07	9.406e-08	3.4098e-05	1.1412e-05	0.01	0.036187	
1.3315e-07	1.9741e-09	3.5182e-08	2.5806e-07	9.606e-08	3.4589e-05	1.1972e-05	0.01	0.036217	
1.4549e-07	2.0245e-09	4.4033e-08	2.3815e-07	9.58e-08	3.5028e-05	1.2481e-05	0.01	0.036246	
1.636e-07	2.9972e-09	3.5297e-08	2.3329e-07	9.994e-08	3.4557e-05	1.3088e-05	0.01	0.036276	
1.9054e-07	5.7549e-09	2.3213e-08	2.4325e-07	1.0179e-07	3.4033e-05	1.3662e-05	0.01	0.036306	
2.1391e-07	6.9223e-09	3.1768e-08	2.4254e-07	1.0138e-07	3.3458e-05	1.4203e-05	0.01	0.036336	
2.4649e-07	1.1057e-08	4.199e-08	2.5653e-07	1.0441e-07	3.3018e-05	1.4839e-05	0.01	0.036366	
2.6769e-07	1.2121e-08	4.8832e-08	3.5516e-07	1.0511e-07	3.2526e-05	1.5439e-05	0.01	0.036396	
2.8545e-07	1.1416e-08	5.2379e-08	4.3664e-07	1.0354e-07	3.1985e-05	1.6007e-05	0.01	0.036426	
3.1394e-07	5.3744e-09	5.2644e-08	5.7058e-07	9.9674e-08	3.1392e-05	1.6542e-05	0.01	0.036456	
3.3796e-07	6.3815e-09	5.0123e-08	6.7509e-07	1.3112e-07	3.0696e-05	1.7043e-05	0.01	0.036486	
3.4567e-07	5.7056e-09	4.9683e-08	7.4841e-07	1.7413e-07	3.0144e-05	1.7019e-05	0.01	0.036516	
3.6074e-07	7.0075e-09	5.0847e-08	8.6744e-07	2.3266e-07	2.972e-05	1.7048e-05	0.01	0.036547	
3.7042e-07	2.1498e-08	9.8756e-08	9.5139e-07	2.8486e-07	2.9246e-05	1.7049e-05	0.01	0.036577	
3.7919e-07	3.5238e-08	1.4452e-07	1.0304e-06	3.3608e-07	2.8764e-05	1.7045e-05	0.01	0.036608	
3.8706e-07	4.8227e-08	1.8815e-07	1.1044e-06	3.8635e-07	2.8273e-05	1.7036e-05	0.01	0.036639	
3.9401e-07	6.0465e-08	2.2963e-07	1.1734e-06	4.3564e-07	2.7772e-05	1.7023e-05	0.01	0.036669	
4.0006e-07	7.1953e-08	2.6896e-07	1.2374e-06	4.8397e-07	2.7263e-05	1.7006e-05	0.01	0.0367	
4.0519e-07	8.269e-08	3.0616e-07	1.2965e-06	5.3134e-07	2.6745e-05	1.6983e-05	0.01	0.036731	
4.0941e-07	9.2676e-08	3.4121e-07	1.3506e-06	5.7774e-07	2.6219e-05	1.6957e-05	0.01	0.036761	
4.1273e-07	1.0191e-07	3.7412e-07	1.3997e-06	6.2317e-07	2.5683e-05	1.6925e-05	0.01	0.036792	
4.1514e-07	1.104e-07	4.0489e-07	1.4439e-06	6.6763e-07	2.5139e-05	1.6889e-05	0.01	0.036823	
4.1663e-07	1.1813e-07	4.3351e-07	1.483e-06	7.1114e-07	2.4585e-05	1.6849e-05	0.01	0.036854	
4.1722e-07	1.2511e-07	4.5999e-07	1.5172e-06	7.5367e-07	2.4023e-05	1.6804e-05	0.01	0.036884	
4.169e-07	1.3135e-07	4.8433e-07	1.5465e-06	7.9524e-07	2.3452e-05	1.6754e-05	0.01	0.036915	
4.1566e-07	1.3683e-07	5.0653e-07	1.5707e-06	8.3585e-07	2.2872e-05	1.67e-05	0.01	0.036946	
4.1352e-07	1.4156e-07	5.2658e-07	1.59e-06	8.7549e-07	2.2283e-05	1.6641e-05	0.01	0.036977	
4.1047e-07	1.4554e-07	5.4449e-07	1.6043e-06	9.1416e-07	2.1685e-05	1.6578e-05	0.01	0.037008	
4.0651e-07	1.4877e-07	5.6026e-07	1.6137e-06	9.5187e-07	2.1079e-05	1.651e-05	0.01	0.037039	
4.0163e-07	1.5125e-07	5.7389e-07	1.618e-06	9.8861e-07	2.0463e-05	1.6437e-05	0.01	0.03707	
3.9585e-07	1.5298e-07	5.8537e-07	1.6174e-06	1.0244e-06	1.9839e-05	1.636e-05	0.01	0.037101	
