Struthio_camelus_australis	Rhea_americana	Nothoprocta_perdicaria	Dromaius_novaehollandiae	Casuarius_casuarius	Apteryx_rowi	Apteryx_australis_mantelli	
6.2461e-06	4.0025e-07	0.99648	8.0679e-06	0.01	0.01	0.01	
6.1504e-06	4.1494e-07	0.99617	8.0622e-06	0.01	0.01	0.01	
6.5297e-06	4.2572e-07	0.99576	8.0477e-06	0.01	0.01	0.01	
6.8881e-06	4.3337e-07	0.99533	8.0246e-06	0.01	0.01	0.01	
7.2819e-06	4.4398e-07	0.99503	8.0088e-06	0.01	0.01	0.01	
7.7144e-06	4.5772e-07	0.99413	8.0004e-06	0.01	0.01	0.01	
8.1882e-06	4.7472e-07	0.99207	7.9993e-06	0.01	0.01	0.01	
8.6391e-06	4.8853e-07	0.98987	7.9898e-06	0.01	0.01	0.01	
9.1311e-06	5.0552e-07	0.98799	7.9871e-06	0.01	0.01	0.01	
9.6005e-06	5.1939e-07	0.98598	7.9762e-06	0.01	0.01	0.01	
1.005e-05	5.3036e-07	0.98383	7.9576e-06	0.01	0.01	0.01	
1.0539e-05	5.4438e-07	0.97866	7.9455e-06	0.01	0.01	0.01	
1.1009e-05	5.5557e-07	0.97315	7.9259e-06	0.01	0.01	0.01	
1.1519e-05	5.6967e-07	0.9683	7.9123e-06	0.01	0.01	0.01	
1.2008e-05	5.8088e-07	0.96313	7.891e-06	0.01	0.01	0.01	
1.2538e-05	5.9495e-07	0.95856	7.8755e-06	0.01	0.01	0.01	
1.311e-05	6.1197e-07	0.95454	7.8657e-06	0.01	0.01	0.01	
1.3728e-05	6.3206e-07	0.95101	7.8613e-06	0.01	0.01	0.01	
1.4396e-05	6.554e-07	0.94792	7.8625e-06	0.01	0.01	0.01	
1.5116e-05	6.8222e-07	0.94523	7.8691e-06	0.01	0.01	0.01	
1.5811e-05	7.0596e-07	0.94236	7.8684e-06	0.01	0.01	0.01	
1.6562e-05	7.3334e-07	0.93988	7.8732e-06	0.01	0.01	0.01	
1.7372e-05	7.6466e-07	0.93775	7.8836e-06	0.01	0.01	0.01	
1.8248e-05	8.0026e-07	0.93596	7.8996e-06	0.01	0.01	0.01	
1.9095e-05	8.3263e-07	0.93403	7.9084e-06	0.01	0.01	0.01	
1.9914e-05	8.6176e-07	0.93195	7.9099e-06	0.01	0.01	0.01	
2.1114e-05	9.1168e-07	0.92696	7.9037e-06	0.01	0.01	0.01	
2.2274e-05	9.5777e-07	0.92164	7.8898e-06	0.01	0.01	0.01	
2.3526e-05	1.0095e-06	0.91694	7.8817e-06	0.01	0.01	0.01	
2.4877e-05	9.8344e-07	0.9128	7.8792e-06	0.01	0.01	0.01	
2.6329e-05	9.6149e-07	0.90917	7.8821e-06	0.01	0.01	0.01	
2.7745e-05	9.3659e-07	0.90531	7.8781e-06	0.01	0.01	0.01	
2.9263e-05	9.1547e-07	0.90192	7.8791e-06	0.01	0.01	0.01	
3.0741e-05	8.9137e-07	0.89832	7.8731e-06	0.01	0.01	0.01	
3.2181e-05	8.6427e-07	0.89448	7.8602e-06	0.01	0.01	0.01	
3.3722e-05	8.4077e-07	0.89111	7.8521e-06	0.01	0.01	0.01	
3.5372e-05	8.2067e-07	0.88093	7.8487e-06	0.01	0.01	0.01	
3.6986e-05	7.9789e-07	0.87024	7.8388e-06	0.01	0.01	0.01	
3.8709e-05	7.7825e-07	0.86054	7.8334e-06	0.01	0.01	0.01	
4.0548e-05	7.6158e-07	0.85173	7.8324e-06	0.01	0.01	0.01	
4.2511e-05	7.4772e-07	0.84373	7.8357e-06	0.01	0.01	0.01	
4.4604e-05	7.3657e-07	0.83648	7.8433e-06	0.01	0.01	0.01	
4.6836e-05	7.2803e-07	0.82991	7.8552e-06	0.01	0.01	0.01	
4.9024e-05	7.1704e-07	0.82302	7.8607e-06	0.01	0.01	0.01	
5.1359e-05	7.0865e-07	0.81679	7.8706e-06	0.01	0.01	0.01	
5.364e-05	6.9767e-07	0.81416	7.8739e-06	0.01	0.01	0.01	
5.5876e-05	6.8424e-07	0.81135	7.8709e-06	0.01	0.01	0.01	
5.8261e-05	6.7337e-07	0.80154	7.8721e-06	0.01	0.01	0.01	
6.0597e-05	6.5998e-07	0.79124	7.8669e-06	0.01	0.01	0.01	
6.2885e-05	6.4408e-07	0.78044	7.8552e-06	0.01	0.01	0.01	
6.5127e-05	6.2568e-07	0.76911	7.8371e-06	0.01	0.01	0.01	
6.7513e-05	6.0971e-07	0.75876	7.8231e-06	0.01	0.01	0.01	
7.0052e-05	5.9605e-07	0.74933	7.813e-06	0.01	0.01	0.01	
7.2547e-05	5.8008e-07	0.73946	7.7969e-06	0.01	0.01	0.01	
7.4999e-05	5.6183e-07	0.72913	7.7747e-06	0.01	0.01	0.01	
7.7604e-05	5.4573e-07	0.7197	7.7563e-06	0.01	0.01	0.01	
8.0166e-05	5.2739e-07	0.70984	7.7319e-06	0.01	0.01	0.01	
8.2884e-05	5.1109e-07	0.70084	7.7112e-06	0.01	0.01	0.01	
8.5768e-05	4.9672e-07	0.69263	7.6942e-06	0.01	0.01	0.01	
8.8604e-05	4.8016e-07	0.68904	7.6712e-06	0.01	0.01	0.01	
9.1612e-05	4.6542e-07	0.68588	7.6518e-06	0.01	0.01	0.01	
9.4799e-05	4.524e-07	0.68314	7.6359e-06	0.01	0.01	0.01	
9.8175e-05	4.4099e-07	0.6808	7.6235e-06	0.01	0.01	0.01	
9.859e-05	4.3112e-07	0.67884	7.6146e-06	0.01	0.01	0.01	
9.9061e-05	4.2269e-07	0.67724	7.609e-06	0.01	0.01	0.01	
9.9591e-05	4.1564e-07	0.676	7.6068e-06	0.01	0.01	0.01	
0.00010018	4.0991e-07	0.6751	7.6078e-06	0.01	0.01	0.01	
0.00010075	4.0218e-07	0.67404	7.6032e-06	0.01	0.01	0.01	
0.00010138	3.9573e-07	0.67333	7.6017e-06	0.01	0.01	0.01	
0.00010199	3.8723e-07	0.67244	7.5944e-06	0.01	0.01	0.01	
0.00010266	3.7997e-07	0.6719	7.5903e-06	0.01	0.01	0.01	
0.0001034	3.7392e-07	0.67169	7.5894e-06	0.01	0.01	0.01	
0.0001042	3.6904e-07	0.67183	7.5918e-06	0.01	0.01	0.01	
0.00010508	3.6533e-07	0.6723	7.5975e-06	0.01	0.01	0.01	
0.00010593	3.5957e-07	0.6726	7.5972e-06	0.01	0.01	0.01	
0.00010675	3.5174e-07	0.67273	7.5909e-06	0.01	0.01	0.01	
0.00010765	3.4513e-07	0.67321	7.5881e-06	0.01	0.01	0.01	
0.00010852	3.3649e-07	0.67352	7.5794e-06	0.01	0.01	0.01	
0.00010937	3.2577e-07	0.67365	7.5645e-06	0.01	0.01	0.01	
0.0001103	3.164e-07	0.67416	7.5537e-06	0.01	0.01	0.01	
0.00011132	3.084e-07	0.67508	7.5472e-06	0.01	0.01	0.01	
0.00011242	3.0181e-07	0.67644	7.5452e-06	0.01	0.01	0.01	
0.0001135	2.9295e-07	0.67755	7.5363e-06	0.01	0.01	0.01	
0.00011455	2.817e-07	0.67841	7.5204e-06	0.01	0.01	0.01	
0.00011555	2.6802e-07	0.67901	8.341e-06	0.01	0.01	0.01	
0.00011652	2.5173e-07	0.68264	9.1457e-06	0.01	0.01	0.01	
0.00011759	2.3732e-07	0.68697	9.9802e-06	0.01	0.01	0.01	
0.00011862	2.8854e-07	0.69092	1.08e-05	0.01	0.01	0.01	
0.00011848	2.9901e-07	0.69681	1.165e-05	0.01	0.01	0.01	
0.00011831	3.0716e-07	0.70228	1.2486e-05	0.01	0.01	0.01	
0.00011822	3.1683e-07	0.70852	1.335e-05	0.01	0.01	0.01	
0.00011809	3.2422e-07	0.71434	1.42e-05	0.01	0.01	0.01	
0.00011795	3.2948e-07	0.71982	1.5039e-05	0.01	0.01	0.01	
0.00011786	3.3604e-07	0.72597	1.5903e-05	0.01	0.01	0.01	
0.00011775	3.4045e-07	0.73175	1.6755e-05	0.01	0.01	0.01	
0.00011762	3.4274e-07	0.7372	1.7596e-05	0.01	0.01	0.01	
0.00011755	3.4622e-07	0.74329	1.8461e-05	0.01	0.01	0.01	
0.00011746	3.4762e-07	0.74904	1.9315e-05	0.01	0.01	0.01	
0.00011735	3.4703e-07	0.7545	2.0159e-05	0.01	0.01	0.01	
0.00011721	3.4449e-07	0.7597	2.0994e-05	0.01	0.01	0.01	
0.00011714	3.4298e-07	0.76546	2.1851e-05	0.01	0.01	0.01	
0.00011704	3.3955e-07	0.77095	2.2699e-05	0.01	0.01	0.01	
0.00011693	3.3424e-07	0.7762	2.3538e-05	0.01	0.01	0.01	
0.00011688	3.2986e-07	0.78198	2.4399e-05	0.01	0.01	0.01	
0.0001168	3.2357e-07	0.78751	2.525e-05	0.01	0.01	0.01	
0.00011671	3.1536e-07	0.79278	2.6092e-05	0.01	0.01	0.01	
0.00011666	3.0803e-07	0.79858	2.6956e-05	0.01	0.01	0.01	
