Equus_przewalskii	Equus_caballus	Equus_asinus	Ceratotherium_simum_simum	
0.01	0.01	8.9346e-05	4.6531e-05	
0.01	0.01	8.8988e-05	4.6282e-05	
0.01	0.01	8.8619e-05	4.6015e-05	
0.01	0.01	8.8239e-05	4.5728e-05	
0.01	0.01	8.7866e-05	4.5493e-05	
0.01	0.01	8.7482e-05	4.5241e-05	
0.01	0.01	8.7105e-05	4.4437e-05	
0.01	0.01	8.6736e-05	4.3719e-05	
0.01	0.01	8.6373e-05	4.3078e-05	
0.01	0.01	8.6016e-05	4.2509e-05	
0.01	0.01	8.5667e-05	4.2004e-05	
0.01	0.01	8.5324e-05	4.1559e-05	
0.01	0.01	8.4987e-05	4.1169e-05	
0.01	0.01	8.4657e-05	4.083e-05	
0.01	0.01	8.4315e-05	4.0473e-05	
0.01	0.01	8.3963e-05	4.0099e-05	
0.01	0.01	8.3618e-05	3.9775e-05	
0.01	0.01	8.3278e-05	3.9498e-05	
0.01	0.01	8.2945e-05	3.9265e-05	
0.01	0.01	8.2618e-05	3.9073e-05	
0.01	0.01	8.2297e-05	3.8922e-05	
0.01	0.01	8.1965e-05	3.8756e-05	
0.01	0.01	8.1639e-05	3.863e-05	
0.01	0.01	8.1303e-05	3.849e-05	
0.01	0.01	8.0973e-05	3.839e-05	
0.01	0.01	8.0649e-05	3.8327e-05	
0.01	0.01	8.0332e-05	3.7852e-05	
0.01	0.01	8.0004e-05	3.7359e-05	
0.01	0.01	7.9665e-05	3.6845e-05	
0.01	0.01	7.9332e-05	3.639e-05	
0.01	0.01	7.9005e-05	3.5989e-05	
0.01	0.01	7.8685e-05	3.564e-05	
0.01	0.01	7.8371e-05	3.5338e-05	
0.01	0.01	7.8063e-05	3.5082e-05	
0.01	0.01	7.7744e-05	3.481e-05	
0.01	0.01	7.7414e-05	3.4522e-05	
0.01	0.01	7.7091e-05	3.4278e-05	
0.01	0.01	7.6756e-05	3.4019e-05	
0.01	0.01	7.6411e-05	3.3745e-05	
0.01	0.01	7.6055e-05	3.3453e-05	
0.01	0.01	7.7828e-05	3.311e-05	
0.01	0.01	7.962e-05	3.2817e-05	
0.01	0.01	8.143e-05	3.2571e-05	
0.01	0.01	8.3226e-05	3.2308e-05	
0.01	0.01	8.5009e-05	3.2027e-05	
0.01	0.01	8.681e-05	3.1792e-05	
0.01	0.01	8.8631e-05	3.1602e-05	
0.01	0.01	9.0471e-05	3.1453e-05	
0.01	0.01	9.2331e-05	3.1345e-05	
0.01	0.01	9.4212e-05	3.1276e-05	
0.01	0.01	9.6078e-05	3.1192e-05	
0.01	0.01	9.793e-05	3.1092e-05	
0.01	0.01	9.9803e-05	3.1032e-05	
0.01	0.01	0.00010166	3.0957e-05	
0.01	0.01	0.00010354	3.0558e-05	
0.01	0.01	0.00010541	3.045e-05	
0.01	0.01	0.00010729	3.0008e-05	
0.01	0.01	0.00010917	2.9544e-05	
0.01	0.01	0.00011102	2.9055e-05	
0.01	0.01	0.00011287	2.8884e-05	
0.01	0.01	0.00011469	2.8695e-05	
0.01	0.01	0.00011654	2.8548e-05	
0.01	0.01	0.00011838	2.8387e-05	
0.01	0.01	0.0001202	2.8209e-05	
0.01	0.01	0.00012204	2.8073e-05	
0.01	0.01	0.00012387	2.7922e-05	
0.01	0.01	0.00012569	2.7754e-05	
0.01	0.01	0.00012752	2.7627e-05	
0.01	0.01	0.00012934	2.7484e-05	
0.01	0.01	0.00013115	2.7326e-05	
0.01	0.01	0.00013298	2.7207e-05	
0.01	0.01	0.0001348	2.7074e-05	
0.01	0.01	0.0001366	2.6924e-05	
0.01	0.01	0.00013842	2.6429e-05	
0.01	0.01	0.00014023	2.6247e-05	
0.01	0.01	0.00014205	2.6104e-05	
0.01	0.01	0.00014387	2.5947e-05	
0.01	0.01	0.00014567	2.5774e-05	
0.01	0.01	0.00014746	2.5584e-05	
0.01	0.01	0.00014923	2.5379e-05	
0.01	0.01	0.00015098	2.5158e-05	
0.01	0.01	0.00015273	2.4919e-05	
0.01	0.01	0.00015445	2.4663e-05	
0.01	0.01	0.00015617	2.4389e-05	
0.01	0.01	0.00015787	2.4099e-05	
0.01	0.01	0.00015959	2.3854e-05	
0.01	0.01	0.00016129	2.3592e-05	
0.01	0.01	0.00016299	2.3314e-05	
0.01	0.01	0.00016467	2.3018e-05	
0.01	0.01	0.00016637	2.2277e-05	
0.01	0.01	0.00016805	2.1504e-05	
0.01	0.01	0.00016976	2.0816e-05	
0.01	0.01	0.00017146	2.0101e-05	
0.01	0.01	0.00017314	1.9358e-05	
0.01	0.01	0.00017484	1.8696e-05	
0.01	0.01	0.00017656	1.8107e-05	
0.01	0.01	0.00017827	1.7495e-05	
0.01	0.01	0.00017997	1.6855e-05	
0.01	0.01	0.00018169	1.6287e-05	
0.01	0.01	0.00018339	1.5694e-05	
0.01	0.01	0.00018512	1.5167e-05	
0.01	0.01	0.00018683	1.4617e-05	
0.01	0.01	0.00018853	1.4045e-05	
0.01	0.01	0.00019022	1.3449e-05	
0.01	0.01	0.00019188	1.2826e-05	
0.01	0.01	0.00019354	1.2533e-05	
0.01	0.01	0.00019518	1.2204e-05	
0.01	0.01	0.00019684	1.1464e-05	
0.01	0.01	0.00019848	1.0692e-05	
0.01	0.01	0.00020012	9.8884e-06	
0.01	0.01	0.00020173	9.0512e-06	
0.01	0.01	0.00020333	8.1796e-06	
0.01	0.01	0.00020496	7.4004e-06	
0.01	0.01	0.00020657	6.5893e-06	
0.01	0.01	0.0002082	5.8633e-06	
0.01	0.01	0.00020982	5.4969e-06	
0.01	0.01	0.00021142	5.1137e-06	
0.01	0.01	0.00021301	4.7146e-06	
0.01	0.01	0.00021462	4.3574e-06	
0.01	0.01	0.00021622	4.1894e-06	
0.01	0.01	0.0002178	4.0117e-06	
0.01	0.01	0.00021941	3.8542e-06	
0.01	0.01	0.000221	3.6879e-06	
0.01	0.01	0.00022261	3.5399e-06	
0.01	0.01	0.00022425	3.4085e-06	
0.01	0.01	0.0002259	3.2921e-06	
0.01	0.01	0.00022754	3.1686e-06	
0.01	0.01	0.0002292	3.0589e-06	
0.01	0.01	0.00023085	2.9425e-06	
0.01	0.01	0.00023248	2.8193e-06	
0.01	0.01	0.00023414	2.709e-06	
0.01	0.01	0.00023578	2.5923e-06	
0.01	0.01	0.00023741	2.4692e-06	
0.01	0.01	0.00023906	2.3583e-06	
0.01	0.01	0.0002407	2.2413e-06	
0.01	0.01	0.00024235	2.1356e-06	
0.01	0.01	0.000244	2.0241e-06	
0.01	0.01	0.00024563	1.9065e-06	
0.01	0.01	0.00024725	1.7832e-06	
0.01	0.01	0.00024889	1.671e-06	
0.01	0.01	0.00025052	1.553e-06	
0.01	0.01	0.00025216	1.4453e-06	
0.01	0.01	0.00025379	1.4065e-06	
0.01	0.01	0.00025542	1.3635e-06	
0.01	0.01	0.00025706	1.3259e-06	
0.01	0.01	0.00025872	1.2935e-06	
0.01	0.01	0.00026036	1.2569e-06	
0.01	0.01	0.00026203	1.2251e-06	
0.01	0.01	0.00026371	1.1977e-06	
0.01	0.01	0.00026539	1.1665e-06	
0.01	0.01	0.00026708	1.1394e-06	
0.01	0.01	0.00026879	1.1165e-06	
0.01	0.01	0.00027049	1.0897e-06	
0.01	0.01	0.00027218	1.0592e-06	
0.01	0.01	0.00027388	1.0326e-06	
0.01	0.01	0.00027558	1.0024e-06	
0.01	0.01	0.00027726	9.6847e-07	
0.01	0.01	0.00027897	9.383e-07	
0.01	0.01	0.00028066	9.0442e-07	
0.01	0.01	0.00028237	8.7409e-07	
0.01	0.01	0.0002841	8.471e-07	
0.01	0.01	0.00028585	8.2327e-07	
0.01	0.01	0.00028758	7.9596e-07	
0.01	0.01	0.00028931	7.6506e-07	
0.01	0.01	0.00029102	7.7188e-07	
0.01	0.01	0.00029272	7.7535e-07	
0.01	0.01	0.00029444	7.8133e-07	
0.01	0.01	0.00029618	7.8983e-07	
0.01	0.01	0.00029791	7.9502e-07	
0.01	0.01	0.00029963	7.9682e-07	
0.01	0.01	0.00030134	7.9526e-07	
0.01	0.01	0.00030303	7.9033e-07	
0.01	0.01	0.00030475	7.8779e-07	
0.01	0.01	0.00030645	7.8201e-07	
0.01	0.01	0.00030817	7.7856e-07	
0.01	0.01	0.00030991	7.7741e-07	
0.01	0.01	0.00031164	7.7305e-07	
0.01	0.01	0.00031339	7.7094e-07	
0.01	0.01	0.00031515	7.7106e-07	
0.01	0.01	0.00031691	7.6799e-07	
0.01	0.01	0.00031868	7.6712e-07	
0.01	0.01	0.00032048	7.6848e-07	
0.01	0.01	0.00032229	7.7206e-07	
0.01	0.01	0.00032409	7.7236e-07	
0.01	0.01	0.00032588	7.6939e-07	
0.01	0.01	0.00032768	7.6866e-07	
0.01	0.01	0.00032948	7.6472e-07	
0.01	0.01	0.0003313	7.6303e-07	
0.01	0.01	0.0003331	7.9998e-07	
0.01	0.01	0.00033493	8.4012e-07	
0.01	0.01	0.00033674	8.7678e-07	
0.01	0.01	0.00033858	9.1673e-07	
0.01	0.01	0.0003404	9.5329e-07	
0.01	0.01	0.00034222	9.8647e-07	
0.01	0.01	0.00034405	1.023e-06	
0.01	0.01	0.0003459	1.063e-06	
0.01	0.01	0.00034774	1.0995e-06	
0.01	0.01	0.00034957	1.1326e-06	
0.01	0.01	0.00035142	1.1692e-06	
0.01	0.01	0.00035328	1.2095e-06	
0.01	0.01	0.00035514	1.2464e-06	
0.01	0.01	0.00035702	1.2872e-06	
0.01	0.01	0.00035888	1.3245e-06	
0.01	0.01	0.00036077	1.3658e-06	
0.01	0.01	0.00036264	1.4036e-06	
0.01	0.01	0.00036453	1.4456e-06	
0.01	0.01	0.00036642	1.484e-06	
0.01	0.01	0.00036829	1.5191e-06	
0.01	0.01	0.00037016	1.5506e-06	
0.01	0.01	0.00037201	1.5785e-06	
0.01	0.01	0.00037386	1.6029e-06	
0.01	0.01	0.00037572	1.6315e-06	
0.01	0.01	0.0003776	1.6643e-06	
0.01	0.01	0.00037947	1.6936e-06	
0.01	0.01	0.00038136	1.7273e-06	
0.01	0.01	0.00038324	1.7573e-06	
0.01	0.01	0.00038514	1.7919e-06	
0.01	0.01	0.00038706	1.8313e-06	
0.01	0.01	0.000389	1.8757e-06	
0.01	0.01	0.00039093	1.9164e-06	
0.01	0.01	0.00039288	1.9624e-06	
0.01	0.01	0.00039482	2.0045e-06	
0.01	0.01	0.00039678	2.052e-06	
0.01	0.01	0.00039873	2.0957e-06	
0.01	0.01	0.00040067	2.1356e-06	
0.01	0.01	0.00040262	2.1811e-06	
0.01	0.01	0.00040457	2.2226e-06	
0.01	0.01	0.00040661	2.2712e-06	
0.01	0.01	0.00040867	2.326e-06	
0.01	0.01	0.00041073	2.3768e-06	
0.01	0.01	0.00041277	2.4235e-06	
0.01	0.01	0.00041483	2.4764e-06	
0.01	0.01	0.00041688	2.5254e-06	
0.01	0.01	0.00041895	2.5809e-06	
0.01	0.01	0.00042102	2.6324e-06	
0.01	0.01	0.0004231	2.6905e-06	
0.01	0.01	0.00042521	2.7556e-06	
0.01	0.01	0.0004273	2.8167e-06	
0.01	0.01	0.00042939	2.8736e-06	
0.01	0.01	0.00043146	2.9264e-06	
0.01	0.01	0.00043353	2.975e-06	
0.01	0.01	0.00043558	3.0194e-06	
0.01	0.01	0.00043763	3.0598e-06	
0.01	0.01	0.00043969	3.107e-06	
0.01	0.01	0.00044178	3.1614e-06	
0.01	0.01	0.00044389	3.2231e-06	
0.01	0.01	0.00044602	3.2925e-06	
0.01	0.01	0.00044818	3.37e-06	
0.01	0.01	0.00045032	3.4432e-06	
0.01	0.01	0.00045249	3.525e-06	
0.01	0.01	0.00045464	3.6023e-06	
0.01	0.01	0.00045679	3.6753e-06	
0.01	0.01	0.00045896	3.7571e-06	
0.01	0.01	0.00046111	3.8344e-06	
0.01	0.01	0.00046326	3.9073e-06	
0.01	0.01	0.0004654	3.9756e-06	
0.01	0.01	0.00046756	4.0529e-06	
0.01	0.01	0.00046971	4.1255e-06	
0.01	0.01	0.00047185	4.1934e-06	
0.01	0.01	0.00047401	4.2707e-06	
0.01	0.01	0.0004762	4.3581e-06	
0.01	0.01	0.00047838	4.4404e-06	
0.01	0.01	0.00048058	4.5332e-06	
0.01	0.01	0.00048277	4.6211e-06	
0.01	0.01	0.00048495	4.7039e-06	
0.01	0.01	0.00048715	4.7978e-06	
0.01	0.01	0.00048934	4.8865e-06	
0.01	0.01	0.00049152	4.9699e-06	
0.01	0.01	0.00049373	5.0652e-06	
0.01	0.01	0.00049593	5.1547e-06	
0.01	0.01	0.00049815	5.0906e-06	
0.01	0.01	0.00050041	5.0378e-06	
0.01	0.01	0.00050265	4.9794e-06	
0.01	0.01	0.00050492	4.932e-06	
0.01	0.01	0.00050722	4.8954e-06	
0.01	0.01	0.00050955	4.8693e-06	
0.01	0.01	0.00051186	4.8318e-06	
0.01	0.01	0.00051421	4.8047e-06	
0.01	0.01	0.00051654	4.7724e-06	
0.01	0.01	0.00051886	4.7346e-06	
0.01	0.01	0.00052121	4.7071e-06	
0.01	0.01	0.00052355	4.6743e-06	
0.01	0.01	0.00052591	4.6515e-06	
0.01	0.01	0.00052831	4.6387e-06	
0.01	0.01	0.00053069	4.6207e-06	
0.01	0.01	0.00053306	4.5977e-06	
0.01	0.01	0.00053546	4.5846e-06	
0.01	0.01	0.0005379	4.5813e-06	
0.01	0.01	0.00054032	4.5729e-06	
0.01	0.01	0.00054272	4.5594e-06	
0.01	0.01	0.00054516	4.5558e-06	
0.01	0.01	0.00054758	4.5468e-06	
0.01	0.01	0.00055004	4.5478e-06	
0.01	0.01	0.00055248	4.5435e-06	
0.01	0.01	0.00055491	4.5338e-06	
0.01	0.01	0.00055737	4.5342e-06	
0.01	0.01	0.00055982	4.5294e-06	
0.01	0.01	0.0005623	4.5348e-06	
0.01	0.01	0.00056481	4.5506e-06	
0.01	0.01	0.00056736	4.5772e-06	
0.01	0.01	0.00056989	4.598e-06	
0.01	0.01	0.00057241	4.6127e-06	
0.01	0.01	0.00057497	4.6388e-06	
0.01	0.01	0.0005775	4.6589e-06	
0.01	0.01	0.00058008	4.6908e-06	
0.01	0.01	0.00058264	4.7166e-06	
0.01	0.01	0.00058524	4.7548e-06	
0.01	0.01	0.00058787	4.8061e-06	
0.01	0.01	0.00059049	4.8502e-06	
0.01	0.01	0.00059315	4.9083e-06	
0.01	0.01	0.00059586	4.9814e-06	
0.01	0.01	0.00059854	5.0469e-06	
0.01	0.01	0.00060121	5.2398e-06	
0.01	0.01	0.00060385	5.6471e-06	
0.01	0.01	0.00060648	6.0366e-06	
0.01	0.01	0.00060914	6.4734e-06	
0.01	0.01	0.0006118	6.8923e-06	
0.01	0.01	0.00061449	7.3626e-06	
0.01	0.01	0.00061717	7.8138e-06	
0.01	0.01	0.00061983	8.2236e-06	
0.01	0.01	0.00062246	8.616e-06	
0.01	0.01	0.00062508	8.9913e-06	
0.01	0.01	0.00062775	9.4147e-06	
0.01	0.01	0.0006304	9.82e-06	
0.01	0.01	0.00063309	1.0277e-05	
0.01	0.01	0.00063583	1.0792e-05	
0.01	0.01	0.00063861	1.1371e-05	
0.01	0.01	0.00064138	1.1927e-05	
0.01	0.01	0.00064413	1.2431e-05	
0.01	0.01	0.00064692	1.3e-05	
0.01	0.01	0.00064969	1.3545e-05	
0.01	0.01	0.00065252	1.3768e-05	
0.01	0.01	0.00065539	1.4029e-05	
0.01	0.01	0.00065824	1.4274e-05	
0.01	0.01	0.00066114	1.456e-05	
0.01	0.01	0.00066409	1.4889e-05	
0.01	0.01	0.00066702	1.5201e-05	
0.01	0.01	0.00066993	1.5868e-05	
0.01	0.01	0.00067282	1.6473e-05	
0.01	0.01	0.00067576	1.7156e-05	
0.01	0.01	0.00067875	1.7925e-05	
0.01	0.01	0.00068179	1.879e-05	
0.01	0.01	0.0006851	1.9786e-05	
0.01	0.01	0.00068847	2.0903e-05	
0.01	0.01	0.00069181	2.1979e-05	
0.01	0.01	0.00069513	2.3016e-05	
0.01	0.01	0.00069851	2.4178e-05	
