Pygoscelis_adeliae	Phalacrocorax_carbo	Phaethon_lepturus	Pelecanus_crispus	Nipponia_nippon	Haliaeetus_leucocephalus	Gavia_stellata	Fulmarus_glacialis	Falco_peregrinus	Falco_cherrug	Egretta_garzetta	Charadrius_vociferus	Calidris_pugnax	Buteo_japonicus	Aquila_chrysaetos_chrysaetos	Aptenodytes_forsteri	
0.00054207	2.6913e-06	6.9907e-06	0.00074158	0.0023382	0.00060583	0.00015249	5.4529e-05	0.01	0.01	5.4262e-05	1.5994e-05	0.00010423	0.00024543	0.00013834	0.0017045	
0.00053641	2.6214e-06	6.6496e-06	0.00073686	0.0023213	0.00060372	0.00015239	5.1601e-05	0.01	0.01	5.2245e-05	1.5682e-05	0.0001017	0.00024336	0.00013714	0.0016976	
0.00053087	2.5597e-06	6.3343e-06	0.00073247	0.0023053	0.00060163	0.00015237	4.8851e-05	0.01	0.01	5.0341e-05	1.5395e-05	9.9676e-05	0.00024133	0.00013598	0.0016909	
0.00052545	2.5059e-06	6.0432e-06	0.00072838	0.0022902	0.00059956	0.00015243	4.6267e-05	0.01	0.01	4.8543e-05	1.513e-05	9.8076e-05	0.00023932	0.00013486	0.0016844	
0.00052	2.4459e-06	5.7461e-06	0.00072424	0.0022749	0.00059749	0.00015247	4.3642e-05	0.01	0.01	4.6719e-05	1.486e-05	9.6395e-05	0.00023731	0.00013373	0.0016778	
0.00051467	2.3929e-06	5.4705e-06	0.00072037	0.0022604	0.00059543	0.00015259	4.1167e-05	0.01	0.01	4.499e-05	1.4612e-05	9.5064e-05	0.00023533	0.00013263	0.0016714	
0.00050929	2.3334e-06	5.1884e-06	0.00071643	0.0022457	0.00059336	0.00015269	4.1681e-05	0.01	0.01	4.3233e-05	1.4357e-05	9.3649e-05	0.00023334	0.00013153	0.0016649	
0.00050388	2.2677e-06	4.9007e-06	0.00071244	0.0022307	0.00059129	0.00015277	4.2174e-05	0.01	0.01	4.145e-05	1.4096e-05	9.216e-05	0.00023134	0.00013041	0.0016583	
0.00049859	2.2095e-06	4.6346e-06	0.00070874	0.0022166	0.00058924	0.00015294	4.2723e-05	0.01	0.01	3.9766e-05	1.3857e-05	9.1007e-05	0.00022937	0.00012933	0.0016519	
0.00049327	2.1447e-06	4.3624e-06	0.00070497	0.0022023	0.00058718	0.00015308	4.3247e-05	0.01	0.01	3.8053e-05	1.3612e-05	8.9777e-05	0.00022738	0.00012824	0.0016455	
0.00048791	2.0739e-06	4.0847e-06	0.00070114	0.0021878	0.00058511	0.0001532	4.3749e-05	0.01	0.01	3.6315e-05	1.3361e-05	8.8478e-05	0.00022539	0.00012714	0.001639	
0.00048267	2.0102e-06	3.8276e-06	0.00069759	0.0021741	0.00058307	0.00015341	4.4308e-05	0.01	0.01	3.4672e-05	1.3132e-05	8.7486e-05	0.00022343	0.00012608	0.0016327	
0.00047754	1.9532e-06	3.5898e-06	0.0006943	0.0021612	0.00058104	0.0001537	4.4927e-05	0.01	0.01	3.3119e-05	1.2921e-05	8.6757e-05	0.00022151	0.00012505	0.0016265	
0.00047253	1.9027e-06	3.3697e-06	0.00069125	0.0021491	0.00057904	0.00015407	4.5608e-05	0.01	0.01	3.1652e-05	1.2729e-05	8.6263e-05	0.00021961	0.00012406	0.0016204	
0.00046762	1.8579e-06	3.1653e-06	0.00068841	0.0021377	0.00057705	0.00015453	4.635e-05	0.01	0.01	3.0261e-05	1.2554e-05	8.5971e-05	0.00021774	0.0001231	0.0016145	
0.00046268	1.8068e-06	2.9558e-06	0.00068553	0.0021261	0.00057506	0.00015497	4.7065e-05	0.01	0.01	2.8845e-05	1.2373e-05	8.5627e-05	0.00021586	0.00012213	0.0016085	
0.0004577	1.7495e-06	2.7411e-06	0.00068259	0.0021143	0.00057305	0.00015539	4.7754e-05	0.01	0.01	2.7404e-05	1.2187e-05	8.5228e-05	0.00021397	0.00012115	0.0016025	
0.00045269	1.6863e-06	2.5216e-06	0.00067961	0.0021022	0.00057104	0.00015578	4.8419e-05	0.01	0.01	2.5941e-05	1.1997e-05	8.4782e-05	0.00021207	0.00012016	0.0015964	
0.00044778	1.6287e-06	2.3176e-06	0.00067685	0.002091	0.00056905	0.00015462	4.9146e-05	0.01	0.01	2.4553e-05	1.1822e-05	8.1254e-05	0.0002102	0.0001192	0.0015905	
0.00044284	1.5649e-06	2.1084e-06	0.00067403	0.0020794	0.00056706	0.00015342	4.9847e-05	0.01	0.01	2.314e-05	1.1643e-05	7.764e-05	0.00020832	0.00011823	0.0015845	
0.000438	1.5064e-06	1.9136e-06	0.00067142	0.0020686	0.00056508	0.00015235	5.0611e-05	0.01	0.01	2.18e-05	1.1479e-05	7.4683e-05	0.00020646	0.0001173	0.0015787	
0.00043326	1.4528e-06	1.7322e-06	0.00066901	0.0020585	0.00056312	0.00015141	5.1441e-05	0.01	0.01	2.0528e-05	1.133e-05	7.2271e-05	0.00020464	0.00011639	0.001573	
0.00042862	1.404e-06	1.5632e-06	0.00066679	0.0020491	0.00056117	0.00015057	5.2341e-05	0.01	0.01	1.932e-05	1.1194e-05	7.0312e-05	0.00020284	0.00011551	0.0015674	
0.00042408	1.3596e-06	1.4056e-06	0.00066475	0.0020403	0.00055925	0.00014984	5.3314e-05	0.01	0.01	1.8174e-05	1.1072e-05	6.8731e-05	0.00020107	0.00011467	0.0015619	
0.00041951	1.3096e-06	1.2442e-06	0.00066267	0.0020313	0.00055732	0.00014909	5.4259e-05	0.01	0.01	1.7008e-05	1.0947e-05	6.7073e-05	0.00019928	0.00011381	0.0015564	
0.00041504	1.2642e-06	1.0943e-06	0.00066078	0.002023	0.00055541	0.00014843	5.5285e-05	0.01	0.01	1.5904e-05	1.0834e-05	6.5761e-05	0.00019753	0.00011299	0.0015511	
0.00041066	1.2227e-06	9.5419e-07	0.00065905	0.0020153	0.00055351	0.00014788	5.6389e-05	0.01	0.01	1.4855e-05	1.0734e-05	6.4727e-05	0.00019581	0.00011219	0.0015458	
0.00040625	1.1755e-06	8.1026e-07	0.00065728	0.0020075	0.00055161	0.0001473	5.7463e-05	0.01	0.01	1.3786e-05	1.063e-05	6.3625e-05	0.00019407	0.00011139	0.0015405	
0.00040181	1.1224e-06	6.6241e-07	0.00065547	0.0019994	0.0005497	0.00014669	5.8507e-05	0.01	0.01	1.2697e-05	1.0522e-05	6.2453e-05	0.00019232	0.00011057	0.0015352	
0.00039733	1.0634e-06	5.1061e-07	0.00065362	0.0019912	0.00054779	0.00014606	5.9521e-05	0.01	0.01	1.1587e-05	1.0409e-05	6.1209e-05	0.00019056	0.00010975	0.0015298	
0.00039295	1.0088e-06	3.6904e-07	0.00065195	0.0019835	0.00054589	0.00014553	6.0619e-05	0.01	0.01	1.0535e-05	1.0309e-05	6.0242e-05	0.00018884	0.00010896	0.0015245	
0.00038854	9.4857e-07	2.2401e-07	0.00065023	0.0019758	0.00054399	0.00014498	6.169e-05	0.01	0.01	9.4648e-06	1.0205e-05	5.9219e-05	0.0001871	0.00010815	0.0015192	
0.00038422	8.9199e-07	8.8009e-08	0.00064868	0.0019686	0.0005421	0.00014451	6.2844e-05	0.01	0.01	8.4461e-06	1.0113e-05	5.8429e-05	0.00018538	0.00010738	0.0015141	
0.00037987	8.2965e-07	7.7177e-08	0.00064709	0.0019612	0.00054021	0.00014403	6.3966e-05	0.01	0.01	7.408e-06	1.0017e-05	5.758e-05	0.00018366	0.00010659	0.0015089	
0.00037561	7.7072e-07	6.6279e-08	0.00064565	0.0019545	0.00053833	0.00014362	6.5175e-05	0.01	0.01	6.4194e-06	9.9318e-06	5.694e-05	0.00018196	0.00010583	0.0015038	
0.00037144	7.1488e-07	5.5258e-08	0.00064437	0.0019483	0.00053647	0.0001433	6.6476e-05	0.01	0.01	5.4776e-06	9.858e-06	5.6485e-05	0.00018029	0.0001051	0.0014988	
0.00036724	6.5362e-07	4.2584e-08	0.00064305	0.001942	0.00053461	0.00014296	6.7746e-05	0.01	0.01	4.5189e-06	9.7806e-06	5.5987e-05	0.00017861	0.00010436	0.0014938	
0.00036313	5.956e-07	2.9807e-08	0.00064188	0.0019363	0.00053276	0.0001427	6.9117e-05	0.01	0.01	3.6079e-06	9.7147e-06	5.567e-05	0.00017696	0.00010365	0.0014889	
0.00035899	5.3193e-07	1.5337e-08	0.00064068	0.0019304	0.0005309	0.00014242	7.0453e-05	0.01	0.01	2.6783e-06	9.6446e-06	5.5306e-05	0.00017529	0.00010293	0.001484	
0.00035481	4.6275e-07	1.9249e-08	0.00063944	0.0019242	0.00052904	0.00014213	7.1756e-05	0.01	0.01	2.6624e-06	9.5708e-06	5.4897e-05	0.00017362	0.0001022	0.001479	
0.00035061	3.8782e-07	2.1608e-08	0.00063817	0.0019179	0.00052717	0.0001418	7.3023e-05	0.01	0.01	2.6371e-06	9.4926e-06	5.4438e-05	0.00017193	0.00010146	0.001474	
0.00034636	3.0713e-07	2.2415e-08	0.00063685	0.0019114	0.00052529	0.00014146	7.4254e-05	0.01	0.01	2.6025e-06	9.4102e-06	5.3927e-05	0.00017024	0.00010071	0.0014689	
0.00034208	3.602e-07	2.1691e-08	0.0006355	0.0019046	0.00052343	0.0001411	7.5454e-05	0.01	0.01	2.5588e-06	9.324e-06	5.3369e-05	0.00016857	9.9992e-05	0.0014638	
0.00033777	4.0793e-07	1.942e-08	0.00063411	0.0018977	0.00052157	0.00014071	7.662e-05	0.01	0.01	2.5058e-06	9.2335e-06	5.2758e-05	0.00016689	9.926e-05	0.0014587	
0.00033343	4.5037e-07	1.5604e-08	0.00063268	0.0018906	0.00051969	0.00014031	7.7752e-05	0.01	0.01	2.4435e-06	9.1388e-06	5.2094e-05	0.0001652	9.8518e-05	0.0014535	
0.00032905	4.8752e-07	3.0752e-08	0.00063122	0.0018832	0.00051781	0.00013988	7.8851e-05	0.01	0.01	2.372e-06	9.04e-06	5.1374e-05	0.0001635	9.7767e-05	0.0014482	
0.00032463	5.1943e-07	4.4209e-08	0.00062971	0.0018757	0.00051592	0.00013942	7.9917e-05	0.01	0.01	2.2913e-06	8.9369e-06	5.06e-05	0.00016179	9.7007e-05	0.001443	
0.00032018	5.4612e-07	5.598e-08	0.00062817	0.0018679	0.00051402	0.00013895	8.0951e-05	0.01	0.01	2.2014e-06	8.8297e-06	4.9768e-05	0.00016007	9.6237e-05	0.0014377	
0.00031583	5.7428e-07	6.7666e-08	0.00062679	0.0018608	0.00051214	0.00013856	8.208e-05	0.01	0.01	2.1154e-06	8.7344e-06	4.9147e-05	0.00015837	9.5495e-05	0.0014325	
0.00031156	6.0379e-07	7.9263e-08	0.00062555	0.0018543	0.00051028	0.00013826	8.3302e-05	0.01	0.01	2.0327e-06	8.6499e-06	4.8698e-05	0.0001567	9.4778e-05	0.0014274	
0.00030727	6.2803e-07	8.9152e-08	0.00062427	0.0018476	0.00050841	0.00013793	8.449e-05	0.01	0.01	1.9409e-06	8.5614e-06	4.8205e-05	0.00015502	9.4053e-05	0.0014223	
0.00030294	6.4716e-07	9.7376e-08	0.00062297	0.0018407	0.00050653	0.00013758	8.5648e-05	0.01	0.01	1.8403e-06	8.4693e-06	4.767e-05	0.00015334	9.3319e-05	0.0014171	
0.0002987	6.6802e-07	1.0562e-07	0.00062181	0.0018344	0.00050467	0.00013732	8.6908e-05	0.01	0.01	1.7433e-06	8.3884e-06	4.7307e-05	0.00015167	9.2612e-05	0.0014121	
0.00029455	6.9041e-07	1.1385e-07	0.0006208	0.0018287	0.00050283	0.00013713	8.8269e-05	0.01	0.01	1.6491e-06	8.3176e-06	4.7092e-05	0.00015003	9.193e-05	0.0014072	
0.00029037	7.0767e-07	1.204e-07	0.00061975	0.0018229	0.00050098	0.00013692	8.9597e-05	0.01	0.01	1.5461e-06	8.2433e-06	4.6842e-05	0.00014839	9.124e-05	0.0014022	
0.00028615	7.1961e-07	1.2522e-07	0.00061867	0.0018168	0.00049912	0.00013669	9.0891e-05	0.01	0.01	1.877e-06	8.1652e-06	4.655e-05	0.00014673	9.054e-05	0.0013972	
0.00028202	7.3315e-07	1.3006e-07	0.00061773	0.0018113	0.00049728	0.00013654	9.2288e-05	0.01	0.01	2.2207e-06	8.097e-06	4.6401e-05	0.00014509	8.9865e-05	0.0013923	
0.00027786	7.4136e-07	1.3317e-07	0.00061675	0.0018055	0.00049544	0.00013636	9.3648e-05	0.01	0.01	2.5532e-06	8.025e-06	4.6213e-05	0.00014345	8.9182e-05	0.0013874	
0.00027378	7.5151e-07	1.3637e-07	0.00061591	0.0018004	0.00049361	0.00013627	9.5122e-05	0.01	0.01	2.9003e-06	7.9633e-06	4.6171e-05	0.00014183	8.8524e-05	0.0013826	
0.00026979	7.6335e-07	1.3963e-07	0.00061521	0.0017959	0.0004918	0.00013624	9.6709e-05	0.01	0.01	3.2622e-06	7.9109e-06	4.6264e-05	0.00014024	8.7889e-05	0.0013779	
0.00026576	7.6984e-07	1.4114e-07	0.00061447	0.0017911	0.00048998	0.0001362	9.8257e-05	0.01	0.01	3.6123e-06	7.8548e-06	4.6319e-05	0.00013863	8.7246e-05	0.0013732	
0.00026181	7.7808e-07	1.4272e-07	0.00061385	0.0017869	0.00048818	0.00013622	9.9922e-05	0.01	0.01	3.9779e-06	7.8079e-06	4.6512e-05	0.00013705	8.6626e-05	0.0013686	
0.00025795	7.8843e-07	1.4444e-07	0.00061337	0.0017833	0.00048639	0.00013633	0.00010172	0.01	0.01	4.3614e-06	7.7705e-06	4.686e-05	0.00013549	8.603e-05	0.0013641	
0.00025416	8.0066e-07	1.4624e-07	0.00061302	0.0017802	0.00048462	0.00013474	0.00010364	0.01	0.01	4.7626e-06	7.3277e-06	4.7371e-05	0.00013395	8.5457e-05	0.0013597	
0.00025046	8.1516e-07	1.4822e-07	0.0006128	0.0017777	0.00048287	0.00013332	0.00010571	0.01	0.01	5.1843e-06	6.9165e-06	4.6611e-05	0.00013244	8.4908e-05	0.0013554	
0.00024683	8.32e-07	1.5038e-07	0.0006127	0.0017757	0.00048114	0.00013204	0.00010794	0.01	0.01	5.6275e-06	6.5343e-06	4.6048e-05	0.00013095	8.4382e-05	0.0013512	
0.00024328	8.5094e-07	1.5265e-07	0.00061273	0.0017743	0.00047942	0.00013091	0.00011031	0.01	0.01	6.0921e-06	6.1778e-06	4.5649e-05	0.00012948	8.3876e-05	0.0013472	
0.0002397	8.6463e-07	1.5322e-07	0.00061273	0.0017727	0.0004777	0.00012974	0.00011265	0.01	0.01	6.5445e-06	5.815e-06	4.5211e-05	0.000128	8.3364e-05	0.0013431	
0.00023619	8.8049e-07	1.539e-07	0.00061285	0.0017716	0.00047599	0.0001287	0.00011514	0.01	0.01	7.0193e-06	5.4764e-06	4.4925e-05	0.00012654	8.2872e-05	0.0013391	
0.00023275	8.9863e-07	1.5471e-07	0.00061309	0.001771	0.0004743	0.00012303	0.0001178	0.01	0.01	7.5181e-06	5.1607e-06	4.2472e-05	0.0001251	8.2401e-05	0.0013352	
0.00022938	9.1945e-07	1.5573e-07	0.00061347	0.001771	0.00047263	0.0001179	0.00012065	0.01	0.01	8.0438e-06	4.8672e-06	4.0488e-05	0.00012369	8.1951e-05	0.0013314	
0.00022608	9.4274e-07	1.5687e-07	0.00061396	0.0017715	0.00047097	0.00011322	0.00012368	0.01	0.01	8.5963e-06	4.5934e-06	3.8872e-05	0.00012229	8.1522e-05	0.0013277	
0.00022275	9.6049e-07	1.5626e-07	0.00061443	0.0017718	0.00046931	0.00010845	0.00012666	0.01	0.01	9.1344e-06	4.3138e-06	3.7169e-05	0.00012089	8.1084e-05	0.001324	
0.0002194	9.7294e-07	1.5395e-07	0.00061487	0.001772	0.00046763	0.00010358	0.00012959	0.01	0.01	9.6592e-06	4.0289e-06	3.5388e-05	0.00011948	8.0639e-05	0.0013203	
0.00021611	9.8825e-07	1.5184e-07	0.00061544	0.0017727	0.00046598	9.9174e-05	0.00013273	0.01	0.01	1.0214e-05	3.7639e-06	3.3954e-05	0.00011808	8.0215e-05	0.0013166	
0.0002129	1.0065e-06	1.4993e-07	0.00061614	0.001774	0.00046434	9.5183e-05	0.00013608	0.01	0.01	1.0799e-05	3.5175e-06	3.2807e-05	0.00011671	7.9811e-05	0.0013131	
0.00020975	1.0279e-06	1.482e-07	0.00061698	0.0017758	0.00046272	9.1572e-05	0.00013966	0.01	0.01	1.1418e-05	3.2884e-06	3.1901e-05	0.00011536	7.9428e-05	0.0013097	
0.00020667	1.0525e-06	1.4666e-07	0.00061797	0.0017781	0.00046111	8.8306e-05	0.00014349	0.01	0.01	1.2072e-05	3.0755e-06	3.1196e-05	0.00011403	7.9065e-05	0.0013064	
0.00020356	1.0714e-06	1.4336e-07	0.00061892	0.0017803	0.00045952	8.4961e-05	0.00014725	0.01	0.01	1.271e-05	2.8575e-06	3.0441e-05	0.00011273	7.8722e-05	0.001303	
0.00020052	1.0937e-06	1.4026e-07	0.00061606	0.0017831	0.00045795	8.1942e-05	0.00015127	0.01	0.01	1.3386e-05	2.6551e-06	2.9866e-05	0.00011144	7.8399e-05	0.0012997	
0.00019744	1.1104e-06	1.3539e-07	0.00061314	0.0017857	0.00045637	7.8849e-05	0.00015522	0.01	0.01	1.4044e-05	2.4477e-06	2.9246e-05	0.00011014	7.8067e-05	0.0012964	
0.00019443	1.1302e-06	1.3062e-07	0.00059736	0.0017888	0.00045481	7.6042e-05	0.0001551	0.01	0.01	1.474e-05	2.2542e-06	2.8777e-05	0.00010886	7.7755e-05	0.0012933	
0.00019148	1.1531e-06	1.2591e-07	0.00058251	0.0017924	0.00045326	7.3492e-05	0.00015508	0.01	0.01	1.5474e-05	2.0734e-06	2.8441e-05	0.0001076	7.746e-05	0.0012902	
0.00018859	1.1794e-06	1.2121e-07	0.00056856	0.0017966	0.00045173	7.1175e-05	0.00015516	0.01	0.01	1.6249e-05	1.9045e-06	2.8223e-05	0.00010635	7.7183e-05	0.0012872	
0.00018576	1.209e-06	1.1651e-07	0.00055544	0.0018014	0.00045021	6.9069e-05	0.00015533	0.01	0.01	1.7066e-05	1.7465e-06	2.8115e-05	0.00010513	7.6924e-05	0.0012843	
0.0001829	1.2329e-06	1.1008e-07	0.00054213	0.0018059	0.00044869	6.6914e-05	0.00015548	0.01	0.01	1.7865e-05	1.5845e-06	2.7975e-05	0.00010389	7.6657e-05	0.0012813	
0.00018001	1.2513e-06	1.0198e-07	0.00052866	0.0018103	0.00044716	6.4715e-05	0.00015559	0.01	0.01	1.8647e-05	1.4189e-06	2.7806e-05	0.00010265	7.6383e-05	0.0012783	
0.0001771	1.2643e-06	9.2201e-08	0.00051504	0.0018145	0.00044562	6.2473e-05	0.00015566	0.01	0.01	1.9414e-05	1.2497e-06	2.7609e-05	0.0001014	7.6102e-05	0.0012753	
0.00017425	1.281e-06	8.2465e-08	0.00050226	0.0018194	0.00044409	6.0445e-05	0.00015585	0.01	0.01	2.0227e-05	1.0917e-06	2.7524e-05	0.00010016	7.5839e-05	0.0012724	
0.00017137	1.292e-06	7.1016e-08	0.00048931	0.001824	0.00044256	5.8369e-05	0.00015599	0.01	0.01	2.1021e-05	9.2978e-07	2.7409e-05	9.8923e-05	7.5569e-05	0.0012695	
0.00016846	1.2973e-06	5.785e-08	0.00047618	0.0018284	0.00044102	5.6245e-05	0.00015611	0.01	0.01	2.1798e-05	9.4469e-07	2.7253e-05	9.7673e-05	7.5291e-05	0.0012665	
0.00016561	1.3064e-06	4.469e-08	0.00046387	0.0018334	0.0004395	5.4325e-05	0.00015632	0.01	0.01	2.2622e-05	9.6208e-07	2.7208e-05	9.6441e-05	7.5032e-05	0.0012636	
0.00016274	1.31e-06	2.9868e-08	0.00045141	0.0018383	0.00043797	5.2365e-05	0.00015651	0.01	0.01	2.3429e-05	9.7747e-07	2.7136e-05	9.5201e-05	7.4765e-05	0.0012607	
0.00015984	1.3081e-06	3.9275e-08	0.0004388	0.001843	0.00043644	5.0365e-05	0.00015666	0.01	0.01	2.4219e-05	9.9084e-07	2.9541e-05	9.3952e-05	7.4492e-05	0.0012577	
0.00015691	1.3006e-06	4.7083e-08	0.00042604	0.0018475	0.00043489	4.8324e-05	0.00015678	0.01	0.01	2.4993e-05	1.0022e-06	3.1846e-05	9.2696e-05	7.4211e-05	0.0012547	
0.00015405	1.2971e-06	5.4546e-08	0.00041407	0.0018526	0.00043337	4.6479e-05	0.00015701	0.01	0.01	2.5815e-05	1.0161e-06	3.4683e-05	9.1458e-05	7.3949e-05	0.0012518	
0.00015115	1.2878e-06	6.0371e-08	0.00040194	0.0018575	0.00043183	4.459e-05	0.0001572	0.01	0.01	2.6619e-05	1.0279e-06	3.7387e-05	9.0211e-05	7.368e-05	0.0012489	
0.00014831	1.2819e-06	6.5827e-08	0.00039054	0.001863	0.00043031	4.2872e-05	0.00015749	0.01	0.01	2.747e-05	1.042e-06	4.0679e-05	8.8981e-05	7.3427e-05	0.0012461	
0.00014553	1.2798e-06	7.1001e-08	0.00037984	0.001869	0.00042881	4.1319e-05	0.00015788	0.01	0.01	2.8374e-05	1.0587e-06	4.4727e-05	8.7768e-05	7.3192e-05	0.0012433	
0.0001428	1.2811e-06	7.5867e-08	0.00036979	0.0018757	0.00042732	3.9908e-05	0.00015838	0.01	0.01	2.9331e-05	1.078e-06	4.5444e-05	8.6572e-05	7.2973e-05	0.0012407	
0.00014012	1.2858e-06	8.0449e-08	0.00036034	0.001883	0.00042584	3.8628e-05	0.00015897	0.01	0.01	3.0343e-05	1.1e-06	4.6368e-05	8.5391e-05	7.2771e-05	0.0012381	
0.0001375	1.2943e-06	8.4836e-08	0.00035148	0.0018909	0.00042438	3.7472e-05	0.00015968	0.01	0.01	3.1417e-05	1.1248e-06	4.7548e-05	8.4228e-05	7.2587e-05	0.0012357	
0.00013492	1.3063e-06	8.8993e-08	0.00034316	0.0018994	0.00042291	3.6424e-05	0.00015684	0.01	0.01	3.2552e-05	1.1525e-06	4.9018e-05	8.3057e-05	7.2395e-05	0.0012333	
0.00013232	1.3128e-06	9.1514e-08	0.00033473	0.0019078	0.00042144	3.5353e-05	0.00015395	0.01	0.01	3.3668e-05	1.1781e-06	5.0419e-05	8.1877e-05	7.2197e-05	0.0012309	
0.00012977	1.3232e-06	9.3878e-08	0.00032684	0.0019168	0.00041998	3.4388e-05	0.00015126	0.01	0.01	3.4851e-05	1.2069e-06	5.2172e-05	8.0715e-05	7.2016e-05	0.0012286	
0.00012719	1.3279e-06	9.4565e-08	0.00031883	0.0019256	0.00041851	3.3397e-05	0.00014851	0.01	0.01	3.6012e-05	1.2334e-06	5.3834e-05	7.9543e-05	7.1827e-05	0.0012263	
0.00012459	1.327e-06	9.3616e-08	0.00031072	0.0019343	0.00041704	3.2385e-05	0.00014572	0.01	0.01	3.7152e-05	1.2578e-06	5.5421e-05	7.8364e-05	7.1632e-05	0.0012239	
0.00012204	1.3301e-06	9.2511e-08	0.00030313	0.0019436	0.00041558	3.1473e-05	0.00014312	0.01	0.01	3.8362e-05	1.2854e-06	5.74e-05	7.7202e-05	7.1454e-05	0.0012216	
0.00011947	1.3274e-06	8.9731e-08	0.00029542	0.0019527	0.00041412	3.0537e-05	0.00014046	0.01	0.01	3.9549e-05	1.3107e-06	5.9279e-05	7.6031e-05	7.1269e-05	0.0012193	
0.00011687	1.3189e-06	8.5273e-08	0.00028761	0.0019616	0.00041264	2.9577e-05	0.00013776	0.01	0.01	4.0713e-05	1.3338e-06	6.1061e-05	7.4851e-05	7.1076e-05	0.001217	
0.00011424	1.3056e-06	7.9171e-08	0.00027969	0.0019703	0.00041116	2.8595e-05	0.000135	0.01	0.01	4.1856e-05	1.3547e-06	6.2761e-05	7.3664e-05	7.0876e-05	0.0012146	
