Trachypithecus_francoisi	Theropithecus_gelada	Sapajus_apella	Saimiri_boliviensis	Rhinopithecus_roxellana	Rhinopithecus_bieti	Propithecus_coquereli	Prolemur_simus	Pongo_abelii	Piliocolobus_tephrosceles	Papio_anubis	Pan_troglodytes	Pan_paniscus	Otolemur_garnettii	Nomascus_leucogenys	Microcebus_murinus	Mandrillus_leucophaeus	Macaca_nemestrina	Macaca_mulatta	Macaca_fascicularis	Hylobates_moloch	Homo_sapiens	Gorilla_gorilla	Colobus_angolensis	Chlorocebus_sabaeus	Cercocebus_atys	Cebus_imitator	Carlito_syrichta	Callithrix_jacchus	Aotus_nancymaae	
0.00072261	0.00039795	0.00041278	4.5584e-05	0.0010619	0.009017	0.00028837	9.3392e-05	0.0012805	0.004359	0.0015088	0.0099884	0.0099884	6.233e-05	0.00046329	1.5093e-05	0.0028295	0.015238	0.01	0.01	0.0012795	0.0007801	0.0022742	0.008516	0.00011529	0.0011145	0.00065561	7.6325e-05	0.00021397	0.00067544	
0.00071836	0.00039534	0.00040929	4.4072e-05	0.0010588	0.0090164	0.00027797	9.2276e-05	0.0012784	0.0043558	0.0015034	0.0099884	0.0099884	5.9311e-05	0.00046136	1.3228e-05	0.0028267	0.015245	0.01	0.01	0.0012748	0.00077773	0.0022613	0.008515	0.0001125	0.001111	0.0006521	7.3604e-05	0.00020889	0.00067349	
0.00071414	0.00039275	0.0004058	4.2558e-05	0.0010557	0.0090158	0.00026836	9.1254e-05	0.0012764	0.0043527	0.001498	0.0099884	0.0099884	5.6713e-05	0.00045946	1.1503e-05	0.002824	0.015252	0.01	0.01	0.00127	0.00077543	0.0022486	0.0085141	0.00010979	0.0011074	0.0006486	7.0879e-05	0.00020381	0.00067154	
0.00070997	0.00039018	0.00040231	4.1043e-05	0.0010527	0.0090152	0.0002595	9.0322e-05	0.0012745	0.0043496	0.0014927	0.0099884	0.0099884	5.448e-05	0.0004576	9.9082e-06	0.0028213	0.015259	0.01	0.01	0.0012653	0.00077318	0.0022359	0.0085132	0.00010714	0.0011039	0.00064509	6.8152e-05	0.00019872	0.00066959	
0.00070584	0.00038763	0.00039882	3.9526e-05	0.0010497	0.0090146	0.00025132	8.9473e-05	0.0012726	0.0043466	0.0014874	0.0099884	0.0099884	5.2563e-05	0.00045576	8.4327e-06	0.0028188	0.015266	0.01	0.01	0.0012607	0.00077099	0.0022234	0.0085123	0.00010457	0.0011004	0.00064158	6.5422e-05	0.00019363	0.00066763	
0.00070169	0.00038507	0.00039532	3.8008e-05	0.0010467	0.009014	0.00024298	8.8605e-05	0.0012707	0.0043436	0.0014821	0.0099884	0.0099884	5.0582e-05	0.00045392	6.9283e-06	0.0028162	0.015273	0.01	0.01	0.001256	0.00076878	0.0022108	0.0085114	0.00010198	0.0010969	0.00063806	6.269e-05	0.00018853	0.00066567	
0.00069758	0.00038253	0.00039181	3.6488e-05	0.0010436	0.0090134	0.00023446	8.7716e-05	0.0012689	0.0043406	0.0014769	0.0099884	0.0099884	4.8492e-05	0.0004521	5.3938e-06	0.0028137	0.01528	0.01	0.01	0.0012513	0.00076663	0.0021983	0.0085105	9.9446e-05	0.0010934	0.00063454	5.9955e-05	0.00018343	0.00066371	
0.0006935	0.00038002	0.00038831	3.4967e-05	0.0010406	0.0090128	0.00022661	8.6908e-05	0.0012671	0.0043376	0.0014717	0.0099884	0.0099884	4.6698e-05	0.00045032	3.9738e-06	0.0028113	0.015287	0.01	0.01	0.0012467	0.00076453	0.002186	0.0085097	9.6982e-05	0.0010899	0.00063102	5.7217e-05	0.00017832	0.00066175	
0.00068946	0.00037752	0.0003848	3.3444e-05	0.0010377	0.0090122	0.00021934	8.6173e-05	0.0012655	0.0043347	0.0014666	0.0099884	0.0099884	4.5145e-05	0.00044856	2.6524e-06	0.002809	0.015295	0.01	0.01	0.0012421	0.00076249	0.0021738	0.0085088	9.4578e-05	0.0010864	0.00062749	5.4476e-05	0.0001732	0.00065978	
0.00068541	0.00037502	0.00038129	3.1919e-05	0.0010347	0.0090116	0.00021182	8.5418e-05	0.0012638	0.0043318	0.0014614	0.0099884	0.0099884	4.3538e-05	0.0004468	2.5561e-06	0.0028067	0.015302	0.01	0.01	0.0012374	0.00076043	0.0021615	0.0085079	9.2155e-05	0.0010829	0.00062396	5.1733e-05	0.00016808	0.00065782	
0.00068134	0.0003725	0.00037777	3.0393e-05	0.0010317	0.009011	0.00020413	8.4643e-05	0.001262	0.0043289	0.0014562	0.0099884	0.0099884	4.1876e-05	0.00044502	2.4511e-06	0.0028043	0.015309	0.01	0.01	0.0012328	0.00075836	0.0021492	0.008507	8.9714e-05	0.0010794	0.00062043	4.8986e-05	0.00016296	0.00065585	
0.00067731	0.00037001	0.00037425	2.8866e-05	0.0010287	0.0090105	0.00019705	8.3944e-05	0.0012604	0.004326	0.0014511	0.0099884	0.0099884	4.0452e-05	0.00044328	2.3561e-06	0.0028021	0.015317	0.01	0.01	0.0012282	0.00075634	0.0021369	0.0085062	8.7336e-05	0.001076	0.00061689	4.6237e-05	0.00015783	0.00065388	
0.00067327	0.00036751	0.00037072	2.7337e-05	0.0010257	0.0090099	0.00018982	8.3226e-05	0.0012587	0.0043231	0.001446	0.0099884	0.0099884	3.898e-05	0.00044153	2.2527e-06	0.0027998	0.015324	0.01	0.01	0.0012236	0.00075431	0.0021247	0.0085053	8.4941e-05	0.0010725	0.00061335	4.3486e-05	0.0001527	0.00065191	
0.00066921	0.000365	0.0003672	2.5806e-05	0.0010227	0.0090093	0.00018243	8.249e-05	0.001257	0.0043201	0.0014408	0.0099883	0.0099883	3.7458e-05	0.00043976	2.1407e-06	0.0027975	0.015331	0.01	0.01	0.0012189	0.00075226	0.0021124	0.0085045	8.2526e-05	0.001069	0.00060981	4.0731e-05	0.00014756	0.00064993	
0.0006652	0.00036251	0.00036367	2.4274e-05	0.0010197	0.0090087	0.00017562	8.1826e-05	0.0012554	0.0043173	0.0014357	0.0099883	0.0099883	3.6156e-05	0.00043803	2.0384e-06	0.0027952	0.015339	0.01	0.01	0.0012143	0.00075027	0.0021002	0.0085036	8.0175e-05	0.0010655	0.00060626	3.7974e-05	0.00014241	0.00064796	
0.00066122	0.00036005	0.00036013	2.274e-05	0.0010168	0.0090082	0.00016936	8.1234e-05	0.0012539	0.0043144	0.0014306	0.0099883	0.0099883	3.5046e-05	0.00043633	1.9452e-06	0.0027931	0.015346	0.01	0.01	0.0012097	0.00074833	0.0020882	0.0085028	7.7886e-05	0.0010621	0.00060271	3.5214e-05	0.00013726	0.00064598	
0.00065722	0.00035757	0.00035659	2.1205e-05	0.0010138	0.0090076	0.00016294	8.0622e-05	0.0012523	0.0043116	0.0014256	0.0099883	0.0099883	3.3893e-05	0.00043462	1.8435e-06	0.0027909	0.015354	0.01	0.01	0.0012051	0.00074638	0.0020761	0.0085019	7.5578e-05	0.0010586	0.00059915	3.2451e-05	0.00013211	0.000644	
0.00065321	0.00035509	0.00035305	1.9668e-05	0.0010108	0.009007	0.00015637	7.9991e-05	0.0012507	0.0043087	0.0014205	0.0099883	0.0099883	3.2693e-05	0.00043289	1.7329e-06	0.0027888	0.015362	0.01	0.01	0.0012005	0.00074441	0.0020639	0.0085011	7.325e-05	0.0010552	0.00059559	2.9685e-05	0.00012695	0.00064202	
0.00064924	0.00035263	0.00034951	1.813e-05	0.0010079	0.0090064	0.00015036	7.9434e-05	0.0012492	0.0043059	0.0014154	0.0099883	0.0099883	3.1687e-05	0.0004312	1.6324e-06	0.0027643	0.015369	0.01	0.01	0.0011959	0.0007425	0.0020519	0.0085002	7.0989e-05	0.0010517	0.00059203	2.6917e-05	0.00012178	0.00064003	
0.00064525	0.00035015	0.00034596	1.659e-05	0.0010049	0.0090059	0.00014418	7.8854e-05	0.0012477	0.0043031	0.0014104	0.0099883	0.0099883	3.063e-05	0.0004295	1.5226e-06	0.0027397	0.015377	0.01	0.01	0.0011913	0.00074057	0.0020398	0.0084994	6.8705e-05	0.0010483	0.00058847	2.4146e-05	0.00011661	0.00063805	
0.00064125	0.00034767	0.00034241	1.5049e-05	0.0010019	0.0090053	0.0001378	7.825e-05	0.0012461	0.0043002	0.0014053	0.0099883	0.0099883	2.9517e-05	0.00042779	1.403e-06	0.0027151	0.015385	0.01	0.01	0.0011867	0.00073862	0.0020277	0.0084985	6.6395e-05	0.0010448	0.0005849	2.1372e-05	0.00011143	0.00063606	
0.00063722	0.00034518	0.00033892	1.3639e-05	0.00099891	0.0090047	0.00013205	7.773e-05	0.0012445	0.0042973	0.0014002	0.0099883	0.0099883	2.8609e-05	0.00042606	1.2953e-06	0.0026904	0.015392	0.01	0.01	0.001182	0.00073664	0.0020155	0.0084977	6.4057e-05	0.0010413	0.00058139	1.9266e-05	0.00010657	0.00063414	
0.00063325	0.00034271	0.0003355	1.2346e-05	0.00099594	0.0090042	0.00012688	7.7289e-05	0.0012429	0.0042945	0.0013951	0.0099883	0.0099883	2.5007e-05	0.00042431	1.198e-06	0.0026661	0.0154	0.01	0.01	0.0011774	0.00073463	0.0020032	0.0084968	6.18e-05	0.0010379	0.00057796	1.7661e-05	0.00010199	0.00063229	
0.00062925	0.00034023	0.00033206	1.1013e-05	0.00099297	0.0090036	0.00012149	7.6818e-05	0.0012412	0.0042917	0.00139	0.0099883	0.0099883	2.1202e-05	0.00042255	1.0903e-06	0.0026416	0.015407	0.01	0.01	0.0011727	0.0007326	0.0019909	0.008496	5.9513e-05	0.0010344	0.0005745	1.5908e-05	9.7312e-05	0.00063041	
0.0006253	0.00033778	0.00032868	9.7912e-06	0.00099001	0.009003	0.00011663	7.6424e-05	0.0012397	0.0042889	0.001385	0.0099883	0.0099883	1.8025e-05	0.00042083	9.9245e-07	0.0026176	0.015415	0.01	0.01	0.0011681	0.00073063	0.0019787	0.0084952	5.73e-05	0.0010309	0.0005711	1.457e-05	9.2911e-05	0.00062859	
0.00062133	0.00033531	0.00032528	8.5291e-06	0.00098704	0.0090025	0.00011156	7.6e-05	0.001238	0.0042861	0.00138	0.0099883	0.0099883	1.4653e-05	0.00041909	8.8404e-07	0.0025934	0.015423	0.01	0.01	0.0011634	0.00072864	0.0019664	0.0084943	5.5056e-05	0.0010275	0.00056768	1.3099e-05	8.8405e-05	0.00062675	
0.00061741	0.00033288	0.00032194	7.3867e-06	0.00098409	0.0090019	0.00010707	7.5661e-05	0.0012365	0.0042833	0.001375	0.0099883	0.0099883	1.192e-05	0.00041739	7.8676e-07	0.0025696	0.015431	0.01	0.01	0.0011588	0.00072673	0.0019543	0.0084935	5.2896e-05	0.0010241	0.00056432	1.2024e-05	8.4205e-05	0.00062499	
0.00061355	0.00033041	0.0003187	6.3655e-06	0.00098118	0.0090014	0.00010318	7.3923e-05	0.0012352	0.0042807	0.00137	0.0099883	0.0099883	9.7953e-06	0.00041575	7.0137e-07	0.0025463	0.015439	0.01	0.01	0.0011542	0.00072491	0.0019424	0.0084927	5.0827e-05	0.0010207	0.00056106	8.7287e-06	8.0324e-05	0.0006233	
0.00060976	0.00032798	0.00031552	5.4461e-06	0.00097829	0.0090009	9.9776e-05	7.238e-05	0.0012339	0.004278	0.001365	0.0099882	0.0099882	8.1054e-06	0.00041414	6.2517e-07	0.0025234	0.015447	0.01	0.01	0.0011496	0.00072317	0.0019307	0.0084919	4.8839e-05	0.0010173	0.00055787	6.336e-06	7.6721e-05	0.00062169	
0.00060602	0.00032557	0.00031232	4.4845e-06	0.00097542	0.0090004	9.6149e-05	7.076e-05	0.0012325	0.0042755	0.0013602	0.0099882	0.0099882	6.252e-06	0.00041252	5.3797e-07	0.0025009	0.015456	0.01	0.01	0.0011451	0.0007214	0.0019189	0.0084912	4.6932e-05	0.0010139	0.00055464	6.0248e-06	7.3e-05	0.00062005	
0.00060224	0.00032315	0.00030919	3.6207e-06	0.00097254	0.0089998	9.2197e-05	6.905e-05	0.0012311	0.0042729	0.0013552	0.0099882	0.0099882	4.2169e-06	0.00041087	6.0832e-07	0.0024783	0.015464	0.01	0.01	0.0011405	0.00071959	0.0019069	0.0084904	4.4986e-05	0.0010106	0.00055149	5.6511e-06	6.9552e-05	0.00061849	
0.00059844	0.00032072	0.00030602	2.7162e-06	0.00096965	0.0089993	8.7993e-05	6.7251e-05	0.0012297	0.0042703	0.0013503	0.0099882	0.0099882	3.9168e-06	0.00040921	6.6809e-07	0.0024555	0.015472	0.01	0.01	0.0011358	0.00071773	0.0018949	0.0084896	4.3019e-05	0.0010072	0.00054831	5.2091e-06	6.5987e-05	0.00061689	
0.0005947	0.00031831	0.00030293	1.903e-06	0.00096678	0.0089988	8.4313e-05	6.5661e-05	0.0012284	0.0042678	0.0013454	0.0099882	0.0099882	3.6849e-06	0.00040759	7.3586e-07	0.0024331	0.015481	0.01	0.01	0.0011313	0.00071597	0.0018831	0.0084889	4.113e-05	0.0010038	0.0005452	4.9095e-06	6.2684e-05	0.00061537	
0.00059092	0.00031589	0.0002998	1.7978e-06	0.0009639	0.0089983	8.0394e-05	6.3989e-05	0.001227	0.0042652	0.0013405	0.0099882	0.0099882	3.4253e-06	0.00040594	7.9281e-07	0.0024106	0.015489	0.01	0.01	0.0011267	0.00071416	0.0018712	0.0084881	3.9204e-05	0.0010004	0.00054205	4.5526e-06	5.9269e-05	0.00061381	
0.00058721	0.0003135	0.00029664	1.6831e-06	0.00096104	0.0089978	7.6966e-05	6.2512e-05	0.0012258	0.0042627	0.0013357	0.0099882	0.0099882	3.2254e-06	0.00040434	8.584e-07	0.0023885	0.015498	0.01	0.01	0.0011221	0.00071244	0.0018595	0.0084874	3.7355e-05	0.00099709	0.00053887	4.316e-06	5.5739e-05	0.00061222	
0.00058346	0.00031109	0.00029344	1.5588e-06	0.00095817	0.0089973	7.3316e-05	6.0958e-05	0.0012245	0.0042602	0.0013308	0.0099882	0.0099882	3.0014e-06	0.00040272	9.1303e-07	0.0023662	0.015506	0.01	0.01	0.0011175	0.00071068	0.0018708	0.0084866	3.547e-05	0.00099373	0.00053565	4.0308e-06	5.5711e-05	0.0006106	
0.00057968	0.00030867	0.0002902	1.4247e-06	0.00095528	0.0089968	6.9435e-05	5.9325e-05	0.0012231	0.0042576	0.0013259	0.0099882	0.0099882	2.7513e-06	0.00040108	9.5681e-07	0.0023665	0.015515	0.01	0.01	0.0011129	0.00070888	0.0018821	0.0084858	3.3547e-05	0.0009903	0.0005324	3.6925e-06	5.5642e-05	0.00060894	
0.00057588	0.00030623	0.00028693	1.2804e-06	0.00095238	0.0089962	6.5316e-05	5.761e-05	0.0012217	0.004255	0.0013209	0.0099882	0.0099882	2.4732e-06	0.00039942	9.8985e-07	0.0023667	0.015523	0.01	0.01	0.0011082	0.00070705	0.0018933	0.0084851	3.1588e-05	0.00098685	0.00052911	3.2956e-06	5.5532e-05	0.00060725	
0.00057213	0.00030382	0.00028374	1.1519e-06	0.0009495	0.0089957	6.173e-05	5.6106e-05	0.0012204	0.0042525	0.001316	0.0099882	0.0099882	2.2606e-06	0.00039781	1.0324e-06	0.0023671	0.015532	0.01	0.01	0.0011037	0.0007053	0.0019047	0.0084843	2.9711e-05	0.00098343	0.0005259	3.0302e-06	5.5498e-05	0.00060564	
0.00056845	0.00030144	0.00028063	1.0377e-06	0.00094666	0.0089952	5.8618e-05	5.4791e-05	0.0012191	0.00425	0.0013112	0.0099882	0.0099882	2.0997e-06	0.00039617	1.0854e-06	0.0023675	0.01554	0.01	0.01	0.001099	0.00070352	0.001916	0.0084836	2.7914e-05	0.00098003	0.00052277	2.8615e-06	5.554e-05	0.00060411	
0.00056482	0.0002991	0.0002776	9.3605e-07	0.00094384	0.0089947	5.5926e-05	5.3645e-05	0.0012177	0.0042477	0.0013065	0.0099882	0.0099882	1.9799e-06	0.00039452	1.1496e-06	0.0023682	0.01552	0.01	0.01	0.0010944	0.0007017	0.0019272	0.0084829	2.6187e-05	0.00097667	0.00051973	2.7674e-06	5.5659e-05	0.00060266	
0.00056125	0.00029679	0.00027465	8.4561e-07	0.00094105	0.0089943	5.3047e-05	5.2433e-05	0.0012164	0.0042454	0.0013019	0.0099882	0.0099882	1.8264e-06	0.00039291	1.2022e-06	0.0023689	0.0155	0.01	0.01	0.0010898	0.00069997	0.0019386	0.0084822	2.4533e-05	0.00097333	0.00051676	2.7587e-06	5.5856e-05	0.00060129	
0.00055774	0.00029452	0.00027178	7.6515e-07	0.00093828	0.0089938	4.9974e-05	5.1155e-05	0.0012153	0.0042431	0.0012974	0.0099882	0.0099882	1.6532e-06	0.00039135	1.2433e-06	0.0023698	0.01548	0.01	0.01	0.0010852	0.00069833	0.0019502	0.0084815	2.2949e-05	0.00097002	0.00051388	2.7148e-06	5.6131e-05	0.0006	
0.00055429	0.00029227	0.00026898	6.9281e-07	0.00093555	0.0089934	4.728e-05	5.003e-05	0.0012141	0.0042409	0.0012929	0.0099881	0.0099881	1.5195e-06	0.00038977	1.2948e-06	0.0023708	0.01546	0.01	0.01	0.0010807	0.00069665	0.0019617	0.0084808	2.143e-05	0.00096674	0.00051106	2.7246e-06	5.648e-05	0.00059878	
0.00055081	0.00029001	0.00026614	6.132e-07	0.0009328	0.0089929	4.4404e-05	4.8845e-05	0.0012128	0.0042388	0.0012884	0.0099881	0.0099881	1.3688e-06	0.00038816	1.3347e-06	0.0023718	0.01544	0.01	0.01	0.0010761	0.00069493	0.0019731	0.0084802	1.9894e-05	0.00096344	0.00050821	2.7068e-06	5.6787e-05	0.00059753	
0.0005473	0.00028774	0.00026337	5.4517e-07	0.00093003	0.0089925	4.1908e-05	4.7812e-05	0.0012117	0.0042365	0.0012839	0.0099881	0.0099881	1.2554e-06	0.00038661	1.3866e-06	0.0023727	0.01542	0.01	0.01	0.0010715	0.00069331	0.0019847	0.0084795	1.8326e-05	0.00096013	0.00050544	2.4625e-06	5.7209e-05	0.00059158	
0.00054384	0.00028549	0.00026068	4.8342e-07	0.00092729	0.008992	3.9722e-05	4.6906e-05	0.0012107	0.0042344	0.0012795	0.0099881	0.0099881	1.169e-06	0.0003851	1.4502e-06	0.0023737	0.0154	0.01	0.01	0.001067	0.00069176	0.0019965	0.0084789	1.6818e-05	0.00095684	0.00050274	2.2997e-06	5.7709e-05	0.0005858	
0.00054036	0.00028323	0.00025795	4.1508e-07	0.00092454	0.0089916	3.7379e-05	4.5948e-05	0.0012096	0.0042322	0.001275	0.0099881	0.0099881	1.0699e-06	0.00038357	1.5016e-06	0.0023747	0.01538	0.01	0.01	0.0010624	0.00069018	0.0020082	0.0084782	1.528e-05	0.00095354	0.0005	2.101e-06	5.8165e-05	0.00057995	
0.00053685	0.00028095	0.00025529	3.5311e-07	0.00092177	0.0089911	3.4875e-05	4.4937e-05	0.0012085	0.0042299	0.0012704	0.0099881	0.0099881	9.5717e-07	0.00038202	1.5411e-06	0.0023756	0.015361	0.01	0.01	0.0010578	0.00068856	0.0020197	0.0084775	1.3711e-05	0.00095022	0.00049734	1.8632e-06	5.8706e-05	0.00057428	
0.00053338	0.0002787	0.00025269	2.9613e-07	0.00091902	0.0089907	3.2671e-05	4.4049e-05	0.0012075	0.0042278	0.001266	0.0099881	0.0099881	8.7009e-07	0.00038051	1.5923e-06	0.0023766	0.015341	0.01	0.01	0.0010533	0.00068702	0.0020315	0.0084769	1.22e-05	0.00094693	0.00049474	1.7011e-06	5.9329e-05	0.00056877	
0.00052998	0.00027647	0.00025016	2.435e-07	0.0009163	0.0089903	3.0736e-05	4.3272e-05	0.0012066	0.0042257	0.0012616	0.0099881	0.0099881	8.0384e-07	0.00037904	1.6558e-06	0.0023778	0.015321	0.01	0.01	0.0010488	0.00068556	0.0020435	0.0084762	1.0746e-05	0.00094366	0.00049221	1.5966e-06	6.0038e-05	0.00056341	
0.00052662	0.00027428	0.00024769	1.9462e-07	0.00091361	0.0089899	2.9043e-05	4.2597e-05	0.0012057	0.0042237	0.0012573	0.0099881	0.0099881	7.5486e-07	0.00037762	1.7329e-06	0.0023791	0.015302	0.01	0.01	0.0010443	0.00068418	0.0020556	0.0084756	9.345e-06	0.00094041	0.00048974	1.5384e-06	6.0836e-05	0.00055821	
0.00052331	0.00027212	0.00024528	1.4944e-07	0.00091094	0.0089895	2.757e-05	4.2014e-05	0.001205	0.0042217	0.0012531	0.0099881	0.0099881	7.2372e-07	0.00037623	1.825e-06	0.0023805	0.015283	0.01	0.01	0.0010399	0.00068288	0.0020679	0.008475	7.9963e-06	0.00093719	0.00048734	1.5208e-06	6.1737e-05	0.00055316	
0.00051998	0.00026994	0.00024284	1.6914e-07	0.00090825	0.008989	2.597e-05	4.1389e-05	0.0012043	0.0042197	0.0012488	0.0099881	0.0099881	7.8775e-07	0.00037483	1.9034e-06	0.0023819	0.015264	0.01	0.01	0.0010354	0.00068154	0.0020802	0.0084744	6.6197e-06	0.00093396	0.00048491	1.7682e-06	6.2587e-05	0.00054806	
0.00051662	0.00026774	0.00024037	1.842e-07	0.00090555	0.0089886	2.5008e-05	4.1025e-05	0.0012035	0.0042177	0.0012445	0.0099881	0.0099881	8.4961e-07	0.00037341	1.8382e-06	0.0023832	0.015245	0.01	0.01	0.0010309	0.00068016	0.0020923	0.0084738	6.4967e-06	0.00093071	0.00048245	2.0102e-06	6.3386e-05	0.00054289	
0.00051322	0.00026553	0.00023788	1.9465e-07	0.00090284	0.0089882	2.3939e-05	4.0627e-05	0.0012028	0.0042156	0.0012401	0.0099881	0.0099881	9.093e-07	0.00037203	1.7596e-06	0.0023844	0.015225	0.01	0.01	0.0010265	0.00067887	0.0021046	0.0084732	6.3623e-06	0.00092744	0.00047996	2.2469e-06	6.4135e-05	0.00053767	
0.0005098	0.0002633	0.00023535	2.0048e-07	0.00090011	0.0089878	2.2721e-05	4.019e-05	0.001202	0.0042135	0.0012357	0.0099881	0.0099881	9.6682e-07	0.00037063	1.9854e-06	0.0023856	0.015206	0.01	0.01	0.001022	0.00067754	0.0021169	0.0084726	6.2164e-06	0.00092416	0.00047743	2.4784e-06	6.4835e-05	0.00053238	
0.00050635	0.00026105	0.00023288	2.074e-07	0.00089736	0.0089874	2.1701e-05	3.9834e-05	0.0012014	0.0042114	0.0012313	0.0099881	0.0099881	1.0468e-06	0.00036927	1.9977e-06	0.0023868	0.015187	0.01	0.01	0.0010176	0.00067056	0.0021293	0.0084719	6.059e-06	0.00092086	0.00047498	2.4918e-06	6.5636e-05	0.00052726	
0.00050288	0.00025879	0.00023039	2.097e-07	0.0008946	0.0089869	2.0578e-05	3.9446e-05	0.0012007	0.0042093	0.0012268	0.0099881	0.0099881	1.1153e-06	0.0003679	1.9974e-06	0.0023878	0.015167	0.01	0.01	0.0010132	0.00066351	0.0021417	0.0084713	5.8902e-06	0.00091754	0.00047249	2.4786e-06	6.6386e-05	0.00052208	
0.00049945	0.00025656	0.00022795	2.1284e-07	0.00089186	0.0089865	1.9612e-05	3.913e-05	0.0012002	0.0042072	0.0012224	0.0099881	0.0099881	1.1031e-06	0.00036657	2.0104e-06	0.002389	0.015148	0.01	0.01	0.0010087	0.00065664	0.0021542	0.0084707	5.7282e-06	0.00091425	0.00047006	2.2608e-06	6.7233e-05	0.00051705	
0.000496	0.00025431	0.00022549	2.1137e-07	0.00088911	0.0089861	1.8545e-05	3.881e-05	0.0011996	0.004205	0.001218	0.009988	0.009988	1.0819e-06	0.00036521	2.0108e-06	0.0023902	0.015129	0.01	0.01	0.0010043	0.00064969	0.0021666	0.00847	5.5548e-06	0.00091095	0.00046761	2.3917e-06	6.8029e-05	0.00051196	
