Zonotrichia_albicollis	Taeniopygia_guttata	Sturnus_vulgaris	Stachyridopsis_ruficeps	Serinus_canaria	Pseudopodoces_humilis	Pipra_filicauda	Passer_domesticus	Parus_major	Oriolus_oriolus	Neopelma_chrysocephalum	Molothrus_ater	Manacus_vitellinus	Malurus_cyaneus	Lonchura_Striata_domestica	Lepidothrix_coronata	Geospiza_fortis	Ficedula_albicollis	Erythrura_gouldiae	Empidonax_traillii	Cyanistes_caeruleus	Corvus_moneduloides	Corvus_brachyrhynchos	Corapipo_altera	Chiroxiphia_lanceolata	Catharus_ustulatus	Camarhynchus_parvulus	Acanthisitta_chloris	
0.00069025	9.8332e-05	4.9948e-06	4.0525e-05	7.0928e-05	0.00024571	0.019597	2.5428e-05	0.00036858	0.0005243	0.00010293	8.6022e-05	0.00091657	6.9649e-06	5.8383e-05	0.01	0.01	0.082839	0.043423	0.00056644	0.0088703	0.012802	0.025551	0.00060057	0.000218	1.855e-05	0.01	0.0011074	
0.00068904	9.7079e-05	4.3056e-06	3.8537e-05	7.1627e-05	0.00024418	0.019599	2.4863e-05	0.00036429	0.00051491	0.00010079	8.4866e-05	0.00091367	6.6292e-06	5.6103e-05	0.01	0.01	0.082922	0.043452	0.00056023	0.0088696	0.012807	0.025566	0.00059683	0.00021435	1.7988e-05	0.01	0.0011058	
0.00068792	9.5871e-05	3.6666e-06	3.673e-05	7.1316e-05	0.00024269	0.019602	2.4334e-05	0.00036006	0.000506	9.8732e-05	8.376e-05	0.00091079	6.325e-06	5.3868e-05	0.01	0.01	0.083013	0.043481	0.00055427	0.0088689	0.012811	0.025581	0.00059324	0.00021075	1.7471e-05	0.01	0.0010981	
0.00068678	9.4649e-05	3.0133e-06	3.4871e-05	7.0991e-05	0.00024118	0.019605	2.3795e-05	0.00035581	0.00049694	9.6649e-05	8.264e-05	0.0009079	6.012e-06	5.1618e-05	0.01	0.01	0.083102	0.043511	0.00054823	0.0088683	0.012816	0.025595	0.0005896	0.00020713	1.6941e-05	0.01	0.0010902	
0.00068573	9.3472e-05	2.4084e-06	3.3186e-05	7.0712e-05	0.00023971	0.019608	2.3291e-05	0.00035162	0.00048836	9.4645e-05	8.1567e-05	0.00090504	5.7289e-06	4.9414e-05	0.01	0.01	0.083198	0.043542	0.00054245	0.0088676	0.012821	0.02561	0.0005861	0.00020356	1.6454e-05	0.01	0.0010828	
0.00068465	9.2279e-05	1.8507e-06	3.1666e-05	7.0416e-05	0.00023827	0.01961	2.2775e-05	0.00034748	0.00048026	9.2604e-05	8.0477e-05	0.00090216	5.4746e-06	4.7192e-05	0.01	0.01	0.083304	0.043573	0.000537	0.0088669	0.012826	0.025626	0.00058254	0.00019996	1.6008e-05	0.01	0.0010759	
0.00068366	9.1132e-05	1.3361e-06	3.0297e-05	7.0168e-05	0.00023686	0.019613	2.2295e-05	0.0003434	0.00047261	9.0644e-05	7.9436e-05	0.00089931	5.2463e-06	4.5017e-05	0.01	0.01	0.083419	0.043605	0.0005318	0.0088663	0.012831	0.025641	0.00057914	0.00019641	1.5602e-05	0.01	0.0010693	
0.00068265	9.0045e-05	1.2894e-06	2.8876e-05	6.9903e-05	0.00023545	0.019617	2.1802e-05	0.00033929	0.0004648	8.8763e-05	7.8377e-05	0.00089649	5.0092e-06	4.2912e-05	0.01	0.01	0.083531	0.043635	0.0005269	0.0088656	0.012837	0.025656	0.00057588	0.00019291	1.5182e-05	0.01	0.0010619	
0.00068173	8.9001e-05	1.2477e-06	2.7596e-05	6.9685e-05	0.00023406	0.01962	2.1344e-05	0.00033524	0.00045743	8.6958e-05	7.7366e-05	0.00089369	4.7962e-06	4.0852e-05	0.01	0.01	0.083652	0.043666	0.00052223	0.008865	0.012842	0.025672	0.00057276	0.00018945	1.4798e-05	0.01	0.001055	
0.0006809	8.7999e-05	1.2108e-06	2.6441e-05	6.9511e-05	0.00023271	0.019624	2.0918e-05	0.00033124	0.00045048	8.5225e-05	7.6401e-05	0.00089092	4.6049e-06	3.8835e-05	0.01	0.01	0.083783	0.043699	0.00051777	0.0088644	0.012847	0.025688	0.00056978	0.00018604	1.4449e-05	0.01	0.0010485	
0.00068016	8.7037e-05	1.1782e-06	2.54e-05	6.785e-05	0.0002314	0.019628	2.0523e-05	0.0003273	0.00044392	8.3561e-05	7.5482e-05	0.00088818	4.4331e-06	3.6861e-05	0.01	0.01	0.083925	0.043734	0.00051353	0.0088638	0.012853	0.025704	0.00056693	0.00018266	1.413e-05	0.01	0.0010423	
0.00067313	8.6061e-05	1.1498e-06	2.4462e-05	6.6313e-05	0.00023012	0.019632	2.0155e-05	0.00032341	0.00043774	8.1963e-05	7.4605e-05	0.00088546	4.279e-06	3.4869e-05	0.01	0.01	0.084077	0.043768	0.0005095	0.0088632	0.012858	0.025721	0.00056421	0.00017933	1.384e-05	0.01	0.0010366	
0.00066605	8.5072e-05	1.1183e-06	2.3494e-05	6.4746e-05	0.00022882	0.019636	1.978e-05	0.0003195	0.00043203	8.0345e-05	7.3716e-05	0.00088272	4.1192e-06	3.2864e-05	0.01	0.01	0.084227	0.043801	0.0005054	0.0088626	0.012864	0.025737	0.00056144	0.00017599	1.3542e-05	0.01	0.0010308	
0.0006592	8.4118e-05	1.0902e-06	2.2613e-05	6.3287e-05	0.00022756	0.019641	1.9428e-05	0.00031563	0.00042662	7.8783e-05	7.2863e-05	0.00088002	3.9742e-06	3.0895e-05	0.01	0.01	0.084387	0.043836	0.00050147	0.008862	0.01287	0.025754	0.00055879	0.00017268	1.3268e-05	0.01	0.0010253	
0.00065229	8.3153e-05	1.0592e-06	2.1705e-05	6.1801e-05	0.00022628	0.019645	1.907e-05	0.00031175	0.00042111	7.7204e-05	7.1998e-05	0.0008773	3.8246e-06	2.8913e-05	0.01	0.01	0.084544	0.04387	0.0004975	0.0088614	0.012876	0.025771	0.00055611	0.00016936	1.2986e-05	0.01	0.0010197	
0.00064534	8.2173e-05	1.0255e-06	2.0773e-05	6.0291e-05	0.000225	0.019649	1.8705e-05	0.00030785	0.00041552	7.5607e-05	7.1124e-05	0.00087457	3.6709e-06	2.9e-05	0.01	0.01	0.0847	0.043904	0.00049347	0.0088608	0.012882	0.025788	0.00055339	0.00016602	1.2698e-05	0.01	0.0010141	
0.00063861	8.1226e-05	9.9481e-07	1.992e-05	5.8882e-05	0.00022374	0.019654	1.8362e-05	0.00030399	0.00041022	7.4065e-05	7.0283e-05	0.00087187	3.5309e-06	2.9092e-05	0.01	0.01	0.084865	0.04394	0.0004896	0.0088602	0.012888	0.025805	0.00055078	0.00016271	1.2432e-05	0.01	0.0010087	
0.00063184	8.0269e-05	9.6143e-07	1.9044e-05	5.7449e-05	0.00022247	0.019658	1.8013e-05	0.00030012	0.00040483	7.4915e-05	6.9433e-05	0.00086915	3.3868e-06	2.9177e-05	0.01	0.01	0.085027	0.043975	0.00048569	0.0088596	0.012894	0.025822	0.00054814	0.0001594	1.2159e-05	0.01	0.0010033	
0.00062502	7.9303e-05	9.2549e-07	1.8147e-05	5.5995e-05	0.0002212	0.019662	1.7658e-05	0.00029623	0.00039936	7.5754e-05	6.8573e-05	0.00086643	3.239e-06	2.9256e-05	0.01	0.01	0.085188	0.04401	0.00048173	0.008859	0.0129	0.025839	0.00054547	0.00015607	1.188e-05	0.01	0.00099782	
0.00061843	7.8369e-05	8.9233e-07	1.7323e-05	5.4637e-05	0.00021995	0.019667	1.7324e-05	0.00029238	0.00039415	7.6626e-05	6.7745e-05	0.00086372	3.1039e-06	2.934e-05	0.01	0.01	0.085359	0.044047	0.00047793	0.0088584	0.012906	0.025856	0.0005429	0.00015277	1.1622e-05	0.01	0.00099264	
0.00061204	7.7465e-05	8.6176e-07	1.6567e-05	5.3368e-05	0.00021873	0.019672	1.701e-05	0.00028858	0.00038921	7.7532e-05	6.6949e-05	0.00086104	2.9805e-06	2.943e-05	0.01	0.01	0.08554	0.044085	0.00047428	0.0088578	0.012912	0.025874	0.00054043	0.00014951	1.1385e-05	0.01	0.00098774	
0.00060586	7.659e-05	8.3365e-07	1.5875e-05	5.2184e-05	0.00021753	0.019677	1.6715e-05	0.00028481	0.00038452	7.8474e-05	6.6183e-05	0.00085838	2.8679e-06	2.9524e-05	0.01	0.01	0.085731	0.044125	0.00047079	0.0088572	0.012919	0.025891	0.00053805	0.00014628	1.1166e-05	0.01	0.00098313	
0.00059988	7.5745e-05	8.0777e-07	1.5239e-05	5.1076e-05	0.00021635	0.019682	1.6438e-05	0.00028108	0.00038006	7.9452e-05	6.5446e-05	0.00085573	2.7651e-06	2.9624e-05	0.01	0.01	0.085933	0.044166	0.00046744	0.0088567	0.012925	0.025909	0.00053577	0.00014308	1.0965e-05	0.01	0.00097877	
0.00059385	7.489e-05	7.7938e-07	1.4585e-05	4.995e-05	0.00021517	0.019687	1.6155e-05	0.00027734	0.00037553	8.0416e-05	6.47e-05	0.00085308	2.6591e-06	2.9717e-05	0.01	0.01	0.086132	0.044207	0.00046405	0.0088561	0.012932	0.025927	0.00053346	0.00013986	1.0758e-05	0.01	0.00097434	
0.00058778	7.4026e-05	7.4848e-07	1.3912e-05	4.8805e-05	0.00021398	0.019692	1.5867e-05	0.00027358	0.00037092	8.1368e-05	6.3945e-05	0.00085042	2.5498e-06	2.9803e-05	0.01	0.01	0.08633	0.044247	0.0004606	0.0088556	0.012938	0.025945	0.00053112	0.00013664	1.0545e-05	0.01	0.00096986	
0.00058167	7.3154e-05	7.1516e-07	1.3221e-05	4.7642e-05	0.00021278	0.019697	1.5574e-05	0.00026981	0.00036624	8.2307e-05	6.3182e-05	0.00084775	2.4375e-06	2.9883e-05	0.01	0.01	0.086525	0.044287	0.00045712	0.008855	0.012944	0.025962	0.00052876	0.0001334	1.0327e-05	0.01	0.00096531	
0.00057576	7.231e-05	6.8402e-07	1.2586e-05	4.6554e-05	0.00021161	0.019702	1.5299e-05	0.00026607	0.00036179	8.3283e-05	6.2447e-05	0.00084509	2.3347e-06	2.9968e-05	0.01	0.01	0.086731	0.044329	0.00045378	0.0088544	0.012951	0.02598	0.00052648	0.00013019	1.0126e-05	0.01	0.00096103	
0.0005698	7.15e-05	6.5039e-07	1.1932e-05	4.5448e-05	0.00021042	0.019707	1.5018e-05	0.00026232	0.00035727	8.4245e-05	6.1703e-05	0.00084244	2.2288e-06	3.0062e-05	0.01	0.01	0.086935	0.044368	0.00045039	0.0088539	0.012957	0.025998	0.00052418	0.00012697	9.9189e-06	0.01	0.00095668	
0.00056403	7.0716e-05	6.1884e-07	1.1331e-05	4.4414e-05	0.00020927	0.019713	1.4754e-05	0.00025861	0.00035297	8.5244e-05	6.0987e-05	0.00083979	2.1318e-06	3.016e-05	0.01	0.01	0.08715	0.044409	0.00044714	0.0088533	0.012964	0.026016	0.00052197	0.00012378	9.7286e-06	0.01	0.00095258	
0.00055845	6.9958e-05	5.8922e-07	1.0778e-05	4.3448e-05	0.00020813	0.019718	1.4506e-05	0.00025493	0.0003489	8.628e-05	6.0298e-05	0.00083717	2.0431e-06	3.0264e-05	0.01	0.01	0.087377	0.044452	0.00044403	0.0088528	0.012971	0.026035	0.00051985	0.00012062	9.5537e-06	0.01	0.00094872	
0.00055304	6.9226e-05	5.614e-07	1.027e-05	4.2546e-05	0.00020702	0.019724	1.4273e-05	0.00025129	0.00034503	8.7355e-05	5.9636e-05	0.00083457	1.962e-06	3.0373e-05	0.01	0.01	0.087616	0.044496	0.00044106	0.0088522	0.012977	0.026053	0.00051782	0.00011749	9.3936e-06	0.01	0.00094509	
0.0005478	6.8518e-05	5.3527e-07	9.8033e-06	4.1704e-05	0.00020593	0.01973	1.4055e-05	0.00024769	0.00034137	8.8469e-05	5.8998e-05	0.00083198	1.8882e-06	3.0488e-05	0.01	0.01	0.087868	0.044541	0.00043821	0.0088517	0.012984	0.026072	0.00051587	0.00011438	9.2475e-06	0.01	0.00094169	
0.00054253	6.7802e-05	5.0684e-07	9.3225e-06	4.0849e-05	0.00020483	0.019736	1.3832e-05	0.00024407	0.00033764	8.957e-05	5.8354e-05	0.00082939	1.8118e-06	3.0596e-05	0.01	0.01	0.088117	0.044587	0.00043532	0.0088512	0.012991	0.026091	0.0005139	0.00011127	9.0968e-06	0.01	0.00093824	
0.00053743	6.7111e-05	4.8007e-07	8.8819e-06	4.0052e-05	0.00020375	0.019742	1.3625e-05	0.00024049	0.00033412	9.0713e-05	5.7734e-05	0.00082682	1.7424e-06	3.0709e-05	0.01	0.01	0.08838	0.044634	0.00043257	0.0088507	0.012998	0.02611	0.00051202	0.00010819	8.96e-06	0.01	0.00093501	
0.0005325	6.6444e-05	4.5478e-07	8.4776e-06	3.9309e-05	0.0002027	0.019748	1.343e-05	0.00023695	0.00033079	9.1897e-05	5.7139e-05	0.00082426	1.6792e-06	3.0828e-05	0.01	0.01	0.088657	0.044682	0.00042994	0.0088502	0.013005	0.026129	0.00051022	0.00010513	8.8359e-06	0.01	0.00093199	
0.00052753	6.5769e-05	4.2713e-07	8.059e-06	3.8552e-05	0.00020164	0.019754	1.3231e-05	0.00023339	0.0003274	9.3067e-05	5.6536e-05	0.0008217	1.6135e-06	3.094e-05	0.01	0.01	0.088931	0.044731	0.00042727	0.0088496	0.013012	0.026148	0.00050839	0.00010206	8.7071e-06	0.01	0.00092892	
0.00052252	6.5085e-05	3.9714e-07	7.6258e-06	3.778e-05	0.00020057	0.019761	1.3028e-05	0.00022981	0.00032393	9.4223e-05	5.5925e-05	0.00081912	1.5454e-06	3.1046e-05	0.01	0.01	0.089201	0.044779	0.00042456	0.0088491	0.013019	0.026167	0.00050654	9.8977e-05	8.5735e-06	0.01	0.0009258	
0.00051748	6.4394e-05	3.6479e-07	7.178e-06	3.6994e-05	0.00019949	0.019767	1.282e-05	0.00022622	0.0003204	9.5364e-05	5.5306e-05	0.00081654	1.4747e-06	3.1144e-05	0.01	0.01	0.089469	0.044826	0.0004218	0.0088486	0.013027	0.026186	0.00050466	9.5883e-05	8.435e-06	0.01	0.00092262	
0.0005126	6.3726e-05	3.3394e-07	6.7666e-06	3.6262e-05	0.00019844	0.019773	1.2626e-05	0.00022267	0.00031709	9.6549e-05	5.4712e-05	0.00081398	1.4103e-06	3.1248e-05	0.01	0.01	0.089752	0.044875	0.00041917	0.0088481	0.013034	0.026205	0.00050286	9.2818e-05	8.3095e-06	0.01	0.00091966	
0.00050769	6.3051e-05	3.0083e-07	6.3419e-06	3.5518e-05	0.00019738	0.019779	1.2427e-05	0.0002191	0.00031372	9.7721e-05	5.411e-05	0.00081141	1.3436e-06	3.1346e-05	0.01	0.01	0.090031	0.044924	0.0004165	0.0088476	0.013041	0.026225	0.00050104	8.9741e-05	8.1796e-06	0.01	0.00091665	
0.00050293	6.2399e-05	2.6905e-07	5.9507e-06	3.4824e-05	0.00019634	0.019786	1.2241e-05	0.00021557	0.00031053	9.8936e-05	5.3531e-05	0.00080886	1.2827e-06	3.1449e-05	0.01	0.01	0.090326	0.044975	0.00041396	0.0088471	0.013048	0.026244	0.00049931	8.6692e-05	8.062e-06	0.01	0.00091385	
0.00049814	6.1739e-05	2.3494e-07	5.5456e-06	3.4117e-05	0.00019529	0.019792	1.2051e-05	0.00021202	0.00030728	0.00010014	5.2945e-05	0.00080629	1.2194e-06	3.1546e-05	0.01	0.01	0.090617	0.045025	0.00041137	0.0088466	0.013055	0.026263	0.00049754	8.3631e-05	7.9396e-06	0.01	0.00091099	
0.00049351	6.1102e-05	2.0208e-07	5.1723e-06	3.3458e-05	0.00019427	0.019799	1.1874e-05	0.0002085	0.00030421	0.00010138	5.2382e-05	0.00080375	1.1616e-06	3.1648e-05	0.01	0.01	0.090923	0.045077	0.00040891	0.0088461	0.013062	0.026282	0.00049586	8.0597e-05	7.8293e-06	0.01	0.00090833	
0.00048903	6.0488e-05	1.7038e-07	4.829e-06	3.2847e-05	0.00019326	0.019806	1.1709e-05	0.00020503	0.00030132	0.00010267	5.1843e-05	0.00080123	1.1091e-06	3.1756e-05	0.01	0.01	0.091246	0.045131	0.00040657	0.0088456	0.013069	0.026302	0.00049427	7.7592e-05	7.7306e-06	0.01	0.00090588	
0.00048452	5.9865e-05	1.3637e-07	4.4724e-06	3.2223e-05	0.00019225	0.019813	1.154e-05	0.00020153	0.00029837	0.00010395	5.1295e-05	0.0007987	1.0542e-06	3.1856e-05	0.01	0.01	0.091566	0.045185	0.00040418	0.0088451	0.013077	0.026322	0.00049264	7.4573e-05	7.6273e-06	0.01	0.00090338	
0.00048018	5.9268e-05	1.0375e-07	4.1484e-06	3.165e-05	0.00019127	0.01982	1.1384e-05	0.00019808	0.00029562	0.00010528	5.0773e-05	0.00079618	1.005e-06	3.1965e-05	0.01	0.01	0.091905	0.04524	0.00040194	0.0088446	0.013084	0.026342	0.00049111	7.1587e-05	7.5371e-06	0.01	0.0009011	
0.00047577	5.8658e-05	6.8367e-08	3.8053e-06	3.1056e-05	0.00019027	0.019827	1.1222e-05	0.00019461	0.00029277	0.00010658	5.0239e-05	0.00079366	9.5247e-07	3.2064e-05	0.01	0.01	0.092236	0.045295	0.00039962	0.0088441	0.013092	0.026361	0.00048954	6.8582e-05	7.4398e-06	0.01	0.00089872	
0.00047127	5.8032e-05	6.2122e-08	3.7955e-06	3.0432e-05	0.00018925	0.019834	1.1051e-05	0.0001911	0.00029028	0.00010797	4.9688e-05	0.00079117	9.094e-07	3.2153e-05	0.01	0.01	0.092544	0.045348	0.00039751	0.0088436	0.013073	0.026383	0.00048196	6.5625e-05	7.3255e-06	0.01	0.00089245	
0.00046667	5.7386e-05	5.3477e-08	3.7691e-06	2.9773e-05	0.00018822	0.019841	1.0869e-05	0.00019209	0.00028765	0.00010932	4.9117e-05	0.00078866	8.6199e-07	3.223e-05	0.01	0.01	0.092842	0.045401	0.00039531	0.0088431	0.013055	0.026404	0.00047424	6.2642e-05	7.2005e-06	0.01	0.00088594	
0.00046196	5.6721e-05	4.2416e-08	3.7261e-06	2.9078e-05	0.00018716	0.019848	1.0676e-05	0.00019306	0.00028487	0.00011063	4.8527e-05	0.00078613	8.1009e-07	3.2296e-05	0.01	0.01	0.093129	0.045452	0.000393	0.0088426	0.013037	0.026426	0.00046637	5.9631e-05	7.0646e-06	0.01	0.00087918	
0.00045716	5.6039e-05	2.9005e-08	3.6676e-06	2.8351e-05	0.00018609	0.019855	1.0474e-05	0.000194	0.00028195	0.0001119	4.7919e-05	0.00078359	7.5398e-07	3.2351e-05	0.01	0.01	0.093408	0.045503	0.00039834	0.0088421	0.013018	0.026447	0.00045837	5.6596e-05	6.9187e-06	0.01	0.00087218	
0.00045225	5.5337e-05	3.5738e-08	3.5922e-06	2.7585e-05	0.000185	0.019862	1.026e-05	0.00019493	0.00027888	0.00011314	4.7292e-05	0.00078102	6.9307e-07	3.2394e-05	0.01	0.01	0.093677	0.045552	0.00040354	0.0088416	0.013	0.026468	0.00045022	5.3534e-05	6.7611e-06	0.01	0.00086894	
0.00044723	5.4615e-05	4.0547e-08	3.4996e-06	2.678e-05	0.0001839	0.019868	1.0036e-05	0.00019583	0.00027566	0.00011434	4.6644e-05	0.00077844	6.2717e-07	3.2427e-05	0.01	0.01	0.093936	0.0456	0.0004086	0.0088411	0.012981	0.026489	0.00044191	5.0445e-05	6.5918e-06	0.01	0.00086553	
0.00044209	5.3873e-05	4.3137e-08	3.3897e-06	2.5933e-05	0.00018277	0.019875	9.7992e-06	0.0001967	0.00027228	0.0001155	4.5976e-05	0.00077584	5.5611e-07	3.2448e-05	0.01	0.01	0.094187	0.045647	0.00041359	0.0088405	0.012963	0.02651	0.00043345	5.0363e-05	6.4104e-06	0.01	0.00086196	
0.00043684	5.3111e-05	4.3523e-08	3.2624e-06	2.5045e-05	0.00018162	0.019881	9.5511e-06	0.00019756	0.00026874	0.00011663	4.5288e-05	0.00077322	4.7974e-07	3.2458e-05	0.01	0.01	0.094429	0.045694	0.00041844	0.00884	0.012944	0.026531	0.00042484	5.0267e-05	6.2169e-06	0.01	0.00085822	
0.00043148	5.2329e-05	4.171e-08	3.1174e-06	2.4114e-05	0.00018046	0.019887	9.2911e-06	0.0001984	0.00026505	0.00011772	4.4579e-05	0.00077058	3.9788e-07	3.2456e-05	0.01	0.01	0.094664	0.045739	0.00042316	0.0088394	0.012925	0.026551	0.00041607	5.0159e-05	6.0108e-06	0.01	0.00085431	
0.00042641	5.159e-05	3.9563e-08	3.0025e-06	2.3284e-05	0.00017933	0.019894	9.0564e-06	0.00019926	0.00026168	0.00011889	4.3914e-05	0.00076798	3.2647e-07	3.2467e-05	0.01	0.01	0.094919	0.045786	0.00042819	0.0088389	0.012907	0.026572	0.00040768	5.0058e-05	5.8303e-06	0.01	0.00085079	
0.00042159	5.089e-05	3.702e-08	2.9098e-06	2.2541e-05	0.00017824	0.019901	8.8445e-06	0.00020015	0.00025861	0.00012014	4.3289e-05	0.0007654	2.6384e-07	3.249e-05	0.01	0.01	0.095198	0.045837	0.00043352	0.0088383	0.012888	0.026594	0.00039965	4.9966e-05	5.6726e-06	0.01	0.00084763	
0.00041668	5.0171e-05	3.23e-08	2.801e-06	2.1761e-05	0.00017714	0.019908	8.622e-06	0.00020102	0.0002554	0.00012135	4.2646e-05	0.00076281	2.6667e-07	3.2502e-05	0.01	0.01	0.095468	0.045886	0.00043871	0.0088378	0.01287	0.026615	0.00039147	4.986e-05	5.5038e-06	0.01	0.00084431	
0.00041166	4.9435e-05	2.7491e-08	2.6733e-06	2.0948e-05	0.00017601	0.019914	8.3897e-06	0.00020187	0.00025205	0.00012252	4.1985e-05	0.00076021	2.675e-07	3.2504e-05	0.01	0.01	0.095762	0.045935	0.00044378	0.0088373	0.012851	0.026636	0.00038317	4.9741e-05	5.3571e-06	0.01	0.00084086	
0.00040693	4.8739e-05	2.2399e-08	2.568e-06	2.0236e-05	0.00017493	0.019921	8.1801e-06	0.00020274	0.00024901	0.00012378	4.1365e-05	0.00075763	2.7052e-07	3.2518e-05	0.01	0.01	0.096083	0.045986	0.00044917	0.0088368	0.012833	0.026658	0.00037522	4.9631e-05	5.2303e-06	0.01	0.00083777	
0.00040242	4.8078e-05	1.6667e-08	2.481e-06	1.9594e-05	0.00017388	0.019928	7.9897e-06	0.00020365	0.00024622	0.00012511	4.0781e-05	0.00075509	2.7551e-07	3.2542e-05	0.01	0.01	0.09643	0.04604	0.00045486	0.0088363	0.012815	0.02668	0.00036759	4.9527e-05	5.1202e-06	0.01	0.00083499	
0.00039776	4.7403e-05	2.6835e-08	2.3812e-06	1.8928e-05	0.00017281	0.019936	7.7917e-06	0.00020453	0.00024333	0.00012642	4.0183e-05	0.00075253	2.7865e-07	3.2557e-05	0.01	0.01	0.096768	0.046093	0.00046044	0.0088357	0.012797	0.026701	0.00035985	4.9411e-05	5.0027e-06	0.01	0.0008321	
0.00039304	4.6716e-05	3.5004e-08	2.2703e-06	1.8243e-05	0.00017174	0.019943	7.5874e-06	0.0002054	0.00024035	0.0001277	3.9573e-05	0.00074996	2.8015e-07	3.2564e-05	0.01	0.01	0.097101	0.046146	0.00046593	0.0088352	0.012779	0.026723	0.00035203	4.9285e-05	4.8791e-06	0.01	0.00082913	
0.00038849	4.6053e-05	4.2473e-08	2.1707e-06	1.7606e-05	0.00017068	0.01995	7.3962e-06	0.00020628	0.00023755	0.00012903	3.8988e-05	0.00074741	2.8282e-07	3.2578e-05	0.01	0.01	0.097452	0.0462	0.00047164	0.0088347	0.012761	0.026745	0.00034444	4.9161e-05	4.7669e-06	0.01	0.00082638	
