Zootoca_vivipara	Trachemys_scripta	Thamnophis_sirtalis	Python_molurus	Pseudonaja_textilis	Podarcis_muralis	Pelodiscus_sinensis	Pantherophis_guttatus	Notechis_scutatus	Lacerta_agilis	Gopherus_agassizii	Gavialis_gangeticus	Crocodylus_porosus	Chrysemys_picta	Chelonoidis_abingdonii	Chelonia_mydas	Anolis_carolinensis	Alligator_sinensis	Alligator_mississippiensis	
0.00019045	0.00019833	2.5517e-05	0.042938	0.032416	0.0028636	2.2985e-06	0.00024179	0.0086676	0.0010655	0.82674	0.0069508	1.2665e-05	0.0019381	0.0021203	0.00020213	3.6619e-06	0.00019188	6.0789e-05	
0.00018934	0.00019552	2.5517e-05	0.042957	0.032432	0.0028932	2.26e-06	0.00023957	0.0086669	0.0010652	0.82713	0.0069421	1.2443e-05	0.0019334	0.0021098	0.00019981	3.0293e-06	0.00018961	5.9604e-05	
0.00018828	0.00019274	2.553e-05	0.042979	0.032449	0.0029236	2.2293e-06	0.00023739	0.0086662	0.001065	0.82758	0.0069338	1.224e-05	0.0019288	0.0020996	0.00019755	2.53e-06	0.00018737	5.8455e-05	
0.00018725	0.00018997	2.5556e-05	0.043004	0.032466	0.0029549	2.2059e-06	0.00023523	0.0086655	0.001065	0.82808	0.0069258	1.2054e-05	0.0019242	0.0020897	0.00019536	2.1357e-06	0.0001851	5.7281e-05	
0.00018627	0.00018723	2.5594e-05	0.043033	0.032484	0.002987	2.1895e-06	0.0002331	0.0086648	0.0010651	0.82864	0.0069181	1.1885e-05	0.0019197	0.0020801	0.00019321	1.8223e-06	0.00018286	5.6141e-05	
0.00018527	0.00018447	2.5619e-05	0.04306	0.032501	0.0030188	2.1689e-06	0.00023096	0.0086641	0.0010653	0.82917	0.0069109	1.1733e-05	0.0019151	0.0020704	0.00019104	1.4864e-06	0.00018064	5.5032e-05	
0.00018425	0.00018171	2.563e-05	0.043087	0.032518	0.0030503	2.1442e-06	0.0002288	0.0086634	0.0010653	0.82968	0.0069035	1.1565e-05	0.0019105	0.0020605	0.00018885	1.1263e-06	0.00017841	5.3907e-05	
0.00018322	0.00017893	2.5627e-05	0.043113	0.032536	0.0030816	2.1153e-06	0.00022664	0.0086627	0.0010653	0.83018	0.006896	1.1381e-05	0.0019059	0.0020506	0.00018664	7.4129e-07	0.00017617	5.2765e-05	
0.00018223	0.00017618	2.5637e-05	0.043142	0.032553	0.0031138	2.094e-06	0.0002245	0.008662	0.0010655	0.83073	0.0068889	1.1219e-05	0.0019014	0.0020409	0.00018449	4.4048e-07	0.00017395	5.1658e-05	
0.00018122	0.00017344	2.5632e-05	0.04317	0.03257	0.0031457	2.0806e-06	0.00022235	0.0086613	0.0010656	0.82755	0.0068822	1.1075e-05	0.0018969	0.0020317	0.0001824	3.3832e-07	0.00017172	5.0529e-05	
0.00018026	0.00017073	2.5641e-05	0.043201	0.032588	0.0031784	2.0745e-06	0.00022022	0.0086606	0.0010659	0.82447	0.0068758	1.0949e-05	0.0018925	0.0020227	0.00018037	2.5875e-07	0.00016952	4.9434e-05	
0.00017933	0.00016804	2.5663e-05	0.043236	0.032606	0.0032122	2.0753e-06	0.00021812	0.0086599	0.0010664	0.82147	0.0068698	1.0839e-05	0.0018881	0.002014	0.00017839	1.9641e-07	0.00016734	4.8372e-05	
0.00017844	0.00016537	2.57e-05	0.043276	0.032624	0.0032468	2.0832e-06	0.00021606	0.0086592	0.0010671	0.81857	0.0068641	1.0745e-05	0.0018838	0.0020056	0.00017647	1.4742e-07	0.00016519	4.7341e-05	
0.0001776	0.00016271	2.5751e-05	0.04332	0.032642	0.0032825	2.0986e-06	0.00021401	0.0086585	0.001068	0.81575	0.0068254	1.0675e-05	0.0018796	0.0019975	0.0001746	1.0919e-07	0.00016306	4.6342e-05	
0.00017679	0.00016008	2.5816e-05	0.043368	0.032661	0.0033193	2.1214e-06	0.000212	0.0086579	0.0010691	0.81302	0.0067879	1.062e-05	0.0018754	0.0019898	0.00017278	7.8981e-08	0.00016096	4.5374e-05	
0.00017596	0.00015744	2.5896e-05	0.043422	0.03268	0.0033557	2.1397e-06	0.00021001	0.0086572	0.0010702	0.81025	0.0067501	1.055e-05	0.0018712	0.0019819	0.00017094	4.5266e-08	0.00015885	4.4388e-05	
0.00017517	0.00015482	2.5992e-05	0.043481	0.032699	0.0033931	2.1658e-06	0.00020805	0.0086566	0.0010714	0.80757	0.0067134	1.0495e-05	0.0018671	0.0019742	0.00016915	1.8411e-08	0.00015676	4.3433e-05	
0.00017437	0.00015218	2.607e-05	0.043537	0.032718	0.0034302	2.1867e-06	0.00020608	0.0086559	0.0010726	0.80483	0.0066763	1.0422e-05	0.0018629	0.0019665	0.00016734	1.7624e-08	0.00015466	4.2458e-05	
0.00017354	0.00014953	2.6132e-05	0.043592	0.032736	0.0034667	2.2021e-06	0.00020409	0.0086553	0.0010736	0.80205	0.0066388	1.033e-05	0.0018587	0.0019586	0.00016549	1.524e-08	0.00015254	4.1462e-05	
0.0001727	0.00014686	2.6173e-05	0.043644	0.032755	0.0035027	2.2106e-06	0.00020208	0.0086546	0.0010746	0.79919	0.0066007	1.0217e-05	0.0018545	0.0019505	0.00016361	1.0953e-08	0.00015041	4.0439e-05	
0.00017369	0.00014417	2.624e-05	0.043704	0.032774	0.0035319	2.3108e-06	0.00020011	0.008654	0.0010746	0.79623	0.0065644	1.0132e-05	0.0018502	0.0019421	0.00016167	1.0486e-08	0.00014831	3.9466e-05	
0.00017464	0.00014146	2.6341e-05	0.043756	0.032793	0.0035604	2.3996e-06	0.00019821	0.0086533	0.0010745	0.79319	0.0065298	1.0075e-05	0.0018458	0.0019335	0.00015968	8.1431e-09	0.00014625	3.854e-05	
0.00017566	0.00013879	2.6468e-05	0.043817	0.032812	0.0035903	2.5082e-06	0.00019634	0.0086527	0.0010747	0.7903	0.0064968	1.0046e-05	0.0018415	0.0019253	0.00015778	6.5641e-09	0.00014423	3.7658e-05	
0.00017674	0.00013609	2.6622e-05	0.043885	0.032832	0.0036215	2.6034e-06	0.00019452	0.0086521	0.0010752	0.7873	0.0064654	1.0044e-05	0.0018372	0.0019168	0.00015582	5.5098e-09	0.00014225	3.6818e-05	
0.00017779	0.00013342	2.6752e-05	0.043949	0.032852	0.0036519	2.5845e-06	0.00019268	0.0086514	0.0010755	0.78446	0.0064354	1.0068e-05	0.001833	0.0019089	0.00015395	5.1999e-09	0.00014031	3.6019e-05	
0.0001789	0.00013078	2.691e-05	0.044022	0.032871	0.0036837	2.5791e-06	0.00019087	0.0086508	0.0010761	0.78176	0.0064069	1.0119e-05	0.0018288	0.0019013	0.00015216	5.1808e-09	0.0001384	3.526e-05	
0.00017998	0.00012817	2.6249e-05	0.044047	0.032892	0.0037148	2.4536e-06	0.00018923	0.0086502	0.0010766	0.7792	0.0063797	1.0198e-05	0.0018248	0.0018942	0.00015044	6.7573e-09	0.00013653	3.4538e-05	
0.00018112	0.0001256	2.5626e-05	0.044078	0.032912	0.0037472	2.3511e-06	0.00018763	0.0086496	0.0010773	0.77678	0.0063518	1.025e-05	0.0018209	0.0018876	0.0001488	8.977e-09	0.00013464	3.3788e-05	
0.00018223	0.000123	2.4972e-05	0.044105	0.032932	0.003779	2.2357e-06	0.000186	0.008649	0.0010779	0.77428	0.0063233	1.0275e-05	0.0018168	0.0018807	0.00014712	9.4556e-09	0.00013278	3.3076e-05	
0.0001834	0.00012044	2.4357e-05	0.044088	0.032953	0.0038122	2.1406e-06	0.0001844	0.0086484	0.0010789	0.77191	0.006296	1.0327e-05	0.0018129	0.0018742	0.00014551	1.069e-08	0.00013096	3.24e-05	
0.00018454	0.00011785	2.378e-05	0.044076	0.032974	0.0038447	2.0334e-06	0.00018285	0.0086478	0.0010796	0.76945	0.0062682	1.0353e-05	0.001809	0.0018674	0.00014386	1.7463e-08	0.00012911	3.1696e-05	
0.00018563	0.00011524	2.3238e-05	0.044069	0.032996	0.0038763	1.9134e-06	0.00018132	0.0086473	0.0010802	0.76691	0.0062397	1.0352e-05	0.0018049	0.0018605	0.00014216	2.0829e-08	0.00012724	3.0965e-05	
0.00018526	0.00011267	2.2729e-05	0.044067	0.033018	0.0039096	1.8136e-06	0.00017984	0.0086467	0.0010812	0.7645	0.0062125	1.0378e-05	0.001801	0.0018539	0.00014053	2.6237e-08	0.0001254	3.027e-05	
0.00018485	0.00011007	2.2191e-05	0.044062	0.03304	0.003942	1.7016e-06	0.00017832	0.0086462	0.001082	0.762	0.0061867	1.0433e-05	0.001797	0.0018471	0.00013886	2.9137e-08	0.0001236	2.961e-05	
0.00018441	0.00010745	2.1626e-05	0.044055	0.033062	0.0039738	1.5768e-06	0.00017679	0.0086457	0.0010827	0.75941	0.0061602	1.0462e-05	0.001793	0.00184	0.00013715	2.961e-08	0.00012178	2.8924e-05	
0.0001839	0.0001048	2.1096e-05	0.044017	0.033084	0.0040538	1.4381e-06	0.00017528	0.0086452	0.001083	0.75674	0.006135	1.0518e-05	0.0017888	0.0018327	0.00013539	3.8653e-08	0.00011999	2.8271e-05	
0.00018336	0.00010214	2.0538e-05	0.043976	0.033106	0.0041322	1.2849e-06	0.00017376	0.0086446	0.0010832	0.75396	0.006111	1.0602e-05	0.0017847	0.0018252	0.00013358	4.4606e-08	0.00011824	2.765e-05	
0.00018278	9.9458e-05	1.9952e-05	0.04393	0.033128	0.004209	1.1163e-06	0.00017222	0.0086441	0.0010832	0.75109	0.0060865	1.0661e-05	0.0017805	0.0018173	0.00013173	4.7674e-08	0.00011646	2.7006e-05	
0.00017997	9.6806e-05	1.9402e-05	0.043891	0.033151	0.0042894	9.7362e-07	0.00017071	0.0086436	0.0010837	0.74837	0.00601	1.0767e-05	0.0017763	0.00181	0.00012995	5.4072e-08	0.00011472	2.6394e-05	
0.00017729	9.4183e-05	1.8823e-05	0.043848	0.033173	0.0043732	8.5231e-07	0.00016918	0.008643	0.0010844	0.7458	0.0059369	1.0902e-05	0.0017723	0.001803	0.00012825	6.5868e-08	0.000113	2.5812e-05	
0.00017454	9.1539e-05	1.8216e-05	0.043801	0.033195	0.0044554	7.1874e-07	0.00016762	0.0086425	0.001085	0.74313	0.0058622	1.101e-05	0.0017682	0.0017958	0.00012651	7.4012e-08	0.00011127	2.5206e-05	
0.00017191	8.8924e-05	1.7641e-05	0.043761	0.033218	0.0045409	6.0435e-07	0.0001661	0.008642	0.001086	0.74059	0.0057908	1.1147e-05	0.0017642	0.001789	0.00012483	8.7179e-08	0.00010957	2.4629e-05	
0.00016922	8.6241e-05	1.7039e-05	0.043717	0.03324	0.0046248	4.7866e-07	0.00016456	0.0086414	0.0010868	0.73797	0.0057179	1.1257e-05	0.0017769	0.001782	0.00012311	9.6402e-08	0.00010785	2.4029e-05	
0.00016648	8.3539e-05	1.6411e-05	0.043671	0.033262	0.0047072	3.417e-07	0.00016299	0.0086409	0.0010874	0.73527	0.00565	1.1407e-05	0.0017895	0.0017747	0.00012136	1.0216e-07	0.0001061	2.3405e-05	
0.00016385	8.0866e-05	1.5815e-05	0.043631	0.033285	0.004793	2.2365e-07	0.00016146	0.0086404	0.0010884	0.7327	0.0055851	1.1589e-05	0.0018023	0.0017679	0.00011967	9.0756e-08	0.00010438	2.2809e-05	
0.00016117	8.1039e-05	1.525e-05	0.043598	0.033308	0.0048772	2.123e-07	0.00015996	0.0086398	0.0010892	0.73004	0.0055187	1.1742e-05	0.0018148	0.0017608	0.00011794	7.247e-08	0.00010265	2.219e-05	
0.0001586	8.1218e-05	1.471e-05	0.04357	0.033331	0.0049645	2.0335e-07	0.00015849	0.0086393	0.0010902	0.7275	0.0054551	1.1923e-05	0.0018274	0.0017541	0.00011627	5.9782e-08	0.00010094	2.1596e-05	
0.00015612	8.1387e-05	1.4194e-05	0.043546	0.033354	0.0050548	1.9086e-07	0.00015704	0.0086388	0.0010916	0.72489	0.0053939	1.213e-05	0.00184	0.0017472	0.00011457	5.1012e-08	9.9256e-05	2.1025e-05	
0.00015374	8.156e-05	1.3701e-05	0.043527	0.033378	0.0051483	1.8052e-07	0.00015562	0.0086384	0.0010932	0.72239	0.0053351	1.2365e-05	0.0018527	0.0017406	0.00011292	4.5149e-08	9.7599e-05	2.0477e-05	
0.00015145	8.1738e-05	1.3188e-05	0.043505	0.033402	0.005245	1.72e-07	0.00015419	0.0086379	0.0010951	0.72001	0.0052786	1.2628e-05	0.0018656	0.0017344	0.00011133	4.1515e-08	9.5966e-05	1.995e-05	
0.00014912	8.1906e-05	1.2697e-05	0.043488	0.033426	0.0053403	1.6037e-07	0.00015278	0.0086374	0.0010968	0.71756	0.0052211	1.2867e-05	0.0018783	0.001728	0.00010971	3.5587e-08	9.4316e-05	1.9404e-05	
0.00014687	8.2078e-05	1.2226e-05	0.043475	0.03345	0.0054389	1.5039e-07	0.0001514	0.0086369	0.0010988	0.71521	0.0051658	1.3133e-05	0.0018913	0.0017219	0.00010815	3.1512e-08	9.2691e-05	1.8879e-05	
0.00014472	8.2256e-05	1.1774e-05	0.043466	0.033475	0.0055408	1.4199e-07	0.00015004	0.0086365	0.0011011	0.71298	0.0051127	1.343e-05	0.0019043	0.0017162	0.00010663	2.8963e-08	9.1089e-05	1.8373e-05	
0.00014264	8.2438e-05	1.1303e-05	0.043464	0.033499	0.0056462	1.3497e-07	0.00014866	0.008636	0.0011037	0.71085	0.0050615	1.3759e-05	0.0019176	0.0017107	0.00010517	2.7668e-08	8.951e-05	1.7887e-05	
0.00014064	8.2625e-05	1.0852e-05	0.043467	0.033524	0.0057553	1.2926e-07	0.00014731	0.0086356	0.0011066	0.70883	0.0050096	1.4062e-05	0.0019309	0.0017056	0.00010377	2.7533e-08	8.7916e-05	1.7383e-05	
0.00013873	8.2818e-05	1.0421e-05	0.043406	0.033549	0.0058684	1.2489e-07	0.00014599	0.0086351	0.0011098	0.70692	0.0049597	1.4401e-05	0.0019445	0.0017008	0.00010241	2.866e-08	8.6347e-05	1.69e-05	
0.00013678	8.3016e-05	9.9704e-06	0.043342	0.033575	0.0059797	1.2175e-07	0.00014465	0.0086347	0.0011129	0.70511	0.0049119	1.4776e-05	0.0019582	0.0016964	0.00010111	3.6735e-08	8.4802e-05	1.6436e-05	
0.00013491	8.3204e-05	9.5389e-06	0.043284	0.0336	0.0060951	1.1572e-07	0.00014333	0.0086343	0.0011163	0.70324	0.0048632	1.5123e-05	0.0019718	0.0016917	9.9773e-05	4.7998e-08	8.3241e-05	1.5954e-05	
0.00013311	8.3397e-05	9.1264e-06	0.043233	0.033626	0.0062148	1.1088e-07	0.00014205	0.0086339	0.0011201	0.70148	0.0048166	1.5509e-05	0.0019856	0.0016874	9.8489e-05	6.4196e-08	8.1704e-05	1.5492e-05	
0.00013129	8.3596e-05	8.7311e-06	0.043158	0.033652	0.0063327	1.0713e-07	0.00014078	0.0086335	0.0011237	0.69982	0.0047718	1.5934e-05	0.0019995	0.0016834	9.7254e-05	7.5555e-08	8.0191e-05	1.5048e-05	
0.00012954	8.38e-05	9.2037e-06	0.043079	0.033678	0.006455	1.044e-07	0.00013948	0.008633	0.0011277	0.69826	0.0047288	1.6402e-05	0.0020137	0.0016798	9.6067e-05	9.2018e-08	7.8701e-05	1.4621e-05	
0.00012785	8.4009e-05	9.6936e-06	0.043006	0.033704	0.0065812	1.0239e-07	0.00013821	0.0086326	0.001132	0.6968	0.0046874	1.6911e-05	0.0020279	0.0016764	9.4921e-05	1.1413e-07	7.7232e-05	1.4209e-05	
0.00012623	8.4208e-05	1.0202e-05	0.042941	0.03373	0.0067117	9.7764e-08	0.00013695	0.0086323	0.0011366	0.69528	0.0046454	1.7391e-05	0.0020422	0.0016729	9.3751e-05	1.1801e-07	7.5748e-05	1.3782e-05	
0.00012458	8.4398e-05	1.0694e-05	0.042873	0.033757	0.0068409	9.0698e-08	0.00013568	0.0086319	0.0011412	0.69371	0.0046029	1.7848e-05	0.0020563	0.0016692	9.2559e-05	1.1967e-07	7.4252e-05	1.3342e-05	
0.00012299	8.4592e-05	1.1202e-05	0.042812	0.033784	0.0069741	8.4159e-08	0.00013444	0.0086315	0.001146	0.69223	0.0045619	1.8341e-05	0.0020706	0.0016658	9.1405e-05	1.2438e-07	7.2774e-05	1.2915e-05	
0.00012146	8.479e-05	1.1728e-05	0.042533	0.033811	0.0071112	7.8042e-08	0.00013321	0.0086311	0.0011513	0.69082	0.0045223	1.8872e-05	0.0020851	0.0016626	9.0287e-05	1.3243e-07	7.1314e-05	1.25e-05	
0.00011998	8.4991e-05	1.2273e-05	0.042275	0.033838	0.0072525	7.2249e-08	0.000132	0.0086307	0.0011568	0.6895	0.004484	1.9442e-05	0.0020997	0.0016597	8.9206e-05	1.4436e-07	6.9872e-05	1.2097e-05	
0.00011855	8.5196e-05	1.2799e-05	0.042053	0.033865	0.007398	6.6707e-08	0.00013077	0.0086304	0.0011628	0.68826	0.004447	2.0056e-05	0.0021144	0.0016571	8.8159e-05	1.6108e-07	6.8448e-05	1.1706e-05	
0.0001171	8.5405e-05	1.3308e-05	0.041826	0.033892	0.0075421	6.1355e-08	0.00012954	0.00863	0.0011686	0.68709	0.0044113	2.0715e-05	0.0021293	0.0016547	8.7148e-05	1.7456e-07	6.7041e-05	1.1326e-05	
0.00011571	8.5618e-05	1.38e-05	0.041589	0.033919	0.0076906	5.6122e-08	0.00012829	0.0086296	0.0011748	0.686	0.0043769	2.1422e-05	0.0021443	0.0016526	8.617e-05	1.9372e-07	6.5651e-05	1.0957e-05	
0.00011436	8.5818e-05	1.4309e-05	0.04137	0.033947	0.0078437	5.0982e-08	0.00012706	0.0086292	0.0011814	0.68499	0.004342	2.2099e-05	0.0021593	0.0016507	8.5227e-05	1.8754e-07	6.4249e-05	1.0575e-05	
0.00011306	8.602e-05	1.4835e-05	0.041166	0.033974	0.008001	4.568e-08	0.00012585	0.0086289	0.0011884	0.68406	0.0043082	2.282e-05	0.0021743	0.001649	8.4313e-05	1.8515e-07	6.2862e-05	1.0202e-05	
0.0001118	8.6226e-05	1.5378e-05	0.040976	0.034002	0.0081627	4.0128e-08	0.00012465	0.0086285	0.0011958	0.68318	0.0042754	2.3587e-05	0.0021895	0.0016476	8.3426e-05	1.8633e-07	6.1489e-05	9.8377e-06	
0.00011058	8.6434e-05	1.5938e-05	0.040799	0.03403	0.0083288	3.426e-08	0.00012347	0.0086282	0.0012035	0.68237	0.0042437	2.4401e-05	0.0022048	0.0016463	8.2567e-05	1.912e-07	6.0131e-05	9.4815e-06	
0.0001094	8.6645e-05	1.6483e-05	0.040645	0.034058	0.0084994	2.8018e-08	0.00012228	0.0086278	0.0012118	0.68163	0.0042129	2.5266e-05	0.0022203	0.0016453	8.1734e-05	2.0016e-07	5.8786e-05	9.1332e-06	
0.0001082	8.6848e-05	1.7045e-05	0.040501	0.034087	0.0086685	1.9671e-08	0.00012111	0.0086275	0.0012198	0.68085	0.0041831	2.6185e-05	0.0022357	0.0016442	8.0884e-05	2.0631e-07	5.7456e-05	8.7929e-06	
0.00010699	8.7042e-05	1.7591e-05	0.040355	0.034115	0.0088363	9.2494e-09	0.00011992	0.0086272	0.0012278	0.68004	0.0041531	2.7077e-05	0.002251	0.0016429	8.0018e-05	2.1002e-07	5.6116e-05	8.4415e-06	
0.00010576	8.7227e-05	1.8156e-05	0.040175	0.034143	0.0090029	1.2768e-08	0.00011875	0.0086268	0.0012356	0.67919	0.0041227	2.7943e-05	0.0022664	0.0016416	7.9135e-05	2.1127e-07	5.4765e-05	8.079e-06	
0.00010458	8.7416e-05	1.8741e-05	0.040007	0.034172	0.009174	1.5415e-08	0.0001176	0.0086265	0.0012438	0.67841	0.0040934	2.8863e-05	0.0022818	0.0016405	7.828e-05	2.1671e-07	5.3429e-05	7.7243e-06	
0.00010337	8.7596e-05	2.4761e-05	0.039836	0.034201	0.0093438	1.6114e-08	0.00011643	0.0086262	0.001252	0.67759	0.0040637	2.9755e-05	0.0022973	0.0016393	7.7407e-05	2.1955e-07	5.2082e-05	7.3582e-06	
0.00010221	8.7767e-05	3.0984e-05	0.039678	0.03423	0.0095183	1.4857e-08	0.00011527	0.0086259	0.0012605	0.67673	0.0040338	3.0618e-05	0.0023127	0.0016379	7.6517e-05	2.2693e-07	5.0724e-05	6.9805e-06	
0.00010109	8.7942e-05	3.7421e-05	0.039531	0.034259	0.0096979	1.2746e-08	0.00011413	0.0086256	0.0012599	0.67594	0.0040048	3.1538e-05	0.0023282	0.0016368	7.5654e-05	2.3926e-07	4.9381e-05	6.6107e-06	
9.9955e-05	8.8108e-05	4.3788e-05	0.039381	0.034288	0.009876	2.9258e-08	0.00011297	0.0086252	0.0012592	0.67512	0.0039755	3.2429e-05	0.0023437	0.0016356	7.4775e-05	2.4879e-07	4.8027e-05	6.2297e-06	
9.886e-05	8.8277e-05	5.0375e-05	0.039242	0.034318	0.010059	2.6075e-08	0.00011184	0.0086249	0.0012588	0.67436	0.0039472	3.3381e-05	0.0023593	0.0016346	7.3924e-05	2.2152e-07	4.6688e-05	5.8566e-06	
9.7749e-05	8.8438e-05	5.7191e-05	0.039113	0.034347	0.010241	2.0863e-08	0.00011072	0.0086246	0.0012583	0.67357	0.0039186	3.4304e-05	0.0023749	0.0016335	7.3055e-05	1.9051e-07	4.5338e-05	5.4723e-06	
9.6676e-05	8.8603e-05	5.8528e-05	0.038995	0.034378	0.010428	1.5099e-08	0.00010961	0.0086244	0.001258	0.67285	0.003891	3.5289e-05	0.0023906	0.0016327	7.2215e-05	1.6707e-07	4.4002e-05	5.0955e-06	
9.5587e-05	8.8758e-05	5.9918e-05	0.038846	0.034408	0.010613	2.6349e-08	0.00010852	0.0086241	0.0012576	0.67209	0.003863	3.6242e-05	0.0024063	0.0016317	7.1356e-05	1.4013e-07	4.2656e-05	4.7072e-06	
9.4534e-05	8.8921e-05	6.1361e-05	0.038709	0.034438	0.010804	3.7494e-08	0.00010745	0.0086238	0.0012574	0.6714	0.003836	3.7256e-05	0.0024048	0.0016309	7.0523e-05	1.1938e-07	4.1323e-05	4.3257e-06	
