Sciurus_vulgaris	Octodon_degus	Ochotona_princeps	Fukomys_damarensis	Chinchilla_lanigera	Cavia_porcellus	Cavia_aperea	Castor_canadensis	
7.0421e-06	8.6334e-07	0.00016629	3.3588e-07	5.8995e-05	0.01	0.034887	2.0625e-10	
7.0151e-06	6.9281e-07	0.00016516	3.2327e-07	5.911e-05	0.01	0.034906	3.3072e-10	
7.0068e-06	5.0763e-07	0.00016447	3.0729e-07	5.9195e-05	0.01	0.034926	2.3712e-09	
6.965e-06	3.0336e-07	0.00016451	2.864e-07	5.9235e-05	0.01	0.034945	2.3672e-09	
6.9149e-06	2.8084e-07	0.00016444	2.6225e-07	5.9238e-05	0.01	0.034965	2.7994e-10	
6.8563e-06	2.5371e-07	0.00016426	2.3486e-07	5.9211e-05	0.01	0.034984	1.2114e-10	
6.816e-06	2.3379e-07	0.00016449	2.1437e-07	5.9268e-05	0.01	0.035004	3.9155e-10	
6.7669e-06	2.0943e-07	0.00016461	1.9085e-07	5.9295e-05	0.01	0.035024	3.466e-09	
6.7094e-06	1.805e-07	0.00016462	1.6417e-07	5.9292e-05	0.01	0.035044	4.0483e-09	
6.5735e-06	1.5827e-07	0.00016413	1.44e-07	5.9374e-05	0.01	0.035064	2.6178e-09	
6.4617e-06	1.4162e-07	0.00016262	1.2888e-07	5.8569e-05	0.01	0.035084	6.6972e-09	
6.2479e-06	1.2957e-07	0.0001617	1.1806e-07	5.7891e-05	0.01	0.035105	7.5787e-09	
6.0198e-06	1.5578e-07	0.00016062	1.2948e-07	5.7008e-05	0.01	0.035125	5.6734e-09	
5.8614e-06	1.7776e-07	0.00015922	1.3866e-07	5.6079e-05	0.01	0.035145	1.2714e-08	
5.6929e-06	1.9565e-07	0.00015766	1.4571e-07	5.5102e-05	0.01	0.035165	1.5364e-08	
5.5228e-06	2.0953e-07	0.00015495	1.5048e-07	5.4078e-05	0.01	0.035185	1.7162e-08	
5.343e-06	2.196e-07	0.00015199	1.5326e-07	5.3008e-05	0.01	0.035205	1.5341e-08	
5.1533e-06	2.259e-07	0.00014875	1.5408e-07	5.1889e-05	0.01	0.035225	9.4204e-09	
5.0302e-06	2.2845e-07	0.00014459	1.528e-07	5.0722e-05	0.01	0.035244	1.3852e-08	
4.9053e-06	2.2916e-07	0.00014044	1.5066e-07	4.9552e-05	0.01	0.035264	1.7432e-08	
4.7788e-06	2.2802e-07	0.00013628	1.4768e-07	4.8379e-05	0.01	0.035284	2.0161e-08	
4.6505e-06	2.2503e-07	0.00013213	1.4385e-07	4.7204e-05	0.01	0.035304	2.204e-08	
4.5205e-06	2.2019e-07	0.00012798	1.3917e-07	4.6026e-05	0.01	0.035323	2.3067e-08	
4.3888e-06	2.1351e-07	0.00012382	1.3364e-07	4.4845e-05	0.01	0.035343	2.3243e-08	
4.2553e-06	2.0497e-07	0.00011967	1.2725e-07	4.3661e-05	0.01	0.035363	2.2569e-08	
4.1201e-06	1.9459e-07	0.00011552	1.2002e-07	4.2475e-05	0.01	0.035383	2.1043e-08	
3.9832e-06	1.8236e-07	0.00011136	1.1194e-07	4.1286e-05	0.01	0.035403	1.8666e-08	
3.8445e-06	1.6828e-07	0.00010721	1.0301e-07	4.0094e-05	0.01	0.035422	1.5439e-08	
3.7042e-06	1.5235e-07	0.00010306	9.3222e-08	3.89e-05	0.01	0.035442	1.136e-08	
3.5621e-06	1.3457e-07	9.8903e-05	8.2588e-08	3.7702e-05	0.01	0.035462	6.4305e-09	
3.4182e-06	1.1494e-07	9.475e-05	7.1104e-08	3.6503e-05	0.01	0.035482	6.4985e-10	
3.2653e-06	9.1509e-08	9.0207e-05	5.7603e-08	3.5252e-05	0.01	0.035502	1.2024e-10	
3.1312e-06	7.2652e-08	8.676e-05	4.7042e-08	3.4157e-05	0.01	0.035522	7.2619e-11	
3.0383e-06	8.2065e-08	8.1026e-05	4.6127e-08	3.2799e-05	0.01	0.035542	6.0064e-11	
2.9778e-06	8.8576e-08	7.3187e-05	4.297e-08	3.1367e-05	0.01	0.035562	8.3001e-11	
2.9269e-06	9.7005e-08	6.6953e-05	4.0813e-08	3.0085e-05	0.01	0.035582	9.2895e-11	
2.8969e-06	1.0264e-07	5.976e-05	3.734e-08	2.8764e-05	0.01	0.035603	1.116e-10	
2.8741e-06	1.0997e-07	5.3913e-05	3.4609e-08	2.7569e-05	0.01	0.035623	1.544e-10	
2.8583e-06	1.1916e-07	4.9135e-05	3.2499e-08	2.6486e-05	0.01	0.035644	3.6632e-10	
2.8492e-06	1.3049e-07	4.5222e-05	3.0937e-08	2.5507e-05	0.01	0.035665	1.6518e-09	
2.8384e-06	1.3997e-07	4.1308e-05	2.8516e-08	2.4525e-05	0.01	0.035686	2.0819e-09	
2.8257e-06	1.476e-07	3.7395e-05	2.5237e-08	2.3539e-05	0.01	0.035707	1.6565e-09	
2.8112e-06	1.5337e-07	3.3481e-05	2.1098e-08	2.2551e-05	0.01	0.035729	3.7574e-10	
2.8041e-06	1.6188e-07	3.0325e-05	1.7512e-08	2.1664e-05	0.01	0.03575	1.7243e-10	
2.8044e-06	1.7352e-07	2.7784e-05	1.4355e-08	2.0868e-05	0.01	0.035772	3.0199e-10	
2.791e-06	1.8186e-07	2.6597e-05	9.9648e-09	2.0044e-05	0.01	0.035794	2.5874e-09	
2.7709e-06	1.8684e-07	2.5171e-05	1.2993e-08	1.9186e-05	0.01	0.035815	2.8966e-09	
2.7599e-06	1.9562e-07	2.1965e-05	1.643e-08	1.8427e-05	0.01	0.035837	4.4053e-10	
2.7587e-06	2.01e-07	1.9497e-05	1.8456e-08	1.7638e-05	0.01	0.035859	1.1608e-10	
2.6558e-06	2.1035e-07	1.7616e-05	2.0973e-08	1.6939e-05	0.01	0.035881	8.2776e-11	
2.5644e-06	2.2406e-07	1.6117e-05	2.4086e-08	1.6322e-05	0.01	0.035904	9.2535e-11	
2.4839e-06	2.4278e-07	1.4926e-05	2.7961e-08	1.5779e-05	0.01	0.035927	1.2124e-10	
2.3975e-06	2.577e-07	1.3648e-05	3.0512e-08	1.5212e-05	0.01	0.03595	8.7938e-10	
2.322e-06	2.7831e-07	1.2641e-05	3.397e-08	1.4714e-05	0.01	0.035973	5.4653e-09	
2.2583e-06	3.0571e-07	1.0327e-05	3.8565e-08	1.4281e-05	0.01	0.035996	6.187e-09	
2.1928e-06	3.4107e-07	8.4742e-06	4.4496e-08	1.3904e-05	0.01	0.03602	6.0546e-09	
2.1366e-06	3.8608e-07	6.9865e-06	5.208e-08	1.358e-05	0.01	0.036044	1.5975e-08	
2.0893e-06	4.4303e-07	5.7943e-06	6.1754e-08	1.3302e-05	0.01	0.036068	1.8999e-08	
2.0369e-06	4.9387e-07	4.5142e-06	6.9656e-08	1.3007e-05	0.01	0.036092	1.8259e-08	
1.9778e-06	5.3858e-07	3.9354e-06	7.5767e-08	1.2692e-05	0.01	0.036116	1.3421e-08	
1.9302e-06	5.7449e-07	3.5077e-06	9.7575e-08	1.2332e-05	0.01	0.03614	1.6753e-09	
1.892e-06	5.5697e-07	3.1893e-06	1.0048e-07	1.2043e-05	0.01	0.036165	6.001e-10	
1.8627e-06	5.4873e-07	2.9546e-06	1.0597e-07	1.1802e-05	0.01	0.036189	1.5371e-09	
1.8458e-06	5.3531e-07	2.7969e-06	1.0894e-07	1.154e-05	0.01	0.036214	5.6306e-10	
1.8371e-06	5.3079e-07	2.6909e-06	1.1483e-07	1.1325e-05	0.01	0.036239	1.1688e-09	
1.8235e-06	5.2135e-07	2.5638e-06	1.1879e-07	1.1091e-05	0.01	0.036264	1.5754e-10	
1.8046e-06	5.0696e-07	2.4146e-06	1.2082e-07	1.0839e-05	0.01	0.036289	8.2643e-11	
1.7938e-06	5.0123e-07	2.3134e-06	1.2571e-07	1.0631e-05	0.01	0.036314	7.9011e-11	
1.7777e-06	4.9055e-07	2.1914e-06	1.2859e-07	1.0406e-05	0.01	0.036339	3.3362e-10	
1.7509e-06	4.7485e-07	2.1791e-06	1.2945e-07	1.0162e-05	0.01	0.036364	3.0066e-09	
1.7322e-06	3.8847e-07	2.2e-06	1.3323e-07	9.9615e-06	0.01	0.03639	3.1608e-09	
1.7085e-06	2.9361e-07	2.2045e-06	1.3504e-07	9.7444e-06	0.01	0.036415	1.1294e-09	
1.6956e-06	2.9694e-07	2.249e-06	1.343e-07	9.507e-06	0.01	0.03644	1.8424e-09	
1.6932e-06	2.9606e-07	2.336e-06	1.3131e-07	9.2515e-06	0.01	0.036465	5.7065e-10	
1.6784e-06	3.0117e-07	2.3942e-06	1.3134e-07	9.0378e-06	0.01	0.036491	1.4034e-09	
1.6464e-06	5.2407e-07	3.5882e-06	1.8651e-07	7.3167e-06	0.01	0.036839	3.8597e-08	
1.6283e-06	5.4747e-07	3.584e-06	1.9256e-07	7.2258e-06	0.01	0.036866	3.0765e-08	
1.6055e-06	5.6593e-07	3.5619e-06	1.9651e-07	7.1223e-06	0.01	0.036894	1.9046e-08	
1.5769e-06	5.7934e-07	3.5069e-06	1.9828e-07	7.0055e-06	0.01	0.036921	2.4869e-09	
1.5712e-06	5.8786e-07	3.3534e-06	1.976e-07	6.8755e-06	0.01	0.036949	4.8407e-10	
1.5722e-06	6.0538e-07	3.2499e-06	2.0045e-07	6.7732e-06	0.01	0.036976	5.0579e-10	
1.5685e-06	6.1784e-07	3.1256e-06	2.0116e-07	6.658e-06	0.01	0.037004	3.4688e-09	
1.5601e-06	6.2529e-07	2.9798e-06	1.9974e-07	6.5297e-06	0.01	0.037032	4.0935e-09	
1.5586e-06	6.4202e-07	2.8813e-06	2.0186e-07	6.4285e-06	0.01	0.037059	1.8165e-09	
1.5808e-06	6.5357e-07	2.7322e-06	2.0168e-07	6.3144e-06	0.01	0.037087	3.3574e-09	
1.5983e-06	6.6009e-07	2.5608e-06	1.9939e-07	6.1876e-06	0.01	0.037115	3.4221e-09	
1.6231e-06	6.7629e-07	2.4396e-06	2.007e-07	6.0874e-06	0.01	0.037143	7.3147e-10	
1.6427e-06	6.8718e-07	2.2973e-06	1.9984e-07	5.9745e-06	0.01	0.037171	1.081e-09	
1.6575e-06	6.9291e-07	2.1336e-06	1.9684e-07	5.849e-06	0.01	0.037199	2.2225e-10	
1.6797e-06	7.087e-07	2.0171e-06	1.9746e-07	5.7497e-06	0.01	0.037228	3.0747e-10	
1.693e-06	7.1896e-07	2.0062e-06	1.9583e-07	5.6375e-06	0.01	0.037256	2.3001e-09	
1.7013e-06	7.2383e-07	1.9796e-06	1.92e-07	5.5124e-06	0.01	0.037284	2.819e-09	
1.7189e-06	7.3934e-07	1.85e-06	1.919e-07	5.4137e-06	0.01	0.037313	1.0598e-09	
1.7482e-06	7.7912e-07	1.7797e-06	1.7257e-07	5.0086e-06	0.01	0.037342	1.885e-09	
1.7862e-06	7.6276e-07	1.7424e-06	1.5913e-07	4.7166e-06	0.01	0.03737	6.5612e-10	
1.8185e-06	7.3843e-07	1.6889e-06	1.4309e-07	4.8381e-06	0.01	0.037399	1.6794e-09	
1.863e-06	7.0821e-07	1.6708e-06	1.2367e-07	4.9472e-06	0.01	0.037428	7.9373e-10	
1.9019e-06	6.7201e-07	1.6378e-06	1.0158e-07	5.0441e-06	0.01	0.037456	2.5587e-09	
1.9501e-06	6.477e-07	1.6334e-06	8.4491e-08	5.1663e-06	0.01	0.037485	2.089e-09	
1.9926e-06	6.1775e-07	1.6143e-06	6.4971e-08	5.2758e-06	0.01	0.037514	7.9915e-09	
2.0297e-06	5.82e-07	1.5804e-06	6.9542e-08	5.3729e-06	0.01	0.037543	1.0178e-08	
2.0614e-06	5.4217e-07	1.5315e-06	7.2416e-08	5.4575e-06	0.01	0.037572	9.266e-09	
2.0632e-06	4.9628e-07	1.5488e-06	7.3472e-08	5.53e-06	0.01	0.037601	5.5654e-09	
2.0632e-06	4.4393e-07	1.5508e-06	1.0553e-07	5.5898e-06	0.01	0.037629	1.0127e-09	
2.0716e-06	4.0405e-07	1.5802e-06	1.463e-07	5.6741e-06	0.01	0.037658	8.9643e-10	
2.0744e-06	3.583e-07	1.5946e-06	1.8312e-07	5.7457e-06	0.01	0.037687	4.6503e-09	
2.072e-06	3.0647e-07	1.5942e-06	2.1618e-07	5.805e-06	0.01	0.037716	5.5898e-09	
2.0642e-06	2.4845e-07	1.5795e-06	2.4576e-07	5.8521e-06	0.01	0.037744	4.856e-09	
2.0839e-06	2.6057e-07	1.5064e-06	2.703e-07	5.8769e-06	0.01	0.037773	1.2118e-09	
2.0981e-06	2.6862e-07	1.4168e-06	2.9171e-07	5.8898e-06	0.01	0.037801	1.7358e-09	
2.1213e-06	2.8267e-07	1.3592e-06	3.2063e-07	5.9266e-06	0.01	0.03783	2.2088e-10	
2.1388e-06	2.9245e-07	1.2858e-06	3.4603e-07	5.951e-06	0.01	0.037859	1.2257e-10	
2.1507e-06	2.9799e-07	1.196e-06	3.6805e-07	5.9631e-06	0.01	0.037887	5.6467e-10	
2.1608e-06	3.0974e-07	1.1364e-06	3.9818e-07	5.9992e-06	0.01	0.037916	1.5043e-10	
2.1797e-06	3.2838e-07	1.1023e-06	4.3833e-07	6.0601e-06	0.01	0.037945	3.1716e-10	
2.1929e-06	3.4246e-07	1.0543e-06	4.7415e-07	6.1083e-06	0.01	0.037974	2.5769e-09	
2.2006e-06	3.5214e-07	9.9258e-07	5.0594e-07	6.1444e-06	0.01	0.038003	3.3017e-09	
2.2211e-06	3.4809e-07	9.5929e-07	5.2558e-07	6.5903e-06	0.01	0.038032	1.5894e-09	
2.2361e-06	3.3971e-07	9.1316e-07	5.4185e-07	7.0145e-06	0.01	0.03806	3.9131e-09	
2.2601e-06	3.3789e-07	8.8867e-07	5.6637e-07	7.4995e-06	0.01	0.038089	3.5506e-09	
2.2785e-06	3.3173e-07	8.5164e-07	5.8718e-07	7.9606e-06	0.01	0.038118	1.2727e-08	
2.2915e-06	3.2121e-07	8.018e-07	6.0441e-07	8.3985e-06	0.01	0.038147	1.6777e-08	
2.299e-06	3.0627e-07	7.3871e-07	6.1815e-07	8.8139e-06	0.01	0.038176	1.6882e-08	
2.301e-06	2.8691e-07	6.6213e-07	6.2854e-07	9.2077e-06	0.01	0.038204	1.4688e-08	
2.2755e-06	2.745e-07	6.3341e-07	6.4746e-07	9.2209e-06	0.01	0.038233	8.0293e-09	
2.2431e-06	2.5783e-07	5.8618e-07	6.628e-07	9.22e-06	0.01	0.038262	1.182e-08	
2.2443e-06	2.3676e-07	5.1902e-07	6.7448e-07	9.2048e-06	0.01	0.038291	1.1972e-08	
2.2399e-06	2.1129e-07	4.389e-07	6.8276e-07	9.1757e-06	0.01	0.03832	3.3854e-08	
2.2302e-06	1.8132e-07	3.4526e-07	6.877e-07	9.1327e-06	0.01	0.038348	4.5426e-08	
2.2123e-06	2.0786e-07	3.1014e-07	6.8923e-07	9.0746e-06	0.01	0.038377	4.9908e-08	
2.1891e-06	2.3008e-07	2.6518e-07	6.8744e-07	9.0025e-06	0.01	0.038405	4.8596e-08	
2.1641e-06	2.5954e-07	2.3276e-07	6.9337e-07	8.9611e-06	0.01	0.038434	4.6437e-08	
2.1372e-06	2.8437e-07	1.911e-07	6.9596e-07	8.9059e-06	0.01	0.038463	4.3429e-08	
2.1085e-06	3.0463e-07	1.7792e-07	7.5975e-07	8.8365e-06	0.01	0.038491	3.9573e-08	
2.078e-06	3.136e-07	1.8782e-07	8.0766e-07	9.2271e-06	0.01	0.03852	3.4869e-08	
2.0457e-06	3.1809e-07	2.1602e-07	8.4805e-07	9.5936e-06	0.01	0.038549	2.9317e-08	
2.0116e-06	3.1829e-07	2.8916e-07	8.8345e-07	9.939e-06	0.01	0.038578	2.2917e-08	
1.9756e-06	3.2478e-07	3.8503e-07	9.3225e-07	1.034e-05	0.01	0.038607	1.567e-08	
1.9576e-06	3.2665e-07	4.3294e-07	9.739e-07	1.0714e-05	0.01	0.038637	2.2355e-08	
1.9378e-06	3.2669e-07	4.7683e-07	1.0147e-06	1.1085e-05	0.01	0.038666	2.8193e-08	
1.9161e-06	3.2488e-07	5.1668e-07	1.0548e-06	1.1452e-05	0.01	0.038696	3.3182e-08	
1.8927e-06	3.2123e-07	5.525e-07	1.094e-06	1.1816e-05	0.01	0.038726	3.7322e-08	
1.8673e-06	3.1573e-07	5.8429e-07	1.1324e-06	1.2176e-05	0.01	0.038756	4.0614e-08	
1.8402e-06	3.0839e-07	6.1204e-07	1.17e-06	1.2532e-05	0.01	0.038786	4.3057e-08	
1.8113e-06	2.9921e-07	6.3576e-07	1.2068e-06	1.2885e-05	0.01	0.038815	4.4652e-08	
1.7805e-06	2.8819e-07	6.5545e-07	1.2427e-06	1.3234e-05	0.01	0.038845	4.5399e-08	
1.7479e-06	2.7532e-07	6.711e-07	1.2779e-06	1.358e-05	0.01	0.038875	4.5297e-08	
1.7135e-06	2.6062e-07	6.8272e-07	1.3123e-06	1.3922e-05	0.01	0.038905	4.4346e-08	
1.6772e-06	2.4406e-07	6.9031e-07	1.3458e-06	1.4261e-05	0.01	0.038935	4.2547e-08	
1.6392e-06	2.2567e-07	6.9386e-07	1.3786e-06	1.4596e-05	0.01	0.038965	3.99e-08	
1.5993e-06	2.0543e-07	6.9338e-07	1.4105e-06	1.4927e-05	0.01	0.038995	3.6404e-08	
1.5576e-06	1.8335e-07	6.8887e-07	1.4417e-06	1.5255e-05	0.01	0.039025	3.2059e-08	
1.514e-06	1.5943e-07	6.8033e-07	1.472e-06	1.558e-05	0.01	0.039055	2.6866e-08	
1.4687e-06	1.3366e-07	6.6775e-07	1.5015e-06	1.59e-05	0.01	0.039085	2.0824e-08	
1.4186e-06	1.0393e-07	6.4512e-07	1.5266e-06	1.6202e-05	0.01	0.039115	8.8385e-09	
1.376e-06	7.9563e-08	6.3736e-07	1.5646e-06	1.6557e-05	0.01	0.039145	9.4763e-09	
1.3287e-06	5.1433e-08	6.196e-07	1.5978e-06	1.6892e-05	0.01	0.039175	7.2756e-09	
1.3204e-06	5.6346e-08	5.816e-07	1.6248e-06	1.7194e-05	0.01	0.039206	9.3288e-10	
1.3187e-06	4.2759e-08	5.604e-07	1.5939e-06	1.7578e-05	0.01	0.039236	3.4803e-10	
1.3249e-06	2.5983e-08	5.5664e-07	1.5555e-06	1.7939e-05	0.01	0.039267	1.0649e-09	
1.3266e-06	3.109e-08	5.427e-07	1.5116e-06	1.8276e-05	0.01	0.039297	2.1198e-10	
1.3348e-06	3.7172e-08	5.4322e-07	1.4825e-06	1.8676e-05	0.01	0.039328	1.4336e-10	
1.3228e-06	4.0489e-08	5.8357e-07	1.4475e-06	1.9051e-05	0.01	0.039358	7.1805e-10	
1.3061e-06	4.1089e-08	6.1282e-07	1.4072e-06	1.9402e-05	0.01	0.039389	1.4183e-10	
1.2966e-06	3.8975e-08	6.621e-07	1.3602e-06	1.9731e-05	0.01	0.03942	1.7236e-10	
1.2823e-06	3.4521e-08	6.9919e-07	1.3072e-06	2.0036e-05	0.01	0.03945	1.1363e-09	
1.244e-06	3.1536e-08	7.0214e-07	1.2721e-06	1.9879e-05	0.01	0.039481	7.4379e-10	
1.2129e-06	2.9309e-08	7.2233e-07	1.2498e-06	1.9771e-05	0.01	0.039512	2.4588e-09	
1.1756e-06	5.2936e-08	7.2978e-07	1.2221e-06	1.9636e-05	0.01	0.039543	2.6759e-09	
1.1326e-06	7.2942e-08	8.0285e-07	1.1896e-06	1.9481e-05	0.01	0.039574	8.2008e-10	
1.0772e-06	9.7592e-08	8.5295e-07	1.1699e-06	1.9376e-05	0.01	0.039606	1.6991e-09	
1.0168e-06	1.1837e-07	8.9043e-07	1.1458e-06	1.9251e-05	0.01	0.039637	8.1369e-10	
9.6577e-07	1.4469e-07	8.6637e-07	1.133e-06	1.9175e-05	0.01	0.039669	1.9993e-09	
9.0704e-07	1.6679e-07	9.0413e-07	1.1157e-06	1.9079e-05	0.01	0.039701	1.3059e-09	
8.4298e-07	1.8486e-07	9.2946e-07	1.0941e-06	1.8964e-05	0.01	0.039732	4.6843e-09	
7.8685e-07	2.0898e-07	9.7707e-07	9.9663e-07	1.8897e-05	0.01	0.039764	4.998e-09	
7.4755e-07	2.7847e-07	9.7223e-07	9.4723e-07	1.8553e-05	0.01	0.039796	2.4468e-09	
7.2769e-07	3.4095e-07	9.4094e-07	8.915e-07	1.8186e-05	0.01	0.039828	4.878e-09	
7.0327e-07	3.9673e-07	8.955e-07	8.2931e-07	1.7794e-05	0.01	0.03986	4.8051e-09	
6.8361e-07	4.6805e-07	8.7166e-07	7.8274e-07	1.7465e-05	0.01	0.039892	1.7264e-09	
6.5982e-07	5.3215e-07	8.3558e-07	7.309e-07	1.7113e-05	0.01	0.039924	3.0548e-09	
6.4211e-07	5.8931e-07	8.2205e-07	6.7247e-07	1.6738e-05	0.01	0.039956	1.5983e-08	
6.2865e-07	6.6355e-07	8.2732e-07	6.2848e-07	1.6424e-05	0.01	0.039989	2.1335e-08	
6.1131e-07	7.3011e-07	8.2103e-07	5.7954e-07	1.6088e-05	0.01	0.040021	2.392e-08	
5.9211e-07	7.7321e-07	8.3495e-07	5.6013e-07	1.5597e-05	0.01	0.040054	2.5654e-08	
5.7699e-07	8.3185e-07	8.6874e-07	4.8108e-07	1.5175e-05	0.01	0.040087	2.2313e-08	
5.6876e-07	8.6202e-07	8.4761e-07	4.2983e-07	1.4513e-05	0.01	0.04012	3.5273e-08	
5.5681e-07	8.8594e-07	8.1414e-07	3.7323e-07	1.3818e-05	0.01	0.040154	4.0922e-08	
5.485e-07	9.233e-07	8.0014e-07	3.2969e-07	1.3211e-05	0.01	0.040188	4.018e-08	
5.3642e-07	9.5406e-07	7.742e-07	2.8144e-07	1.2575e-05	0.01	0.040222	3.6311e-08	
5.2053e-07	9.7836e-07	7.3608e-07	2.2823e-07	1.1906e-05	0.01	0.040256	2.9046e-08	
5.0825e-07	1.0168e-06	7.1683e-07	1.8686e-07	1.1323e-05	0.01	0.04029	1.2438e-08	
4.9227e-07	1.0486e-06	6.8622e-07	1.4127e-07	1.0711e-05	0.01	0.040324	1.3739e-08	
4.7978e-07	1.0959e-06	6.7318e-07	1.056e-07	1.0177e-05	0.01	0.040358	1.0907e-08	
4.7059e-07	1.1614e-06	6.7668e-07	7.7622e-08	9.7122e-06	0.01	0.040393	2.7403e-09	
4.6553e-07	1.2189e-06	6.9998e-07	4.5355e-08	9.223e-06	0.01	0.040428	2.7767e-09	
4.6742e-07	1.2457e-06	6.7485e-07	2.4372e-08	8.4938e-06	0.01	0.040464	3.556e-10	
4.6558e-07	1.2606e-06	6.38e-07	2.2925e-08	8.4792e-06	0.01	0.040499	2.2494e-10	
