Urocitellus_parryii	Spermophilus_dauricus	Sciurus_vulgaris	Oryctolagus_cuniculus	Octodon_degus	Ochotona_princeps	Marmota_marmota	Ictidomys_tridecemlineatus	Heterocephalus_glaber	Fukomys_damarensis	Chinchilla_lanigera	Cavia_porcellus	Cavia_aperea	Castor_canadensis	
8.4001e-05	0.00031647	1.9269e-05	3.4778e-07	1.6e-05	0.00094749	8.2831e-06	0.00058516	6.0243e-06	4.266e-05	0.00014005	0.01	0.036437	2.7922e-09	
8.2669e-05	0.00030944	1.8671e-05	3.0425e-07	1.5248e-05	0.00094985	7.5289e-06	0.00058319	5.4893e-06	3.8644e-05	0.00013853	0.01	0.036453	3.6573e-09	
8.1312e-05	0.00030237	1.8033e-05	2.4781e-07	1.4643e-05	0.00095156	6.7527e-06	0.0005812	5.0746e-06	3.5106e-05	0.00013723	0.01	0.036469	2.7591e-09	
8.002e-05	0.0002954	1.7488e-05	2.2088e-07	1.3902e-05	0.00095516	4.2565e-06	0.00057926	4.7569e-06	3.2012e-05	0.00013554	0.01	0.036485	5.6988e-09	
7.8703e-05	0.00028838	1.691e-05	1.8519e-07	1.2982e-05	0.00095807	1.6763e-06	0.00057731	4.5264e-06	2.9422e-05	0.00013342	0.01	0.036501	6.3253e-09	
7.7362e-05	0.00028132	1.6298e-05	1.3915e-07	1.2241e-05	0.00096033	1.2959e-06	0.00057533	4.2659e-06	2.664e-05	0.00013157	0.01	0.036517	4.8102e-09	
7.5996e-05	0.00027422	1.565e-05	8.081e-08	1.1444e-05	0.000962	1.323e-06	0.00057333	4.3056e-06	2.3615e-05	0.00012963	0.01	0.036534	7.4508e-10	
7.4695e-05	0.00026721	1.3872e-05	5.359e-08	1.08e-05	0.0009592	1.3554e-06	0.00057138	4.3816e-06	2.0951e-05	0.00012794	0.01	0.03655	1.8948e-10	
7.3455e-05	0.0002603	1.2336e-05	3.9941e-08	1.028e-05	0.00095812	1.3932e-06	0.00056948	4.4933e-06	1.8597e-05	0.00012647	0.01	0.036568	1.4227e-10	
7.2273e-05	0.00025348	1.101e-05	3.376e-08	9.8628e-06	0.00095863	1.4367e-06	0.00056764	4.6472e-06	1.6517e-05	0.0001252	0.01	0.036585	3.6073e-10	
7.1148e-05	0.00024675	9.8662e-06	3.2327e-08	8.5343e-06	0.00096079	1.4863e-06	0.00056585	4.8527e-06	1.468e-05	0.00012412	0.01	0.036602	1.8571e-09	
7.0078e-05	0.00024012	8.9224e-06	2.1402e-08	7.1105e-06	0.00096584	1.5424e-06	0.0005641	5.0375e-06	1.275e-05	0.00012298	0.01	0.036619	1.5317e-09	
6.906e-05	0.00023357	8.1105e-06	1.6147e-08	5.1962e-06	0.00097375	1.6056e-06	0.00056241	5.2861e-06	1.1072e-05	0.00012131	0.01	0.036637	4.0421e-09	
6.8021e-05	0.00022698	7.2553e-06	8.2799e-09	4.9176e-06	0.00098063	1.655e-06	0.00056069	5.4784e-06	1.085e-05	0.00011949	0.01	0.036654	4.529e-09	
6.7034e-05	0.00022048	6.6183e-06	5.9054e-09	4.591e-06	0.00098274	1.7116e-06	0.00055903	5.6502e-06	1.0595e-05	0.00012015	0.01	0.036672	2.5312e-09	
6.6091e-05	0.00021406	6.0633e-06	4.824e-09	4.3244e-06	0.00098654	1.7747e-06	0.00055741	5.8713e-06	1.0388e-05	0.00012095	0.01	0.036689	3.5487e-09	
6.5132e-05	0.0002076	5.4448e-06	8.3457e-09	4.1076e-06	0.00098826	1.8246e-06	0.00055577	6.1515e-06	1.0227e-05	0.0001219	0.01	0.036707	2.937e-09	
6.4156e-05	0.00020111	4.7984e-06	1.0209e-08	3.8741e-06	0.00098954	1.8615e-06	0.00055412	6.412e-06	1.004e-05	0.0001228	0.01	0.036725	6.2341e-10	
6.3223e-05	0.00019469	4.2328e-06	1.411e-08	3.6838e-06	0.00099232	1.9046e-06	0.00055251	6.738e-06	9.8957e-06	0.00012385	0.01	0.036743	2.1015e-10	
6.2334e-05	0.00018835	3.7397e-06	2.196e-08	3.5313e-06	0.00098977	1.9546e-06	0.00055094	6.7833e-06	9.7956e-06	0.00012507	0.01	0.036762	1.5861e-10	
6.1486e-05	0.00018209	3.3136e-06	2.4535e-08	3.4114e-06	0.00098395	2.012e-06	0.00054942	6.8629e-06	9.7365e-06	0.00012646	0.01	0.036781	3.1556e-10	
6.0679e-05	0.00017591	2.9437e-06	3.1517e-08	3.3215e-06	0.00098043	2.0776e-06	0.00054794	6.9824e-06	9.7188e-06	0.00012618	0.01	0.0368	1.4072e-09	
5.9855e-05	0.00016969	2.8849e-06	3.5709e-08	3.2198e-06	0.00097621	2.1291e-06	0.00054645	7.0863e-06	9.6755e-06	0.00012584	0.01	0.036819	1.1296e-09	
5.9073e-05	0.00016354	2.8407e-06	4.6022e-08	3.1457e-06	0.00097416	2.1897e-06	0.000545	7.0072e-06	9.6777e-06	0.00012564	0.01	0.036839	2.8244e-09	
5.8274e-05	0.00015736	2.7895e-06	5.2931e-08	3.06e-06	0.00097153	2.236e-06	0.00054353	6.913e-06	9.6534e-06	0.00012539	0.01	0.036858	2.8321e-09	
5.7458e-05	0.00015115	2.7308e-06	5.5878e-08	2.9625e-06	0.0009778	2.2679e-06	0.00054204	7.1658e-06	9.5862e-06	0.00012509	0.01	0.036877	1.1524e-09	
5.6684e-05	0.00014501	2.6872e-06	6.6669e-08	2.8915e-06	0.00097839	2.309e-06	0.0005406	7.3636e-06	9.4338e-06	0.00012492	0.01	0.036897	1.6233e-09	
5.5892e-05	0.00013883	2.6368e-06	7.3753e-08	2.8093e-06	0.00097846	2.3357e-06	0.00053914	7.5411e-06	9.2541e-06	0.0001247	0.01	0.036916	7.2013e-10	
5.5141e-05	0.00013273	2.5999e-06	9.1116e-08	2.7516e-06	0.00097298	2.3719e-06	0.00053772	7.5164e-06	9.1226e-06	0.00012462	0.01	0.036936	1.2778e-09	
5.4372e-05	0.00013281	2.5564e-06	1.0362e-07	2.6832e-06	0.00096665	2.3935e-06	0.00053629	7.4774e-06	8.964e-06	0.00012448	0.01	0.036956	5.448e-10	
5.3642e-05	0.0001329	2.5271e-06	1.0663e-07	2.3927e-06	0.00095487	2.4249e-06	0.0005349	7.1948e-06	8.861e-06	0.00012449	0.01	0.036976	1.0151e-09	
5.2896e-05	0.00013297	2.4914e-06	1.0717e-07	2.0887e-06	0.00094142	2.4416e-06	0.00053349	6.8849e-06	8.7316e-06	0.00012445	0.01	0.036996	2.5925e-10	
5.2188e-05	0.00013306	2.4715e-06	1.1742e-07	1.7613e-06	0.00093286	2.4681e-06	0.00053213	6.5459e-06	8.5753e-06	0.00012436	0.01	0.037016	2.4044e-10	
5.1517e-05	0.00013316	2.4633e-06	1.409e-07	1.4935e-06	0.00092723	2.5045e-06	0.00053081	6.2842e-06	8.4614e-06	0.0001244	0.01	0.037036	8.4301e-10	
5.0831e-05	0.00013323	2.449e-06	1.5832e-07	1.2053e-06	0.00092074	2.5263e-06	0.00052947	5.9971e-06	8.3214e-06	0.00012439	0.01	0.037056	2.8046e-10	
5.018e-05	0.00013332	2.4464e-06	1.9512e-07	9.6948e-07	0.00091667	2.5582e-06	0.00052817	5.7776e-06	8.2229e-06	0.00012451	0.01	0.037077	4.084e-10	
4.9513e-05	0.00013339	2.4571e-06	2.6837e-07	7.1461e-07	0.00091454	2.5753e-06	0.00052686	5.535e-06	8.0983e-06	0.00012458	0.01	0.037097	1.8898e-09	
4.8832e-05	0.00013343	2.455e-06	4.3078e-07	4.3618e-07	0.00091462	2.5775e-06	0.00052553	5.2671e-06	7.9464e-06	0.00012458	0.01	0.037118	1.841e-09	
4.8134e-05	0.00013345	2.4467e-06	5.6134e-07	4.0442e-07	0.00091418	2.565e-06	0.00052418	5.3209e-06	7.7499e-06	0.00012451	0.01	0.037139	2.594e-10	
4.7421e-05	0.00013345	2.4322e-06	6.6601e-07	3.6677e-07	0.00091321	2.5377e-06	0.00052281	5.9461e-06	7.51e-06	0.00012439	0.01	0.037159	1.6715e-10	
4.6744e-05	0.00013347	2.4296e-06	8.7789e-07	3.376e-07	0.00091395	2.5206e-06	0.00052149	6.1355e-06	7.3208e-06	0.00012441	0.01	0.03718	4.6221e-10	
4.6052e-05	0.00013346	2.4208e-06	1.0488e-06	3.0288e-07	0.00091417	2.4888e-06	0.00052014	6.3051e-06	7.1053e-06	0.00012438	0.01	0.037201	3.7263e-09	
4.5344e-05	0.00013342	2.406e-06	1.1862e-06	2.6245e-07	0.00091386	2.4424e-06	0.00051878	6.4561e-06	6.8633e-06	0.00012429	0.01	0.037222	4.8092e-09	
4.4621e-05	0.00013337	2.3718e-06	1.29e-06	2.2995e-07	0.00091275	2.3812e-06	0.0005174	6.6614e-06	6.6638e-06	0.00012434	0.01	0.037243	3.9627e-09	
4.394e-05	0.00013333	2.3505e-06	1.3427e-06	2.0414e-07	0.00090885	2.3302e-06	0.00051606	6.9331e-06	6.5038e-06	0.00012268	0.01	0.037264	7.943e-09	
4.3244e-05	0.00013326	2.2996e-06	1.3468e-06	1.8389e-07	0.00090781	2.2645e-06	0.00051471	7.2873e-06	6.3809e-06	0.00012124	0.01	0.037286	9.0918e-09	
4.2534e-05	0.00013318	2.2424e-06	1.3406e-06	2.0969e-07	0.00090625	2.1847e-06	0.00051333	7.7627e-06	6.3075e-06	0.00011929	0.01	0.037307	7.9899e-09	
4.1853e-05	0.0001331	2.1997e-06	1.3244e-06	2.3124e-07	0.00090416	2.1124e-06	0.000512	8.2059e-06	6.2138e-06	0.00011727	0.01	0.037328	1.2646e-08	
4.1162e-05	0.00013301	2.1522e-06	1.2994e-06	2.488e-07	0.00090164	2.5915e-06	0.00051065	8.6218e-06	6.101e-06	0.00011519	0.01	0.037349	1.4683e-08	
4.0497e-05	0.00013292	2.1203e-06	1.2506e-06	2.6251e-07	0.00089712	3.0994e-06	0.00050934	9.0132e-06	5.9695e-06	0.00011304	0.01	0.03737	1.6083e-08	
3.9824e-05	0.00013282	2.0847e-06	1.1933e-06	2.7282e-07	0.0008922	3.5914e-06	0.00050801	9.4032e-06	5.829e-06	0.00011084	0.01	0.037391	1.5559e-08	
3.9143e-05	0.00013269	2.0455e-06	1.1271e-06	2.7979e-07	0.0008869	4.068e-06	0.00050667	9.7764e-06	5.6726e-06	0.0001086	0.01	0.037412	1.3098e-08	
3.8483e-05	0.00013257	2.0168e-06	1.0477e-06	2.8346e-07	0.00088085	4.5691e-06	0.00050537	1.0133e-05	5.5004e-06	0.00010631	0.01	0.037433	1.5952e-08	
3.7821e-05	0.00013244	1.9866e-06	9.675e-07	2.8493e-07	0.00087481	5.0622e-06	0.00050406	1.0489e-05	5.3192e-06	0.00010401	0.01	0.037454	1.817e-08	
3.7157e-05	0.0001323	1.9548e-06	8.8648e-07	2.842e-07	0.00086876	5.5471e-06	0.00050274	1.0843e-05	5.1289e-06	0.00010171	0.01	0.037475	1.9752e-08	
3.649e-05	0.00013214	1.9214e-06	8.0465e-07	2.8127e-07	0.00086271	6.024e-06	0.00050143	1.1196e-05	4.9297e-06	9.9407e-05	0.01	0.037496	2.0698e-08	
3.582e-05	0.00013197	1.8864e-06	7.2201e-07	2.7614e-07	0.00085665	6.4927e-06	0.00050011	1.1548e-05	4.7215e-06	9.7101e-05	0.01	0.037517	2.1007e-08	
3.5149e-05	0.00013179	1.8499e-06	6.3857e-07	2.6881e-07	0.0008506	6.9535e-06	0.00049879	1.1899e-05	4.5043e-06	9.4791e-05	0.01	0.037538	2.0681e-08	
3.4474e-05	0.00013159	1.8117e-06	5.5433e-07	2.5929e-07	0.00084454	7.4061e-06	0.00049746	1.2248e-05	4.278e-06	9.2477e-05	0.01	0.037559	1.9718e-08	
3.3797e-05	0.00013138	1.772e-06	4.6927e-07	2.4756e-07	0.00083847	7.8506e-06	0.00049614	1.2595e-05	4.0428e-06	9.0159e-05	0.01	0.03758	1.8119e-08	
3.3118e-05	0.00013115	1.7307e-06	3.8342e-07	2.3364e-07	0.00083241	8.2871e-06	0.00049481	1.2942e-05	3.7986e-06	8.7838e-05	0.01	0.037601	1.5883e-08	
3.2436e-05	0.00013091	1.6878e-06	2.9675e-07	2.1752e-07	0.00082634	8.7155e-06	0.00049347	1.3287e-05	3.5454e-06	8.5514e-05	0.01	0.037622	1.3012e-08	
3.1752e-05	0.00013066	1.6434e-06	2.0928e-07	1.992e-07	0.00082027	9.1358e-06	0.00049214	1.3631e-05	3.2832e-06	8.3185e-05	0.01	0.037643	9.504e-09	
3.1065e-05	0.0001304	1.5973e-06	1.2101e-07	1.7869e-07	0.0008142	9.5481e-06	0.0004908	1.3974e-05	3.0119e-06	8.0854e-05	0.01	0.037665	5.36e-09	
3.0376e-05	0.00013012	1.5497e-06	3.1924e-08	1.5597e-07	0.00080812	9.9523e-06	0.00048946	1.4315e-05	2.7317e-06	7.8518e-05	0.01	0.037686	5.7976e-10	
2.9675e-05	0.00012982	1.497e-06	2.1454e-08	1.2918e-07	0.00080105	1.0335e-05	0.0004881	1.4631e-05	2.4308e-06	7.6104e-05	0.01	0.037707	1.842e-10	
2.9002e-05	0.00012953	1.4535e-06	1.5982e-08	1.0632e-07	0.00079628	1.0755e-05	0.00048679	1.5035e-05	2.1592e-06	7.3931e-05	0.01	0.037728	9.7977e-11	
2.8361e-05	0.00012926	1.4254e-06	1.6158e-08	1.2759e-07	0.00078475	1.1221e-05	0.00048551	1.5309e-05	2.2017e-06	7.1568e-05	0.01	0.037749	8.4745e-11	
2.7749e-05	0.000129	1.4111e-06	1.2458e-08	1.4479e-07	0.00076493	1.1736e-05	0.00048427	1.5554e-05	2.2249e-06	6.9094e-05	0.01	0.037771	1.2946e-10	
2.7159e-05	0.00012874	1.4028e-06	1.0519e-08	1.6457e-07	0.00074997	1.2288e-05	0.00048307	1.5859e-05	2.2581e-06	6.6832e-05	0.01	0.037792	1.5538e-10	
2.659e-05	0.00012849	1.4005e-06	1.1058e-08	1.8095e-07	0.00070173	1.288e-05	0.0004819	1.6149e-05	2.2774e-06	6.4514e-05	0.01	0.037814	1.9466e-10	
2.6038e-05	0.00012825	1.4031e-06	1.2641e-08	1.9962e-07	0.00066365	1.3509e-05	0.00048075	1.6038e-05	2.3059e-06	6.2375e-05	0.01	0.037835	2.8225e-10	
2.5503e-05	0.00012801	1.4105e-06	1.5494e-08	2.2075e-07	0.00063338	1.4177e-05	0.00047963	1.5963e-05	2.3419e-06	6.0394e-05	0.01	0.037857	5.5365e-10	
2.4984e-05	0.00012778	1.4227e-06	2.0162e-08	2.4469e-07	0.00060931	1.4884e-05	0.00047853	1.525e-05	2.3861e-06	5.8562e-05	0.01	0.037879	1.5183e-09	
2.4463e-05	0.00012753	1.4333e-06	2.3941e-08	2.6644e-07	0.00058525	1.5585e-05	0.00047743	1.4535e-05	2.4211e-06	5.6726e-05	0.01	0.037901	1.843e-09	
2.3939e-05	0.00012727	1.4423e-06	2.6831e-08	2.86e-07	0.00056121	1.6277e-05	0.00047633	1.382e-05	2.447e-06	5.4886e-05	0.01	0.037924	1.5279e-09	
2.3412e-05	0.000127	1.4497e-06	2.8833e-08	3.0337e-07	0.00053718	1.6961e-05	0.00047523	1.3104e-05	2.4637e-06	5.3041e-05	0.01	0.037946	5.7286e-10	
2.2901e-05	0.00012673	1.4619e-06	2.9945e-08	3.2394e-07	0.00051317	1.7689e-05	0.00047415	1.2492e-05	2.4884e-06	5.1335e-05	0.01	0.037968	3.2472e-10	
2.2406e-05	0.00012646	1.4792e-06	3.0169e-08	3.4811e-07	0.00048917	1.8462e-05	0.0004731	1.1969e-05	2.5212e-06	4.9757e-05	0.01	0.037991	3.2364e-10	
2.1904e-05	0.00012618	1.4917e-06	2.9505e-08	3.6869e-07	0.00046518	1.9215e-05	0.00047203	1.1426e-05	2.5408e-06	4.8144e-05	0.01	0.038014	2.4851e-09	
2.1394e-05	0.00012588	1.5009e-06	2.7951e-08	3.8564e-07	0.00044121	1.9947e-05	0.00047096	1.098e-05	2.5757e-06	4.6493e-05	0.01	0.038036	3.3643e-09	
2.0901e-05	0.00012559	1.5154e-06	2.5509e-08	4.0667e-07	0.00041725	2.0729e-05	0.00046991	1.0605e-05	2.6201e-06	4.4973e-05	0.01	0.038059	1.0452e-09	
2.0423e-05	0.0001253	1.5355e-06	2.2179e-08	4.2403e-07	0.0003933	2.1564e-05	0.00046889	1.0214e-05	2.6508e-06	4.3417e-05	0.01	0.038082	4.1773e-10	
1.996e-05	0.00012501	1.4262e-06	1.7959e-08	4.4571e-07	0.00036937	2.2455e-05	0.0004679	9.8847e-06	2.6912e-06	4.1984e-05	0.01	0.038105	2.4726e-10	
1.9512e-05	0.00012473	1.3273e-06	1.2851e-08	4.7221e-07	0.00034546	2.3406e-05	0.00046693	9.6102e-06	2.7416e-06	4.0667e-05	0.01	0.038128	2.1674e-10	
1.9079e-05	0.00012446	1.2383e-06	6.8538e-09	5.0435e-07	0.00032156	2.4425e-05	0.000466	9.385e-06	2.8034e-06	3.9462e-05	0.01	0.038152	2.9219e-10	
1.8639e-05	0.00012417	1.1445e-06	9.808e-09	5.3207e-07	0.00029545	2.5414e-05	0.00046504	9.1452e-06	2.8502e-06	3.8219e-05	0.01	0.038175	2.5403e-09	
1.8215e-05	0.00012388	1.0613e-06	6.2371e-09	5.6667e-07	0.00027602	2.6481e-05	0.00046412	8.9546e-06	2.9106e-06	3.7092e-05	0.01	0.038199	1.0765e-08	
1.7807e-05	0.00012361	9.8767e-07	4.0945e-09	6.0924e-07	0.00020395	2.7633e-05	0.00046323	8.8069e-06	2.9856e-06	3.6075e-05	0.01	0.038223	1.2217e-08	
1.7414e-05	0.00012334	9.2256e-07	2.6341e-09	6.609e-07	0.00014879	2.8876e-05	0.00046238	8.6965e-06	3.0758e-06	3.5156e-05	0.01	0.038247	1.3031e-08	
1.7037e-05	0.00012308	8.6519e-07	1.5132e-09	7.2324e-07	0.00010652	3.0217e-05	0.00046155	8.0823e-06	3.1852e-06	3.433e-05	0.01	0.038271	2.2112e-08	
1.6675e-05	0.00012283	8.1504e-07	4.917e-10	7.9847e-07	7.4294e-05	3.1667e-05	0.00046075	7.5717e-06	3.3131e-06	3.3591e-05	0.01	0.038296	2.345e-08	
1.6304e-05	0.00012256	7.605e-07	9.7002e-10	8.6649e-07	3.8201e-05	3.3072e-05	0.00045994	7.0295e-06	3.4227e-06	3.2818e-05	0.01	0.038321	2.1864e-08	
1.5924e-05	0.00012227	7.0038e-07	3.3373e-09	9.267e-07	2.825e-05	3.4425e-05	0.00045911	6.4438e-06	3.5127e-06	3.2004e-05	0.01	0.038345	1.6619e-08	
1.5562e-05	0.00012199	6.5028e-07	2.3435e-09	9.7812e-07	2.1675e-05	3.5915e-05	0.00045832	5.6572e-06	4.2039e-06	3.1134e-05	0.01	0.03837	3.2972e-09	
1.5218e-05	0.00012172	6.0823e-07	1.9052e-09	9.5096e-07	1.7139e-05	3.7556e-05	0.00045757	5.0803e-06	4.3641e-06	3.0382e-05	0.01	0.038394	1.4534e-09	
1.4892e-05	0.00012147	5.7331e-07	1.8247e-09	9.3568e-07	1.4012e-05	3.9359e-05	0.00045686	4.6311e-06	4.5568e-06	2.973e-05	0.01	0.038419	2.0822e-09	
1.4583e-05	0.00012123	5.4525e-07	2.0899e-09	9.1351e-07	1.1884e-05	4.134e-05	0.00045618	4.1403e-06	4.7255e-06	2.9037e-05	0.01	0.038444	8.2227e-10	
1.429e-05	0.000121	5.2297e-07	2.8132e-09	9.0278e-07	1.0434e-05	4.352e-05	0.00045172	3.7652e-06	4.9354e-06	2.8438e-05	0.01	0.03847	1.136e-09	
1.3987e-05	0.00012075	4.9658e-07	1.1286e-08	8.8541e-07	8.7135e-06	4.5623e-05	0.00044722	3.3553e-06	5.1211e-06	2.7801e-05	0.01	0.038495	1.6189e-10	
1.3675e-05	0.00012048	4.6605e-07	1.7104e-08	8.6131e-07	6.753e-06	4.7651e-05	0.0004427	3.3317e-06	5.2697e-06	2.7125e-05	0.01	0.03852	8.9799e-11	
1.338e-05	0.00012023	4.4107e-07	1.6151e-08	8.484e-07	5.4217e-06	4.9881e-05	0.00043826	3.1521e-06	5.459e-06	2.6542e-05	0.01	0.038546	7.5962e-11	
1.3074e-05	0.00011994	4.1197e-07	3.0027e-08	8.2892e-07	3.8428e-06	5.2032e-05	0.00043379	2.9533e-06	5.6238e-06	2.592e-05	0.01	0.038571	3.2115e-10	
1.276e-05	0.00011964	3.7831e-07	3.9017e-08	8.0275e-07	3.6092e-06	5.4105e-05	0.00042929	2.7338e-06	5.7644e-06	2.526e-05	0.01	0.038597	2.7021e-09	
1.2436e-05	0.00011932	3.5054e-07	3.8157e-08	6.7074e-07	3.4934e-06	5.6103e-05	0.00042476	2.5659e-06	5.9414e-06	2.4692e-05	0.01	0.038622	2.8497e-09	
1.2103e-05	0.00011897	3.1886e-07	3.542e-08	5.2644e-07	3.3286e-06	5.8029e-05	0.00042021	2.3801e-06	6.0937e-06	2.4086e-05	0.01	0.038648	1.3065e-09	
1.1786e-05	0.00011863	2.9382e-07	2.2148e-08	5.2966e-07	3.2992e-06	6.015e-05	0.00041573	2.175e-06	6.2211e-06	2.3441e-05	0.01	0.038674	1.9021e-09	
1.1484e-05	0.00011831	2.7302e-07	1.5663e-08	5.2733e-07	3.357e-06	6.2485e-05	0.00041135	1.9492e-06	6.3241e-06	2.2757e-05	0.01	0.038699	7.0463e-10	
1.1173e-05	0.00011797	2.4758e-07	1.99e-08	5.3283e-07	3.3515e-06	6.4738e-05	0.00040693	1.7749e-06	6.4635e-06	2.2162e-05	0.01	0.038725	1.5501e-09	
8.1831e-06	0.00011442	2.3295e-07	4.553e-08	8.0531e-07	5.5639e-06	0.00011949	0.00035596	5.5539e-07	9.2887e-06	1.6748e-05	0.01	0.039075	3.0429e-08	
7.9865e-06	0.00011415	2.4138e-07	4.2078e-08	8.3328e-07	5.5306e-06	0.00012526	0.00035231	4.9891e-07	9.543e-06	1.6425e-05	0.01	0.039102	2.443e-08	
7.7822e-06	0.00011386	2.4668e-07	3.6598e-08	8.5455e-07	5.4433e-06	0.00013086	0.00034864	4.3483e-07	9.7679e-06	1.6074e-05	0.01	0.03913	1.5423e-08	
7.57e-06	0.00011877	2.4872e-07	2.7888e-08	8.692e-07	5.2938e-06	0.00013627	0.00034494	4.5604e-07	9.9452e-06	1.5695e-05	0.01	0.039157	2.7419e-09	
7.3682e-06	0.00012375	2.5584e-07	2.7997e-08	8.7735e-07	4.8324e-06	0.00014221	0.00034131	4.7199e-07	1.0094e-05	1.5288e-05	0.01	0.039185	7.5471e-10	
7.1756e-06	0.00012879	2.6557e-07	1.8145e-08	8.957e-07	4.5384e-06	0.00014869	0.00033774	4.9668e-07	1.0288e-05	1.4937e-05	0.01	0.039213	6.238e-10	
6.9762e-06	0.00013379	2.7228e-07	2.2287e-08	9.0802e-07	4.1805e-06	0.00015499	0.00033415	5.164e-07	1.0456e-05	1.4561e-05	0.01	0.03924	3.176e-09	
6.7704e-06	0.00013877	2.7617e-07	2.4412e-08	9.148e-07	3.7679e-06	0.00016114	0.00033055	5.3163e-07	1.06e-05	1.4164e-05	0.01	0.039268	4.0531e-09	
6.5724e-06	0.0001438	2.8229e-07	2.9901e-08	9.3063e-07	3.4832e-06	0.00016778	0.000327	5.5484e-07	1.0785e-05	1.3814e-05	0.01	0.039296	1.979e-09	
6.3681e-06	0.0001488	3.307e-07	3.3001e-08	9.4092e-07	3.1419e-06	0.00017427	0.00032343	5.7345e-07	1.0946e-05	1.3443e-05	0.01	0.039324	3.2723e-09	
6.1577e-06	0.00015377	3.7539e-07	3.3992e-08	9.4578e-07	2.7507e-06	0.00018061	0.00031984	5.8758e-07	1.1083e-05	1.305e-05	0.01	0.039351	3.5121e-09	
5.9548e-06	0.00015879	4.2577e-07	3.869e-08	9.5969e-07	2.4752e-06	0.00018746	0.00031631	6.0992e-07	1.1262e-05	1.2704e-05	0.01	0.039379	7.2979e-10	
5.7457e-06	0.00016378	4.7222e-07	4.1093e-08	9.6808e-07	2.1567e-06	0.00019415	0.00031276	6.2761e-07	1.1416e-05	1.2337e-05	0.01	0.039407	9.7103e-10	
5.5304e-06	0.00016875	5.1482e-07	4.1256e-08	9.7093e-07	1.7915e-06	0.00020068	0.00030919	6.4068e-07	1.1546e-05	1.1949e-05	0.01	0.039435	3.466e-10	
5.3228e-06	0.00017377	5.6361e-07	4.5593e-08	9.8328e-07	1.5322e-06	0.00020775	0.00030568	6.6257e-07	1.1719e-05	1.1606e-05	0.01	0.039464	3.5136e-10	
5.1237e-06	0.00017885	6.0371e-07	4.6168e-08	9.8917e-07	1.6117e-06	0.00021547	0.00030223	6.789e-07	1.1864e-05	1.1239e-05	0.01	0.039492	2.106e-09	
4.9178e-06	0.0001839	6.3938e-07	4.4036e-08	9.8858e-07	1.6591e-06	0.00022297	0.00029876	6.897e-07	1.1981e-05	1.0848e-05	0.01	0.03952	2.7299e-09	
4.7205e-06	0.00018902	6.8245e-07	4.7471e-08	9.994e-07	1.4975e-06	0.00023118	0.00029535	7.113e-07	1.215e-05	1.0509e-05	0.01	0.039548	1.291e-09	
4.5317e-06	0.0001942	7.361e-07	4.2309e-08	1.0461e-06	1.4526e-06	0.00023352	0.00029201	7.2266e-07	1.2242e-05	9.5386e-06	0.01	0.039577	1.9424e-09	
