Trichechus_manatus	Orycteropus_afer	Mammuthus_primigenius	Loxodonta_africana	Elephas_maximus	
0.016231	5.9983e-07	0.0094591	0.0094324	0.0030755	
0.016189	5.6349e-07	0.0094589	0.0094415	0.0030742	
0.016153	5.3241e-07	0.0094588	0.009451	0.0030729	
0.01612	5.06e-07	0.0094587	0.0094608	0.0030717	
0.016092	4.8568e-07	0.0094586	0.0094709	0.0030706	
0.016062	4.619e-07	0.0094585	0.0094809	0.0030694	
0.016036	4.4226e-07	0.0094583	0.0094913	0.0030683	
0.016013	4.2635e-07	0.0094582	0.0095021	0.0030673	
0.015994	4.1387e-07	0.0094581	0.0095132	0.0030663	
0.015977	4.0461e-07	0.0094581	0.0095246	0.0030654	
0.015959	3.9227e-07	0.009458	0.009536	0.0030644	
0.01594	3.7683e-07	0.0094579	0.0095472	0.0030635	
0.015924	3.6421e-07	0.0094578	0.0095588	0.0030625	
0.01591	3.5427e-07	0.0094577	0.0095707	0.0030617	
0.015895	3.4133e-07	0.0094576	0.0095825	0.0030608	
0.015883	3.3169e-07	0.0094575	0.0095941	0.0030599	
0.015871	3.1903e-07	0.0094574	0.0096056	0.0030589	
0.015861	3.0919e-07	0.0094573	0.0096175	0.0030581	
0.015853	3.0201e-07	0.0094572	0.0096297	0.0030572	
0.015803	2.9884e-07	0.0094572	0.0096424	0.0030565	
0.015752	2.9281e-07	0.0094571	0.0096549	0.0030557	
0.015705	2.8925e-07	0.009457	0.0096678	0.003055	
0.015664	2.8781e-07	0.0094569	0.009681	0.0030543	
0.015627	2.888e-07	0.0094569	0.0096947	0.0030537	
0.015594	2.9227e-07	0.0094568	0.0097087	0.0030532	
0.015564	2.9807e-07	0.0094568	0.0097232	0.0030527	
0.015533	3.0081e-07	0.0094567	0.0097375	0.0030522	
0.015501	3.0045e-07	0.0094567	0.0097516	0.0030516	
0.015473	3.0262e-07	0.0094566	0.0097662	0.0030512	
0.015442	3.2504e-07	0.0094566	0.0097805	0.0030507	
0.015415	3.1933e-07	0.0094565	0.0097954	0.0030502	
0.015317	3.1876e-07	0.0094565	0.0098107	0.0030498	
0.015215	3.149e-07	0.0094564	0.0098258	0.0030494	
0.015109	3.0775e-07	0.0094564	0.0098407	0.003049	
0.014999	2.9722e-07	0.0094564	0.0098555	0.0030485	
0.0149	2.8959e-07	0.0094563	0.0098707	0.0030481	
0.014813	2.8505e-07	0.0094563	0.0098864	0.0030478	
0.014735	2.8355e-07	0.0094562	0.0099025	0.0030475	
0.014654	2.7881e-07	0.0094562	0.0099185	0.0030472	
0.01457	2.7077e-07	0.0094562	0.0099342	0.0030469	
0.014495	2.6554e-07	0.0094562	0.0099505	0.0030466	
0.014412	2.7821e-07	0.0094561	0.0099665	0.0030463	
0.014325	2.8729e-07	0.0094561	0.0099824	0.003046	
0.014249	2.9964e-07	0.0094561	0.0099987	0.0030457	
0.014168	3.0829e-07	0.009456	0.010015	0.0030454	
0.014078	3.4032e-07	0.009456	0.010031	0.0030451	
0.013999	3.7893e-07	0.009456	0.010047	0.0030448	
0.013916	4.1262e-07	0.0094559	0.010063	0.0030445	
0.013816	4.3836e-07	0.0094559	0.01008	0.0030443	
0.01353	4.7341e-07	0.0094559	0.010097	0.0030441	
0.013282	5.1629e-07	0.0094559	0.010115	0.003044	
0.013063	5.6744e-07	0.0094559	0.010133	0.003044	
0.012832	6.1263e-07	0.0094559	0.010151	0.003044	
0.012638	6.2019e-07	0.0094559	0.01017	0.003044	
0.012432	6.2305e-07	0.0094559	0.010188	0.003044	
0.012252	6.3143e-07	0.0094559	0.010207	0.003044	
0.012034	6.3207e-07	0.0094559	0.010227	0.0030442	
0.011804	6.2798e-07	0.0094559	0.010246	0.0030443	
0.011545	6.533e-07	0.0094559	0.010265	0.0030443	
0.01111	7.0751e-07	0.0094559	0.010269	0.0030445	
0.010652	7.5555e-07	0.0094559	0.010273	0.0030446	
0.010248	8.1295e-07	0.0094559	0.010277	0.0030447	
0.0098243	8.6417e-07	0.0094559	0.010281	0.0030449	
0.0093646	9.0837e-07	0.009456	0.010286	0.0030451	
0.0088832	9.4704e-07	0.009456	0.01029	0.0030452	
0.0084573	9.3649e-07	0.009456	0.010295	0.0030455	
0.0080146	9.2166e-07	0.009456	0.010299	0.0030457	
0.0076179	9.1249e-07	0.009456	0.010304	0.0030459	
0.0072092	8.997e-07	0.0094561	0.010309	0.0030462	
0.0067892	8.8347e-07	0.0094561	0.010314	0.0030464	
0.0064054	8.7154e-07	0.0094561	0.010319	0.0030467	
0.0060538	8.6363e-07	0.0094561	0.010324	0.003047	
0.0056942	8.5267e-07	0.0094562	0.010329	0.0030473	
0.0053265	8.3865e-07	0.0094562	0.010335	0.0030475	
0.0049905	8.2875e-07	0.0094562	0.01034	0.0030479	
0.0046474	8.1591e-07	0.0094562	0.010345	0.0030482	
0.0043333	8.0699e-07	0.0094563	0.010351	0.0030485	
0.0040131	7.9526e-07	0.0094563	0.010357	0.0030488	
0.0036865	7.8071e-07	0.0094563	0.010362	0.0030491	
0.0033537	7.6335e-07	0.0094564	0.010367	0.0030494	
0.0030141	7.4313e-07	0.0094564	0.010373	0.0030497	
0.0026678	7.2004e-07	0.0094564	0.010378	0.00305	
0.0026122	6.8795e-07	0.0094564	0.010383	0.0030502	
0.0025614	6.6006e-07	0.0094565	0.010389	0.0030505	
0.0025095	6.293e-07	0.0094565	0.010394	0.0030508	
0.0024565	5.9569e-07	0.0094565	0.010399	0.003051	
0.002408	5.6602e-07	0.0094565	0.010405	0.0030513	
0.0023586	5.3361e-07	0.0094566	0.01041	0.0030516	
0.0023133	5.0487e-07	0.0094566	0.010416	0.003052	
0.0022671	4.7342e-07	0.0094566	0.010422	0.0030523	
0.0022244	4.4502e-07	0.0094567	0.010428	0.0030526	
0.0021851	4.1941e-07	0.0094567	0.010434	0.003053	
0.0021449	3.9122e-07	0.0094567	0.01044	0.0030534	
0.0021079	3.6564e-07	0.0094568	0.010447	0.0030538	
0.0020739	3.4273e-07	0.0094568	0.010453	0.0030543	
0.0020428	3.2227e-07	0.0094569	0.01046	0.0030548	
0.002011	2.9939e-07	0.0094569	0.010467	0.0030552	
0.0019817	2.785e-07	0.009457	0.010474	0.0030558	
0.0019518	2.5523e-07	0.009457	0.010481	0.0030563	
0.0019245	2.3408e-07	0.0094571	0.010489	0.0030568	
0.0018992	2.1459e-07	0.0094571	0.010496	0.0030574	
0.0018761	1.9684e-07	0.0094572	0.010504	0.0030581	
0.0018526	1.7681e-07	0.0094573	0.010512	0.0030587	
0.001831	1.5838e-07	0.0094573	0.01052	0.0030593	
0.001808	1.5512e-07	0.0094574	0.010528	0.00306	
0.0017845	1.4978e-07	0.0094575	0.010536	0.0030606	
0.0017629	1.4504e-07	0.0094575	0.010544	0.0030613	
0.0017398	1.533e-07	0.0094576	0.010552	0.0030619	
0.0017162	1.5945e-07	0.0094576	0.01056	0.0030626	
0.0016946	1.665e-07	0.0094577	0.010568	0.0030633	
0.0016726	1.7142e-07	0.0094578	0.010576	0.0030639	
0.0016523	1.7711e-07	0.0094578	0.010585	0.0030646	
0.0016317	1.8066e-07	0.0094579	0.010593	0.0030653	
0.0016104	1.8202e-07	0.009458	0.010599	0.0030661	
0.0015888	1.8127e-07	0.0094581	0.010604	0.0030668	
0.0015689	1.8129e-07	0.0094581	0.01061	0.0030675	
0.0015485	1.7918e-07	0.0094582	0.010615	0.0030683	
0.0015298	1.7782e-07	0.0094583	0.010621	0.0030691	
0.0015107	1.7436e-07	0.0094584	0.010627	0.0030698	
0.0014913	1.6879e-07	0.0094584	0.010632	0.0030706	
0.0014735	1.6415e-07	0.0094585	0.010638	0.0030714	
0.0014573	1.604e-07	0.0094586	0.010645	0.0030722	
0.0014407	1.5452e-07	0.0094587	0.010651	0.003073	
0.0014255	1.4934e-07	0.0094588	0.010657	0.0030739	
0.0014116	1.4483e-07	0.0094589	0.010664	0.0030748	
0.0014124	1.3565e-07	0.0094589	0.01067	0.0030757	
0.0014137	1.2737e-07	0.009459	0.010677	0.0030766	
0.0014155	1.1991e-07	0.0094591	0.010685	0.0030776	
0.0014172	1.103e-07	0.0094592	0.010692	0.0030786	
0.0014196	1.0157e-07	0.0094593	0.010699	0.0030795	
0.0014225	9.3473e-08	0.0094594	0.010706	0.0030805	
0.001425	9.5624e-08	0.0094595	0.010713	0.0030815	
0.0014274	9.5767e-08	0.0094596	0.01072	0.0030825	
0.0014302	9.6124e-08	0.0094597	0.010728	0.0030835	
0.0014329	9.4463e-08	0.0094598	0.010735	0.0030845	
0.0014362	9.3005e-08	0.0094599	0.010743	0.0030855	
0.00144	9.1869e-08	0.00946	0.01075	0.0030866	
0.0014445	9.1043e-08	0.0094601	0.010759	0.0030877	
0.0014495	9.0392e-08	0.0094602	0.010767	0.0030889	
0.0014544	8.7725e-08	0.0094603	0.010776	0.00309	
0.00146	8.5375e-08	0.0094605	0.010784	0.0030912	
0.0014651	9.2593e-08	0.0094606	0.010793	0.0030924	
0.0014708	1.0021e-07	0.0094607	0.010802	0.0030936	
0.0014712	1.1576e-07	0.0094608	0.010811	0.0030949	
0.0014714	1.291e-07	0.0094609	0.01082	0.0030961	
0.0014716	1.4025e-07	0.0094611	0.010829	0.0030974	
0.0014715	1.4925e-07	0.0094612	0.010838	0.0030986	
0.0014714	1.5613e-07	0.0094613	0.010847	0.0030998	
0.0014717	1.6372e-07	0.0094614	0.010856	0.003101	
0.0014719	1.6922e-07	0.0094615	0.010865	0.0031022	
0.0014726	1.7562e-07	0.0094617	0.010874	0.0031035	
0.0014738	1.8299e-07	0.0094618	0.010884	0.0031048	
0.0014748	1.8827e-07	0.0094619	0.010893	0.0031061	
0.0014763	1.9435e-07	0.0094621	0.010903	0.0031075	
0.0014782	2.013e-07	0.0094622	0.010913	0.0031088	
0.0014801	2.0614e-07	0.0094623	0.010923	0.0031102	
0.0014824	2.1188e-07	0.0094625	0.010934	0.0031116	
0.0014852	2.1875e-07	0.0094626	0.010944	0.0031131	
0.0014885	2.2684e-07	0.0094628	0.010955	0.0031145	
0.0014918	2.3276e-07	0.0094629	0.010966	0.003116	
0.0014949	2.3653e-07	0.009463	0.010977	0.0031175	
0.0014985	2.4154e-07	0.0094632	0.010988	0.003119	
0.001502	2.4441e-07	0.0094633	0.010998	0.0031205	
0.0015061	2.4855e-07	0.0094635	0.01101	0.003122	
0.0015101	2.5052e-07	0.0094636	0.011021	0.0031235	
0.0015146	2.5379e-07	0.0094638	0.011032	0.0031251	
0.001519	2.5488e-07	0.0094639	0.011044	0.0031266	
0.001524	2.5729e-07	0.0094641	0.011055	0.0031282	
0.0015289	2.5754e-07	0.0094642	0.011067	0.0031298	
0.0015337	2.5563e-07	0.0094644	0.011078	0.0031314	
0.0015383	2.5156e-07	0.0094645	0.01109	0.0031329	
0.0015435	2.4881e-07	0.0094647	0.011102	0.0031345	
0.0015486	2.4387e-07	0.0094649	0.011113	0.0031361	
0.0015532	2.5635e-07	0.009465	0.011125	0.0031376	
0.0015584	2.7023e-07	0.0094652	0.011137	0.0031392	
0.0015642	2.8565e-07	0.0094653	0.011149	0.0031409	
0.0015699	2.9878e-07	0.0094655	0.011161	0.0031425	
0.0015754	3.0964e-07	0.0094656	0.011173	0.0031441	
0.0015807	3.182e-07	0.0094658	0.011185	0.0031457	
0.0015859	3.2446e-07	0.009466	0.011197	0.0031473	
0.0015917	3.3227e-07	0.0094661	0.011209	0.0031489	
0.0015982	3.4171e-07	0.0094663	0.011222	0.0031505	
0.0016045	3.4884e-07	0.0094664	0.011234	0.0031522	
0.0016107	3.5363e-07	0.0094666	0.011246	0.0031538	
0.0016167	3.5609e-07	0.0094668	0.011259	0.0031554	
0.0016225	3.5617e-07	0.0094669	0.011271	0.003157	
0.0016184	3.5927e-07	0.0094671	0.011283	0.0031586	
0.0016148	3.6413e-07	0.0094672	0.011296	0.0031603	
0.0016111	3.6657e-07	0.0094674	0.011309	0.003162	
0.0016072	3.6657e-07	0.0094676	0.011321	0.0031636	
0.001604	3.6865e-07	0.0094677	0.011334	0.0031653	
0.0016005	3.6826e-07	0.0094679	0.011347	0.003167	
0.0015977	3.7002e-07	0.0094681	0.01136	0.0031687	
0.0015954	3.7373e-07	0.0094682	0.011374	0.0031705	
0.001593	3.7485e-07	0.0094684	0.011387	0.0031722	
0.0015903	3.7338e-07	0.0094686	0.011401	0.003174	
0.0015883	3.7438e-07	0.0094687	0.011414	0.0031758	
0.0015861	3.7258e-07	0.0094689	0.011428	0.0031775	
0.0015845	3.7323e-07	0.0094691	0.011442	0.0031793	
0.0015825	3.7054e-07	0.0094693	0.011456	0.0031812	
0.0015803	3.6228e-07	0.0094695	0.01147	0.0031831	
0.0015788	3.5685e-07	0.0094696	0.011485	0.003185	
0.001577	3.485e-07	0.0094698	0.011499	0.0031868	
0.001576	3.4318e-07	0.00947	0.011514	0.0031887	
0.0015756	3.4042e-07	0.0094702	0.011529	0.0031906	
0.0015751	3.3486e-07	0.0094704	0.011543	0.0031925	
0.0015743	3.2653e-07	0.0094706	0.011558	0.0031944	
0.0015741	3.2036e-07	0.0094707	0.011573	0.0031963	
0.0015735	3.3406e-07	0.0094709	0.011587	0.0031982	
0.0015727	3.4503e-07	0.0094711	0.011602	0.0032001	
0.0015717	3.5332e-07	0.0094713	0.011617	0.0032019	
0.0015577	3.6512e-07	0.0094715	0.011632	0.0032038	
0.0015451	3.7955e-07	0.0094717	0.011647	0.0032058	
0.0015321	3.9135e-07	0.0094719	0.011662	0.0032077	
0.0015188	4.0054e-07	0.009472	0.011677	0.0032097	
0.0015052	4.0716e-07	0.0094722	0.011692	0.0032116	
0.0014913	4.1126e-07	0.0094724	0.011707	0.0032135	
0.0014771	4.1285e-07	0.0094726	0.011722	0.0032153	
0.0014626	4.1197e-07	0.0094728	0.011737	0.0032172	
0.0014493	4.1333e-07	0.009473	0.011752	0.0032191	
0.0014373	4.1693e-07	0.0094732	0.011767	0.003221	
0.0014263	4.2281e-07	0.0094734	0.011783	0.003223	
0.0014163	4.3074e-07	0.0094735	0.011799	0.003225	
0.0014072	4.4079e-07	0.0094738	0.011815	0.0032271	
0.0013979	4.4837e-07	0.009474	0.011832	0.0032292	
0.0013894	4.5815e-07	0.0094742	0.011848	0.0032313	
0.0013807	4.6543e-07	0.0094744	0.011865	0.0032334	
0.0013717	4.701e-07	0.0094746	0.011881	0.0032355	
0.0013636	4.7729e-07	0.0094748	0.011898	0.0032376	
0.0013554	4.8201e-07	0.009475	0.011915	0.0032397	
0.0013469	4.8428e-07	0.0094752	0.011931	0.0032418	
0.0013392	4.8872e-07	0.0094754	0.011948	0.0032439	
0.0013322	4.9536e-07	0.0094756	0.011965	0.0032461	
0.001325	4.9952e-07	0.0094758	0.011983	0.0032483	
0.0013177	5.0123e-07	0.009476	0.012	0.0032504	
0.0013111	5.0541e-07	0.0094762	0.012017	0.0032526	
0.0013051	5.1212e-07	0.0094764	0.012035	0.0032548	
0.0012991	5.1637e-07	0.0094767	0.012053	0.0032571	
0.0012936	5.2286e-07	0.0094769	0.012071	0.0032593	
0.001288	5.2692e-07	0.0094771	0.012089	0.0032616	
0.0012822	5.2855e-07	0.0094773	0.012107	0.0032638	
0.001277	5.3244e-07	0.0094775	0.012125	0.0032661	
0.0012717	5.3389e-07	0.0094777	0.012143	0.0032684	
0.0012663	5.3291e-07	0.009478	0.012161	0.0032706	
0.0012614	5.3451e-07	0.0094782	0.012179	0.0032729	
0.0012564	5.3363e-07	0.0094784	0.012198	0.0032752	
0.001252	5.3534e-07	0.0094786	0.012216	0.0032775	
0.0012482	5.3967e-07	0.0094788	0.012235	0.0032799	
0.0012442	5.4151e-07	0.0094791	0.012254	0.0032822	
0.0012408	5.46e-07	0.0094793	0.012274	0.0032846	
0.0012379	5.5323e-07	0.0094795	0.012293	0.0032871	
0.0012354	5.6295e-07	0.0094798	0.012313	0.0032896	
0.0012328	5.7012e-07	0.00948	0.012333	0.0032921	
0.0012307	5.799e-07	0.0094803	0.012353	0.0032946	
0.0012284	5.8706e-07	0.0094805	0.012374	0.0032971	
0.001226	5.9152e-07	0.0094807	0.012394	0.0032996	
0.0012241	5.9915e-07	0.009481	0.012414	0.0033021	
0.0012221	6.0394e-07	0.0094812	0.012434	0.0033047	
0.0012206	6.118e-07	0.0094815	0.012455	0.0033072	
0.0012066	6.2458e-07	0.0094817	0.012476	0.0033098	
0.0011941	5.9019e-07	0.009482	0.012498	0.0033125	
0.0011806	5.8567e-07	0.0094822	0.012519	0.0033152	
0.0011668	5.7818e-07	0.0094825	0.012541	0.0033178	
0.0011542	5.7537e-07	0.0094827	0.012562	0.0033205	
0.0011413	5.6966e-07	0.009483	0.012584	0.0033232	
0.0011281	5.6111e-07	0.0094832	0.012605	0.0033258	
0.0011161	5.5579e-07	0.0094835	0.012627	0.0033285	
0.0011038	5.4765e-07	0.0094837	0.012649	0.0033312	
0.0010926	5.4228e-07	0.009484	0.012671	0.0033339	
0.0010811	5.3418e-07	0.0094843	0.012693	0.0033366	
0.0010691	5.5241e-07	0.0094845	0.012715	0.0033393	
0.0010582	5.7377e-07	0.0094848	0.012738	0.003342	
0.001047	5.9232e-07	0.009485	0.01276	0.0033448	
0.0010368	6.1406e-07	0.0094853	0.012783	0.0033475	
0.0010276	6.3961e-07	0.0094856	0.012806	0.0033504	
0.0010192	6.6926e-07	0.0094858	0.012829	0.0033532	
0.0010106	6.9591e-07	0.0094861	0.012853	0.0033561	
0.0010018	7.1959e-07	0.0094864	0.012876	0.0033589	
0.00099278	7.4033e-07	0.0094866	0.012899	0.0033617	
0.00098456	7.6477e-07	0.0094869	0.012923	0.0033646	
0.00097713	7.9363e-07	0.0094872	0.012947	0.0033675	
0.00096952	8.1945e-07	0.0094875	0.012971	0.0033704	
0.00096266	8.4998e-07	0.0094877	0.012995	0.0033734	
0.00095652	8.8564e-07	0.009488	0.01302	0.0033764	
0.00095019	9.1793e-07	0.0094883	0.013044	0.0033793	
0.0009445	9.5528e-07	0.0094886	0.013069	0.0033824	
0.00093941	9.9824e-07	0.0094889	0.013095	0.0033855	
0.00093414	1.0374e-06	0.0094892	0.01312	0.0033885	
0.00092953	1.0836e-06	0.0094895	0.013146	0.0033917	
0.00092471	1.1253e-06	0.0094898	0.013172	0.0033948	
0.00091966	1.1626e-06	0.00949	0.013197	0.0033978	
0.00091528	1.2074e-06	0.0094903	0.013223	0.003401	
0.00091031	1.3146e-06	0.0094906	0.013249	0.0034041	
0.00090643	1.4435e-06	0.0094909	0.013275	0.0034072	
0.00090157	1.5557e-06	0.0094912	0.013301	0.0034103	
0.00089743	1.6855e-06	0.0094915	0.013328	0.0034135	
0.00089302	1.8059e-06	0.0094918	0.013354	0.0034167	
0.00088832	1.9174e-06	0.0094921	0.013381	0.0034198	
0.00088433	2.0471e-06	0.0094924	0.013407	0.0034231	
0.00088007	2.1671e-06	0.0094927	0.013434	0.0034263	
0.0008765	2.3072e-06	0.009493	0.013461	0.0034295	
0.00087357	2.4708e-06	0.0094933	0.013489	0.0034328	
0.00087037	2.6215e-06	0.0094936	0.013517	0.0034361	
0.00086811	2.8044e-06	0.0094939	0.013544	0.0034394	
0.0008656	2.9731e-06	0.0094942	0.013571	0.0034426	
0.00086376	3.1854e-06	0.0094945	0.013599	0.0034459	
0.00086139	3.6122e-06	0.0094949	0.013627	0.0034492	
0.00085991	4.1252e-06	0.0094952	0.013654	0.0034524	
0.00085903	4.7311e-06	0.0094955	0.013682	0.0034557	
0.00085793	5.2967e-06	0.0094958	0.01371	0.003459	
0.00085736	5.9557e-06	0.0094961	0.013738	0.0034624	
0.00085657	6.5698e-06	0.0094964	0.013766	0.0034657	
0.00085657	7.3066e-06	0.0094967	0.013794	0.003469	
0.00085634	7.9938e-06	0.009497	0.013822	0.0034722	
0.00085664	8.7934e-06	0.0094973	0.01385	0.0034755	
0.00085747	9.7238e-06	0.0094976	0.013879	0.0034789	
0.00085885	1.0807e-05	0.0094979	0.013908	0.0034824	
0.00086	1.182e-05	0.0094983	0.013938	0.0034858	
0.00086172	1.3e-05	0.0094986	0.013968	0.0034893	
0.00086402	1.4376e-05	0.0094989	0.013998	0.0034929	
0.00086863	1.5122e-05	0.0094993	0.013998	0.0034966	
0.00087323	1.5867e-05	0.0094996	0.013998	0.0035002	
0.00087782	1.6612e-05	0.0094999	0.013998	0.0035039	
