Zalophus_californianus	Vulpes_vulpes	Ursus_thibetanus	Ursus_maritimus	Ursus_arctos	Ursus_americanus	Phoca_vitulina	Neovison_vison	Mustela_putorius	Monachus_schauinslandi	Mirounga_leonina	Lontra_canadensis	Leptonychotes_weddellii	Eumetopias_jubatus	Enhydra_lutris	Canis_lupus	Callorhinus_ursinus	Ailuropoda_melanoleuca	
6.2745e-06	1.8921e-05	0.00052438	0.0098486	0.01	0.0099408	0.0002054	1.736e-05	0.85477	0.00065083	2.9477e-05	1.9621e-06	1.508e-06	0.00058163	1.0025e-06	1.3863e-05	5.8896e-06	0.00086094	
5.9117e-06	1.7737e-05	0.00051893	0.0098485	0.01	0.0099408	0.00020291	1.7015e-05	0.85477	0.00064897	2.7873e-05	1.5033e-06	1.3781e-06	0.00055862	9.5714e-07	1.3447e-05	5.4759e-06	0.00085737	
5.5319e-06	1.6529e-05	0.00051342	0.0098484	0.01	0.0099407	0.00020039	1.6646e-05	0.85474	0.00064708	2.6211e-05	1.017e-06	1.2376e-06	0.0005349	9.0303e-07	1.2991e-05	5.0332e-06	0.00085379	
5.134e-06	1.5296e-05	0.00050786	0.0098483	0.01	0.0099407	0.00019785	1.6251e-05	0.85468	0.00064519	2.4488e-05	5.0133e-07	1.0856e-06	0.00051044	8.3985e-07	1.2491e-05	4.5594e-06	0.0008502	
3.4478e-06	1.0239e-05	0.00048531	0.0098479	0.01	0.0099406	0.00018807	1.4537e-05	0.85429	0.00063779	1.8508e-05	3.1329e-07	6.3685e-07	0.00040871	5.2434e-07	1.0259e-05	2.4973e-06	0.00083575	
3.1041e-06	9.0793e-06	0.00047989	0.0098478	0.01	0.0099405	0.00018573	1.2602e-05	0.8543	0.000636	1.7232e-05	2.7669e-07	5.5692e-07	0.00038649	4.6227e-07	9.8828e-06	2.113e-06	0.00083217	
2.8279e-06	8.0214e-06	0.00047471	0.0098477	0.01	0.0099405	0.0001835	1.1107e-05	0.85443	0.00063426	1.616e-05	2.5149e-07	5.0231e-07	0.0003673	4.1864e-07	9.6521e-06	1.8324e-06	0.00082863	
2.6224e-06	7.084e-06	0.00046983	0.0098476	0.01	0.0099404	0.0001812	6.4908e-06	0.85471	0.00063249	1.4975e-05	1.4706e-07	4.3372e-07	0.00035152	3.9555e-07	9.5717e-06	1.6502e-06	0.00082515	
2.3868e-06	6.9738e-06	0.0004648	0.0098475	0.01	0.0099404	0.00017906	5.8351e-06	0.85489	0.0006308	1.4046e-05	1.42e-07	3.9461e-07	0.00033424	3.5852e-07	9.4072e-06	1.4272e-06	0.00082164	
2.2151e-06	6.8917e-06	0.00046008	0.0098475	0.01	0.0099404	0.00017685	3.9134e-06	0.85524	0.00062907	1.3015e-05	9.7086e-08	3.4419e-07	0.00032021	3.4097e-07	8.7417e-06	1.2877e-06	0.00081819	
2.0187e-06	6.7945e-06	0.00045523	0.0098474	0.01	0.0099403	0.00017457	1.7029e-06	0.85552	0.00062731	1.1874e-05	4.1568e-08	2.8082e-07	0.00030489	3.1138e-07	7.9251e-06	1.1163e-06	0.00081471	
1.7951e-06	6.6818e-06	0.00045025	0.0098473	0.01	0.0099403	0.00017245	1.3962e-06	0.85572	0.00062563	1.0975e-05	3.8515e-08	2.4368e-07	0.00028819	2.6887e-07	6.9285e-06	9.0864e-07	0.0008112	
1.6303e-06	6.5956e-06	0.00044557	0.0098472	0.01	0.0099403	0.00017046	1.1851e-06	0.85607	0.00062403	1.027e-05	3.8481e-08	2.2338e-07	0.00027457	2.4421e-07	6.3322e-06	7.7544e-07	0.00080774	
1.5108e-06	6.365e-06	0.00044117	0.0098471	0.01	0.0099402	0.00016841	5.4408e-07	0.85663	0.00062239	9.4842e-06	1.7746e-08	1.9574e-07	0.00026356	2.3438e-07	5.282e-06	6.9278e-07	0.00080435	
1.3733e-06	6.1156e-06	0.00043664	0.009847	0.01	0.0099402	0.00016649	4.6135e-07	0.85709	0.00062083	8.8633e-06	2.0222e-08	1.8097e-07	0.00025151	2.1407e-07	4.0146e-06	5.8953e-07	0.00080092	
1.2664e-06	5.8942e-06	0.00043234	0.0098469	0.01	0.0099402	0.00016467	4.0076e-07	0.85768	0.00061933	8.3539e-06	2.3396e-08	1.7378e-07	0.00024132	2.0291e-07	3.1594e-06	5.1808e-07	0.00079754	
1.183e-06	5.6974e-06	0.00042824	0.0098468	0.01	0.0099401	0.00016295	3.563e-07	0.85839	0.00061789	7.9352e-06	2.7394e-08	1.7273e-07	0.00023268	1.9926e-07	2.5696e-06	4.6916e-07	0.0007942	
1.119e-06	5.5231e-06	0.00042434	0.0098467	0.01	0.0099401	0.00016132	3.2436e-07	0.85923	0.0006165	7.5941e-06	3.2537e-08	1.7772e-07	0.0002254	2.0272e-07	2.16e-06	4.3755e-07	0.0007909	
1.0713e-06	5.3702e-06	0.00042063	0.0098467	0.01	0.0099401	0.00015978	3.0272e-07	0.8602	0.00061517	7.3216e-06	3.935e-08	1.8975e-07	0.00021934	2.1381e-07	1.8771e-06	4.2046e-07	0.00078764	
1.0395e-06	5.2391e-06	0.00041713	0.0098466	0.01	0.00994	0.00015833	2.9092e-07	0.86131	0.0006139	6.8787e-06	4.8965e-08	1.922e-07	0.00021449	2.3498e-07	1.6933e-06	4.1809e-07	0.00078443	
1.0242e-06	5.132e-06	0.00041385	0.0098465	0.01	0.00994	0.00015684	2.1191e-07	0.86261	0.00061261	6.3817e-06	3.8002e-08	1.8971e-07	0.0002109	2.7164e-07	1.5917e-06	4.3342e-07	0.00078127	
9.9995e-07	5.0105e-06	0.00041047	0.0098464	0.01	0.00994	0.00015529	1.1832e-07	0.86383	0.00061127	6.0459e-06	2.1837e-08	1.9855e-07	0.0002067	2.9647e-07	1.4558e-06	4.3732e-07	0.00077808	
9.6601e-07	4.8857e-06	0.00040697	0.0098463	0.01	0.0099399	0.00015385	1.134e-07	0.86494	0.00061002	5.5015e-06	2.7744e-08	1.9685e-07	0.00020183	3.0934e-07	1.3158e-06	4.2933e-07	0.00077486	
9.4912e-07	4.785e-06	0.00040371	0.0098463	0.01	0.0099399	0.00015236	7.2498e-08	0.86625	0.00060872	5.1405e-06	1.8594e-08	2.0793e-07	0.00019826	3.3931e-07	1.2455e-06	4.4026e-07	0.0007717	
9.2323e-07	4.6699e-06	0.00040034	0.0098462	0.01	0.0099399	0.00015103	7.8632e-08	0.86747	0.00060757	4.6236e-06	2.8572e-08	2.098e-07	0.00019407	3.5679e-07	1.1454e-06	4.3946e-07	0.00076851	
9.1359e-07	4.5783e-06	0.0003972	0.0098461	0.01	0.0099399	0.00014956	6.0532e-08	0.86887	0.00060625	4.278e-06	2.3251e-08	2.255e-07	0.00019112	3.9395e-07	1.1029e-06	4.5859e-07	0.00076537	
8.9532e-07	4.4728e-06	0.00039395	0.009846	0.01	0.0099398	0.00014821	7.8422e-08	0.87018	0.00060503	3.9263e-06	4.1472e-08	2.4005e-07	0.00018758	4.176e-07	1.0346e-06	4.6558e-07	0.0007622	
8.9254e-07	4.3898e-06	0.00039094	0.009846	0.01	0.0099398	0.00014682	7.2147e-08	0.87169	0.00060378	3.5684e-06	4.0025e-08	2.5346e-07	0.0001852	4.6388e-07	1.015e-06	4.9403e-07	0.00075909	
8.8136e-07	4.2933e-06	0.00038782	0.0098459	0.01	0.0099398	0.00014538	6.0546e-08	0.87311	0.0006025	3.2044e-06	3.3937e-08	2.6571e-07	0.00018227	4.9563e-07	9.7235e-07	5.0958e-07	0.00075595	
8.616e-07	4.183e-06	0.00038459	0.0098458	0.01	0.0099397	0.00014406	8.6395e-08	0.87443	0.00060132	2.8343e-06	5.7283e-08	2.7682e-07	0.00017876	5.1332e-07	9.05e-07	5.1267e-07	0.00075278	
8.5711e-07	4.0695e-06	0.00038159	0.0098457	0.01	0.0099397	0.0001427	8.4874e-08	0.87595	0.0006001	2.458e-06	5.7121e-08	2.8679e-07	0.00017638	5.5482e-07	8.3354e-07	5.379e-07	0.00074967	
8.4432e-07	4.0346e-06	0.00037849	0.0098456	0.01	0.0099397	0.00014128	7.8031e-08	0.87738	0.00059885	2.0755e-06	5.1943e-08	2.956e-07	0.00017346	5.8143e-07	8.3131e-07	5.5004e-07	0.00074653	
8.2304e-07	3.9874e-06	0.00037528	0.0098456	0.01	0.0099396	0.00013981	6.706e-08	0.87873	0.00059757	1.6869e-06	4.2813e-08	3.0327e-07	0.00016997	5.9377e-07	8.085e-07	5.4944e-07	0.00074336	
7.928e-07	3.9275e-06	0.00037197	0.0098455	0.01	0.0099396	0.00013829	5.0378e-08	0.88	0.00059625	1.2922e-06	2.8308e-08	3.0979e-07	0.00016589	5.9185e-07	7.6377e-07	5.3581e-07	0.00074016	
7.5314e-07	3.8548e-06	0.00036854	0.0098454	0.01	0.0099396	0.00013689	6.617e-08	0.88118	0.00059501	8.9135e-07	3.8074e-08	3.1517e-07	0.00016118	5.7527e-07	6.9535e-07	5.0874e-07	0.00073693	
7.2956e-07	3.801e-06	0.00036534	0.0098453	0.01	0.0099395	0.00013542	5.9677e-08	0.88254	0.00059373	8.5259e-07	3.068e-08	3.1237e-07	0.00015766	5.8112e-07	6.6795e-07	5.0347e-07	0.00073376	
6.9742e-07	3.7349e-06	0.00036203	0.0098453	0.01	0.0099395	0.00013412	9.4371e-08	0.8838	0.0005926	7.7152e-07	4.993e-08	2.9853e-07	0.00015356	5.7286e-07	6.2011e-07	4.8572e-07	0.00073056	
6.8017e-07	3.6874e-06	0.00035895	0.0098452	0.01	0.0099395	0.00013276	9.7359e-08	0.88526	0.00059143	6.6877e-07	4.8054e-08	3.4968e-07	0.00015059	5.8725e-07	6.0816e-07	4.8892e-07	0.00072741	
6.5491e-07	3.6279e-06	0.00035577	0.0098451	0.01	0.0099395	0.00013135	9.4889e-08	0.88664	0.00059023	5.4616e-07	4.1322e-08	3.8946e-07	0.00014708	5.8771e-07	5.7758e-07	4.7999e-07	0.00072423	
6.213e-07	3.5562e-06	0.00035248	0.009845	0.01	0.0099394	0.0001299	8.6909e-08	0.88794	0.000589	5.7911e-07	2.9571e-08	4.151e-07	0.00014301	5.7425e-07	5.2724e-07	4.5867e-07	0.00072103	
5.7884e-07	3.472e-06	0.00034909	0.0098449	0.01	0.0099394	0.00012857	1.2846e-07	0.88913	0.00058787	5.3606e-07	4.2275e-08	4.1451e-07	0.00013835	5.4592e-07	4.5523e-07	4.2433e-07	0.0007178	
5.5142e-07	3.4063e-06	0.00034592	0.0098449	0.01	0.0099394	0.00012718	1.3277e-07	0.89051	0.00058669	4.7504e-07	3.6703e-08	4.0628e-07	0.00013483	5.4011e-07	4.1987e-07	4.1096e-07	0.00071462	
5.1589e-07	3.3285e-06	0.00034264	0.0098448	0.01	0.0099393	0.00012574	1.3261e-07	0.89181	0.00058547	4.8244e-07	2.7368e-08	4.3485e-07	0.00013075	5.2062e-07	3.6593e-07	3.856e-07	0.00071141	
4.7141e-07	3.237e-06	0.00033959	0.0098447	0.01	0.0099393	0.0001244	2.0875e-07	0.89298	0.00058433	4.5928e-07	4.119e-08	4.4877e-07	0.00012606	4.8531e-07	2.9053e-07	3.4714e-07	0.00070826	
4.4165e-07	3.1641e-06	0.00033675	0.0098446	0.01	0.0099393	0.00012293	2.2606e-07	0.89432	0.00058303	4.5802e-07	3.6719e-08	4.8744e-07	0.0001225	4.7231e-07	2.4951e-07	3.2907e-07	0.00070516	
4.0405e-07	3.0792e-06	0.0003338	0.0098446	0.01	0.0099392	0.00012162	4.071e-07	0.89558	0.00058187	4.2685e-07	6.4973e-08	5.0921e-07	0.0001184	4.4573e-07	1.9125e-07	2.9951e-07	0.00070203	
3.7933e-07	3.0121e-06	0.00033107	0.0098445	0.01	0.0099392	0.00012025	4.6263e-07	0.89702	0.00058067	3.8308e-07	6.6879e-08	5.2211e-07	0.00011533	4.3954e-07	1.5931e-07	2.8757e-07	0.00069896	
3.4742e-07	3.0083e-06	0.00032824	0.0098444	0.01	0.0099392	0.00011883	5.1002e-07	0.89838	0.00057944	3.2392e-07	6.4777e-08	5.2963e-07	0.00011176	4.2061e-07	1.5575e-07	2.6503e-07	0.00069585	
3.0773e-07	2.9934e-06	0.00032531	0.0098443	0.01	0.0099392	0.00011737	5.4552e-07	0.89966	0.00057817	2.4741e-07	5.7348e-08	6.7557e-07	0.00010765	3.8823e-07	1.4053e-07	2.3104e-07	0.00069272	
2.5969e-07	2.9673e-06	0.00032228	0.0098443	0.01	0.0099391	0.00011585	5.6992e-07	0.90087	0.00057687	2.3524e-07	4.44e-08	7.5747e-07	0.00010297	3.4162e-07	1.1307e-07	1.8463e-07	0.00068956	
2.0257e-07	2.93e-06	0.00031914	0.0098442	0.01	0.0099391	0.00011444	5.92e-07	0.90207	0.00057565	2.3059e-07	3.7172e-08	7.7431e-07	9.7699e-05	3.1878e-07	7.2255e-08	1.244e-07	0.00068638	
1.604e-07	2.9081e-06	0.00031622	0.0098441	0.01	0.0099391	0.00011313	6.1177e-07	0.90328	0.0005745	2.3405e-07	3.3423e-08	8.1648e-07	9.355e-05	3.1251e-07	4.7849e-08	8.5403e-08	0.00068324	
1.2944e-07	2.9019e-06	0.0003132	0.009844	0.01	0.009939	0.00011191	6.2922e-07	0.90448	0.00057341	2.5434e-07	3.3006e-08	8.1295e-07	9.0371e-05	3.2269e-07	3.3495e-08	6.0264e-08	0.00068008	
1.0677e-07	2.9115e-06	0.00031038	0.009844	0.01	0.009939	0.00011079	6.4436e-07	0.90568	0.0005724	2.8489e-07	3.593e-08	8.3111e-07	8.803e-05	2.7382e-07	2.5397e-08	4.4056e-08	0.00067696	
9.0531e-08	2.9361e-06	0.00030775	0.0098439	0.01	0.009939	0.00010976	6.5718e-07	0.90687	0.00057146	3.3943e-07	4.2638e-08	8.0627e-07	8.645e-05	2.4552e-07	2.1211e-08	3.3884e-08	0.00067389	
7.9137e-08	2.976e-06	0.00030532	0.0098438	0.01	0.009939	0.00010881	6.6769e-07	0.90807	0.00057059	4.2706e-07	5.5037e-08	7.1612e-07	8.5555e-05	2.333e-07	1.9702e-08	2.7695e-08	0.00067088	
7.1709e-08	3.0319e-06	0.00030307	0.0098438	0.01	0.0099389	0.00010794	6.7588e-07	0.90926	0.00056979	5.6456e-07	4.7446e-08	4.828e-07	8.5328e-05	2.3488e-07	2.0611e-08	2.4463e-08	0.00066791	
6.7494e-08	3.1046e-06	0.00030099	0.0098437	0.01	0.0099389	0.00010715	6.8175e-07	0.91045	0.00056906	6.9565e-07	4.7015e-08	2.4854e-07	8.5745e-05	1.8786e-07	2.4044e-08	2.3475e-08	0.000665	
6.6213e-08	3.1956e-06	0.00029909	0.0098436	0.01	0.0099389	0.00010636	6.8531e-07	0.91163	0.00056832	8.7044e-07	5.0354e-08	1.1076e-07	8.6835e-05	1.5827e-07	3.1033e-08	2.4647e-08	0.00066213	
6.7752e-08	3.3064e-06	0.00029736	0.0098436	0.01	0.0099389	0.00010564	6.8656e-07	0.91282	0.00056766	9.1285e-07	3.3414e-08	5.19e-08	8.8641e-05	1.4203e-07	4.3429e-08	2.8205e-08	0.00065931	
7.2163e-08	3.4384e-06	0.00029578	0.0098435	0.01	0.0099388	0.00010487	6.8549e-07	0.914	0.00056693	9.095e-07	2.4861e-08	3.9975e-08	9.1216e-05	7.4011e-08	6.4235e-08	3.4704e-08	0.00065654	
7.2822e-08	3.5564e-06	0.00029412	0.0098435	0.01	0.0099388	0.00010406	6.821e-07	0.91518	0.00056616	9.4787e-07	1.067e-08	3.5587e-08	9.3347e-05	7.2946e-08	7.5232e-08	3.5564e-08	0.00065375	
6.9732e-08	3.6609e-06	0.00029238	0.0098434	0.01	0.0099388	0.00010332	6.764e-07	0.91636	0.00056547	1.0085e-06	1.2773e-08	3.5244e-08	9.5045e-05	6.4331e-08	7.6853e-08	3.0804e-08	0.00065092	
6.9604e-08	3.7874e-06	0.0002908	0.0098433	0.01	0.0099388	0.00010266	6.6839e-07	0.91754	0.00056484	1.0993e-06	1.5833e-08	3.8479e-08	9.7541e-05	6.1018e-08	8.7723e-08	2.9121e-08	0.00064815	
7.2432e-08	3.8127e-06	0.00028938	0.0098433	0.01	0.0099387	0.00010207	6.5805e-07	0.91872	0.00056427	1.2265e-06	2.0781e-08	4.6035e-08	0.00010093	6.2488e-08	7.9211e-08	3.0197e-08	0.00064542	
7.837e-08	3.8558e-06	0.00028811	0.0098432	0.01	0.0099387	0.0001019	6.4541e-07	0.9199	0.0005609	1.4415e-06	2.8612e-08	6.3622e-08	0.00010532	6.8802e-08	7.9679e-08	3.412e-08	0.00064274	
8.8038e-08	3.9176e-06	0.00028699	0.0098432	0.01	0.0099387	0.0001018	6.3045e-07	0.92107	0.00055764	1.6503e-06	4.0904e-08	8.0054e-08	0.0001109	8.112e-08	8.9518e-08	4.1744e-08	0.0006401	
1.0218e-07	3.9989e-06	0.00028601	0.0098431	0.01	0.0099387	0.0001016	6.1317e-07	0.92225	0.0005541	1.9539e-06	3.5165e-08	1.1169e-07	0.00011784	1.0116e-07	1.1099e-07	5.4345e-08	0.00063751	
1.1182e-07	4.0671e-06	0.00028496	0.0098431	0.01	0.0099387	0.00010147	7.4018e-07	0.92334	0.00055067	2.3437e-06	5.9675e-08	1.1768e-07	0.00012408	1.1231e-07	1.214e-07	6.038e-08	0.0006349	
1.2653e-07	4.1553e-06	0.00028404	0.009843	0.01	0.0099386	0.00010139	7.663e-07	0.92459	0.00054735	2.8398e-06	9.5414e-08	1.0456e-07	0.00013182	1.3255e-07	1.4585e-07	7.2398e-08	0.00063233	
2.3644e-07	4.8537e-06	0.0002784	0.0098427	0.01	0.0099385	0.00010117	1.0685e-06	0.9199	0.00052483	7.0994e-06	4.156e-07	4.9058e-08	0.00019702	2.8154e-07	3.7127e-07	1.4971e-07	0.00061454	
2.5443e-07	4.9402e-06	0.00027769	0.0098427	0.01	0.0099385	0.00010118	1.1343e-06	0.91936	0.00052171	7.8495e-06	4.7843e-07	4.3175e-08	0.00020823	3.0692e-07	3.8683e-07	1.617e-07	0.00061203	
2.816e-07	5.0233e-06	0.00027713	0.0098426	0.01	0.0099385	0.00010125	1.2386e-06	0.91896	0.0005187	8.8364e-06	5.7545e-07	4.1504e-08	0.00022198	3.5149e-07	3.9823e-07	1.8601e-07	0.00060956	
3.2065e-07	5.1031e-06	0.00027669	0.0098426	0.01	0.0099385	0.00010138	1.2419e-06	0.9187	0.00051578	9.2051e-06	5.9145e-07	4.7446e-08	0.00023884	4.2265e-07	4.0546e-07	2.2758e-07	0.00060714	
3.7562e-07	5.1796e-06	0.00027618	0.0098426	0.01	0.0099385	0.0001015	1.2429e-06	0.91844	0.00051286	9.5678e-06	6.0509e-07	5.2224e-08	0.00025966	4.9013e-07	4.0854e-07	2.9498e-07	0.00060469	
4.5142e-07	5.2527e-06	0.0002756	0.0098425	0.01	0.0099384	0.00010162	1.2416e-06	0.91819	0.00050994	9.9244e-06	6.1638e-07	5.5839e-08	0.00028521	5.5392e-07	4.0745e-07	4.0109e-07	0.00060221	
5.5446e-07	5.3225e-06	0.00027516	0.0098425	0.01	0.0099384	0.00010174	1.238e-06	0.91793	0.00050701	1.0275e-05	6.2533e-07	5.8291e-08	0.00031632	6.1402e-07	4.022e-07	5.6558e-07	0.00059978	
6.9395e-07	5.3889e-06	0.00027485	0.0098424	0.01	0.0099384	0.00010177	1.1333e-06	0.91782	0.00050385	1.0874e-05	5.6788e-07	6.8772e-08	0.00035419	7.1196e-07	3.9279e-07	8.1963e-07	0.00059739	
8.8143e-07	5.4521e-06	0.00027468	0.0098424	0.01	0.0099384	0.00010185	1.0674e-06	0.91784	0.0005008	1.1644e-05	5.355e-07	8.753e-08	0.00040013	8.6162e-07	3.7922e-07	1.2083e-06	0.00059505	
1.1331e-06	5.5119e-06	0.00027463	0.0098424	0.01	0.0099384	0.000102	1.0314e-06	0.91798	0.00049784	1.2627e-05	5.2288e-07	1.1918e-07	0.0004558	1.0859e-06	3.6149e-07	1.8028e-06	0.00059275	
1.471e-06	5.5684e-06	0.00027472	0.0098424	0.01	0.0099384	0.00010221	1.0202e-06	0.91826	0.00049497	1.3875e-05	5.2803e-07	1.7168e-07	0.00052331	1.4195e-06	3.3959e-07	2.7136e-06	0.00059048	
1.9638e-06	5.6215e-06	0.00027473	0.0098423	0.01	0.0099384	0.00010248	1.1689e-06	0.91825	0.00049221	1.5458e-05	6.7194e-07	2.5867e-07	0.00061216	1.6686e-06	3.1354e-07	3.0423e-06	0.0005882	
2.123e-06	5.6713e-06	0.00027488	0.0098423	0.01	0.0099384	0.00010281	1.3153e-06	0.91823	0.00048954	1.6485e-05	8.1359e-07	3.1229e-07	0.00072044	1.9141e-06	2.8332e-07	3.3682e-06	0.00058595	
2.2805e-06	5.746e-06	0.00027496	0.0098423	0.01	0.0099383	0.00010311	1.3409e-06	0.91838	0.00048687	1.7506e-05	8.4638e-07	3.648e-07	0.00082874	2.2904e-06	2.757e-07	4.2203e-06	0.00058368	
2.4365e-06	5.9044e-06	0.00027497	0.0098422	0.01	0.0099383	0.00010341	1.3642e-06	0.91853	0.00048419	1.8856e-05	8.7683e-07	4.562e-07	0.00093706	2.6634e-06	3.0026e-07	4.666e-06	0.00058139	
5.6999e-06	3.0428e-06	0.00020891	0.0098385	0.01	0.0099368	0.00011588	2.7369e-05	0.93859	0.00021458	8.0362e-05	2.5262e-05	4.6279e-07	0.059116	1.648e-05	7.6304e-06	2.4542e-05	0.00031432	
5.4439e-06	2.8902e-06	0.00020762	0.0098385	0.01	0.0099368	0.00011607	2.7864e-05	0.93766	0.00021222	8.0346e-05	2.5737e-05	3.7676e-07	0.059928	1.6108e-05	7.6471e-06	2.4191e-05	0.00031142	
5.1495e-06	2.723e-06	0.00020626	0.0098384	0.01	0.0099368	0.00011623	2.8271e-05	0.93668	0.00020983	8.0228e-05	2.612e-05	2.6987e-07	0.060678	1.5647e-05	7.6091e-06	2.3742e-05	0.00030851	
4.9581e-06	2.5803e-06	0.00020503	0.0098384	0.01	0.0099368	0.00011633	2.8238e-05	0.93584	0.00020737	8.1181e-05	2.6083e-05	2.4043e-07	0.060938	1.5383e-05	7.237e-06	2.3545e-05	0.00030563	
4.8276e-06	2.4584e-06	0.00020392	0.0098383	0.01	0.0099368	0.00011651	2.8355e-05	0.93514	0.00020499	8.1166e-05	2.6204e-05	2.349e-07	0.061264	1.527e-05	7.0628e-06	2.3518e-05	0.00030278	
4.6724e-06	2.3224e-06	0.00020275	0.0098383	0.01	0.0099368	0.00011664	2.8438e-05	0.93439	0.00020258	8.1024e-05	2.6289e-05	2.2307e-07	0.061575	1.5096e-05	7.4749e-06	2.3425e-05	0.00029992	
4.8074e-06	2.4233e-06	0.00020151	0.0098382	0.01	0.0099367	0.00011675	2.8464e-05	0.93359	0.00020012	8.1328e-05	2.6315e-05	2.2643e-07	0.061861	1.4856e-05	7.7699e-06	2.3259e-05	0.00029703	
4.7834e-06	2.5428e-06	0.00020039	0.0098382	0.01	0.0099367	0.00011691	2.863e-05	0.93292	0.00019774	8.0752e-05	2.6488e-05	2.095e-07	0.062211	1.4761e-05	8.3062e-06	2.326e-05	0.00029418	
4.8168e-06	2.6978e-06	0.0001994	0.0098382	0.01	0.0099367	0.00011705	2.8479e-05	0.93288	0.00019532	8.002e-05	2.6355e-05	2.42e-07	0.062328	1.4902e-05	8.4372e-06	2.3486e-05	0.00029137	
4.7423e-06	2.8797e-06	0.00019853	0.0098381	0.01	0.0099367	0.00011713	2.7746e-05	0.93298	0.00019283	8.0221e-05	2.5679e-05	2.5366e-07	0.062348	1.5203e-05	8.2839e-06	2.4187e-05	0.00028859	
4.6662e-06	3.0584e-06	0.00019777	0.0098381	0.01	0.0099367	0.0001172	2.7011e-05	0.93308	0.00019034	8.0416e-05	2.5001e-05	2.6417e-07	0.062367	1.55e-05	8.1267e-06	2.5501e-05	0.00028585	
