Zalophus_californianus	Vulpes_vulpes	Ursus_thibetanus	Ursus_maritimus	Ursus_arctos	Ursus_americanus	Phoca_vitulina	Odobenus_rosmarus	Neovison_vison	Mustela_putorius	Monachus_schauinslandi	Mirounga_leonina	Lontra_canadensis	Leptonychotes_weddellii	Eumetopias_jubatus	Enhydra_lutris	Canis_lupus	Callorhinus_ursinus	Ailuropoda_melanoleuca	
0.01	0.0005619	0.0067805	0.0067337	0.0067337	0.040106	0.0088746	0.0066379	0.0004168	0.00011692	0.021756	0.0003708	0.0061467	0.0057739	0.00070992	0.00028847	0.0022886	0.0010257	6.7562e-05	
0.01	0.00055914	0.0067788	0.0067319	0.0067319	0.040137	0.00888	0.0066069	0.00041416	0.00011698	0.021761	0.00036794	0.0061449	0.0057596	0.00070824	0.00028485	0.002285	0.0010222	6.6109e-05	
0.01	0.00055631	0.006777	0.0067302	0.0067302	0.040167	0.0088851	0.0065755	0.00041148	0.00011702	0.021765	0.00036506	0.0061431	0.0057453	0.00070655	0.00028115	0.0022814	0.0010187	6.4633e-05	
0.01	0.00055343	0.0067752	0.0067284	0.0067284	0.040198	0.0088903	0.0065438	0.00040876	0.00011704	0.021769	0.00036217	0.0061412	0.005731	0.00070485	0.00027736	0.0022778	0.0010152	6.3134e-05	
0.01	0.00055049	0.0067734	0.0067266	0.0067266	0.040228	0.0088955	0.0065118	0.00040602	0.00011705	0.021773	0.00035927	0.0061394	0.0057168	0.00070314	0.00027351	0.0022742	0.0010116	6.161e-05	
0.01	0.00054749	0.0067716	0.0067248	0.0067248	0.040259	0.0089007	0.0064795	0.00040325	0.00011704	0.021778	0.00035637	0.0061375	0.0057025	0.00070142	0.00026957	0.0022706	0.001008	6.0063e-05	
0.01	0.00054465	0.0067698	0.006723	0.006723	0.04029	0.0089058	0.0064483	0.00040044	0.00011701	0.021782	0.00035347	0.0061355	0.0056882	0.00069972	0.00026555	0.002267	0.0010045	5.8579e-05	
0.01	0.00054175	0.0067681	0.0067213	0.0067213	0.040321	0.008911	0.0064181	0.0003976	0.00011697	0.021786	0.00035056	0.0061336	0.005674	0.00069804	0.00026145	0.0022633	0.001001	5.716e-05	
0.01	0.00053901	0.0067664	0.0067196	0.0067196	0.040354	0.0089162	0.0063889	0.00039485	0.00011696	0.02179	0.00034765	0.0061315	0.0056597	0.00069637	0.00025726	0.0022597	0.00099753	5.5799e-05	
0.01	0.00053621	0.0067647	0.0067179	0.0067179	0.040386	0.0089214	0.0063593	0.00039219	0.00011699	0.021795	0.00034473	0.0061295	0.0056455	0.0006947	0.00025298	0.0022561	0.00099404	5.4417e-05	
0.01	0.00053357	0.0067631	0.0067162	0.0067162	0.040419	0.0089266	0.0063308	0.00038963	0.00011706	0.021799	0.00034181	0.0061275	0.0056312	0.00069305	0.00024895	0.0022526	0.00099058	5.3096e-05	
0.01	0.00053088	0.0067614	0.0067145	0.0067145	0.040451	0.0089318	0.0063021	0.00038703	0.00011711	0.021803	0.00033888	0.0061255	0.005617	0.00069139	0.00024484	0.002249	0.00098711	5.1753e-05	
0.01	0.00052813	0.0067597	0.0067129	0.0067129	0.040484	0.008937	0.006273	0.00038441	0.00011715	0.021807	0.00033595	0.0061234	0.0056028	0.00068971	0.00024065	0.0022454	0.00098362	5.0389e-05	
0.01	0.00052555	0.0067581	0.0067112	0.0067112	0.040517	0.0089422	0.006245	0.00038187	0.00011723	0.021812	0.00033301	0.0061215	0.0055885	0.00068806	0.00023671	0.0022418	0.00098016	4.6171e-05	
0.01	0.00052291	0.0067564	0.0067096	0.0067096	0.04055	0.0089474	0.0062167	0.0003793	0.00011729	0.021816	0.00033007	0.0061195	0.0055743	0.0006864	0.00023268	0.0022382	0.00097669	4.1896e-05	
0.01	0.00052042	0.0067548	0.006708	0.006708	0.040584	0.0089526	0.0061894	0.00037671	0.00011733	0.02182	0.00032712	0.0061175	0.0055601	0.00068476	0.00022857	0.0022347	0.00097325	3.7802e-05	
0.01	0.00051809	0.0067532	0.0067064	0.0067064	0.040619	0.0089578	0.006163	0.0003742	0.00011741	0.021824	0.00032417	0.0061156	0.0055459	0.00068314	0.00022471	0.0022312	0.00096984	3.3883e-05	
0.01	0.00051592	0.0067517	0.0067049	0.0067049	0.040654	0.008963	0.0061376	0.00037166	0.00011747	0.021829	0.00032121	0.0061137	0.0055317	0.00068153	0.00022076	0.0022277	0.00096647	3.013e-05	
0.01	0.00051388	0.0067502	0.0067034	0.0067034	0.04069	0.0089682	0.0061131	0.00036921	0.00011757	0.021833	0.00031825	0.0061118	0.0055175	0.00067995	0.00021704	0.0022243	0.00096312	2.6536e-05	
0.01	0.00051199	0.0067488	0.0067019	0.0067019	0.040726	0.0089734	0.0060894	0.00036672	0.00011766	0.021837	0.00031528	0.0061099	0.0055034	0.00067838	0.00021325	0.0022209	0.00095981	2.2884e-05	
0.01	0.00051024	0.0067473	0.0067005	0.0067005	0.040763	0.0089787	0.0060666	0.00036421	0.00011772	0.021841	0.00031231	0.006108	0.0054892	0.00067683	0.00020938	0.0022175	0.00095653	1.9386e-05	
0.01	0.00050862	0.0067459	0.0066991	0.0066991	0.0408	0.0089839	0.0060446	0.00036178	0.00011783	0.021846	0.00030934	0.0061062	0.005475	0.00067529	0.00020574	0.0022142	0.00095328	1.4132e-05	
0.01	0.00050696	0.0067444	0.0066976	0.0066976	0.040836	0.0089891	0.0060223	0.00035933	0.00011792	0.02185	0.00030636	0.0061043	0.0054609	0.00067375	0.00020202	0.0022108	0.00095001	1.2969e-05	
0.01	0.00050524	0.0067429	0.0066961	0.0066961	0.040872	0.0089943	0.0059999	0.00035685	0.00011799	0.021854	0.00030337	0.0061024	0.0054467	0.0006722	0.00019823	0.0022075	0.00094673	1.1788e-05	
0.01	0.00049764	0.0067414	0.0066947	0.0066947	0.040909	0.0089996	0.0059781	0.00035435	0.00011804	0.021859	0.00030038	0.0061005	0.0054326	0.00067067	0.00019436	0.0022042	0.00094348	1.0652e-05	
0.01	0.00048994	0.00674	0.0066932	0.0066932	0.040946	0.0090048	0.0059562	0.00035181	0.00011808	0.021863	0.00029739	0.0060986	0.0054184	0.00066913	0.00019041	0.0022009	0.00094021	9.4976e-06	
0.01	0.00048257	0.0067385	0.0066917	0.0066917	0.040982	0.0090101	0.005934	0.00034924	0.0001181	0.021867	0.00029439	0.0060966	0.0054043	0.00066758	0.00018639	0.0021976	0.00093693	8.9824e-06	
0.01	0.00047511	0.006737	0.0066902	0.0066902	0.041019	0.0090153	0.0059116	0.00034665	0.0001181	0.021871	0.00029138	0.0060946	0.0053902	0.00066602	0.00018229	0.0021943	0.00093363	8.4564e-06	
0.01	0.00046797	0.0067355	0.0066888	0.0066888	0.041056	0.0090205	0.00589	0.00034402	0.00011808	0.021876	0.00028837	0.0060925	0.005376	0.00066448	0.00017811	0.0021911	0.00093036	7.9519e-06	
0.01	0.00046072	0.006734	0.0066873	0.0066873	0.041093	0.0090258	0.0058682	0.00034136	0.00011804	0.02188	0.00028536	0.0060904	0.0053619	0.00066293	0.00017384	0.0021878	0.00092708	7.96e-06	
0.01	0.00045338	0.0067325	0.0066858	0.0066858	0.04113	0.009031	0.0058462	0.00033867	0.00011799	0.021884	0.00028234	0.0060883	0.0053478	0.00066138	0.0001695	0.0021845	0.00092379	7.9614e-06	
0.01	0.00044636	0.0067311	0.0066844	0.0066844	0.041167	0.0090363	0.0058249	0.00033607	0.00011797	0.021889	0.00027932	0.0060863	0.0053337	0.00065984	0.0001654	0.0021813	0.00092052	7.9699e-06	
0.01	0.00043925	0.0067296	0.006683	0.006683	0.041204	0.0090416	0.0058035	0.00033344	0.00011794	0.021893	0.00027629	0.0060843	0.0053196	0.00065829	0.00016121	0.002178	0.00091724	7.9716e-06	
0.01	0.00043242	0.0067282	0.0066815	0.0066815	0.041242	0.0090468	0.0057818	0.00033079	0.00011789	0.021897	0.00027325	0.0060822	0.0053055	0.00065674	0.00015695	0.0021748	0.00091395	7.9668e-06	
0.01	0.0004255	0.0067267	0.00668	0.00668	0.041278	0.0090521	0.0057599	0.00032809	0.00011782	0.021902	0.00027022	0.0060801	0.0052914	0.00065518	0.00015261	0.0021716	0.00091064	7.9552e-06	
0.01	0.00041848	0.0067252	0.0066786	0.0066786	0.041316	0.0090573	0.0057377	0.00032537	0.00011773	0.021906	0.00026717	0.0060779	0.0052773	0.00065361	0.00014818	0.0021683	0.00090731	8.0039e-06	
0.01	0.00041175	0.0067237	0.0066771	0.0066771	0.041354	0.0090626	0.0057163	0.00032262	0.00011763	0.02191	0.00026413	0.0060758	0.0052633	0.00065205	0.00014368	0.0021651	0.00090402	8.0422e-06	
0.01	0.00040492	0.0067223	0.0066756	0.0066756	0.041391	0.0090679	0.0056947	0.00031983	0.00011751	0.021915	0.00026107	0.0060736	0.0052492	0.00065049	0.00013908	0.0021618	0.00090071	8.0737e-06	
0.01	0.000398	0.0067208	0.0066741	0.0066741	0.041428	0.0090732	0.0056739	0.00031716	0.00011743	0.021919	0.00025802	0.0060713	0.0052351	0.00064894	0.00013439	0.0021586	0.00089743	8.0982e-06	
0.01	0.00039098	0.0067192	0.0066726	0.0066726	0.041465	0.0090784	0.0056528	0.00031446	0.00011734	0.021923	0.00025495	0.006069	0.0052211	0.00064739	0.00012961	0.0021553	0.00089413	8.1159e-06	
0.01	0.00038386	0.0067177	0.0066711	0.0066711	0.041501	0.0090837	0.0056316	0.00031173	0.00011723	0.021928	0.00025189	0.0060667	0.005207	0.00064583	0.00012474	0.002152	0.00089082	8.127e-06	
0.01	0.00037664	0.0067161	0.0066695	0.0066695	0.041538	0.009089	0.0056101	0.00030896	0.0001171	0.021932	0.00024881	0.0060643	0.005193	0.00064426	0.00011978	0.0021487	0.0008875	8.1314e-06	
0.01	0.00036972	0.0067146	0.006668	0.006668	0.041519	0.0090943	0.0055405	0.00030628	0.00011701	0.021936	0.00024574	0.006062	0.005179	0.00064271	0.00011508	0.0021454	0.0008842	8.1422e-06	
0.01	0.0003627	0.0067131	0.0066665	0.0066665	0.041501	0.0090996	0.0054702	0.00030358	0.0001169	0.021941	0.00024266	0.0060597	0.0051649	0.00064115	0.00011028	0.0021421	0.00088089	8.1463e-06	
0.01	0.00035558	0.0067116	0.006665	0.006665	0.041482	0.0091049	0.0053993	0.00030085	0.00011677	0.021945	0.00023957	0.0060574	0.0051509	0.00063958	0.0001054	0.0021388	0.00087756	8.1437e-06	
0.01	0.00034877	0.0067101	0.0066635	0.0066635	0.041463	0.0091102	0.0053307	0.00029821	0.00011668	0.021949	0.00023648	0.0060551	0.0051369	0.00063803	0.00010079	0.0021356	0.00087426	8.1482e-06	
0.01	0.00034187	0.0067086	0.006662	0.006662	0.041445	0.0091155	0.0052615	0.00029553	0.00011658	0.021954	0.00023338	0.0060528	0.0051229	0.00063647	9.6087e-05	0.0021323	0.00087095	8.146e-06	
0.01	0.00033526	0.006707	0.0066605	0.0066605	0.041426	0.0091208	0.0051917	0.00029283	0.00011645	0.021958	0.00023028	0.0060504	0.0051089	0.00063491	9.5891e-05	0.002129	0.00086763	8.1367e-06	
0.01	0.00032893	0.0067055	0.0066589	0.0066589	0.041408	0.0091268	0.005124	0.0002901	0.00011631	0.021963	0.00022725	0.006048	0.005095	0.00063336	9.5666e-05	0.0021258	0.00086433	8.1338e-06	
0.01	0.0003225	0.006704	0.0066573	0.0066573	0.04139	0.0091325	0.0050557	0.00028733	0.00011615	0.021968	0.00022428	0.0060456	0.0050814	0.0006318	9.5412e-05	0.0021226	0.00086102	8.1242e-06	
0.01	0.00031598	0.0067025	0.0066558	0.0066558	0.041372	0.009138	0.0049868	0.00028454	0.00011598	0.021974	0.00022128	0.0060431	0.0050677	0.00063023	9.5128e-05	0.0021193	0.00085769	8.1078e-06	
0.01	0.00030938	0.006701	0.0066542	0.0066542	0.041353	0.0091433	0.0049171	0.00028171	0.00011579	0.021979	0.00021825	0.0060406	0.005054	0.00062865	9.4814e-05	0.002116	0.00085434	8.0844e-06	
0.01	0.00030305	0.0066995	0.0066526	0.0066526	0.041336	0.0091493	0.0048499	0.00027897	0.00011564	0.021984	0.00021529	0.0060382	0.0050404	0.0006271	9.4565e-05	0.0021128	0.00085103	8.0681e-06	
0.01	0.000297	0.006698	0.0066511	0.0066511	0.041318	0.0091561	0.0047849	0.0002762	0.00011547	0.021991	0.00021239	0.0060357	0.005027	0.00062556	9.4286e-05	0.0021096	0.00084775	8.0588e-06	
0.01	0.00029119	0.0066966	0.0066496	0.0066496	0.041221	0.0091637	0.004722	0.00027352	0.00011535	0.021997	0.00020955	0.0060331	0.0050138	0.00062403	9.397e-05	0.0021064	0.00084449	8.0558e-06	
0.01	0.00028564	0.0066952	0.0066482	0.0066482	0.041123	0.009171	0.0046585	0.00027092	0.00011526	0.022004	0.00020669	0.0060307	0.0050005	0.0006225	9.3718e-05	0.0021033	0.00084122	8.0451e-06	
0.01	0.00028032	0.0066938	0.0066467	0.0066467	0.041027	0.009179	0.0045969	0.00026829	0.00011515	0.022011	0.00020388	0.0060282	0.0049875	0.00062098	9.3437e-05	0.0021002	0.00083798	8.0406e-06	
0.01	0.00027522	0.0066925	0.0066453	0.0066453	0.040932	0.0091878	0.0045375	0.00026575	0.00011508	0.022019	0.00020113	0.0060258	0.0049745	0.00061948	9.3219e-05	0.0020971	0.00083477	8.043e-06	
0.01	0.00027033	0.0066912	0.006644	0.006644	0.040838	0.0091974	0.0044799	0.00026328	0.00011505	0.022027	0.00019844	0.0060234	0.0049618	0.000618	9.3057e-05	0.0020941	0.00083158	8.0517e-06	
0.01	0.00026566	0.00669	0.0066427	0.0066427	0.040746	0.009188	0.0044243	0.00026089	0.00011506	0.022036	0.00019581	0.0060212	0.0049492	0.00061653	9.2957e-05	0.0020911	0.00082842	8.0673e-06	
0.01	0.00026119	0.0066888	0.0066415	0.0066415	0.040655	0.0091794	0.0043705	0.00025857	0.00011511	0.022045	0.00019323	0.006019	0.0049368	0.00061508	9.2917e-05	0.0020881	0.00082529	8.0897e-06	
0.01	0.0002569	0.0066876	0.0066403	0.0066403	0.040566	0.0091716	0.0043184	0.00025633	0.00011519	0.022054	0.00019062	0.006017	0.0049244	0.00061365	9.2934e-05	0.0020851	0.00082219	8.1184e-06	
0.01	0.00025254	0.0066864	0.006639	0.006639	0.040476	0.0091635	0.0042658	0.00025406	0.00011526	0.022063	0.000188	0.0060149	0.0049119	0.0006122	9.2922e-05	0.0020822	0.00081907	8.1404e-06	
0.01	0.00024813	0.0066852	0.0066378	0.0066378	0.040386	0.0091552	0.0042127	0.00025176	0.00011531	0.022072	0.00018535	0.0060127	0.0048993	0.00061075	9.2882e-05	0.0020792	0.00081594	8.1559e-06	
0.01	0.0002439	0.0066841	0.0066366	0.0066366	0.040297	0.0091477	0.0041614	0.00024954	0.00011539	0.022081	0.00018275	0.0060107	0.0048869	0.00060932	9.2903e-05	0.0020763	0.00081284	8.1782e-06	
0.01	0.00023986	0.006683	0.0066355	0.0066355	0.04021	0.0091399	0.0041096	0.00024729	0.00011546	0.02209	0.00018013	0.0060086	0.0048745	0.00060788	9.2895e-05	0.0020734	0.00080972	8.2075e-06	
0.01	0.00023599	0.0066819	0.0066344	0.0066344	0.040124	0.0091329	0.0040594	0.00024511	0.00011557	0.0221	0.00017757	0.0060067	0.0048623	0.00060645	9.2944e-05	0.0020705	0.00080662	8.2432e-06	
0.01	0.00023228	0.0066809	0.0066333	0.0066333	0.040039	0.0091266	0.0040109	0.0002429	0.00011566	0.02211	0.00017505	0.0060046	0.0048502	0.00060504	9.2964e-05	0.0020676	0.00080356	8.2859e-06	
0.01	0.00022873	0.0066799	0.0066323	0.0066323	0.039955	0.0091211	0.0039639	0.00024067	0.00011573	0.022121	0.00017259	0.0060026	0.0048382	0.00060364	9.2953e-05	0.0020648	0.00080052	8.3351e-06	
0.01	0.00022513	0.006679	0.0066313	0.0066313	0.039872	0.0091153	0.0039165	0.00023841	0.00011579	0.022131	0.0001701	0.0060005	0.0048262	0.00060224	9.2915e-05	0.002062	0.00079747	8.3776e-06	
0.01	0.00022167	0.006678	0.0066303	0.0066303	0.039789	0.0091102	0.0038705	0.00023621	0.00011588	0.022142	0.00016766	0.0059985	0.0048144	0.00060085	9.2931e-05	0.0020592	0.00079444	8.4265e-06	
0.01	0.00021836	0.0066771	0.0066293	0.0066293	0.039707	0.0091057	0.003826	0.000234	0.00011595	0.022154	0.00016527	0.0059964	0.0048027	0.00059948	9.292e-05	0.0020564	0.00079143	8.4819e-06	
0.01	0.00021518	0.0066762	0.0066283	0.0066283	0.039627	0.0091019	0.0037828	0.00023184	0.00011606	0.022166	0.00016292	0.0059945	0.0047912	0.00059812	9.2963e-05	0.0020536	0.00078845	8.5435e-06	
0.01	0.00021212	0.0066754	0.0066274	0.0066274	0.039548	0.0090987	0.0037409	0.00022975	0.0001162	0.022179	0.00016062	0.0059926	0.0047798	0.00059677	9.3059e-05	0.0020509	0.0007855	8.6114e-06	
0.01	0.00020919	0.0066746	0.0066265	0.0066265	0.03947	0.0090954	0.0036986	0.00022763	0.00011633	0.022191	0.00015829	0.0059907	0.0047684	0.00059542	9.3129e-05	0.0020482	0.00078253	8.6859e-06	
0.01	0.00020622	0.0066738	0.0066256	0.0066256	0.039392	0.0090918	0.003656	0.0002255	0.00011644	0.022204	0.00015595	0.0059887	0.0047569	0.00059406	9.3173e-05	0.0020455	0.00077954	8.754e-06	
0.01	0.00020321	0.006673	0.0066247	0.0066247	0.039313	0.0090881	0.0036131	0.00022334	0.00011653	0.022216	0.00015358	0.0059868	0.0047454	0.00059269	9.3192e-05	0.0020428	0.00077655	8.8158e-06	
0.01	0.00020032	0.0066722	0.0066238	0.0066238	0.039235	0.009085	0.0035714	0.00022115	0.00011661	0.022229	0.00015126	0.0059848	0.004734	0.00059134	9.3186e-05	0.0020401	0.00077358	8.8842e-06	
0.01	0.00019755	0.0066715	0.006623	0.006623	0.039159	0.0090825	0.0035311	0.00021903	0.00011673	0.022242	0.00014898	0.0059829	0.0047228	0.00059	9.3233e-05	0.0020374	0.00077063	8.9591e-06	
0.01	0.00019489	0.0066708	0.0066222	0.0066222	0.039084	0.0090807	0.0034919	0.00021697	0.00011688	0.022256	0.00014674	0.005981	0.0047117	0.00058867	9.3333e-05	0.0020348	0.0007677	9.0406e-06	
0.01	0.00019219	0.0066702	0.0066215	0.0066215	0.03901	0.0090795	0.0034539	0.00021489	0.00011701	0.02227	0.00014455	0.0059792	0.0047008	0.00058736	9.3408e-05	0.0020321	0.0007648	9.1289e-06	
0.01	0.00018959	0.0066695	0.0066207	0.0066207	0.038936	0.0090788	0.0034169	0.00021287	0.00011718	0.022285	0.00014239	0.0059774	0.00469	0.00058606	9.3534e-05	0.0020295	0.00076192	9.2231e-06	
0.01	0.00018697	0.0066689	0.00662	0.00662	0.038863	0.009078	0.0033797	0.00021083	0.00011733	0.022299	0.00014021	0.0059756	0.0046791	0.00058476	9.3639e-05	0.0020268	0.00075903	9.3115e-06	
0.01	0.00018431	0.0066683	0.0066193	0.0066193	0.038789	0.0090771	0.0033424	0.00020877	0.00011747	0.022314	0.00013802	0.0059738	0.0046683	0.00058345	9.3723e-05	0.0020242	0.00075612	9.3944e-06	
0.01	0.00018174	0.0066676	0.0066186	0.0066186	0.038716	0.0090767	0.0033059	0.00020676	0.00011764	0.022329	0.00013586	0.005972	0.0046575	0.00058215	9.3847e-05	0.0020215	0.00075324	9.4818e-06	
0.01	0.00017925	0.0066671	0.0066179	0.0066179	0.038644	0.0090767	0.0032702	0.00020479	0.00011783	0.022344	0.00013373	0.0059703	0.0046468	0.00058085	9.401e-05	0.0020189	0.00075037	9.5737e-06	
0.01	0.00017673	0.0066665	0.0066172	0.0066172	0.038572	0.0090767	0.0032344	0.0002028	0.00011801	0.022359	0.00013159	0.0059686	0.0046362	0.00057956	9.4154e-05	0.0020163	0.00074749	9.6602e-06	
0.01	0.00017419	0.0066659	0.0066166	0.0066166	0.038501	0.0090765	0.0031984	0.0002008	0.00011818	0.022374	0.00012942	0.0059669	0.0046255	0.00057826	9.428e-05	0.0020137	0.0007446	9.7523e-06	
0.01	0.00017163	0.0066653	0.0066159	0.0066159	0.038429	0.0090762	0.0031623	0.00019879	0.00011834	0.022389	0.00012725	0.0059651	0.0046148	0.00057695	9.4388e-05	0.002011	0.0007417	9.839e-06	
0.01	0.00016914	0.0066648	0.0066152	0.0066152	0.038358	0.0090764	0.003127	0.00019682	0.00011853	0.022405	0.00012511	0.0059634	0.0046042	0.00057566	9.4536e-05	0.0020084	0.00073882	9.9194e-06	
0.01	0.00016673	0.0066642	0.0066146	0.0066146	0.038287	0.009077	0.0030925	0.0001949	0.00011874	0.022421	0.00012299	0.0059618	0.0045937	0.00057437	9.4724e-05	0.0020058	0.00073595	1.0004e-05	
0.01	0.0001643	0.0066636	0.006614	0.006614	0.038216	0.0090776	0.0030579	0.00019296	0.00011894	0.022437	0.00012085	0.0059601	0.0045831	0.00057308	9.4895e-05	0.0020032	0.00073308	1.0084e-05	
0.01	0.00016185	0.0066631	0.0066133	0.0066133	0.038145	0.0090781	0.0030232	0.00019101	0.00011913	0.022452	0.00011871	0.0059585	0.0045726	0.00057178	9.5049e-05	0.0020005	0.00073019	1.016e-05	
0.01	0.00015947	0.0066625	0.0066127	0.0066127	0.038075	0.009079	0.0029893	0.0001891	0.00011935	0.022468	0.00011659	0.0059569	0.0045621	0.0005705	9.524e-05	0.0019979	0.00072733	1.0239e-05	
0.01	0.00015715	0.006662	0.0066121	0.0066121	0.038006	0.0090804	0.002956	0.00018722	0.00011959	0.022485	0.0001145	0.0059553	0.0045518	0.00056922	9.5465e-05	0.0019953	0.00072447	1.0322e-05	
0.01	0.0001549	0.0066615	0.0066115	0.0066115	0.037937	0.0090821	0.0029234	0.00018538	0.00011985	0.022502	0.00011242	0.0059538	0.0045415	0.00056795	9.5726e-05	0.0019928	0.00072163	1.0409e-05	
0.01	0.00015272	0.0066611	0.006611	0.006611	0.037869	0.0090843	0.0028915	0.00018358	0.00012014	0.022519	0.00011038	0.0059524	0.0045314	0.00056669	9.6024e-05	0.0019902	0.0007188	1.05e-05	
0.01	0.00015059	0.0066606	0.0066104	0.0066104	0.037801	0.009087	0.0028603	0.00018181	0.00012045	0.022537	0.00010835	0.005951	0.0045213	0.00056544	9.6357e-05	0.0019877	0.00071599	1.0596e-05	
0.01	0.00014844	0.0066602	0.0066099	0.0066099	0.037735	0.0090895	0.002829	0.00018003	0.00012075	0.022554	0.00010631	0.0059496	0.0045112	0.00056418	9.6673e-05	0.0019851	0.00071316	1.0678e-05	
0.01	0.00014628	0.0066598	0.0066094	0.0066094	0.037668	0.009092	0.0027976	0.00017824	0.00012104	0.022572	0.00010426	0.0059482	0.0045011	0.00056292	9.6974e-05	0.0019826	0.00071033	1.0756e-05	
0.01	0.00014417	0.0066594	0.006609	0.006609	0.037602	0.0090948	0.0027668	0.00017648	0.00012135	0.022589	0.00010224	0.0059468	0.0044911	0.00056166	9.7309e-05	0.00198	0.00070751	1.0837e-05	
0.01	0.00014205	0.006659	0.0066085	0.0066085	0.037536	0.0090976	0.0027359	0.00017471	0.00012165	0.022607	0.0001002	0.0059454	0.004481	0.0005604	9.7628e-05	0.0019775	0.00070469	1.0913e-05	
0.01	0.0001399	0.0066586	0.006608	0.006608	0.03747	0.0091003	0.0027048	0.00017293	0.00012195	0.022625	9.8146e-05	0.0059441	0.004471	0.00055914	9.793e-05	0.0019749	0.00070185	1.0985e-05	
0.01	0.00013782	0.0066582	0.0066075	0.0066075	0.037404	0.0091035	0.0026745	0.00017119	0.00012227	0.022643	9.6117e-05	0.0059427	0.004461	0.00055789	9.8272e-05	0.0019724	0.00069903	1.1061e-05	
0.01	0.00013572	0.0066578	0.0066071	0.0066071	0.037338	0.0091066	0.002644	0.00016943	0.00012257	0.022661	9.4076e-05	0.0059414	0.004451	0.00055663	9.8597e-05	0.0019698	0.0006962	1.1132e-05	
0.01	0.0001336	0.0066574	0.0066066	0.0066066	0.037273	0.0091096	0.0026134	0.00016767	0.00012287	0.022679	9.2022e-05	0.00594	0.004441	0.00055536	9.8905e-05	0.0019672	0.00069336	1.1198e-05	
0.01	0.00013146	0.006657	0.0066061	0.0066061	0.037207	0.0091125	0.0025827	0.00016589	0.00012316	0.022696	8.9956e-05	0.0059386	0.004431	0.0005541	9.9196e-05	0.0019647	0.00069051	1.1259e-05	
