Vicugna_pacos	Tursiops_truncatus	Sus_scrofa	Physeter_catodon	Phocoena_sinus	Ovis_aries	Orcinus_orca	Odocoileus_virginianus	Monodon_monoceros	Lipotes_vexillifer	Lagenorhynchus_obliquidens	Globicephala_melas	Delphinapterus_leucas	Capra_hircus	Camelus_ferus	Camelus_dromedarius	Camelus_bactrianus	Bubalus_bubalis	Bos_taurus	Bos_mutus	Bison_bison	Balaenoptera_musculus	Balaenoptera_acutorostrata	
0.0005282	0.022465	0.00018878	2.9967e-06	5.5875e-05	0.0062196	0.0078823	4.5433e-05	0.01	1.6991e-05	0.00054819	0.005294	0.01	0.00016408	0.00072742	0.0013174	0.0093885	0.00022808	0.01	0.00023345	0.00070373	0.00017726	0.90601	
0.00051177	0.022488	0.00017275	3.0889e-06	5.4905e-05	0.0062215	0.0078813	4.4725e-05	0.01	1.4281e-05	0.00055259	0.005292	0.01	0.00016274	0.00072572	0.0013138	0.0093882	0.0002253	0.01	0.00023033	0.00070208	0.00017573	0.90689	
0.00049597	0.022513	0.00017578	3.191e-06	5.3969e-05	0.0062234	0.0078804	4.3986e-05	0.01	1.1632e-05	0.00055719	0.0052901	0.01	0.00016138	0.00072404	0.0013103	0.0093879	0.00022249	0.01	0.00022718	0.00070042	0.00017425	0.90784	
0.00047997	0.022536	0.00016407	3.2789e-06	5.3018e-05	0.0062252	0.0078794	4.3222e-05	0.01	8.9564e-06	0.00056171	0.0052881	0.01	0.00016002	0.00072235	0.0013068	0.0093876	0.00021965	0.01	0.000224	0.00069875	0.00017275	0.90877	
0.00046375	0.02256	0.0001324	3.3523e-06	5.2054e-05	0.0062273	0.0078785	4.2432e-05	0.01	8.6125e-06	0.00056615	0.0052861	0.01	0.00015868	0.00072065	0.0013032	0.0093872	0.00021678	0.01	0.0002208	0.00069707	0.00017123	0.90966	
0.0004473	0.022583	0.00021581	3.4114e-06	5.1075e-05	0.0062293	0.0078775	4.1615e-05	0.01	8.2578e-06	0.00057051	0.0052841	0.01	0.00015733	0.00071894	0.0012996	0.0093869	0.00021388	0.01	0.00021758	0.00069537	0.00016968	0.91052	
0.00043063	0.022606	0.00027356	3.4561e-06	5.0082e-05	0.0062312	0.0078765	4.0771e-05	0.01	7.8922e-06	0.00057478	0.0052821	0.01	0.00015597	0.00071722	0.001296	0.0093866	0.00021094	0.01	0.00021433	0.00069367	0.00016811	0.91135	
0.00041469	0.022628	0.00029499	3.4866e-06	5.0384e-05	0.0062333	0.0078755	3.9997e-05	0.01	7.5157e-06	0.00057897	0.00528	0.01	0.00015463	0.00071552	0.0012924	0.0093863	0.00020808	0.01	0.00021113	0.00069199	0.00016651	0.91215	
0.00039854	0.02265	0.00029376	3.5028e-06	5.0676e-05	0.0062353	0.0078745	3.9197e-05	0.01	7.1282e-06	0.00058308	0.0052779	0.01	0.00015329	0.00071381	0.0012889	0.009386	0.00020519	0.01	0.00020791	0.0006903	0.00016489	0.91292	
0.00038305	0.022673	0.00032241	3.5294e-06	5.0987e-05	0.0062376	0.0078735	3.8464e-05	0.01	6.7464e-06	0.00058741	0.0052759	0.01	0.00015197	0.00071213	0.0012854	0.0093857	0.00020238	0.01	0.00020475	0.00068864	0.00016333	0.91377	
0.00036734	0.022696	0.00032769	3.5419e-06	5.1289e-05	0.0062398	0.0078725	3.7706e-05	0.01	6.3538e-06	0.00059165	0.0052738	0.01	0.00015064	0.00071044	0.0012818	0.0093854	0.00019954	0.01	0.00020156	0.00068696	0.00016174	0.9146	
0.00035142	0.022719	0.00030971	3.54e-06	5.1581e-05	0.0062419	0.0078715	3.6923e-05	0.01	5.9503e-06	0.00059581	0.0052717	0.01	0.0001493	0.00070873	0.0012783	0.009385	0.00019667	0.01	0.00019835	0.00068527	0.00016013	0.91539	
0.00033529	0.022741	0.00026804	4.2888e-06	5.1863e-05	0.0062439	0.0078704	3.6115e-05	0.01	6.1826e-06	0.00059989	0.0052696	0.01	0.00014794	0.00070702	0.0012747	0.0093847	0.00019376	0.01	0.00019512	0.00068357	0.00015849	0.91616	
0.00031893	0.022762	0.00020339	5.0103e-06	5.2137e-05	0.0062462	0.0078694	3.5374e-05	0.01	6.4049e-06	0.00060389	0.0052675	0.01	0.00014661	0.00070529	0.001271	0.0093844	0.00019093	0.01	0.00019193	0.0006819	0.00015683	0.91689	
0.00030235	0.022784	0.00027605	5.705e-06	5.2401e-05	0.0062484	0.0078684	3.4608e-05	0.01	6.6172e-06	0.00060781	0.0052654	0.01	0.00014527	0.00070355	0.0012674	0.0093841	0.00018807	0.01	0.00018873	0.00068021	0.00015515	0.9176	
0.00028553	0.022805	0.00032287	6.3733e-06	5.2656e-05	0.0062505	0.0078673	3.3817e-05	0.01	6.8196e-06	0.00061165	0.0052632	0.01	0.00014392	0.0007018	0.0012636	0.0093837	0.00018518	0.01	0.0001855	0.00067852	0.00015343	0.91828	
0.00026939	0.022827	0.00041308	7.0928e-06	5.2929e-05	0.0062528	0.0078663	3.3091e-05	0.01	7.0243e-06	0.00061569	0.0052611	0.01	0.0001426	0.00070008	0.00126	0.0093834	0.00018237	0.01	0.00018232	0.00067684	0.00015179	0.91904	
0.0002539	0.02285	0.00056786	7.8661e-06	5.322e-05	0.0062554	0.0078653	3.2424e-05	0.01	7.2313e-06	0.00061995	0.005259	0.01	0.0001413	0.00069838	0.0012565	0.0093831	0.00017964	0.01	0.0001792	0.0006752	0.0001502	0.91989	
0.00023819	0.022873	0.00068405	8.6107e-06	5.3502e-05	0.0062579	0.0078643	3.1735e-05	0.01	7.4282e-06	0.00062413	0.0052569	0.01	0.00013999	0.00069667	0.0012529	0.0093828	0.00017687	0.01	0.00017606	0.00067354	0.00014859	0.9207	
0.00022336	0.022896	0.0006888	9.3269e-06	5.3774e-05	0.0062606	0.0078632	3.1105e-05	0.01	7.6151e-06	0.00062822	0.0052548	0.01	0.0001387	0.00069499	0.001238	0.0093825	0.00017418	0.01	0.00017297	0.0006719	0.00014695	0.92149	
0.00020833	0.022918	0.00066438	1.0015e-05	5.4037e-05	0.0062632	0.0078622	3.0453e-05	0.01	7.7921e-06	0.00063223	0.0052527	0.01	0.00013741	0.00069329	0.0012229	0.0093822	0.00017146	0.01	0.00016985	0.00067025	0.00014529	0.92225	
0.0001931	0.02294	0.00061017	1.0676e-05	5.4291e-05	0.0062658	0.0078611	2.9778e-05	0.01	7.959e-06	0.00063616	0.0052505	0.01	0.0001361	0.00069158	0.0012078	0.0093819	0.0001687	0.01	0.00016671	0.0006686	0.0001436	0.92298	
0.00017767	0.022962	0.00052474	1.131e-05	5.4535e-05	0.0062682	0.0078601	2.908e-05	0.01	8.1159e-06	0.00064001	0.0052484	0.01	0.00013478	0.00068986	0.0011926	0.0093816	0.00016592	0.01	0.00016355	0.00066693	0.00014188	0.92369	
0.00016284	0.022983	0.00049005	1.1917e-05	5.4771e-05	0.0062706	0.007859	2.8443e-05	0.01	8.2628e-06	0.00064378	0.0052462	0.01	0.00013345	0.00068817	0.0011777	0.0093813	0.00016321	0.01	0.00016044	0.00066528	0.00014015	0.92436	
0.00014781	0.023004	0.00042704	1.2498e-05	5.4996e-05	0.0062729	0.0078579	2.7783e-05	0.01	8.3997e-06	0.00064747	0.0052439	0.01	0.0001321	0.00068646	0.0011626	0.0093809	0.00016047	0.01	0.0001573	0.00066363	0.00013838	0.92502	
0.00013258	0.023024	0.00034469	1.3053e-05	5.5213e-05	0.0062751	0.0078568	2.71e-05	0.01	8.5266e-06	0.00065108	0.0052417	0.01	0.00013074	0.00068475	0.0011475	0.0093806	0.0001577	0.01	0.00015414	0.00066196	0.00013659	0.92565	
0.00011796	0.023046	0.00030467	1.3657e-05	5.5448e-05	0.0062603	0.0078558	2.6475e-05	0.01	8.656e-06	0.0006549	0.0052395	0.01	0.00012942	0.00068305	0.0011327	0.0093803	0.000155	0.01	0.00015104	0.00066032	0.00013486	0.92635	
0.00010315	0.023067	0.00023932	1.4235e-05	5.5673e-05	0.0062453	0.0078547	2.5827e-05	0.01	8.7753e-06	0.00065864	0.0052373	0.01	0.00012808	0.00068135	0.0011177	0.00938	0.00015228	0.01	0.00014791	0.00065867	0.00013311	0.92704	
9.9725e-05	0.023088	0.00014625	1.4786e-05	5.5889e-05	0.0062303	0.0078536	2.5158e-05	0.01	8.8847e-06	0.00066229	0.005235	0.01	0.00012673	0.00067964	0.0011027	0.0093797	0.00014952	0.01	0.00014476	0.000657	0.00013134	0.92769	
9.6244e-05	0.023109	0.00017663	1.5311e-05	5.6096e-05	0.0062152	0.0078525	2.4466e-05	0.01	8.984e-06	0.00066587	0.0052328	0.01	0.00012538	0.00067791	0.0010876	0.0093794	0.00014673	0.01	0.00014158	0.00065533	0.00012953	0.92832	
9.6079e-05	0.023129	0.00018634	1.581e-05	5.6294e-05	0.0061999	0.0078514	2.3752e-05	0.01	9.0734e-06	0.00066937	0.0052305	0.01	0.00012401	0.00067618	0.0010725	0.0093791	0.00014391	0.01	0.00013838	0.00065364	0.00012771	0.92893	
9.5881e-05	0.023149	0.0001761	1.6284e-05	5.6482e-05	0.0061846	0.0078503	2.3014e-05	0.01	9.1528e-06	0.00067279	0.0052282	0.01	0.00012263	0.00067443	0.0010572	0.0093788	0.00014106	0.01	0.00013516	0.00065194	0.00012585	0.92952	
9.5649e-05	0.023168	0.00014554	1.6733e-05	5.6661e-05	0.0061696	0.0078491	2.2335e-05	0.01	9.2223e-06	0.00067613	0.0052258	0.01	0.00012127	0.00067268	0.0010419	0.0093784	0.00013829	0.01	0.00013198	0.00065027	0.00012397	0.93008	
9.5471e-05	0.023189	0.00013451	1.7228e-05	5.6859e-05	0.0061549	0.007848	2.171e-05	0.01	9.2941e-06	0.00067968	0.0052236	0.01	0.00011994	0.00067095	0.0010268	0.0093781	0.00013559	0.01	0.00012886	0.00064862	0.00012216	0.93071	
9.5254e-05	0.023211	7.745e-05	1.7774e-05	5.7074e-05	0.0061406	0.007847	2.1183e-05	0.01	9.3682e-06	0.00068343	0.0052213	0.01	0.00011863	0.0006692	0.0010117	0.0093778	0.0001328	0.01	0.00012572	0.00064696	0.00012041	0.93143	
9.4995e-05	0.023234	6.381e-05	1.8373e-05	5.7309e-05	0.0061261	0.0078459	2.0577e-05	0.01	9.4449e-06	0.00068741	0.0052192	0.01	0.00011732	0.00066745	0.00099644	0.0093775	0.00012998	0.01	0.00012256	0.00064529	0.00011872	0.93223	
9.4791e-05	0.023258	5.8951e-05	1.9028e-05	5.7562e-05	0.0061121	0.0078449	2.002e-05	0.01	9.5239e-06	0.0006916	0.0052171	0.01	0.00011602	0.00066572	0.00098147	0.0093772	0.00012723	0.01	0.00011944	0.00064364	0.00011709	0.9331	
9.4554e-05	0.023282	3.809e-05	1.9654e-05	5.7806e-05	0.0060979	0.0078439	1.9444e-05	0.01	9.593e-06	0.00069571	0.005215	0.01	0.00011472	0.00066398	0.00096642	0.0093768	0.00012446	0.01	0.0001163	0.00064199	0.00011544	0.93395	
9.437e-05	0.023307	2.3701e-05	2.0339e-05	5.8069e-05	0.006084	0.0078429	1.8914e-05	0.01	9.6645e-06	0.00070004	0.005213	0.01	0.00011344	0.00066226	0.00095163	0.0093765	0.00012175	0.01	0.00011322	0.00064035	0.00011387	0.93286	
9.4237e-05	0.023333	1.1733e-05	2.1086e-05	5.835e-05	0.0060705	0.0078419	1.8428e-05	0.01	9.7383e-06	0.00070459	0.005211	0.01	0.00011218	0.00066057	0.00093709	0.0093762	0.00011912	0.01	0.00011018	0.00063874	0.00011235	0.93184	
9.4068e-05	0.023358	2.5286e-05	2.1801e-05	5.8622e-05	0.0060568	0.0078409	1.7923e-05	0.01	9.8021e-06	0.00070906	0.005209	0.01	0.00011091	0.00065887	0.00093688	0.0093759	0.00011646	0.01	0.00010712	0.00063712	0.00011082	0.9308	
9.3952e-05	0.023385	4.2372e-05	2.2582e-05	5.8913e-05	0.0060435	0.00784	1.7461e-05	0.01	9.8684e-06	0.00071377	0.005207	0.01	0.00010967	0.00065719	0.00093674	0.0093757	0.00011387	0.01	0.00010411	0.00063552	0.00010933	0.92984	
9.3887e-05	0.023414	6.9632e-05	2.3431e-05	5.9223e-05	0.0060305	0.0078391	1.7036e-05	0.01	9.9369e-06	0.0007187	0.0052051	0.01	0.00010845	0.00065553	0.00093667	0.0093754	0.00011134	0.01	0.00010115	0.00063394	0.0001079	0.92895	
9.3789e-05	0.023441	8.0229e-05	2.4247e-05	5.9524e-05	0.0060173	0.0078381	1.6596e-05	0.01	9.9955e-06	0.00072355	0.0052032	0.01	0.00010722	0.00065386	0.00093657	0.0093751	0.00010879	0.01	9.8161e-05	0.00063235	0.00010645	0.92805	
9.3658e-05	0.023469	7.4442e-05	2.5031e-05	5.9815e-05	0.0060041	0.0078372	1.6139e-05	0.01	1.0044e-05	0.00072831	0.0052013	0.01	0.00010597	0.00065218	0.00093643	0.0093748	0.00010621	0.01	9.5154e-05	0.00063075	0.00010497	0.92711	
9.3579e-05	0.023497	7.7966e-05	2.5885e-05	6.0126e-05	0.0059912	0.0078363	1.572e-05	0.01	1.0095e-05	0.00073331	0.0051994	0.01	0.00010475	0.00065052	0.00093636	0.0093745	0.00010369	0.01	9.2194e-05	0.00062917	0.00010355	0.92626	
9.3468e-05	0.023526	6.5135e-05	2.6707e-05	6.0427e-05	0.0059782	0.0078354	1.5285e-05	0.01	1.0136e-05	0.00073822	0.0051975	0.01	0.00010352	0.00064886	0.00093627	0.0093742	0.00010115	0.01	8.9212e-05	0.00062759	0.00010211	0.92538	
9.3407e-05	0.023555	6.0615e-05	2.7601e-05	6.0748e-05	0.0059651	0.0078345	1.483e-05	0.01	1.018e-05	0.00073713	0.0051957	0.01	0.00010228	0.00064721	0.00093623	0.009374	9.8573e-05	0.01	8.6208e-05	0.00062599	0.00010071	0.92458	
9.3398e-05	0.023586	6.3531e-05	2.8575e-05	6.1089e-05	0.0059523	0.0078336	1.4413e-05	0.01	1.0226e-05	0.0007362	0.0051939	0.01	0.00010107	0.00064559	0.00093627	0.0093737	9.6067e-05	0.01	8.3251e-05	0.00062442	9.9369e-05	0.92385	
9.344e-05	0.023618	7.4161e-05	2.8565e-05	6.0672e-05	0.0059394	0.0078328	1.3979e-05	0.01	1.0274e-05	0.00073543	0.0051922	0.01	9.9837e-05	0.00064399	0.00093637	0.0093735	9.3533e-05	0.01	8.0272e-05	0.00062283	9.8074e-05	0.92321	
9.3449e-05	0.023649	6.8757e-05	2.8532e-05	6.0246e-05	0.0059265	0.0078319	1.3529e-05	0.01	1.0313e-05	0.0007346	0.0051905	0.01	9.8599e-05	0.00064238	0.00093644	0.0093732	9.0972e-05	0.01	7.7272e-05	0.00062124	9.6758e-05	0.92254	
9.3508e-05	0.023682	7.1013e-05	2.854e-05	5.9839e-05	0.0059138	0.0078311	1.3114e-05	0.01	1.0353e-05	0.00073393	0.0051888	0.01	9.7382e-05	0.0006408	0.00093657	0.009373	8.8473e-05	0.01	7.4316e-05	0.00061966	9.5489e-05	0.92195	
9.3535e-05	0.023715	5.7418e-05	2.8524e-05	5.9424e-05	0.005901	0.0078303	1.2684e-05	0.01	1.0384e-05	0.00073319	0.0051871	0.01	9.6155e-05	0.0006392	0.00093668	0.0093727	8.5947e-05	0.01	7.1339e-05	0.00061808	9.4199e-05	0.92133	
9.361e-05	0.023749	5.0473e-05	2.855e-05	5.9028e-05	0.0058885	0.0078295	1.2287e-05	0.01	1.0417e-05	0.0007326	0.0051855	0.01	9.4949e-05	0.00063762	0.00093684	0.0093725	8.3482e-05	0.01	6.8406e-05	0.00061652	9.2954e-05	0.92079	
9.3735e-05	0.023784	4.8554e-05	2.8618e-05	5.8652e-05	0.0058763	0.0078287	1.1921e-05	0.01	1.0452e-05	0.00073217	0.0051839	0.01	9.3764e-05	0.00063607	0.00093707	0.0093723	8.1077e-05	0.01	6.5516e-05	0.00061498	9.1753e-05	0.92032	
9.391e-05	0.02382	5.1296e-05	2.8729e-05	5.8296e-05	0.0058644	0.007828	1.1585e-05	0.01	1.0489e-05	0.0007319	0.0051824	0.01	9.2599e-05	0.00063453	0.00093737	0.0093721	7.8729e-05	0.01	6.2669e-05	0.00061346	9.0595e-05	0.91993	
9.4135e-05	0.023858	5.9535e-05	2.8885e-05	5.7959e-05	0.0058528	0.0078272	1.1276e-05	0.01	1.0529e-05	0.00073178	0.0051809	0.01	9.1454e-05	0.00063302	0.00093773	0.0093719	7.6439e-05	0.01	5.9865e-05	0.00061196	8.9387e-05	0.91948	
9.4327e-05	0.023895	0.00019148	2.9015e-05	5.7613e-05	0.0058414	0.0078265	1.0954e-05	0.01	1.0559e-05	0.0007316	0.0051795	0.01	9.0332e-05	0.0006315	0.00093806	0.0093716	7.4123e-05	0.01	5.9969e-05	0.00061045	8.8159e-05	0.919	
9.4571e-05	0.023934	0.0002136	2.9191e-05	5.7286e-05	0.00583	0.0078258	1.0676e-05	0.01	1.0591e-05	0.00073158	0.005178	0.01	8.9199e-05	0.00062999	0.00093846	0.0093714	7.4384e-05	0.01	6.006e-05	0.00060893	8.6976e-05	0.9186	
9.4862e-05	0.023974	0.00025617	2.9408e-05	5.6976e-05	0.0058188	0.0078252	1.042e-05	0.01	1.0625e-05	0.0007317	0.0051767	0.01	8.8085e-05	0.00062851	0.00093891	0.0093713	7.4662e-05	0.01	6.0159e-05	0.00060743	8.5832e-05	0.91827	
9.5195e-05	0.024016	0.00032335	2.9663e-05	5.6682e-05	0.0058079	0.0078245	1.0183e-05	0.01	1.066e-05	0.00073195	0.0051754	0.01	8.6987e-05	0.00062705	0.00093942	0.0093711	7.4957e-05	0.01	6.0264e-05	0.00060594	8.4722e-05	0.91801	
9.5569e-05	0.024058	0.00026802	2.9957e-05	5.6403e-05	0.0057971	0.0078239	9.9644e-06	0.01	1.0696e-05	0.00073233	0.0051741	0.01	8.5905e-05	0.0006256	0.00093999	0.0093709	7.5268e-05	0.01	6.0375e-05	0.00060448	8.3645e-05	0.9178	
9.5981e-05	0.024102	0.00023293	3.0287e-05	5.6137e-05	0.0057866	0.0078233	9.7609e-06	0.01	1.0732e-05	0.00073283	0.0051729	0.01	8.4836e-05	0.00062417	0.0009406	0.0093707	7.5594e-05	0.01	6.0492e-05	0.00060303	8.2598e-05	0.91766	
9.6369e-05	0.024146	0.00018106	3.0599e-05	5.5865e-05	0.0057761	0.0078227	9.5501e-06	0.01	1.076e-05	0.00073329	0.0051717	0.01	8.3761e-05	0.00062273	0.0009412	0.0093706	7.5907e-05	0.01	6.0598e-05	0.00060157	8.1538e-05	0.9175	
